Gene ID	Symbol	Name	hESC Median Intensity	hEB Median Intensity	ESC/EB
3645	INSRR	insulin receptor-related receptor	26.88	21.6	1.24
5032	P2RY11	purinergic receptor P2Y, G-protein coupled, 11	27.72	22.31	1.24
2861	GPR37	G protein-coupled receptor 37 (endothelin receptor type B-like)	138.91	111.91	1.24
403257	OR4C45	olfactory receptor, family 4, subfamily C, member 45	30.93	24.93	1.24
219952	OR6Q1	olfactory receptor, family 6, subfamily Q, member 1	30.55	24.62	1.24
219479	OR5R1	olfactory receptor, family 5, subfamily R, member 1	18.32	14.78	1.24
5790	PTPRCAP	protein tyrosine phosphatase, receptor type, C-associated protein	15.8	12.77	1.24
4986	OPRK1	opioid receptor, kappa 1	15.19	12.3	1.24
4851	NOTCH1	Notch homolog 1, translocation-associated (Drosophila)	352.09	285.83	1.23
6095	RORA	RAR-related orphan receptor A	28.11	22.83	1.23
186	AGTR2	angiotensin II receptor, type 2	13.91	11.32	1.23
55366	LGR4	leucine-rich repeat-containing G protein-coupled receptor 4	1031.11	839.18	1.23
135	ADORA2A	adenosine A2a receptor	34.98	28.53	1.23
127069	OR2T10	olfactory receptor, family 2, subfamily T, member 10	16.08	13.15	1.22
222487	GPR97	G protein-coupled receptor 97	44.89	36.79	1.22
391189	OR11L1	olfactory receptor, family 11, subfamily L, member 1	43.04	35.29	1.22
10280	OPRS1	opioid receptor, sigma 1	1529.67	1258	1.22
390201	OR10V1	olfactory receptor, family 10, subfamily V, member 1	34.09	28.1	1.21
148	ADRA1A	adrenergic, alpha-1A-, receptor	28.06	23.18	1.21
133396	IL31RA	interleukin 31 receptor A	14.82	12.25	1.21
401667	OR51A2	olfactory receptor, family 51, subfamily A, member 2	23.25	19.33	1.2
51289	RXFP3	relaxin/insulin-like family peptide receptor 3	13.56	11.3	1.2
126370	OR1I1	olfactory receptor, family 1, subfamily I, member 1	30.95	25.81	1.2
338755	OR2AG2	olfactory receptor, family 2, subfamily AG, member 2	82.88	69.33	1.2
92	ACVR2A	activin A receptor, type IIA	62.3	52.14	1.19
390313	OR5BS1P	olfactory receptor, family 5, subfamily BS, member 1 pseudogene	38.81	32.48	1.19
2322	FLT3	fms-related tyrosine kinase 3	30.76	25.76	1.19
4159	MC3R	melanocortin 3 receptor	52.03	43.64	1.19
390538	OR4M2	olfactory receptor, family 4, subfamily M, member 2	12.18	10.23	1.19
22859	LPHN1	latrophilin 1	188.07	158.25	1.19
9127	P2RXL1	purinergic receptor P2X-like 1, orphan receptor	87.37	73.54	1.19
55879	GABRQ	gamma-aminobutyric acid (GABA) receptor, theta	26.65	22.46	1.19
401973	OR10J6P	olfactory receptor, family 10, subfamily J, member 6 pseudogene	20.39	17.23	1.18
124538	OR4D2	olfactory receptor, family 4, subfamily D, member 2	16.03	13.55	1.18
27199	OXGR1	oxoglutarate (alpha-ketoglutarate) receptor 1	16.47	13.94	1.18
119749	OR4C46	olfactory receptor, family 4, subfamily C, member 46	22.33	19	1.18
8388	OR1E2	olfactory receptor, family 1, subfamily E, member 2	81.78	69.65	1.17
8500	PPFIA1	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1	673.57	574.6	1.17
6751	SSTR1	somatostatin receptor 1	57.2	48.81	1.17
2564	GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	23.58	20.13	1.17
4855	NOTCH4	Notch homolog 4 (Drosophila)	39.33	33.6	1.17
347168	OR1J1	olfactory receptor, family 1, subfamily J, member 1	29.25	25.01	1.17
11006	LILRB4	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 4	77.31	66.19	1.17
120065	OR5P2	olfactory receptor, family 5, subfamily P, member 2	25	21.41	1.17
2913	GRM3	glutamate receptor, metabotropic 3	34.61	29.66	1.17
117584	RFFL	ring finger and FYVE-like domain containing 1	54.26	46.57	1.17
2914	GRM4	glutamate receptor, metabotropic 4	200.18	171.81	1.17
81697	OR2B2	olfactory receptor, family 2, subfamily B, member 2	23.2	20.1	1.15
390261	OR6M1	olfactory receptor, family 6, subfamily M, member 1	81.05	70.3	1.15
162998	OR7D2	olfactory receptor, family 7, subfamily D, member 2	50.78	44.14	1.15
391110	OR10R3P	olfactory receptor, family 10, subfamily R, member 3 pseudogene	23.93	20.81	1.15
367	AR	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	34.9	30.52	1.14
219438	OR5D18	olfactory receptor, family 5, subfamily D, member 18	251.75	220.44	1.14
23765	IL17RA	interleukin 17 receptor A	22.71	19.98	1.14
5788	PTPRC	protein tyrosine phosphatase, receptor type, C	34.39	30.39	1.13
338557	GPR120	G protein-coupled receptor 120	24.02	21.28	1.13
4854	NOTCH3	Notch homolog 3 (Drosophila)	22.92	20.32	1.13
5023	P2RX1	purinergic receptor P2X, ligand-gated ion channel, 1	21.98	19.5	1.13
9283	GPR37L1	G protein-coupled receptor 37 like 1	27.35	24.27	1.13
8325	FZD8	frizzled homolog 8 (Drosophila)	153.73	136.89	1.12
51094	ADIPOR1	adiponectin receptor 1	832.68	741.95	1.12
355	FAS	Fas (TNF receptor superfamily, member 6)	45	40.16	1.12
119678	OR52E2	olfactory receptor, family 52, subfamily E, member 2	10.19	9.1	1.12
91	ACVR1B	activin A receptor, type IB	178.58	159.68	1.12
256144	OR4C3	olfactory receptor, family 4, subfamily C, member 3	40.84	36.53	1.12
29992	PILRA	paired immunoglobin-like type 2 receptor alpha	149.02	134.58	1.11
9934	P2RY14	purinergic receptor P2Y, G-protein coupled, 14	15.08	13.64	1.11
2893	GRIA4	glutamate receptor, ionotrophic, AMPA 4	25.06	22.68	1.11
388761	OR5AX1	olfactory receptor, family 5, subfamily AX, member 1	21.37	19.34	1.1
2559	GABRA6	gamma-aminobutyric acid (GABA) A receptor, alpha 6	70.23	63.66	1.1
3973	LHCGR	luteinizing hormone/choriogonadotropin receptor	36.04	32.79	1.1
6097	RORC	RAR-related orphan receptor C	21.72	19.81	1.1
285601	GPR150	G protein-coupled receptor 150	50.38	46.17	1.09
22953	P2RX2	purinergic receptor P2X, ligand-gated ion channel, 2	55.35	50.83	1.09
11211	FZD10	frizzled homolog 10 (Drosophila)	12.15	11.16	1.09
10430	TMEM147	transmembrane protein 147	1246.07	1145.55	1.09
1142	CHRNB3	cholinergic receptor, nicotinic, beta 3	11.41	10.51	1.09
219982	OR5A1	olfactory receptor, family 5, subfamily A, member 1	10.14	9.35	1.08
2834	PRLHR	prolactin releasing hormone receptor	85.77	79.27	1.08
5664	PSEN2	presenilin 2 (Alzheimer disease 4)	94.34	87.25	1.08
6869	TACR1	tachykinin receptor 1	18.5	17.12	1.08
392309	OR13J1	olfactory receptor, family 13, subfamily J, member 1	30.79	28.72	1.07
6865	TACR2	tachykinin receptor 2	22.35	20.91	1.07
26212	OR2B6	olfactory receptor, family 2, subfamily B, member 6	32.97	30.9	1.07
433	ASGR2	asialoglycoprotein receptor 2	13.56	12.75	1.06
117196	MRGPRX4	MAS-related GPR, member X4	34.73	32.72	1.06
283159	OR8D1	olfactory receptor, family 8, subfamily D, member 1	23.95	22.58	1.06
5879	RAC1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	4130.49	3909.7	1.06
10266	RAMP2	receptor (calcitonin) activity modifying protein 2	62.69	59.35	1.06
51311	TLR8	toll-like receptor 8	41.58	39.38	1.06
119774	OR52K2	olfactory receptor, family 52, subfamily K, member 2	30.1	28.61	1.05
4882	NPR2	natriuretic peptide receptor B/guanylate cyclase B (atrionatriuretic peptide receptor B)	59.13	56.29	1.05
222611	GPR111	G protein-coupled receptor 111	32.8	31.25	1.05
554	AVPR2	arginine vasopressin receptor 2 (nephrogenic diabetes insipidus)	36.58	34.88	1.05
1231	CCR2	chemokine (C-C motif) receptor 2	16.54	15.78	1.05
3581	IL9R	interleukin 9 receptor	11.74	11.22	1.05
3566	IL4R	interleukin 4 receptor	313.61	301.35	1.04
26338	OR5L2	olfactory receptor, family 5, subfamily L, member 2	33.69	32.38	1.04
5746	PTHR2	parathyroid hormone receptor 2	26.15	25.18	1.04
29933	GPR132	G protein-coupled receptor 132	93.39	90.09	1.04
120066	OR5P3	olfactory receptor, family 5, subfamily P, member 3	14.65	14.15	1.04
3587	IL10RA	interleukin 10 receptor, alpha	71.86	69.46	1.03
26716	OR2H1	olfactory receptor, family 2, subfamily H, member 1	37.59	36.5	1.03
23495	TNFRSF13B	tumor necrosis factor receptor superfamily, member 13B	29.21	28.36	1.03
390113	OR4X1	olfactory receptor, family 4, subfamily X, member 1	43.39	42.2	1.03
390148	OR5W2	olfactory receptor, family 5, subfamily W, member 2	18.1	17.64	1.03
283092	OR4C13	olfactory receptor, family 4, subfamily C, member 13	73.6	71.9	1.02
392133	OR10AC1P	olfactory receptor, family 10, subfamily AC, member 1 pseudogene	15.92	15.59	1.02
23538	OR52A1	olfactory receptor, family 52, subfamily A, member 1	59.36	58.22	1.02
343173	OR2T3	olfactory receptor, family 2, subfamily T, member 3	30.61	30.03	1.02
54538	ROBO4	roundabout homolog 4, magic roundabout (Drosophila)	39.63	39.06	1.01
390066	OR52D1	olfactory receptor, family 52, subfamily D, member 1	97.02	96.66	1
1145	CHRNE	cholinergic receptor, nicotinic, epsilon	73.83	73.75	1
219484	OR5M8	olfactory receptor, family 5, subfamily M, member 8	14.34	14.36	1
8794	TNFRSF10C	tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain	87.79	87.96	1
3601	IL15RA	interleukin 15 receptor, alpha	16.73	16.84	0.99
135948	OR2F2	olfactory receptor, family 2, subfamily F, member 2	34.13	34.48	0.99
1439	CSF2RB	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	42.1	42.55	0.99
138882	OR1N2	olfactory receptor, family 1, subfamily N, member 2	95.79	97.04	0.99
7068	THRB	thyroid hormone receptor, beta (erythroblastic leukemia viral (v-erb-a) oncogene homolog 2, avian)	31.89	32.55	0.98
3643	INSR	insulin receptor	23.22	23.78	0.98
6091	ROBO1	roundabout, axon guidance receptor, homolog 1 (Drosophila)	68.76	70.42	0.98
608	TNFRSF17	tumor necrosis factor receptor superfamily, member 17	30.91	31.68	0.98
120775	OR2D3	olfactory receptor, family 2, subfamily D, member 3	36.26	37.21	0.97
10316	NMUR1	neuromedin U receptor 1	37.91	39.16	0.97
23284	LPHN3	latrophilin 3	72.22	74.85	0.96
131601	GPR175	G protein-coupled receptor 175	49.58	51.4	0.96
284383	OR2Z1	olfactory receptor, family 2, subfamily Z, member 1	23.21	24.12	0.96
27020	NPTN	neuroplastin	1527.24	1588.85	0.96
390649	OR4F15	olfactory receptor, family 4, subfamily F, member 15	17	17.93	0.95
1268	CNR1	cannabinoid receptor 1 (brain)	17.33	18.28	0.95
22914	KLRK1	killer cell lectin-like receptor subfamily K, member 1	31.44	33.2	0.95
138799	OR13C5	olfactory receptor, family 13, subfamily C, member 5	11.32	11.95	0.95
23432	GPR161	G protein-coupled receptor 161	59.94	63.37	0.95
1131	CHRM3	cholinergic receptor, muscarinic 3	14.3	15.16	0.94
2554	GABRA1	gamma-aminobutyric acid (GABA) A receptor, alpha 1	12.76	13.55	0.94
2829	XCR1	chemokine (C motif) receptor 1	91.67	97.38	0.94
26219	OR1J4	olfactory receptor, family 1, subfamily J, member 4	27.72	29.49	0.94
3482	IGF2R	insulin-like growth factor 2 receptor	128.23	136.78	0.94
255725	OR52B2	olfactory receptor, family 52, subfamily B, member 2	25.78	27.52	0.94
390265	OR10G7	olfactory receptor, family 10, subfamily G, member 7	18.24	19.52	0.93
9244	CRLF1	cytokine receptor-like factor 1	72.84	78.08	0.93
1128	CHRM1	cholinergic receptor, muscarinic 1	18.33	19.68	0.93
5794	PTPRH	protein tyrosine phosphatase, receptor type, H	164.79	177.83	0.93
81793	TLR10	toll-like receptor 10	10.38	11.27	0.92
79581	GPR172A	G protein-coupled receptor 172A	222.23	241.71	0.92
3804	KIR2DL3	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3	17.34	18.87	0.92
2850	GPR27	G protein-coupled receptor 27	80.84	88.06	0.92
2835	GPR12	G protein-coupled receptor 12	10.27	11.22	0.91
3485	IGFBP2	insulin-like growth factor binding protein 2, 36kDa	613.83	677.57	0.91
4991	OR1D2	olfactory receptor, family 1, subfamily D, member 2	18.62	20.58	0.91
11018	TMED1	transmembrane emp24 protein transport domain containing 1	94.68	104.87	0.9
1139	CHRNA7	cholinergic receptor, nicotinic, alpha 7	99.69	111.08	0.9
3823	KLRC3	killer cell lectin-like receptor subfamily C, member 3	13.45	14.99	0.9
401428	OR2A20P	olfactory receptor, family 2, subfamily A, member 20 pseudogene	135.9	151.71	0.9
3361	HTR5A	5-hydroxytryptamine (serotonin) receptor 5A	10.22	11.43	0.89
256148	OR4S1	olfactory receptor, family 4, subfamily S, member 1	16.54	18.63	0.89
1910	EDNRB	endothelin receptor type B	245.11	277.32	0.88
54106	TLR9	toll-like receptor 9	22.2	25.13	0.88
338675	OR5AP2	olfactory receptor, family 5, subfamily AP, member 2	63.37	72.7	0.87
81221	OR5AQ1P	olfactory receptor, family 5, subfamily AQ, member 1 pseudogene	12.66	14.55	0.87
390442	OR11H4	olfactory receptor, family 11, subfamily H, member 4	42.96	49.56	0.87
390431	OR4K2	olfactory receptor, family 4, subfamily K, member 2	26.35	30.53	0.86
165082	GPR113	G protein-coupled receptor 113	24.74	28.74	0.86
79602	ADIPOR2	adiponectin receptor 2	847.52	988.42	0.86
3949	LDLR	low density lipoprotein receptor (familial hypercholesterolemia)	354.95	414.01	0.86
391114	OR6K3	olfactory receptor, family 6, subfamily K, member 3	22.66	26.51	0.85
146	ADRA1D	adrenergic, alpha-1D-, receptor	61.83	72.48	0.85
3363	HTR7	5-hydroxytryptamine (serotonin) receptor 7 (adenylate cyclase-coupled)	39.09	45.89	0.85
267	AMFR	autocrine motility factor receptor	58.41	68.58	0.85
1816	DRD5	dopamine receptor D5	35.14	41.38	0.85
5786	PTPRA	protein tyrosine phosphatase, receptor type, A	243.96	287.69	0.85
55584	CHRNA9	cholinergic receptor, nicotinic, alpha 9	23.02	27.19	0.85
2561	GABRB2	gamma-aminobutyric acid (GABA) A receptor, beta 2	15.02	17.75	0.85
3953	LEPR	leptin receptor	37.87	45.26	0.84
9248	GPR50	G protein-coupled receptor 50	23.04	27.59	0.83
353514	LILRA5	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5	44.97	54.15	0.83
57292	KIR2DL5A	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 5A	18.25	22.01	0.83
