Gene	Entrez	Fold-change	Pattern
chgb	12653	6.0	Old-L
cryab	12955	6.0	Old-L
arl4	11861	5.9	U
krt2-7	110310	5.9	U
fabp7	12140	5.9	S
gjb2	14619	5.9	C
cdkn2b	12579	5.7	S
tekt2	24084	5.6	Old-L
unc5b	107449	5.6	CU
vegfc	22341	5.6	C
3222401m22rik	74013	5.5	US
zfp503	218820	5.5	U
ggta1	14594	5.5	S
tmem27	57394	5.5	S
slc44a3	213603	5.4	Old-L
moxd1	59012	5.4	CS
fn1	14268	5.3	U
pgf	18654	5.3	CS
vcam1	22329	5.2	US
1426941_at	1426941_at	5.2	C
hmga2	15364	5.1	C
kctd12	239217	5.1	U
4631408o11rik	66693	5.1	C
grp	225642	5.0	US
vav3	57257	5.0	S
sgk	20393	5.0	CU
ehox	194856	5.0	C
igfbp3	16009	4.9	US
1110033m05rik	68675	4.9	CS
tmem46	219134	4.85	CS
1110014f24rik	73712	4.8	U
smoc1	64075	4.8	S
1700055o19rik	67344	4.7	US
5430407p10rik	227545	4.7	U
bmp6	12161	4.7	U
rarb	218772	4.7	S
cyp46a1	13116	4.7	Old-L
e030025l21rik	403205	4.6	US
s100b	20203	4.6	Old-L
six2	20472	4.6	CS
cspg2	13003	4.6	US
cyp4v3	102294	4.55	CS
cntnap4	170571	4.5	U
e130201n16rik	78004	4.5	S
g6pdx	14381	4.5	S
dkk2	56811	4.5	Old-L
1417466_at	1417466_at	4.4	CS
slc7a10	53896	4.4	C
loxl2	94352	4.3	Yng-L
eppk1	223650	4.3	U
gstt1	14871	4.3	U
homer2	26557	4.3	U
tslp	53603	4.3	U
cxcl12	20315	4.3	S
mia1	12587	4.3	Old-L
arhgap20	244867	4.2	US
lmo4	16911	4.2	U
nme5	75533	4.2	Old-L
anxa6	11749	4.2	Old-L
sema3e	20349	4.1	U
calml4	75600	4.1	Old-L
9530028c05	330256	4.0	U
loc270335	270335	4.0	U
5830458k16rik	67775	4.0	S
ckb	12709	4.0	S
kcnn4	16534	4.0	Old-L
kctd14	233529	4.0	Old-L
s100a1	20193	4.0	Old-L
sall1	58198	4	CS
1300007l22rik	71774	4.0	C
slc29a1	63959	4.0	C
astn1	11899	3.9	US
eno3	13808	3.9	U
1449625_at	1449625_at	3.9	C
bub3	12237	3.8	U
epha7	13841	3.8	C
dusp9	75590	3.8	Yng-L
igfbp2	16008	3.7	US
6430514l14rik	76886	3.7	U
crim1	50766	3.7	U
ptk2b	19229	3.7	U
hba-a1	15122	3.7	S
meox2	17286	3.7	S
zic1	22771	3.7	S
cd83	12522	3.7	CS
ntf3	18205	3.7	CS
sox21	223227	3.7	CS
d8ertd812e	212528	3.7	C
slc15a2	57738	3.7	Old-L
lamb1-1	16777	3.7	C
chl1	12661	3.6	US
1456140_at	1456140_at	3.6	S
foxd1	15229	3.6	S
nefl	18039	3.6	Old-L
cybrd1	73649	3.6	CU
ceacam10	26366	3.6	U
col14a1	12818	3.6	U
cldn1	12737	3.5	US
grik1	14805	3.5	U
pcdh20	219257	3.5	U
hbb	15127	3.5	S
arid4b	94246	3.5	CU
prdm1	12142	3.5	CU
tm4sf1	17112	3.5	C
bgn	12111	3.5	US
cdc42ep3	260409	3.5	US
dsc2	13506	3.5	U
ebf1	13591	3.4	C
fcgr3	14131	3.4	US
ptger4	19219	3.4	S
cnga2	12789	3.4	Old-L
ucn2	171530	3.4	CS
dab1	13131	3.4	US
rgs2	19735	3.4	U
mme	17380	3.4	S
acss2	60525	3.3	US
cerk	223753	3.3	US
kcnmb2	72413	3.3	US
rab6b	270192	3.3	US
aire	11634	3.3	U
nid2	18074	3.3	S
plagl1	22634	3.3	S
plekhb1	27276	3.3	S
dner	227325	3.25	CS
car13	71934	3.3	C
mest	17294	3.2	US
p2rx3	228139	3.2	US
rem1	19700	3.2	US
sepp1	20363	3.2	US
slc38a4	69354	3.2	US
6720475j19rik	68157	3.2	U
alcam	11658	3.2	U
brunol4	108013	3.2	U
cldn11	18417	3.2	U
ccdc16	66983	3.2	S
krt1-23	94179	3.2	S
sall3	20689	3.2	S
dmd	13405	3.2	CU
chst11	218194	3.2	C
pld1	18805	3.1	Old-L
ccnd2	12444	3.1	U
foxp1	108655	3.1	U
4921513e08rik	66717	3.1	US
nid1	18073	3.1	S
falz	207165	3.1	CU
wnt7a	22421	3.1	C
lrrtm1	74342	3.0	S
cib2	56506	3.0	US
syp	20977	3.0	US
h2-t23	15040	3.0	U
nrp2	18187	3.0	U
rprm	67874	3.0	U
col3a1	12825	3.0	S
hdgfrp3	107769	3.0	S
hrasls3	225845	3.0	S
ror2	26564	3.0	S
aldoc	11676	3.0	Old-L
gnmt	14711	3.0	Old-L
npas3	27386	3.0	Old-L
eif3s10	13669	3.0	CU
col6a1	12833	3	CS
col7a1	12836	3	CS
rxrg	20183	3	CS
ecel1	13599	3.0	C
hey2	15214	3.0	C
lgals1	16852	3.0	C
slco5a1	240726	3.0	C
btg1	12226	3.0	C
gsn	227753	2.9	Old-L
mfng	17305	2.9	US
dsp	109620	2.9	U
sema5a	20356	2.9	U
tbx1	21380	2.9	U
bbox1	170442	2.9	S
slc27a2	26458	2.9	S
card10	105844	2.9	Old-L
ly6h	23934	2.9	Old-L
prss35	244954	2.9	Old-L
tmprss3	140765	2.9	Old-L
d6ertd160e	52223	2.9	C
tgfbi	21810	2.8	S
hmx3	15373	2.8	US
loc434247	434247	2.8	US
nfe2	18022	2.8	US
plce1	74055	2.8	US
1190002n15rik	68861	2.8	U
add2	11519	2.8	U
fjx1	14221	2.8	U
ifitm3	66141	2.8	U
1423110_at	1423110_at	2.8	S
col1a2	12843	2.8	S
ebf3	13593	2.8	S
gpm6a	234267	2.8	S
espn	56226	2.8	Old-L
masp1	17174	2.8	Old-L
mfi2	30060	2.8	Old-L
csda	56449	2.8	CS
c230093n12rik	98952	2.8	US
d1ertd622e	52392	2.8	US
mafb	16658	2.7	U
mitf	17342	2.7	U
nab2	17937	2.7	U
nanog	71950	2.7	U
pcsk5	18552	2.7	U
rit2	19762	2.7	U
ai851464	99100	2.7	S
imp3	102462	2.7	S
nap1l3	54561	2.7	S
stard13	243362	2.7	S
zfp36l2	12193	2.7	S
cic	71722	2.7	Old-L
ndrg2	29811	2.7	Old-L
1435981_at	1435981_at	2.7	CU
fut9	14348	2.7	CU
sdc2	15529	2.7	CU
1416761_at	1416761_at	2.7	CS
spire2	234857	2.7	C
col9a1	12839	2.7	US
1500005k14rik	76566	2.6	US
6330406p08rik	74008	2.6	US
anxa3	11745	2.6	US
fbp1	14121	2.6	US
map2k1	26395	2.6	US
nrbp2	223649	2.6	U
akap12	83397	2.6	S
b3galt3	26879	2.6	S
dapk2	13143	2.6	S
man2a1	17158	2.6	S
4833441j24rik	101100	2.6	Old-L
rgs4	19736	2.6	Old-L
ripk5	213452	2.6	Old-L
fgf9	14180	2.6	CU
id3	15903	2.6	CU
lad1	16763	2.6	CU
crabp2	12904	2.6	C
rnf128	66889	2.6	U
dkk3	50781	2.6	Old-L
fabp5	16592	2.5	Yng-L
hmgb2	97165	2.5	Yng-L
arpc1b	11867	2.5	US
egln3	112407	2.5	US
slc25a13	50799	2.5	US
1429321_at	1429321_at	2.5	U
gadd45b	17873	2.5	U
pscd1	19157	2.5	S
suz12	52615	2.5	S
tbx2	21385	2.5	S
car3	12350	2.5	Old-L
thoc2	331401	2.5	Old-L
gpx6	75512	2.5	CU
metrnl	210029	2.5	CU
thoc4	21681	2.5	CU
dpp4	13482	2.5	C
lect1	16840	2.5	C
punc	19289	2.5	C
birc5	11799	2.4	Yng-L
bub1	12235	2.4	Yng-L
cenpa	12615	2.4	Yng-L
chek1	12649	2.4	Yng-L
efna5	13640	2.4	US
il13ra1	16164	2.4	US
mdfic	16543	2.4	US
noxo1	71893	2.4	US
rdh10	98711	2.4	US
cldn4	12740	2.4	U
fgf13	14168	2.4	U
ngfr	18053	2.4	U
sema3b	20347	2.4	U
slco1a5	108096	2.4	U
1419975_at	1419975_at	2.4	S
ankrd43	237761	2.4	S
lmo1	109594	2.4	S
ncam1	17967	2.4	S
pdha1	18597	2.4	S
prkch	18755	2.4	S
tom1l2	216810	2.4	S
vwf	22371	2.4	S
prelp	116847	2.4	Old-L
4732452j19rik	207742	2.4	CU
a430105i05rik	330177	2.4	CU
1427982_s_at	1427982_s_at	2.4	CS
krt1-19	16669	2.4	CS
3732412d22rik	77569	2.4	C
galm	319625	2.4	C
trim8	93679	2.4	C
rrm2	20135	2.4	Yng-L
gtl2	17263	2.4	US
emb	13723	2.4	S
dpyd	99586	2.4	CU
kif5b	16573	2.4	CU
rnd3	74194	2.4	CU
dpysl3	22240	2.3	U
1200008o12rik	74107	2.3	Yng-L
tubb3	22152	2.3	Yng-L
pip5k1a	18719	2.3	US
tfpi	21788	2.3	US
2810459m11rik	72792	2.3	U
adcy8	11514	2.3	U
cyp39a1	56050	2.3	U
galnt10	171212	2.3	U
grm8	14823	2.3	U
pam	18484	2.3	U
slit2	20563	2.3	U
syt4	20983	2.3	U
1452382_at	1452382_at	2.3	S
atp2b2	11941	2.3	S
biklk	12124	2.3	S
elavl4	15572	2.3	S
snx22	382083	2.3	S
socs2	216233	2.3	S
sorcs2	81840	2.3	S
zhx1	22770	2.3	S
acy3	71670	2.3	Old-L
c130076o07rik	319504	2.3	Old-L
epb4.1l4b	54357	2.3	Old-L
hk1	15275	2.3	Old-L
ildr1	106347	2.3	Old-L
myl9	98932	2.3	Old-L
plscr2	18828	2.3	Old-L
tuba4	22145	2.3	Old-L
ldlr	16835	2.3	CU
ddc	13195	2.3	C
dfna5h	54722	2.3	C
1416118_at	1416118_at	2.2	Yng-L
cab39	12283	2.2	Yng-L
cenpe	229841	2.2	Yng-L
cks2	66197	2.2	Yng-L
1452899_at	1452899_at	2.2	US
gng12	14701	2.2	US
nes	18008	2.2	US
nin	18080	2.2	US
rhot1	59040	2.2	US
slc40a1	53945	2.2	US
aass	30956	2.2	U
angptl2	26360	2.2	U
hivep2	15273	2.2	U
mcam	84004	2.2	U
msn	17698	2.2	U
pcsk2	18549	2.2	U
serpine2	20720	2.2	U
0610007p08rik	76251	2.2	S
abat	268860	2.2	S
cldn10	58187	2.2	S
ednrb	13618	2.2	S
tulp3	22158	2.2	S
1438603_x_at	1438603_x_at	2.2	Old-L
boc	117606	2.2	Old-L
fbxo2	230904	2.2	Old-L
perp	64058	2.2	Old-L
rbm5	83486	2.2	Old-L
slc7a4	224022	2.2	Old-L
tdrd7	100121	2.2	Old-L
1422687_at	1422687_at	2.2	CU
2610101j03rik	66580	2.2	CU
ankhd1	108857	2.2	CU
ilf2	67781	2.2	CU
ptpre	19267	2.2	CU
qk	19317	2.2	CU
rala	56044	2.2	CU
cdh4	12561	2.2	CS
mtnr1a	17773	2.2	CS
irx1	16371	2.2	C
nr2f2	11819	2.2	C
atp1a2	98660	2.2	Old-L
arg2	11847	2.2	S
mtm1	17772	2.2	C
igfbp4	16010	2.1	US
aa545217	27214	2.1	Yng-L
bcat1	12035	2.1	Yng-L
ccnb1	268697	2.1	Yng-L
cdc6	23834	2.1	Yng-L
gldc	104174	2.1	Yng-L
hist1h2ao	319171	2.1	Yng-L
igf2bp1	140486	2.1	Yng-L
lsm5	66373	2.1	Yng-L
mcm4	17217	2.1	Yng-L
ube2c	68612	2.1	Yng-L
1425476_at	1425476_at	2.1	US
2610019f03rik	72148	2.1	US
2900093b09rik	58188	2.1	US
ahnak	66395	2.1	US
armcx3	71703	2.1	US
cdc42se1	57912	2.1	US
cyp1b1	13078	2.1	US
emp1	13730	2.1	US
galnt4	14426	2.1	US
gna13	14674	2.1	US
gstt3	103140	2.1	US
prnp	19122	2.1	US
pros1	19128	2.1	US
sox6	20679	2.1	US
trim62	67525	2.1	US
myo5c	208943	2.1	U
pvrl4	71740	2.1	U
0610012g03rik	106264	2.1	S
5730469m10rik	70564	2.1	S
bc014699	232146	2.1	S
dlk1	13386	2.1	S
egfl7	353156	2.1	S
eif5	217869	2.1	S
eng	13805	2.1	S
ets1	23871	2.1	S
gca	227960	2.1	S
islr	26968	2.1	S
mpdz	17475	2.1	S
wfdc2	67701	2.1	S
1110018j12rik	73825	2.1	Old-L
cox7a1	12865	2.1	Old-L
fcgrt	14132	2.1	Old-L
gm2a	14667	2.1	Old-L
igsf8	140559	2.1	Old-L
itpr2	16439	2.1	Old-L
neu1	18010	2.1	Old-L
tmod1	21916	2.1	Old-L
tmprss5	80893	2.1	Old-L
ush1c	72088	2.1	Old-L
4930548g07rik	75339	2.1	CU
camk1d	227541	2.1	CU
ddx10	77591	2.1	CU
dnajc2	22791	2.1	CU
igsf4a	54725	2.1	CU
pcm1	18536	2.1	CU
podxl	27205	2.1	CU
tcf20	21411	2.1	CU
1453780_at	1453780_at	2.1	CS
apeg1	11790	2.1	C
cuedc2	67116	2.1	C
f10	14058	2.1	C
nek1	18004	2.1	C
lrpap1	16976	2.1	Old-L
c79248	96982	2.1	C
cklfsf6	67213	2.1	US
cpeb4	67579	2.1	US
tmcc2	68875	2.1	S
tspan2	70747	2.1	S
fkbp10	14230	2.1	Old-L
4930553m18rik	75316	2.1	CU
asrgl1	66514	2.0	S
bc023882	231123	2.0	Yng-L
cenph	26886	2.0	Yng-L
dnmt1	13433	2.0	Yng-L
exo1	26909	2.0	Yng-L
mki67	17345	2.0	Yng-L
rfc4	106344	2.0	Yng-L
top2a	21973	2.0	Yng-L
trip13	69716	2.0	Yng-L
1810043g02rik	67884	2.0	US
3110043o21rik	73205	2.0	US
chrnb1	11443	2.0	US
creg1	433375	2.0	US
gas1	14451	2.0	US
jak2	16452	2.0	US
manba	110173	2.0	US
ndrg1	17988	2.0	US
nudt4	71207	2.0	US
st6gal1	20440	2.0	US
synpo	104027	2.0	US
1200016e24rik	319202	2.0	U
abca1	11303	2.0	U
adam12	11489	2.0	U
adssl1	11565	2.0	U
bnipl	171388	2.0	U
cldn23	71908	2.0	U
dach2	93837	2.0	U
dlx2	13392	2.0	U
epb4.1l4a	13824	2.0	U
fnbp1	14269	2.0	U
mt1	17748	2.0	U
nkd1	93960	2.0	U
ntrk3	18213	2.0	U
ptpru	19273	2.0	U
syk	20963	2.0	U
tiam1	21844	2.0	U
tle2	21886	2.0	U
1200015n20rik	71721	2.0	S
8430420c20rik	233806	2.0	S
cdc25b	12531	2.0	S
pdgfra	18595	2.0	S
pfkfb2	18640	2.0	S
sec11l3	66286	2.0	S
tbc1d1	57915	2.0	S
4632413k17rik	216440	2.0	Old-L
apoe	11816	2.0	Old-L
bspry	192120	2.0	Old-L
cnp1	12799	2.0	Old-L
col9a2	12840	2.0	Old-L
ier3	15937	2.0	Old-L
nucb1	18220	2.0	Old-L
sdc4	20971	2.0	Old-L
slc24a3	94249	2.0	Old-L
tpcn1	252972	2.0	Old-L
2610012o22rik	69902	2.0	CU
camk1	52163	2.0	CU
car2	12349	2.0	CU
ctcf	13018	2.0	CU
dhcr24	74754	2.0	CU
eefsec	65967	2.0	CU
gli2	14633	2.0	CU
gstm2	14863	2.0	CU
hnrpd	11991	2.0	CU
kctd1	106931	2.0	CU
map4k4	26921	2.0	CU
ogfrl1	70155	2.0	CU
ppig	228005	2.0	CU
ruvbl1	56505	2.0	CU
sbno1	243272	2.0	CU
ubap2l	74383	2.0	CU
zfp281	226442	2.0	CU
slc6a15	103098	2	CS
4833441d16rik	108962	2.0	C
igf2	16002	2.0	C
usp1	230484	2.0	C
aw548124	106522	2.0	S
dtna	13527	2.0	S
prss23	76453	2.0	Old-L
ppm1a	19042	2.0	CU
serbp1	66870	2.0	CU
capn6	12338	2.0	C
adcy7	11513	1.9	Yng-L
ccnb2	12442	1.9	Yng-L
ccne2	12448	1.9	Yng-L
cth	107869	1.9	Yng-L
d2ertd750e	51944	1.9	Yng-L
dtl	76843	1.9	Yng-L
fen1	14156	1.9	Yng-L
hells	15201	1.9	Yng-L
incenp	16319	1.9	Yng-L
kif2c	73804	1.9	Yng-L
mad2l1	56150	1.9	Yng-L
mastl	67121	1.9	Yng-L
nasp	50927	1.9	Yng-L
nusap1	108907	1.9	Yng-L
psrc1	56742	1.9	Yng-L
1448021_at	1448021_at	1.9	US
5830417c01rik	78825	1.9	US
apc	11789	1.9	US
casp9	12371	1.9	US
cib1	23991	1.9	US
egfl6	54156	1.9	US
gpc4	14735	1.9	US
gpx4	14779	1.9	US
hist1h1c	50708	1.9	US
hnmt	140483	1.9	US
ngly1	59007	1.9	US
rassf8	71323	1.9	US
tgfbr2	21813	1.9	US
ahr	11622	1.9	U
depdc6	97998	1.9	U
hspb8	80888	1.9	U
itgav	16410	1.9	U
itm2c	64294	1.9	U
mgi:1933403	80898	1.9	U
ntn1	18208	1.9	U
pdpn	14726	1.9	U
rtn1	104001	1.9	U
sh3md2	59009	1.9	U
snag1	170625	1.9	U
tnnt1	21955	1.9	U
wnk4	69847	1.9	U
1433595_at	1433595_at	1.9	S
2310005n03rik	66359	1.9	S
2810021o14rik	66309	1.9	S
atp1b3	11933	1.9	S
cited4	56222	1.9	S
cmkor1	12778	1.9	S
d16bwg1494e	224019	1.9	S
emid2	140709	1.9	S
hspa2	15512	1.9	S
itm1	16430	1.9	S
lman1	70361	1.9	S
mga	29808	1.9	S
mllt11	56772	1.9	S
pcmt1	18537	1.9	S
per2	18627	1.9	S
qdpr	110391	1.9	S
rhoj	80837	1.9	S
sox9	20682	1.9	S
st5	76954	1.9	S
stx7	53331	1.9	S
0610039n19rik	67442	1.9	Old-L
1200006f02rik	71706	1.9	Old-L
a830073o21rik	320262	1.9	Old-L
aebp1	11568	1.9	Old-L
efna1	13636	1.9	Old-L
eps8l2	98845	1.9	Old-L
fzd9	14371	1.9	Old-L
hexa	15211	1.9	Old-L
irf6	54139	1.9	Old-L
oas1c	114643	1.9	Old-L
oplah	75475	1.9	Old-L
rlbp1	19771	1.9	Old-L
rras	20130	1.9	Old-L
shc3	20418	1.9	Old-L
spock2	94214	1.9	Old-L
tgfb3	21809	1.9	Old-L
5730466h23rik	68145	1.9	CU
atp2c1	235574	1.9	CU
aw049765	106766	1.9	CU
brd4	57261	1.9	CU
cutl1	13047	1.9	CU
elovl6	170439	1.9	CU
loc434261	434261	1.9	CU
pard3	93742	1.9	CU
pdap1	231887	1.9	CU
pura	19290	1.9	CU
srfbp1	67222	1.9	CU
slc30a2	230810	1.9	CS
tpm2	22004	1.9	CS
gcnt2	14538	1.9	C
hpgd	15446	1.9	C
sema3f	20350	1.9	C
tnk1	83813	1.9	C
zdhhc14	224454	1.9	Old-L
ldh2	16832	1.9	S
mtap	66902	1.9	S
hmgb1	15289	1.9	CU
2810417h13rik	68026	1.9	Yng-L
2810433k01rik	66468	1.9	Yng-L
cdv1	12589	1.9	US
frmd4b	232288	1.9	US
d11ertd498e	52639	1.9	U
snca	20617	1.9	U
1110008p14rik	73737	1.9	S
ndfip1	65113	1.9	S
atp1a1	11928	1.9	Old-L
gaa	14387	1.9	Old-L
pde4b	18578	1.9	Old-L
tradd	71609	1.9	Old-L
eif5b	226982	1.9	CU
krt2-8	16691	1.9	CU
mcm3	17215	1.8	Yng-L
5730507h05rik	54392	1.8	Yng-L
aspm	12316	1.8	Yng-L
c79407	217653	1.8	Yng-L
ect2	13605	1.8	Yng-L
gja7	14615	1.8	Yng-L
gpatc4	66614	1.8	Yng-L
kif4	16571	1.8	Yng-L
melk	17279	1.8	Yng-L
msh6	17688	1.8	Yng-L
pask	269224	1.8	Yng-L
pcdh18	73173	1.8	Yng-L
smc4l1	70099	1.8	Yng-L
tnpo1	238799	1.8	Yng-L
tyms	22171	1.8	Yng-L
ube2t	67196	1.8	Yng-L
uhrf1	18140	1.8	Yng-L
2310007f21rik	66939	1.8	US
2900086b20rik	73074	1.8	US
4930504e06rik	75007	1.8	US
aldh6a1	104776	1.8	US
art5	11875	1.8	US
bcas3	192197	1.8	US
cav1	12389	1.8	US
cdc37l1	67072	1.8	US
csnk1d	104318	1.8	US
fscn1	14086	1.8	US
galnt3	14425	1.8	US
gap43	14432	1.8	US
gnai1	14677	1.8	US
gprc5b	64297	1.8	US
mapk13	26415	1.8	US
otub2	68149	1.8	US
pdgfd	71785	1.8	US
ppap2a	19012	1.8	US
rcbtb2	105670	1.8	US
tmem38a	74166	1.8	US
tspan4	64540	1.8	US
txln	109658	1.8	US
uck1	22245	1.8	US
ywhaq	22630	1.8	US
3930401b19rik	77570	1.8	U
adamts1	11504	1.8	U
ampd3	11717	1.8	U
arhgef10	234094	1.8	U
cacna1h	58226	1.8	U
chrna4	11438	1.8	U
gria3	53623	1.8	U
lynx1	23936	1.8	U
mgst1	56615	1.8	U
myo1c	17913	1.8	U
nts	67405	1.8	U
pdlim1	54132	1.8	U
pfkl	18641	1.8	U
s100a11	20195	1.8	U
tspan7	21912	1.8	U
1110018d06rik	76302	1.8	S
1438954_x_at	1438954_x_at	1.8	S
1500010m16rik	68969	1.8	S
adora2b	11541	1.8	S
atp13a3	224088	1.8	S
cklfsf7	102545	1.8	S
eed	13626	1.8	S
fuca1	71665	1.8	S
gdf10	14560	1.8	S
gnb2	14693	1.8	S
itgb5	16419	1.8	S
mass1	110789	1.8	S
mdm1	17245	1.8	S
ndfip2	76273	1.8	S
nfe2l3	18025	1.8	S
oaz2	18247	1.8	S
plod1	18822	1.8	S
psph	100678	1.8	S
ptprz1	19283	1.8	S
sccpdh	109232	1.8	S
sh3bgr	50795	1.8	S
smpdl3a	57319	1.8	S
tmed7	66676	1.8	S
xpot	73192	1.8	S
2010209o12rik	100910	1.8	Old-L
anxa5	11747	1.8	Old-L
aw061234	106020	1.8	Old-L
ctsf	56464	1.8	Old-L
erp29	67397	1.8	Old-L
fbxo6b	50762	1.8	Old-L
itga2b	16399	1.8	Old-L
lass4	67260	1.8	Old-L
lmna	16905	1.8	Old-L
pbxip1	229534	1.8	Old-L
pofut2	80294	1.8	Old-L
psat1	107272	1.8	Old-L
rnd2	11858	1.8	Old-L
selenbp1	20341	1.8	Old-L
tnfsf13	619441	1.8	Old-L
1427798_x_at	1427798_x_at	1.8	CU
3300001p08rik	67684	1.8	CU
4732418c07rik	230648	1.8	CU
bcl9	77578	1.8	CU
bcl9l	80288	1.8	CU
brd3	67382	1.8	CU
celsr1	12614	1.8	CU
chd8	67772	1.8	CU
cri1	58521	1.8	CU
d330010c22rik	433809	1.8	CU
ddit4	74747	1.8	CU
diap2	54004	1.8	CU
dusp8	18218	1.8	CU
fbn2	14119	1.8	CU
glb1	12091	1.8	CU
h19	14955	1.8	CU
hars	15115	1.8	CU
hnrpul2	68693	1.8	CU
map3k12	26404	1.8	CU
mrps26	99045	1.8	CU
mrps28	66230	1.8	CU
nfkbia	18035	1.8	CU
pa2g4	18813	1.8	CU
prkcn	75292	1.8	CU
rbbp6	19647	1.8	CU
rcor3	214742	1.8	CU
rhou	69581	1.8	CU
stau2	29819	1.8	CU
stx8	55943	1.8	CU
suv39h2	64707	1.8	CU
tcf3	21415	1.8	CU
x99384	27355	1.8	CU
ywhaz	22631	1.8	CU
d130043n08rik	103250	1.8	CS
eya1	14048	1.8	CS
fxyd6	59095	1.8	CS
1419252_at	1419252_at	1.8	C
ankrd32	105377	1.8	C
arhgef7	54126	1.8	C
atg3	67841	1.8	C
brrn1	215387	1.8	C
col13a1	12817	1.8	C
edn1	13614	1.8	C
eif4e3	66892	1.8	C
eya4	14051	1.8	C
irx6	64379	1.8	C
isl2	104360	1.8	C
lgr5	14160	1.8	C
sfxn2	94279	1.8	C
slc2a4	20528	1.8	C
stard8	236920	1.8	C
pfn2	18645	1.8	US
dck	13178	1.8	Yng-L
kif22	110033	1.8	Yng-L
rap1b	215449	1.8	US
cnot4	53621	1.8	S
dpysl4	26757	1.8	S
btbd14a	67991	1.8	Old-L
nfib	18028	1.8	Old-L
spna2	20740	1.8	Old-L
acin1	56215	1.8	CU
zmynd11	66505	1.8	CU
asb13	142688	1.8	C
1500026d16rik	68209	1.7	Yng-L
2610018g03rik	70415	1.7	Yng-L
2610200g18rik	67149	1.7	Yng-L
2700094k13rik	72657	1.7	Yng-L
2700099c18rik	77022	1.7	Yng-L
ada	11486	1.7	Yng-L
anln	68743	1.7	Yng-L
asf1b	66929	1.7	Yng-L
cbx2	12416	1.7	Yng-L
ccnb1-rs1	12429	1.7	Yng-L
cdc20	107995	1.7	Yng-L
cdc45l	12544	1.7	Yng-L
cks1b	54124	1.7	Yng-L
eme1	268465	1.7	Yng-L
fusip1	14105	1.7	Yng-L
gmnn	57441	1.7	Yng-L
h2afx	15270	1.7	Yng-L
hspa8	15481	1.7	Yng-L
kif11	16551	1.7	Yng-L
kif18a	228421	1.7	Yng-L
kntc2	67052	1.7	Yng-L
kpna2	16647	1.7	Yng-L
lbr	98386	1.7	Yng-L
lig1	16881	1.7	Yng-L
mcm2	17216	1.7	Yng-L
nup43	69912	1.7	Yng-L
orc6l	56452	1.7	Yng-L
plk4	20873	1.7	Yng-L
pttg1	30939	1.7	Yng-L
sgol1	72415	1.7	Yng-L
smc2l1	14211	1.7	Yng-L
tcfap4	83383	1.7	Yng-L
traip	22036	1.7	Yng-L
ttk	22137	1.7	Yng-L
wee1	22390	1.7	Yng-L
1110033j19rik	66184	1.7	US
2810405f18rik	72181	1.7	US
4932438a13rik	229227	1.7	US
acvr1	11477	1.7	US
ak3	56248	1.7	US
amot	27494	1.7	US
arpc5	67771	1.7	US
cul4a	99375	1.7	US
cyp2j6	13110	1.7	US
d5bwg0860e	52822	1.7	US
elovl5	68801	1.7	US
ets2	23872	1.7	US
