Gene Symbol	Fold Change	Expression	Functional Category
LAMA3	12.8	Up-regulated in androgen-independent tumors	Genes with unknown function
MSP	6.2	Up-regulated in androgen-independent tumors	Genes with unknown function
SATB1	5.1	Up-regulated in androgen-independent tumors	Genes with unknown function
SLC15A2	15.3	Down-regulated in androgen-independent tumors	Genes with unknown function
BMPR1B	9.3	Down-regulated in androgen-independent tumors	Genes with unknown function
DNAH11	6.6	Down-regulated in androgen-independent tumors	Genes with unknown function
PSK-1	5.7	Down-regulated in androgen-independent tumors	Genes with unknown function
MBNL1	5.4	Down-regulated in androgen-independent tumors	Genes with unknown function
ATSV	4.7	Down-regulated in androgen-independent tumors	Genes with unknown function
NEDD4L	10.9	Down-regulated in androgen-independent tumors	Genes with unknown function
BCMP11	8.4	Down-regulated in androgen-independent tumors	Genes with unknown function
CDC6	6.3	Down-regulated in androgen-independent tumors	Genes with unknown function
ABCC4	5.6	Down-regulated in androgen-independent tumors	Genes with unknown function
ChGn	5	Down-regulated in androgen-independent tumors	Genes with unknown function
MGC4544	4.7	Down-regulated in androgen-independent tumors	Genes with unknown function
EPS8L3	9.7	Down-regulated in androgen-independent tumors	Genes with unknown function
USP43	8	Down-regulated in androgen-independent tumors	Genes with unknown function
INPP4B	6.2	Down-regulated in androgen-independent tumors	Genes with unknown function
PTK2	5.6	Down-regulated in androgen-independent tumors	Genes with unknown function
CYP4Z1	4.9	Down-regulated in androgen-independent tumors	Genes with unknown function
WWP1	19.2	Up-regulated in androgen-independent tumors	Androgen responsive
KLK4	26.2	Down-regulated in androgen-independent tumors	Androgen responsive
KLK3	10.2	Down-regulated in androgen-independent tumors	Androgen responsive
NUCB2	5.6	Down-regulated in androgen-independent tumors	Androgen responsive
ABCA5	4.7	Down-regulated in androgen-independent tumors	Androgen responsive
NEDD4L	10.9	Down-regulated in androgen-independent tumors	Androgen responsive
CDC6	6.3	Down-regulated in androgen-independent tumors	Androgen responsive
TMEPA1	5.5	Down-regulated in androgen-independent tumors	Androgen responsive
IL1R1	10.4	Down-regulated in androgen-independent tumors	Androgen responsive
ABCC4	5.6	Down-regulated in androgen-independent tumors	Androgen responsive
KLK2	5.2	Down-regulated in androgen-independent tumors	Androgen responsive
