UniGene #	Gene	Description	Fold Change (log 2)
Hs.75626	CD58	CD58=LFA-3	1.2493
Hs.334562	CDC2	Cell division cycle 2, G1 to S and G2 to M	1.8611
Hs.428147	CDC40	Cell division cycle 40 homolog (yeast)	1.1995
Hs.116471	CDH11	Cadherin 11, type 2, OB-cadherin (osteoblast)	1.8221
Hs.436040	CDH13	Cadherin 13, H-cadherin (heart)	1.0814
Hs.433201	CDK2AP1	CDK2-associated protein 1=putative oral tumor suppressor protein (doc-1)	1.8285
Hs.397734	CDK8	Cdk8=Cyclin-dependent kinase 8	1.0491
Hs.238990	CDKN1B	Cyclin-dependent kinase inhibitor 1B (p27, Kip1)	1.5503
Hs.444430	CDS1	CDP-diacylglycerol synthetase	1.2014
Hs.499222	CES1	Carboxylesterase 1 (monocyte/macrophage serine esterase 1)	1.6478
Hs.128342	CESK1	T-complex protein 1	1.6808
Hs.528302	CETN3	Centrin, EF-hand protein, 3 (CDC31 homolog, yeast)	1.5159
Hs.161220	CG018	Hypothetical gene CG018	1.1702
Hs.119689	CGA	Glycoprotein hormones, alpha polypeptide	1.0744
Hs.444818	CGGBP1	CGG triplet repeat binding protein 1	1.3908
Hs.170129	CHML	Choroideremia-like (Rab escort protein 2)	1.2895
Hs.283725	CHODL	Chondrolectin	1.328
Hs.293077	CHPT1	Choline phosphotransferase 1	1.1348
Hs.15159	CKLF	Chemokine-like factor	1.2894
Hs.889	CLC	Charcot-Leyden crystal protein	1.0372
Hs.535985	CLCN5	Chloride channel 5 (nephrolithiasis 2, X-linked, Dent disease)	1.096
Hs.504657	CLECSF6	C-type lectin domain family 4, member A	1.2502
Hs.86368	CLGN	Calmegin=putative testis-specific chaperon	1.1779
Hs.54570	CLIC2	Chloride intracellular channel 2	1.1084
Hs.433732	CLK1	CLK-1=CDC-like kinase 1=PITSLRE alpha 1=galactosyltransferase associated protein kinase P58/GTA	1.3448
Hs.311346	CMAS	Cytidine monophosphate N-acetylneuraminic acid synthetase	1.1612
Hs.1323	CNGA1	Cyclic nucleotide gated channel alpha 1	1.335
Hs.294603	CNIH	Cornichon homolog (Drosophila)	1.4668
Hs.377466	COCH	Coch-5B2=similar to chicken collagen XIV=coagulation factor C (Limulus polyphemus homolog); cochlin	1.5431
Hs.520339	COL10A1	Collagen, type X, alpha 1(Schmid metaphyseal chondrodysplasia)	1.0571
Hs.211933	COL13A1	Collagen, type XIII, alpha 1	1.1546
Hs.149809	COL9A1	Collagen, type IX, alpha 1	1.1108
Hs.534383	COX17	COX17 homolog, cytochrome c oxidase assembly protein (yeast)	1.1375
Hs.351875	COX6C	Cytochrome c oxidase subunit VIc	1.6452
Hs.430075	COX7C	cytochrome c oxidase subunit VIIc	1.6898
Hs.646	CPA3	Carboxypeptidase A3 (mast cell)	1.1095
Hs.191219	CPNE3	Copine III	1.2686
Hs.435675	CPSF2	Cleavage and polyadenylation specific factor 2, 100kDa	1.5067
Hs.334019	CR1	Complement component (3b/4b) receptor 1, including Knops blood group system	1.1983
Hs.13313	CREBL2	CAMP responsive element binding protein-like 2	1.3452
Hs.5710	CREG1	Cellular repressor of E1A-stimulated genes 1	1.1769
Hs.534380	CRIPT	Postsynaptic protein CRIPT	1.3673
Hs.83114	CRYZ	Crystallin, zeta (quinone reductase)	1.5114
Hs.285401	CSF2RB	Colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	1.1968
Hs.181390	CSNK1G2	casein kinase I gamma 2	1.1687
Hs.410037	CTGF	Connective tissue growth factor	1.1543
Hs.167368	CTNNA2	Catenin (cadherin-associated protein), alpha 2	1.0355
Hs.520136	CUL7	Cullin 7	1.0625
Hs.789	CXCL1	GRO1=GRO alpha=melanoma growth stimulatory activity (MGSA)=chemokine	1.1896
Hs.24395	CXCL14	BRAK=CXC chemokine= MIP-2 gamma=small inducible cytokine subfamily B (Cys-X-Cys), member 14	1.0809
Hs.164021	CXCL6	Chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2)	1.5069
Hs.421986	CXCR4	CXCR4=CXC chemokine receptor 4= fusin=neuropeptide Y receptor=L3	1.0201
Hs.180933	CXXC1	CXXC finger 1 (PHD domain)	1.2972
Hs.3232	CYLC2	Cylicin, basic protein of sperm head cytoskeleton 2	1.0438
Hs.76111	DAG1	Dystroglycan 1 (dystrophin-associated glycoprotein 1)	1.0576
Hs.507755	DCAMKL1	Doublecortin and CaM kinase-like 1	1.0268
Hs.379858	DDAH1	Dimethylarginine dimethylaminohydrolase 1	1.2409
Hs.467662	DDEF2	Development and differentiation enhancing factor 2	1.1402
Hs.223141	DDX21	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21	1.248
Hs.380774	DDX3X	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	1.1344
Hs.223581	DDX4	DEAD (Asp-Glu-Ala-Asp) box polypeptide 4	1.1886
Hs.520344	DDX56	DEAD (Asp-Glu-Ala-Asp) box polypeptide 56	1.4846
Hs.484813	DEK	DEK oncogene (DNA binding)	1.4496
Hs.155597	DF	D component of complement (adipsin)	1.3002
Hs.87889	DICER1	Dicer1, Dcr-1 homolog (Drosophila)	1.0305
Hs.13318	DISC1	Disrupted in schizophrenia 1	1.3363
Hs.323583	DKFZp434L14 2	Hypothetical protein DKFZp434L142	1.2112
Hs.40499	DKK1	Dickkopf homolog 1 (Xenopus laevis)	1.0659
Hs.128556	DMP1	Dentin matrix acidic phosphoprotein	2.108
Hs.6790	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9	1.4887
Hs.159195	DOCK1	Dedicator of cytokinesis 1	1.5367
Hs.549080	DPM1	Dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit	1.2165
Hs.1602	DPYD	Dihydropyrimidine dehydrogenase	1.1903
Hs.784	EBI2	EBI2=Epstein-Barr virus induced G-protein coupled receptor=Putative chemokine receptor	1.1363
Hs.518299	ECT2	Epithelial cell transforming sequence 2 oncogene	1.3851
Hs.76224	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	1.9845
Hs.419815	EGF	Epidermal growth factor (beta-urogastrone)	1.2924
Hs.131431	EIF2AK2	Eukaryotic translation initiation factor 2-alpha kinase 2	1.2683
Hs.429180	EIF2S2	Eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa	1.1351
Hs.429180	EIF2S2	Eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa	1.1359
Hs.467084	EIF4G3	Eukaryotic translation initiation factor 4 gamma, 3	1.1436
Hs.135646	ELF1	ELF-1=ets family transcription factor	1.492
Hs.260903	ELF2	Protein phosphatase 1, regulatory (inhibitor) subunit 14B	1.0472
Hs.46523	ELK3	ELK3, ETS-domain protein (SRF accessory protein 2)	2.9227
Hs.517897	ENDOGL1	Endonuclease G-like 1	1.394
Hs.76753	ENG	Endoglin (Osler-Rendu-Weber syndrome 1)	2.4958
Hs.213840	ENPP1	PC-1=alkaline nucleotide pyrophosphatase	1.1444
Hs.486489	ENPP3	Ectonucleotide pyrophosphatase/phosphodiesterase 3	1.1347
Hs.437008	EPHB4	EphB4=tyrosine kinase (HTK)	2.1947
Hs.2132	EPS8	epidermal growth factor receptor pathway substrate 8	1.1005
Hs.118681	ERBB3	V-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	1.1541
Hs.77929	ERCC3	ERCC3=XPBC=Nucleotide excision repair DNA helicase=TFIIH 89kD subunit=Mutated in xeroderma pigmentosa B/C	1.1839
Hs.93659	ERP70	Protein disulfide isomerase-associated 4	1.1875
Hs.129944	ESM1	Endothelial cell-specific molecule 1	1.0933
Hs.5509	EVI2B	Ecotropic viral integration site 2B	1.366
Hs.357637	EXTL2	Exostoses (multiple)-like 2	1.2115
Hs.549032	EYA4	Eyes absent homolog 4 (Drosophila)	1.0119
Hs.408061	FABP5	Fatty acid binding protein 5 (psoriasis-associated)	1.14
Hs.434053	FAM3C	Family with sequence similarity 3, member C	1.3711
Hs.471452	FARSLB	Phenylalanine-tRNA synthetase-like, beta subunit	1.2765
Hs.433057	FBXL7	F-box and leucine-rich repeat protein 7	1.3826
Hs.216653	FBXO9	F-box protein 9	1.2497
Hs.6540	FGF13	Fibroblast growth factor 13	1.4049
Hs.487175	FGFR1OP	FGFR1 oncogene partner	1.0371
Hs.267446	FLJ11184	Hypothetical protein FLJ11184	1.464
Hs.81008	FLNB	filamin B, beta (actin-binding protein-278)	2.1803
Hs.41296	FLRT3	Fibronectin leucine rich transmembrane protein 3	1.5696
Hs.144912	FMO2	Flavin containing monooxygenase 2	1.1182
Hs.103183	FMR1	Fragile X mental retardation 1	1.1871
Hs.370312	FNTA	Farnesyltransferase, CAAX box, alpha	1.5939
Hs.519385	FOXD1	Forkhead box D1	1.0124
Hs.99855	FPRL1	Lipoxin A4 receptor=FPRL1=HM63=G protein-coupled receptor regulated by IL-13 and IFN gamma and inhibits TNF alpha induced IL-8 release	1.1006
Hs.126057	FRAT1	Frequently rearranged in advanced T-cell lymphomas	1.0719
Hs.348920	FSHPRH1	FSH primary response (LRPR1 homolog, rat) 1	1.0836
Hs.380897	FTS	Fused toes homolog (mouse)	1.279
Hs.3530	FUSIP1	FUS interacting protein (serine-arginine rich) 1	1.4952
Hs.94234	FZD1	Frizzled homolog 1 (Drosophila)	1.0873
Hs.173859	FZD7	Frizzled homolog 7 (Drosophila)	1.7562
Hs.3353	G3BP	Ras-GTPase-activating protein SH3-domain-binding protein	1.3707
Hs.502244	GA17	Dendritic cell protein	1.0177
Hs.473470	GABPA	GA binding protein transcription factor, alpha subunit 60kDa	1.1538
Hs.175934	GABRA1	Gamma-aminobutyric acid (GABA) A receptor, alpha 1	1.4453
Hs.80409	GADD45A	GADD45 alpha=growth arrest and DNA-damage-inducible protein alpha	2.1631
Hs.9701	GADD45G	Growth arrest and DNA-damage-inducible, gamma	1.0945
Hs.460641	GAGE2	G antigen 7	1.1526
Hs.513439	GALC	Galactosylceramidase (Krabbe disease)	1.2971
Hs.170986	GALNT3	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)	1.7523
Hs.127407	GALNT7	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)	1.2644
Hs.81131	GAMT	Guanidinoacetate N-methyltransferase	1.0504
Hs.544577	GAPD	Glyceraldehyde-3-phosphate dehydrogenase	1.3633
Hs.1691	GBE1	glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV)	1.3826
Hs.386567	GBP2	Guanylate binding protein 2, interferon-inducible	1.0419
Hs.227098	GCM2	Glial cells missing homolog 2 (Drosophila)	1.109
Hs.546256	GCSH	Glycine cleavage system protein H (aminomethyl carrier)	1.653
Hs.1573	GDF5	Growth differentiation factor 5 (cartilage-derived morphogenetic protein-1)	1.5067
Hs.74576	GDI1	GDP dissociation inhibitor 1	1.0691
Hs.345139	GEM	GTP binding protein overexpressed in skeletal muscle	1.286
Hs.78619	GGH	Gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)	1.4197
Hs.352656	GHITM	Growth hormone inducible transmembrane protein	1.4363
Hs.1466	GK	Glycerol kinase	1.041
Hs.151413	GMFB	Glia maturation factor, beta	1.0766
Hs.203862	GNAI1	Gi1 alpha=guanine nucleotide binding protein alpha inhibiting activity polypeptide 1	1.1457
Hs.73799	GNAI3	Guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3	1.832
Hs.517978	GNAT1	Guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1	1.4348
Hs.36973	GNAT2	Guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 2	1.2124
Hs.534196	GNG10	Guanine nucleotide binding protein (G protein), gamma 10	1.8296
Hs.344151	GOLGA4	Golgi autoantigen, golgin subfamily a, 4	1.0893
Hs.213389	GOLGB1	Golgi autoantigen, golgin subfamily b, macrogolgin (with transmembrane signal), 1	1.2843
Hs.444329	GPC6	Glypican 6	1.3677
Hs.127659	GPR49	G protein-coupled receptor 49=HG38	1.4785
Hs.114545	GPR55	G protein-coupled receptor 55	1.9131
Hs.131924	GPR65	TDAG8=putative G protein-coupled receptor induced during activation-induced apoptosis of T cells=G protein-coupled receptor 65	1.1905
Hs.152009	GPR85	G protein-coupled receptor 85	1.4572
Hs.489353	GPSM2	G-protein signalling modulator 2 (AGS3-like, C. elegans)	1.2356
Hs.411881	GRB14	Growth factor receptor-bound protein 14	1.1754
Hs.445015	GRIN2D	Glutamate receptor, ionotropic, N-methyl D-aspartate 2D	1.3991
Hs.509447	GRLF1	Glucocorticoid receptor DNA binding factor 1	1.2423
Hs.112621	GRM3	Glutamate receptor, metabotropic 3	1.063
Hs.58593	GTF2F2	General transcription factor IIF, polypeptide 2, 30kDa	1.0797
Hs.546259	H3F3A	H3 histone, family 3A	1.1935
Hs.463511	H6PD	Hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)	2.121
Hs.516032	HADHA	Hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit	1.22
Hs.193640	HAO1	Hydroxyacid oxidase (glycolate oxidase) 1	1.1514
Hs.470611	HAT1	Histone acetyltransferase 1	1.5766
Hs.520017	HCP5	HLA complex P5	1.3095
Hs.278635	HDCMA18P	HDCMA18P protein	1.1845
Hs.35804	HERC3	Hect domain and RLD 3	1.2529
Hs.171980	HESX1	Homeo box (expressed in ES cells) 1	1.7102
Hs.233325	HFE	Hemochromatosis	1.507
Hs.368254	HGD	Homogentisate 1,2-dioxygenase (homogentisate oxidase)	1.0682
Hs.72956	HIC1	Hypermethylated in cancer 1	1.2498
Hs.50308	HIP2	Huntingtin interacting protein 2	1.0028
Hs.474206	HIRA	HIR histone cell cycle regulation defective homolog A (S. cerevisiae)	1.5057
Hs.130853	HIST1H2BD	Histone 1, H2bd	1.1038
Hs.505924	HMGA2	High mobility group AT-hook 2	1.0256
Hs.434953	HMGB2	High-mobility group box 2	1.0463
Hs.397729	HMGCS1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	1.2
Hs.59889	HMGCS2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	1.0624
Hs.356285	HMGN1	High-mobility group nucleosome binding domain 1	1.076
Hs.487774	HNRPA2B1	Heterogeneous nuclear ribonucleoprotein A2/B1	1.0367
Hs.527105	HNRPDL	Heterogeneous nuclear ribonucleoprotein D-like	1.1302
Hs.63290	HPCL2	2-hydroxyphytanoyl-CoA lyase	1.0428
Hs.412707	HPRT1	Hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)	1.2102
Hs.36761	HRASLS	HRAS-like suppressor	1.2673
Hs.462270	HS3ST3A1	Heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1	1.4054
Hs.270851	HSHIN1	HIV-1 induced protein HIN-1	1.1565
Hs.274402	HSPA1B	Heat shock 70kDa protein 1B	1.1912
Hs.274402	HSPA1B	Heat shock 70kDa protein 1B	1.2896
Hs.135554	HSPA4L	Heat shock 70kDa protein 4-like	1.6516
Hs.90753	HTATIP2	CC3=metastasis suppresor gene for small cell lung carcinoma=HIV-1 Tat interactive protein 2, 30 kDa	1.1495
Hs.421649	HTR2B	5-hydroxytryptamine (serotonin) receptor 2B	1.5259
Hs.14453	ICSBP1	ICSBP=Interferon concensus sequence binding protein	1.2838
Hs.504609	ID1	Inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	1.0758
Hs.500546	IDE	Insulin-degrading enzyme	1.2791
Hs.312485	IF	I factor (complement)	1.6786
Hs.20315	IFIT1	Interferon-induced 56-KDa protein	1.4038
Hs.401316	IGFBP1	insulin-like growth factor binding protein 1	1.2184
Hs.43505	IKBKG	Inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma	1.4202
Hs.336046	IL13RA2	IL-13 receptor alpha2	1.2655
Hs.75596	IL2RB	IL-2 receptor beta chain	1.5224
Hs.532082	IL6ST	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	1.0732
Hs.79440	IMP-3	KOC=putative RNA binding protein=IGF-II mRNA-binding protein 3	1.5803
Hs.840	INDO	Indoleamine-pyrrole 2,3 dioxygenase	1.1524
Hs.418506	INSL4	Insulin-like 4 (placenta)	1.6302
Hs.513867	ITGAE	Integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)	1.3395
Hs.166539	ITGB3BP	Integrin beta 3 binding protein (beta3-endonexin)	1.4054
Hs.355722	ITGB8	Integrin beta 8	1.0663
Hs.497183	IVNS1ABP	Influenza virus NS1A binding protein	1.1329
Hs.409202	JAG1	Jagged 1 (HJ1)=Notch1 ligand	1.078
Hs.525704	JUN	V-jun sarcoma virus 17 oncogene homolog (avian)	1.5822
Hs.150208	KCNA5	Potassium voltage-gated channel, shaker-related subfamily, member 5	1.3549
Hs.199776	KCNJ3	Potassium inwardly-rectifying channel, subfamily J, member 3	1.0586
Hs.274531	KIAA0052	Superkiller viralicidic activity 2-like 2 (S. cerevisiae)	1.2449
Hs.8878	KIF11	Kinesin family member 11	1.0133
Hs.151219	KIF5A	Kinesin family member 5A	1.9432
Hs.435557	KIF5C	Kinesin family member 5C	1.0287
Hs.397918	KIN	KIN, antigenic determinant of recA protein homolog (mouse)	1.6382
Hs.107740	KLF2	Kruppel-like factor 2 (lung)	1.0984
Hs.388668	KLHL2	Kelch-like 2, Mayven (Drosophila)	1.3998
Hs.409081	KMO	Kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)	1.2159
Hs.84905	KRT20	Keratin 20	1.2398
Hs.409523	LAG3	Lymphocyte-activation gene 3	1.1958
Hs.530509	LAMC2	Laminin, gamma 2	1.101
Hs.496684	LAMP2	Lysosomal-associated membrane protein 2	1.18
Hs.518448	LAMP3	Lysosomal-associated membrane protein 3	1.6882
Hs.479264	LAP3	Leucine aminopeptidase 3	1.081
Hs.23581	LEPR	Leptin receptor	1.5657
Hs.159142	LFNG	Lunatic fringe homolog (Drosophila)	1.1093
Hs.89497	LMNB1	Lamin B1	1.0751
Hs.348844	LOC286440	Hypothetical protein LOC286440	1.0887
Hs.525657	LOC387882	LOC387882 hypothetical protein	1.1559
Hs.503463	LOC400986	Protein immuno-reactive with anti-PTH polyclonal antibodies	1.7586
Hs.280990	LOC91614	Novel 58.3 KDA protein	1.587
Hs.24212	LPHN2	Latrophilin 2	1.2863
Hs.424908	LSM5	LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae)	1.6392
Hs.446179	LSM8	LSM8 homolog, U6 small nuclear RNA associated (S. cerevisiae)	1.1521
Hs.49787	LTBP1	Latent transforming growth factor beta binding protein 1	1.2035
Hs.406475	LUM	Lumican	1.4746
Hs.87205	LY64	RP105=Toll-like receptor that cooperates with TLR4 during LPS signaling in B cells=crosslinking leads to B cell growth and proliferation	1.9498
Hs.549229	LYK5	Protein kinase LYK5	1.6639
Hs.139896	MAEA	Macrophage erythroblast attacher	1.136
Hs.134859	MAF	V-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	1.4491
Hs.169487	MAFB	V-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	1.5011
Hs.534597	MAGEA2	Melanoma antigen family A, 2	1.4162
Hs.432822	MAN2A1	Mannosidase, alpha, class 2A, member 1	1.3527
Hs.433332	MAP2K1IP1	Mitogen-activated protein kinase kinase 1 interacting protein 1	1.3406
