Probe Set Id	Gene Title	Gene Symbol	Cluster
213423_x_at	tumor suppressor candidate 3	TUSC3	A
205717_x_at	protocadherin gamma subfamily C, 3	PCDHGC3	A
212246_at	multiple coagulation factor deficiency 2	MCFD2	A
209351_at	keratin 14 (epidermolysis bullosa simplex, Dowling-Meara, Koebner)	KRT14	A
212091_s_at	collagen, type VI, alpha 1	COL6A1	A
211066_x_at	protocadherin gamma subfamily C, 3	PCDHGC3	A
52164_at	chromosome 11 open reading frame 24	C11orf24	A
209537_at	exostoses (multiple)-like 2	EXTL2	A
212160_at	exportin, tRNA (nuclear export receptor for tRNAs)	XPOT	A
204203_at	CCAAT/enhancer binding protein (C/EBP), gamma	CEBPG	A
205047_s_at	asparagine synthetase	ASNS	A
202910_s_at	CD97 molecule	CD97	A
212854_x_at	neuroblastoma breakpoint family, member 10	NBPF10	A
201307_at	septin 11	40797	A
200756_x_at	calumenin	CALU	A
213428_s_at	collagen, type VI, alpha 1	COL6A1	A
210312_s_at	intraflagellar transport 20 homolog (Chlamydomonas)	IFT20	A
219270_at	ChaC, cation transport regulator-like 1 (E. coli)	CHAC1	A
209593_s_at	torsin family 1, member B (torsin B)	TOR1B	A
214845_s_at	calumenin	CALU	A
202898_at	syndecan 3 (N-syndecan)	SDC3	A
212083_at	testis expressed sequence 261	TEX261	A
201609_x_at	isoprenylcysteine carboxyl methyltransferase	ICMT	A
205132_at	actin, alpha, cardiac muscle 1	ACTC1	A
204037_at	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	EDG2	A
209230_s_at	nuclear protein 1	NUPR1	A
214035_x_at	LOC399491 protein	LOC399491	A
202762_at	Rho-associated, coiled-coil containing protein kinase 2	ROCK2	A
209288_s_at	CDC42 effector protein (Rho GTPase binding) 3	CDC42EP3	A
204339_s_at	regulator of G-protein signalling 4	RGS4	A
205422_s_at	integrin, beta-like 1 (with EGF-like repeat domains)	ITGBL1	A
214870_x_at	nuclear pore complex interacting protein	NPIP	A
204038_s_at	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	EDG2	A
203666_at	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	CXCL12	A
204422_s_at	fibroblast growth factor 2 (basic)	FGF2	A
204042_at	WAS protein family, member 3	WASF3	A
221796_at	neurotrophic tyrosine kinase, receptor, type 2	NTRK2	A
209268_at	vacuolar protein sorting 45A (yeast)	VPS45A	A
200897_s_at	palladin, cytoskeletal associated protein	PALLD	A
202273_at	platelet-derived growth factor receptor, beta polypeptide	PDGFRB	A
206432_at	hyaluronan synthase 2	HAS2	A
202575_at	cellular retinoic acid binding protein 2	CRABP2	A
204345_at	collagen, type XVI, alpha 1	COL16A1	A
200757_s_at	calumenin	CALU	A
200785_s_at	low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	LRP1	A
201069_at	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	MMP2	A
209156_s_at	collagen, type VI, alpha 2	COL6A2	A
201389_at	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	ITGA5	A
204693_at	CDC42 effector protein (Rho GTPase binding) 1	CDC42EP1	A
204460_s_at	RAD1 homolog (S. pombe)	RAD1	A
213689_x_at	Ribosomal protein L5	RPL5	A
209462_at	amyloid beta (A4) precursor-like protein 1	APLP1	A
57715_at	family with sequence similarity 26, member B	FAM26B	A
219506_at	chromosome 1 open reading frame 54	C1orf54	A
202847_at	phosphoenolpyruvate carboxykinase 2 (mitochondrial)	PCK2	A
219279_at	dedicator of cytokinesis 10	DOCK10	A
221565_s_at	family with sequence similarity 26, member B	FAM26B	A
210367_s_at	prostaglandin E synthase	PTGES	A
208809_s_at	chromosome 6 open reading frame 62	C6orf62	A
211675_s_at	MyoD family inhibitor domain containing	MDFIC	A
201174_s_at	telomeric repeat binding factor 2, interacting protein	TERF2IP	A
215836_s_at	protocadherin gamma subfamily C, 3	PCDHGC3	A
202756_s_at	glypican 1	GPC1	A
221024_s_at	solute carrier family 2 (facilitated glucose transporter), member 10	SLC2A10	A
203068_at	kelch-like 21 (Drosophila)	KLHL21	A
207855_s_at	chloride channel CLIC-like 1	CLCC1	A
201022_s_at	destrin (actin depolymerizing factor)	DSTN	A
213943_at	twist homolog 1 (acrocephalosyndactyly 3; Saethre-Chotzen syndrome) (Drosophila)	TWIST1	A
214761_at	zinc finger protein 423	ZNF423	A
202934_at	hexokinase 2	HK2	A
202458_at	protease, serine, 23	PRSS23	A
200628_s_at	tryptophanyl-tRNA synthetase	WARS	A
201668_x_at	myristoylated alanine-rich protein kinase C substrate	MARCKS	A
32209_at	family with sequence similarity 89, member B	FAM89B	A
219602_s_at	family with sequence similarity 38, member B	FAM38B	A
209209_s_at	pleckstrin homology domain containing, family C (with FERM domain) member 1	PLEKHC1	A
207714_s_at	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)	SERPINH1	A
201616_s_at	caldesmon 1	CALD1	A
203151_at	microtubule-associated protein 1A	MAP1A	A
202995_s_at	fibulin 1	FBLN1	A
37408_at	mannose receptor, C type 2	MRC2	A
202021_x_at	eukaryotic translation initiation factor 1	EIF1	A
207191_s_at	immunoglobulin superfamily containing leucine-rich repeat	ISLR	A
201147_s_at	TIMP metallopeptidase inhibitor 3	TIMP3	A
212667_at	secreted protein, acidic, cysteine-rich (osteonectin)	SPARC	A
202587_s_at	adenylate kinase 1	AK1	A
212942_s_at	KIAA1199	KIAA1199	A
202409_at	insulin-like growth factor 2 (somatomedin A)	IGF2	A
201761_at	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	MTHFD2	A
206157_at	pentraxin-related gene, rapidly induced by IL-1 beta	PTX3	A
203675_at	nucleobindin 2	NUCB2	A
204090_at	serine/threonine kinase 19	STK19	A
219025_at	CD248 molecule, endosialin	CD248	A
212230_at	phosphatidic acid phosphatase type 2B	PPAP2B	A
201666_at	TIMP metallopeptidase inhibitor 1	TIMP1	A
212226_s_at	phosphatidic acid phosphatase type 2B	PPAP2B	A
209355_s_at	phosphatidic acid phosphatase type 2B	PPAP2B	A
201185_at	HtrA serine peptidase 1	HTRA1	A
203813_s_at	slit homolog 3 (Drosophila)	SLIT3	A
218127_at	nuclear transcription factor Y, beta	NFYB	A
212423_at	chromosome 10 open reading frame 56	C10orf56	A
214293_at	Septin 11	40797	A
208454_s_at	plasma glutamate carboxypeptidase	PGCP	A
205425_at	huntingtin interacting protein 1	HIP1	A
212419_at	chromosome 10 open reading frame 56	C10orf56	A
212130_x_at	eukaryotic translation initiation factor 1	EIF1	A
200677_at	pituitary tumor-transforming 1 interacting protein	PTTG1IP	A
212646_at	raft-linking protein	RAFTLIN	A
205991_s_at	paired related homeobox 1	PRRX1	A
209340_at	UDP-N-acteylglucosamine pyrophosphorylase 1	UAP1	A
216044_x_at	family with sequence similarity 69, member A	FAM69A	A
203851_at	insulin-like growth factor binding protein 6	IGFBP6	A
221730_at	collagen, type V, alpha 2	COL5A2	A
203411_s_at	lamin A/C	LMNA	A
212489_at	collagen, type V, alpha 1	COL5A1	A
221900_at	collagen, type VIII, alpha 2	COL8A2	A
217430_x_at	collagen, type I, alpha 1	COL1A1	A
201261_x_at	biglycan	BGN	A
41856_at	Full-length cDNA clone CL0BB018ZE07 of Neuroblastoma of Homo sapiens (human)	---	A
219790_s_at	natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C)	NPR3	A
200974_at	actin, alpha 2, smooth muscle, aorta	ACTA2	A
213422_s_at	matrix-remodelling associated 8	MXRA8	A
204682_at	latent transforming growth factor beta binding protein 2	LTBP2	A
214927_at	Integrin, beta-like 1 (with EGF-like repeat domains)	ITGBL1	A
202994_s_at	fibulin 1	FBLN1	A
201148_s_at	TIMP metallopeptidase inhibitor 3	TIMP3	A
212530_at	NIMA (never in mitosis gene a)-related kinase 7	NEK7	A
212197_x_at	myosin phosphatase-Rho interacting protein	M-RIP	A
207172_s_at	cadherin 11, type 2, OB-cadherin (osteoblast)	CDH11	A
202465_at	procollagen C-endopeptidase enhancer	PCOLCE	A
215076_s_at	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	COL3A1	A
212572_at	serine/threonine kinase 38 like	STK38L	A
212565_at	serine/threonine kinase 38 like	STK38L	A
218401_s_at	zinc finger protein 281	ZNF281	A
209834_at	carbohydrate (chondroitin 6) sulfotransferase 3	CHST3	A
201325_s_at	epithelial membrane protein 1	EMP1	A
213905_x_at	biglycan	BGN	A
201149_s_at	TIMP metallopeptidase inhibitor 3	TIMP3	A
215198_s_at	caldesmon 1	CALD1	A
202202_s_at	laminin, alpha 4	LAMA4	A
201787_at	fibulin 1	FBLN1	A
205713_s_at	cartilage oligomeric matrix protein	COMP	A
209955_s_at	fibroblast activation protein, alpha	FAP	A
221729_at	collagen, type V, alpha 2	COL5A2	A
202403_s_at	collagen, type I, alpha 2	COL1A2	A
212086_x_at	lamin A/C	LMNA	A
202450_s_at	cathepsin K (pycnodysostosis)	CTSK	A
200707_at	protein kinase C substrate 80K-H	PRKCSH	A
213911_s_at	H2A histone family, member Z	H2AFZ	A
213725_x_at	hypothetical protein LOC283824	LOC283824	A
202404_s_at	collagen, type I, alpha 2	COL1A2	A
218585_s_at	denticleless homolog (Drosophila)	DTL	A
209356_x_at	EGF-containing fibulin-like extracellular matrix protein 2	EFEMP2	A
212599_at	autism susceptibility candidate 2	AUTS2	A
206580_s_at	EGF-containing fibulin-like extracellular matrix protein 2	EFEMP2	A
202413_s_at	ubiquitin specific peptidase 1	USP1	A
214771_x_at	myosin phosphatase-Rho interacting protein	M-RIP	A
220976_s_at	keratin associated protein 1-1	KRTAP1-1	A
31637_s_at	thyroid hormone receptor, alpha	THRA	A
208916_at	solute carrier family 1 (neutral amino acid transporter), member 5	SLC1A5	A
208370_s_at	Down syndrome critical region gene 1	DSCR1	A
212077_at	caldesmon 1	CALD1	A
204719_at	ATP-binding cassette, sub-family A (ABC1), member 8	ABCA8	A
209647_s_at	suppressor of cytokine signaling 5	SOCS5	A
213765_at	microfibrillar associated protein 5	MFAP5	A
209758_s_at	microfibrillar associated protein 5	MFAP5	A
205817_at	sine oculis homeobox homolog 1 (Drosophila)	SIX1	A
208984_x_at	RNA binding motif protein 10	RBM10	A
207692_s_at	aggrecan 1	AGC1	A
209946_at	vascular endothelial growth factor C	VEGFC	A
221752_at	Slingshot homolog 1 (Drosophila)	SSH1	A
214730_s_at	golgi apparatus protein 1	GLG1	A
201244_s_at	v-raf-1 murine leukemia viral oncogene homolog 1	RAF1	A
214212_x_at	pleckstrin homology domain containing, family C (with FERM domain) member 1	PLEKHC1	A
204146_at	RAD51 associated protein 1	RAD51AP1	A
212762_s_at	transcription factor 7-like 2 (T-cell specific, HMG-box)	TCF7L2	A
211963_s_at	actin related protein 2/3 complex, subunit 5, 16kDa	ARPC5	A
218854_at	squamous cell carcinoma antigen recognized by T cells 2	SART2	A
209079_x_at	protocadherin gamma subfamily C, 3	PCDHGC3	A
32094_at	carbohydrate (chondroitin 6) sulfotransferase 3	CHST3	A
209039_x_at	EH-domain containing 1	EHD1	A
201938_at	CDK2-associated protein 1	CDK2AP1	A
204461_x_at	RAD1 homolog (S. pombe)	RAD1	A
52837_at	KIAA1644 protein	KIAA1644	A
202402_s_at	cysteinyl-tRNA synthetase	CARS	A
201397_at	phosphoglycerate dehydrogenase	PHGDH	A
200999_s_at	cytoskeleton-associated protein 4	CKAP4	A
201145_at	HCLS1 associated protein X-1	HAX1	A
208693_s_at	glycyl-tRNA synthetase	GARS	A
208093_s_at	nudE nuclear distribution gene E homolog like 1	NDEL1	A
211562_s_at	leiomodin 1 (smooth muscle)	LMOD1	A
203238_s_at	Notch homolog 3 (Drosophila)	NOTCH3	A
52255_s_at	collagen, type V, alpha 3	COL5A3	A
213222_at	phospholipase C, beta 1 (phosphoinositide-specific)	PLCB1	A
205782_at	fibroblast growth factor 7 (keratinocyte growth factor)	FGF7	A
201150_s_at	TIMP metallopeptidase inhibitor 3	TIMP3	A
202328_s_at	polycystic kidney disease 1 (autosomal dominant)	PKD1	A
200827_at	procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1	PLOD1	A
202185_at	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3	PLOD3	A
209575_at	interleukin 10 receptor, beta	IL10RB	A
212349_at	protein O-fucosyltransferase 1	POFUT1	A
218070_s_at	GDP-mannose pyrophosphorylase A	GMPPA	A
201234_at	integrin-linked kinase	ILK	A
208684_at	coatomer protein complex, subunit alpha	COPA	A
211681_s_at	PDZ and LIM domain 5 /// PDZ and LIM domain 5	PDLIM5	A
214505_s_at	four and a half LIM domains 1	FHL1	A
201539_s_at	four and a half LIM domains 1	FHL1	A
216804_s_at	PDZ and LIM domain 5	PDLIM5	A
212802_s_at	GTPase activating protein and VPS9 domains 1	GAPVD1	A
214129_at	phosphodiesterase 4D interacting protein (myomegalin)	PDE4DIP	A
204049_s_at	phosphatase and actin regulator 2	PHACTR2	A
203083_at	thrombospondin 2	THBS2	A
201508_at	insulin-like growth factor binding protein 4	IGFBP4	A
212190_at	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	SERPINE2	A
201842_s_at	EGF-containing fibulin-like extracellular matrix protein 1	EFEMP1	A
208747_s_at	complement component 1, s subcomponent	C1S	A
202704_at	transducer of ERBB2, 1	TOB1	A
211709_s_at	C-type lectin domain family 11, member A	CLEC11A	A
209682_at	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	CBLB	A
209043_at	3-phosphoadenosine 5-phosphosulfate synthase 1	PAPSS1	A
217161_x_at	aggrecan 1	AGC1	A
221503_s_at	karyopherin alpha 3 (importin alpha 4)	KPNA3	A
201324_at	epithelial membrane protein 1	EMP1	A
210298_x_at	four and a half LIM domains 1	FHL1	A
216241_s_at	transcription elongation factor A (SII), 1	TCEA1	A
202795_x_at	TRIO and F-actin binding protein	TRIOBP	A
203501_at	plasma glutamate carboxypeptidase	PGCP	A
201960_s_at	MYC binding protein 2	MYCBP2	A
201368_at	zinc finger protein 36, C3H type-like 2	ZFP36L2	A
218858_at	DEP domain containing 6	DEPDC6	A
209894_at	leptin receptor	LEPR	A
211356_x_at	leptin receptor	LEPR	A
203242_s_at	PDZ and LIM domain 5	PDLIM5	A
204451_at	frizzled homolog 1 (Drosophila)	FZD1	A
207480_s_at	Meis1, myeloid ecotropic viral integration site 1 homolog 2 (mouse)	MEIS2	A
201724_s_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)	GALNT1	A
201722_s_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)	GALNT1	A
201153_s_at	muscleblind-like (Drosophila)	MBNL1	A
200740_s_at	SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae)	SUMO3	A
201125_s_at	integrin, beta 5	ITGB5	A
201959_s_at	MYC binding protein 2	MYCBP2	A
201438_at	collagen, type VI, alpha 3	COL6A3	A
210829_s_at	single-stranded DNA binding protein 2	SSBP2	A
219492_at	cysteine-rich hydrophobic domain 2	CHIC2	A
212288_at	formin binding protein 1	FNBP1	A
201361_at	transmembrane protein 109	TMEM109	A
219315_s_at	chromosome 16 open reading frame 30	C16orf30	A
210616_s_at	SEC31-like 1 (S. cerevisiae)	SEC31L1	A
218648_at	CREB regulated transcription coactivator 3	CRTC3	A
203812_at	CDNA clone IMAGE:5922621	---	A
201841_s_at	heat shock 27kDa protein 1	HSPB1	A
202008_s_at	nidogen 1	NID1	A
202223_at	STT3, subunit of the oligosaccharyltransferase complex, homolog A (S. cerevisiae)	STT3A	A
