AffyID	Gene Name	Gene Symbol	Fold change‡	S.D†	GO Biological Process§
235852_at	Stonin 2	STN2	2.64	0.48	intracellular protein transport / regulation of endocytosis
231963_at	Homo sapiens, clone IMAGE:3869276, mRNA	unknown	2.64	0.66	unknown
213094_at	G protein-coupled receptor 126	GPR126	2.62	0.24	signal transduction / neuropeptide signaling pathway
221765_at	UDP-glucose ceramide glucosyltransferase	UGCG	2.62	0.45	carbohydrate metabolism / protein amino acid N-linked glycosylation
212207_at	thyroid hormone receptor associated protein 2	THRAP2	2.62	0.14	unknown
239265_at	transmembrane protein 20	TMEM20	2.59	0.42	unknown
223465_at	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein	COL4A3BP	2.56	0.16	protein amino acid phosphorylation / immune response
47069_at	proline rich protein 5	PRR5	2.56	0.43	unknown
209270_at	laminin, beta 3	LAMB3	2.56	0.5	cell adhesion / epidermis development
204863_s_at	interleukin 6 signal transducer (gp130, oncostatin M receptor)	IL6ST	2.55	0.57	immune response / cell surface receptor linked signal transduction
205627_at	cytidine deaminase	CDA	2.55	0.09	nucleobase, nucleoside, nucleotide and nucleic acid metabolism / cytidine metabolism
205047_s_at	asparagine synthetase	ASNS	2.54	0.31	asparagine biosynthesis / glutamine metabolism / metabolism / amino acid biosynthesis
222666_s_at	RNA terminal phosphate cyclase-like 1	RCL1	2.53	0.31	unknown
226402_at	cytochrome P450, family 2, subfamily U, polypeptide 1	CYP2U1	2.52	0.15	electron transport
238609_at	hypothetical protein DKFZp727G131	DKFZp727G131	2.51	0.32	unknown
235736_at	Homo sapiens, clone IMAGE:5167600, mRNA	unknown	2.49	0.53	unknown
218893_at	isochorismatase domain containing 2	ISOC2	2.49	0.41	metabolism
231841_s_at	KIAA1462	KIAA1462	2.48	0.57	unknown
207172_s_at	cadherin 11, type 2, OB-cadherin (osteoblast)	CDH11	2.47	0.5	ossification / homophilic cell adhesion / homophilic cell adhesion
207173_x_at	cadherin 11, type 2, OB-cadherin (osteoblast)	CDH11	2.47	0.5	ossification / homophilic cell adhesion / homophilic cell adhesion
219582_at	opioid growth factor receptor-like 1	OGFRL1	2.45	0.23	unknown
238469_at	opioid growth factor receptor-like 1	OGFRL1	2.45	0.23	unknown
228045_at	MRNA; cDNA DKFZp451K063 (from clone DKFZp451K063)	unknown	2.45	0.4	unknown
43427_at	acetyl-Coenzyme A carboxylase beta	ACACB	2.4	0.12	fatty acid biosynthesis / metabolism
218564_at	ring finger and WD repeat domain 3	RFWD3	2.39	0.61	protein ubiquitination
212318_at	transportin 3	TNPO3	2.38	0.17	protein transport
214550_s_at	transportin 3	TNPO3	2.38	0.17	protein transport
225173_at	Rho GTPase activating protein 18	ARHGAP18	2.38	0.4	unknown
1562527_at	hypothetical protein LOC283027	LOC283027	2.37	0.27	unknown
1556220_at	unknown	unknown	2.35	0.38	unknown
212570_at	KIAA0830 protein	KIAA0830	2.34	0.15	unknown
225942_at	neurolysin (metallopeptidase M3 family)	NLN	2.31	0.16	proteolysis and peptidolysis
204646_at	dihydropyrimidine dehydrogenase	DPYD	2.31	0.28	electron transport / de novo pyrimidine base biosynthesis / uracil catabolism / thymidine catabolism
238066_at	retinol binding protein 7, cellular	RBP7	2.29	0.23	transport
1554132_a_at	KIAA1128	KIAA1128	2.27	0.21	unknown
234726_s_at	hypothetical protein FLJ13576	FLJ13576	2.25	0.24	unknown
227371_at	BAI1-associated protein 2-like 1	BAIAP2L1	2.23	0.18	unknown
226434_at	hypothetical protein MGC22793	MGC22793	2.22	0.15	unknown
212814_at	KIAA0828 protein	KIAA0828	2.21	0.17	one-carbon compound metabolism
203215_s_at	myosin VI	MYO6	2.2	0.25	striated muscle contraction / perception of sound / actin filament-based movement
225680_at	hypothetical protein DKFZp434K1815	DKFZp434K1815	2.19	0.15	unknown
215143_at	Hypothetical protein FLJ36166	FLJ36166	2.18	0.1	unknown
222562_s_at	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2	TNKS2	2.18	0.22	telomere maintenance / protein amino acid ADP-ribosylation
1552309_a_at	nexilin (F actin binding protein)	NEXN	2.15	0.07	unknown
229310_at	kelch repeat and BTB (POZ) domain containing 9	KBTBD9	2.15	0.13	unknown
1553743_at	similar to hepatocellular carcinoma-associated antigen HCA557b	LOC151194	2.13	0.09	unknown
205149_s_at	chloride channel 4	CLCN4	2.13	0.05	ion transport / chloride transport
205081_at	cysteine-rich protein 1 (intestinal)	CRIP1	0.05	0	cell proliferation / antimicrobial humoral response (sensu Vertebrata)
204205_at	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G	APOBEC3G	0.07	0.03	RNA metabolism / innate immune response / negative regulation of retroviral genome replication
203824_at	tetraspanin 8	TSPAN8	0.08	0.04	protein amino acid glycosylation
205513_at	transcobalamin I (vitamin B12 binding protein, R binder family)	TCN1	0.08	0.1	ion transport / cobalt ion transport / cobalamin transport
240347_at	Hypothetical protein LOC256021	LOC256021	0.11	0.02	unknown
1560684_x_at	MRNA; cDNA DKFZp686P1536 (from clone DKFZp686P1536)	unknown	0.15	0.02	unknown
204475_at	matrix metalloproteinase 1 (interstitial collagenase)	MMP1	0.15	0.07	peptidoglycan metabolism / collagen catabolism
200665_s_at	secreted protein, acidic, cysteine-rich (osteonectin)	SPARC	0.17	0.11	ossification / transmembrane receptor protein tyrosine kinase signaling pathway
212667_at	secreted protein, acidic, cysteine-rich (osteonectin)	SPARC	0.17	0.11	ossification / transmembrane receptor protein tyrosine kinase signaling pathway
233280_at	Nebulette / CDNA FLJ36959 fis, clone BRACE2005898	NEBL	0.19	0.15	regulation of actin filament length
223423_at	G protein-coupled receptor 160	GPR160	0.2	0.2	signal transduction / G-protein coupled receptor protein signaling pathway
203934_at	kinase insert domain receptor (a type III receptor tyrosine kinase)	KDR	0.2	0.08	angiogenesis / protein amino acid phosphorylation / transmembrane receptor protein tyrosine kinase signaling pathway / cell differentiation
1565716_at	unknown	unknown	0.2	0.08	unknown
205959_at	matrix metalloproteinase 13 (collagenase 3)	MMP13	0.21	0.12	peptidoglycan metabolism / proteolysis and peptidolysis / collagen catabolism
205158_at	ribonuclease, RNase A family, 4	RNASE4	0.21	0.08	mRNA cleavage
213397_x_at	ribonuclease, RNase A family, 4	RNASE4	0.21	0.08	mRNA cleavage
1558937_s_at	Hypothetical LOC389295	LOC153561	0.21	0.09	carbohydrate metabolism
225912_at	tumor protein p53 inducible nuclear protein 1	TP53INP1	0.22	0.09	apoptosis
231798_at	noggin	NOG	0.22	0.16	neurogenesis / perception of sound / cell differentiation / negative regulation of cell differentiation / cartilage development
242416_at	Ribosomal protein L10a	RPL10A	0.22	0.05	protein biosynthesis
237492_at	unknown	unknown	0.22	0.13	unknown
205680_at	matrix metalloproteinase 10 (stromelysin 2)	MMP10	0.23	0.03	collagen catabolism
229053_at	B/K protein	LOC51760	0.23	0.05	transport
203425_s_at	insulin-like growth factor binding protein 5	IGFBP5	0.23	0.19	regulation of cell growth / signal transduction
211959_at	insulin-like growth factor binding protein 5	IGFBP5	0.23	0.19	regulation of cell growth / signal transduction
214995_s_at	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G / 3F	APOBEC3G	0.23	0.02	RNA metabolism / innate immune response / negative regulation of retroviral genome replication
214995_s_at	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G / 3F	APOBEC3F	0.23	0.02	RNA metabolism / innate immune response / negative regulation of retroviral genome replication
202310_s_at 1556499_s_at	collagen, type I, alpha 1	COL1A1	0.24	0.13	skeletal development / phosphate transport / perception of sound / epidermis development
207149_at	cadherin 12, type 2 (N-cadherin 2)	CDH12	0.24	0.05	homophilic cell adhesion / homophilic cell adhesion
235213_at	CDNA clone IMAGE:6201773	unknown	0.24	0.1	unknown
209942_x_at	melanoma antigen family A, 3	MAGEA3	0.25	0.01	unknown
210102_at	loss of heterozygosity, 11, chromosomal region 2, gene A	LOH11CR2A	0.26	0.17	cell cycle / negative regulation of cell cycle
203304_at	putative transmembrane protein	BAMBI	0.27	0.13	unknown
211564_s_at	PDZ and LIM domain 4	PDLIM4	0.27	0.02	unknown
1552867_at	zinc finger protein 198	ZNF198	0.27	0.13	unknown
217028_at	chemokine (C-X-C motif) receptor 4	CXCR4	0.27	0.13	signal transduction / G-protein coupled receptor protein signaling pathway
222167_at	Poliovirus receptor-related 3	PVRL3	0.27	0.09	unknown
239229_at	Transcribed locus	unknown	0.27	0.06	unknown
1557239_at	bobby sox homolog (Drosophila)	BBX	0.28	0.13	regulation of transcription, DNA-dependent
1557240_a_at	bobby sox homolog (Drosophila)	BBX	0.28	0.13	regulation of transcription, DNA-dependent
240052_at	inositol 1,4,5-triphosphate receptor, type 1	ITPR1	0.28	0.14	cation transport / calcium ion transport / signal transduction
231329_at	inositol 1,4,5-triphosphate receptor, type 1	ITPR1	0.28	0.14	cation transport / calcium ion transport / signal transduction
241031_at	Nuclear localized factor 1	NLF1	0.28	0.13	unknown
1556423_at	KIAA1036	KIAA1036	0.28	0.07	cell cycle / cell cycle arrest
236256_at	unknown	unknown	0.29	0.13	unknown
1558048_x_at	unknown	unknown	0.29	0.1	unknown
209087_x_at	melanoma cell adhesion molecule	MCAM	0.29	0.09	cell adhesion / morphogenesis
210869_s_at	melanoma cell adhesion molecule	MCAM	0.29	0.09	cell adhesion / morphogenesis
211340_s_at	melanoma cell adhesion molecule	MCAM	0.29	0.09	cell adhesion / morphogenesis
215314_at	ankyrin 3, node of Ranvier (ankyrin G)	ANK3	0.29	0.11	protein targeting / cytoskeletal anchoring / signal transduction
237839_at	ankyrin 3, node of Ranvier (ankyrin G)	ANK3	0.29	0.11	protein targeting / cytoskeletal anchoring / signal transduction
218952_at	proprotein convertase subtilisin/kexin type 1 inhibitor	PCSK1N	0.29	0.07	extracellular space / endopeptidase inhibitor activity / receptor binding
242055_at	Hypothetical LOC389362	unknown	0.29	0.18	unknown
1566903_at	Low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	LRP8	0.29	0.08	proteolysis and peptidolysis / lipid metabolism / lipid metabolism / endocytosis / endocytosis / signal transduction / cytokine and chemokine mediated signaling pathway
219140_s_at	retinol binding protein 4, plasma	RBP4	0.29	0.03	transport / sensory perception / visual perception
215033_at	transmembrane 4 superfamily member 1	TM4SF1	0.3	0.13	unknown
238168_at	transmembrane 4 superfamily member 1	TM4SF1	0.3	0.13	unknown
238178_at	unknown	unknown	0.3	0.03	unknown
239893_at	Multiple C2-domains with two transmembrane regions 2	MCTP2	0.3	0.14	unknown
232282_at	protein kinase, lysine deficient 3	WNK3	0.3	0.01	protein amino acid phosphorylation / protein amino acid phosphorylation / protein kinase cascade
221009_s_at	angiopoietin-like 4	ANGPTL4	0.3	0.07	angiogenesis / response to hypoxia / cellular response to starvation / cell differentiation / negative regulation of apoptosis / positive regulation of angiogenesis / positive regulation of lipid metabolism / negative regulation of lipoprote
223333_s_at	angiopoietin-like 4	ANGPTL4	0.3	0.07	angiogenesis / response to hypoxia / cellular response to starvation / cell differentiation / negative regulation of apoptosis / positive regulation of angiogenesis / positive regulation of lipid metabolism / negative regulation of lipoprote
208212_s_at	anaplastic lymphoma kinase (Ki-1)	ALK	0.3	0.06	protein amino acid phosphorylation / N-linked glycosylation / transmembrane receptor protein tyrosine kinase signaling pathway / neurogenesis / brain development
241509_at	Pleckstrin homology domain containing, family A member 5	PLEKHA5	0.3	0.08	unknown
1560662_s_at	hypothetical protein LOC440253	LOC440253	0.3	0.09	unknown
242733_at	Hydroxyprostaglandin dehydrogenase 15-(NAD)	HPGD	0.31	0.03	lipid metabolism / fatty acid metabolism / prostaglandin metabolism / metabolism
229201_at	Full-length cDNA clone CS0DF014YC15 of Fetal brain of Homo sapiens	unknown	0.31	0.03	unknown
232406_at	Jagged 1 (Alagille syndrome)	JAG1	0.31	0.07	angiogenesis / cell fate determination / cell communication / Notch signalling pathway / development / neurogenesis / hemopoiesis / keratinocyte differentiation / regulation of cell migration / regulation of cell proliferation / myoblast
222288_at	Similar to CG9996-PA	unknown	0.31	0.13	unknown
207837_at	RNA binding protein with multiple splicing	RBPMS	0.31	0.14	RNA processing
241897_at	RNA binding protein with multiple splicing	RBPMS	0.31	0.14	RNA processing
205500_at	complement component 5	C5	0.31	0.09	activation of MAPK activity / chemotaxis / response to stress / inflammatory response / complement activation, alternative pathway / complement activation, classical pathway / G-protein coupled receptor protein signaling pathway
1561166_a_at	Forkhead box P1	FOXP1	0.31	0.14	transcription / regulation of transcription, DNA-dependent
1562817_at	Protein phosphatase 2, regulatory subunit B (B56), epsilon isoform	PPP2R5E	0.31	0.03	signal transduction
242699_at	unknown	unknown	0.31	0.19	unknown
209160_at	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)	AKR1C3	0.31	0.21	lipid metabolism / prostaglandin metabolism / cell proliferation
200632_s_at	hypothetical protein FLJ20378 [Homo sapiens]	NDRG1	0.31	0.1	response to metal ion / cell differentiation
240991_at	hypothetical protein FLJ20378 [Homo sapiens]	NDRG1	0.31	0.1	response to metal ion / cell differentiation
229987_at	Ubiquitin specific protease 12	USP12	0.31	0.07	ubiquitin-dependent protein catabolism / ubiquitin cycle
214079_at	dehydrogenase/reductase (SDR family) member 2	DHRS2	0.31	0.16	carbohydrate metabolism / metabolism
236435_at	Zinc finger protein 292	ZNF292	0.32	0.1	transcription / regulation of transcription, DNA-dependent
238774_at	Hypothetical protein LOC284058	LOC284058	0.32	0.2	unknown
221489_s_at	sprouty homolog 4 (Drosophila)	SPRY4	0.32	0.12	development / regulation of signal transduction
1566968_at	sprouty homolog 4 (Drosophila)	SPRY4	0.32	0.12	development / regulation of signal transduction
1557512_at	Restin (Reed-Steinberg cell-expressed intermediate filament-associated protein)	RSN	0.32	0.12	unknown
205856_at	solute carrier family 14 (urea transporter), member 1 (Kidd blood group)	SLC14A1	0.32	0.14	transport / urea transport
243479_at	MYST histone acetyltransferase (monocytic leukemia) 4	MYST4	0.32	0.04	nucleosome assembly / transcription / regulation of transcription, DNA-dependent / negative regulation of  transcription / chromatin modification / histone acetylation / positive regulation of transcription
240558_at	Roundabout, axon guidance receptor, homolog 1 (Drosophila)	ROBO1	0.33	0.06	chemotaxis / cell adhesion / homophilic cell adhesion / neurogenesis / sensory perception / cell differentiation / positive regulation of axonogenesis
228740_at	Homo sapiens, clone IMAGE:5276765, mRNA	unknown	0.33	0.05	unknown
244633_at	Protein inhibitor of activated STAT, 2	PIAS2	0.33	0.16	transcription / ubiquitin cycle / development / androgen receptor signaling pathway / positive regulation of  transcription, DNA-dependent
215018_at	KIAA1731 protein	KIAA1731	0.33	0.1	unknown
215062_at	Formin-like 2	FMNL2	0.33	0.05	regulation of transcription, DNA-dependent / translational initiation / cell organization and biogenesis / actin / cytoskeleton organization and biogenesis
239793_at	Kinesin 2 60/70kDa	KNS2	0.33	0.08	unknown
1569091_at	Zinc finger protein 198	ZNF198	0.34	0.1	transcription / regulation of transcription, DNA-dependent
215558_at	Ubiquitin protein ligase E3 component n-recognin 2	UBR2	0.34	0.07	protein ubiquitination
1570122_at	PR domain containing 10	PRDM10	0.34	0.09	transcription / regulation of transcription, DNA-dependent / transport
1558710_at	Ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)	ARIH1	0.34	0.11	ubiquitin-dependent protein catabolism / protein ubiquitination
206548_at	transcription factor 7-like 2 (T-cell specific, HMG-box)	TCF7L2	0.34	0.19	unknown
1569652_at	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3	MLLT3	0.34	0.14	transcription / regulation of transcription, DNA-dependent
216812_at	unknown	unknown	0.34	0.05	unknown
1557176_a_at	chromosome 14 open reading frame 37	C14orf37	0.34	0.11	unknown
209183_s_at	chromosome 10 open reading frame 10	C10orf10	0.34	0.07	unknown
237086_at	unknown	unknown	0.35	0.02	unknown
207737_at	unknown	unknown	0.35	0.08	unknown
233112_at	Chromosome 9 open reading frame 150	C9orf150	0.35	0.06	unknown
243134_at	LOC440309	unknown	0.35	0.04	unknown
233034_at	RNA binding motif, single stranded interacting protein 1	RBMS1	0.35	0.09	DNA replication / DNA replication / RNA processing / regulation of translation
238106_at	Transcribed locus	unknown	0.35	0.15	unknown
236915_at	unknown	unknown	0.35	0.05	unknown
226877_at	hypothetical protein LOC132241	LOC132241	0.35	0.03	protein biosynthesis
214978_s_at	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4	PPFIA4	0.35	0.07	cell communication
219410_at	hypothetical protein FLJ10134	FLJ10134	0.35	0.08	unknown
225767_at	hypothetical protein LOC284801	LOC284801	0.35	0.09	unknown
205368_at	KIAA0773 gene product	KIAA0773	0.35	0.14	unknown
1556183_at	Homo sapiens, clone IMAGE:5167446, mRNA	unknown	0.36	0.05	unknown
223454_at	chemokine (C-X-C motif) ligand 16	CXCL16	0.36	0.05	receptor mediated endocytosis / chemotaxis / sensory perception / lymphocyte chemotaxis
1559331_x_at	CDNA FLJ25030 fis, clone CBL02631	unknown	0.36	0.12	unknown
244677_at	period homolog 1 (Drosophila)	PER1	0.36	0.13	unknown
236558_at	Muscleblind-like (Drosophila)	MBNL1	0.36	0.12	embryonic development (sensu Mammalia) / neurogenesis / muscle development / embryonic limb morphogenesis / myoblast differentiation
206214_at	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	PLA2G7	0.36	0.06	inflammatory response / lipid catabolism
228906_at	leukemia-associated protein with a CXXC domain	CXXC6	0.36	0.1	unknown
1555310_a_at	p21(CDKN1A)-activated kinase 6	PAK6	0.36	0.09	protein amino acid phosphorylation
202237_at	nicotinamide N-methyltransferase	NNMT	0.36	0.03	unknown
235371_at	similar to CG9996-PA	LOC389129	0.36	0.1	unknown
1559452_a_at	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	SIAT4A	0.36	0.1	protein amino acid glycosylation
215874_at	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	SIAT4A	0.36	0.1	protein amino acid glycosylation
237216_at	GTPase activating Rap/RanGAP domain-like 1	GARNL1	0.36	0.03	unknown
242593_at	KIAA0143 protein	KIAA0143	0.36	0.1	unknown
233811_at	Ras and Rab interactor 2	RIN2	0.37	0.19	endocytosis / intracellular signaling cascade / small GTPase mediated signal transduction
214078_at	P21 (CDKN1A)-activated kinase 3	PAK3	0.37	0.05	protein amino acid phosphorylation
232307_at	Thyroid hormone receptor associated protein 2	THRAP2	0.37	0.13	unknown
242726_at	fatty-acid-Coenzyme A ligase, long-chain 3	ACSL3	0.37	0.07	lipid metabolism / fatty acid metabolism / metabolism
236879_at	Hypothetical protein FLJ10808	FLJ10808	0.37	0.2	ubiquitin cycle
214701_s_at	fibronectin 1	FN1	0.37	0.12	acute-phase response / cell adhesion / transmembrane receptor protein tyrosine kinase signaling pathway / metabolism / response to wounding / cell migration
235629_at	fibronectin 1	FN1	0.37	0.12	acute-phase response / cell adhesion / transmembrane receptor protein tyrosine kinase signaling pathway / metabolism / response to wounding / cell migration
215866_at	Coiled-coil-helix-coiled-coil-helix domain containing 3	CHCHD3	0.37	0.09	unknown
241464_s_at	hypothetical FLJ27365 protein	unknown	0.37	0.08	unknown
215786_at	Hepatitis B virus x associated protein	HBXAP	0.37	0.08	nucleosome assembly / chromatin remodeling / transcription / transcription initiation / nucleosome spacing / negative regulation of DNA binding / negative regulation of transcription, DNA-dependent / positive regulation of viral transcription
242759_at	Zinc finger protein 64 homolog (mouse)	ZFP64	0.37	0.09	transcription / regulation of transcription, DNA-dependent
236816_at	hypothetical protein FLJ13089	FLJ13089	0.37	0.08	unknown
234211_at	PTK2 protein tyrosine kinase 2	PTK2	0.37	0.13	protein amino acid phosphorylation / protein amino acid phosphorylation / integrin-mediated signaling pathway
204600_at	EphB3	EPHB3	0.37	0.07	protein amino acid phosphorylation / signal transduction / transmembrane receptor protein tyrosine kinase signaling pathway
1438_at	EphB3	EPHB3	0.37	0.07	protein amino acid phosphorylation / signal transduction / transmembrane receptor protein tyrosine kinase signaling pathway
238032_at	Dehydrogenase/reductase (SDR family) member 3	DHRS3	0.37	0.05	fatty acid metabolism / visual perception / metabolism
244356_at	Protein tyrosine phosphatase, non-receptor type 12	PTPN12	0.37	0.16	protein amino acid dephosphorylation
243067_at	Transcribed locus	unknown	0.37	0.02	unknown
241965_at	KIAA0217	KIAA0217	0.37	0.06	unknown
244472_at	unknown	unknown	0.38	0.11	unknown
1562307_at	Ring finger protein 24	RNF24	0.38	0.1	protein ubiquitination
242693_at	Cell division cycle 2-like 5 (cholinesterase-related cell division controller)	CDC2L5	0.38	0.09	protein amino acid phosphorylation / regulation of mitosis / development / positive regulation of cell proliferation
223217_s_at	molecule possessing ankyrin repeats induced by lipopolysaccharide (MAIL)	MAIL	0.38	0.05	unknown
