ENSEMBL_gene_id	Glomerulus cDNA clones ENSEMBL_gene_name	Clone_id	log2(glo/rest_kidney)	Pvalue
ENSMUSG00000034786	G-protein signalling modulator 3 (AGS3-like, C. elegans). [Source:RefSeq;Acc:NM_134116]	MTG_602469668	1.73	0.00538
ENSMUSG00000005501	Ubiquitin carboxyl-terminal hydrolase 40 (EC 3.1.2.15) (Ubiquitin thiolesterase 40) (Ubiquitin-specific processing proteas	gbctl04_plate11_P15	1.72	0.00378
ENSMUSG00000022454	Protein kinase C-binding protein NELL2 precursor (NEL-like protein 2) (MEL91 protein). [Source:Uniprot/SWISSPROT;A	gbctl04_plate15_F21	1.72	0.00421
ENSMUSG00000032679	CD59A glycoprotein precursor (Membrane attack complex inhibition factor) (MACIF) (MAC-inhibitory protein) (MAC-IP) (	MTG_602477476	1.72	0.00272
ENSMUSG00000038175	myosin regulatory light chain interacting protein. [Source:RefSeq;Acc:NM_153789]	gbctl04_plate10_K20	1.72	0.00516
ENSMUSG00000054435	immune associated nucleotide 1 isoform b. [Source:RefSeq;Acc:NM_175048]	MTG_602467472	1.72	0.00272
ENSMUSG00000039377	Homeobox protein HLX1. [Source:Uniprot/SWISSPROT;Acc:Q61670]	MTG_602474015	1.72	0.00272
ENSMUSG00000049775		gbctl04_plate4_H16	1.71	0.00516
ENSMUSG00000058826		MTG_602475118	1.71	0.00525
ENSMUSG00000030605	Lactadherin precursor (Milk fat globule-EGF factor 8) (MFG-E8) (MFGM) (Sperm surface protein SP47) (MP47). [Source:	UMTG_602467177	1.69	0.02871
ENSMUSG00000063968	H-2 class I histocompatibility antigen, Q8 alpha chain precursor. [Source:Uniprot/SWISSPROT;Acc:P14430]	MTG_602467004	1.69	0.00595
ENSMUSG00000024440	Protocadherin 12 precursor (Vascular cadherin-2) (Vascular endothelial cadherin-2) (VE-cadherin-2) (VE-cad-2). [Source	MTG_602468710	1.69	0.0042
ENSMUSG00000035333	protease inhibitor 15; cysteine-rich secreted protein. [Source:RefSeq;Acc:NM_053191]	MTG_602472831	1.68	0.00541
ENSMUSG00000044562		MTG_602473656	1.68	0.00255
ENSMUSG00000002504	Na(+)/H(+) exchange regulatory cofactor NHE-RF2 (NHERF-2) (Tyrosine kinase activator protein 1) (TKA-1) (SRY intera	gbctl04_plate14_G16	1.68	0.00336
ENSMUSG00000021453	Growth arrest and DNA-damage-inducible protein GADD45 gamma (Cytokine responsive protein CR6). [Source:Uniprot/	MTG_602467360	1.67	0.02043
ENSMUSG00000025902	Transcription factor SOX-17. [Source:Uniprot/SWISSPROT;Acc:Q61473]	MTG_602468677	1.67	0.00993
ENSMUSG00000029641		MTG_602476673	1.67	0.00264
ENSMUSG00000024998	phospholipase C, epsilon. [Source:RefSeq;Acc:NM_019588]	MTG_602471769	1.66	0.01307
ENSMUSG00000022090	PDZ and LIM domain 2; hypothetical protein MGC37634. [Source:RefSeq;Acc:NM_145978]	MTG_602477137	1.66	0.01022
ENSMUSG00000035403	5930402A21 protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q80YA8]	MTG_602470415	1.65	0.00264
ENSMUSG00000004951	Heat-shock protein beta-1 (HspB1) (Heat shock 27 kDa protein) (HSP 27) (Growth-related 25 kDa protein) (P25) (HSP25	)MTG_602474453	1.64	0.01087
ENSMUSG00000023959	Chloride intracellular channel protein 5. [Source:Uniprot/SWISSPROT;Acc:Q8BXK9]	MTG_602467168	1.64	0.00272
ENSMUSG00000039910	Cbp/p300-interacting transactivator 2 (MSG-related protein 1) (MRG1 protein). [Source:Uniprot/SWISSPROT;Acc:O3574	gbctl04_plate15_M02	1.62	0.02959
ENSMUSG00000027210	Homeobox protein Meis2 (Meis1-related protein 1). [Source:Uniprot/SWISSPROT;Acc:P97367]	MTG_602139087	1.61	0.00302
ENSMUSG00000027800	Transmembrane 4 superfamily member 1 (Tumor-associated antigen L6) (Membrane component, surface marker 1) (M3	MTG_602472291	1.61	0.00373
ENSMUSG00000022894	ADAMTS-5 precursor (EC 3.4.24.-) (A disintegrin and metalloproteinase with thrombospondin motifs 5) (ADAM-TS 5) (A	MTG_602469049	1.6	0.01184
ENSMUSG00000027858	Tetraspanin 2 (Tspan-2). [Source:Uniprot/SWISSPROT;Acc:Q922J6]	MTG_602472661	1.6	0.00495
ENSMUSG00000006403	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 4; aggrecanase-1. [Source:Ref	gbctl04_plate3_H19	1.59	0.03715
ENSMUSG00000018381	ABI gene family, member 3. [Source:RefSeq;Acc:NM_025659]	MTG_602473624	1.59	0.00272
ENSMUSG00000021806	Nidogen-2 precursor (NID-2) (Entactin-2). [Source:Uniprot/SWISSPROT;Acc:O88322]	gbctl04_plate7_F17	1.58	0.00346
ENSMUSG00000032231	Annexin A2 (Annexin II) (Lipocortin II) (Calpactin I heavy chain) (Chromobindin 8) (P36) (Protein I) (Placental anticoagula	ngbctl04_plate16_I05	1.58	0.014
ENSMUSG00000026152	procollagen, type IV, alpha 3. [Source:RefSeq;Acc:NM_007734]	gbctl04_plate6_O08	1.57	0.00406
ENSMUSG00000022661	OX-2 membrane glycoprotein precursor (MRC OX-2 antigen). [Source:Uniprot/SWISSPROT;Acc:O54901]	MTG_602469306	1.57	0.00517
ENSMUSG00000026360	Regulator of G-protein signaling 2 (RGS2). [Source:Uniprot/SWISSPROT;Acc:O08849]	gbctl04_plate6_G14	1.57	0.00272
ENSMUSG00000027684	Ecotropic virus integration 1 site protein. [Source:Uniprot/SWISSPROT;Acc:P14404]	MTG_602469307	1.56	0.00542
ENSMUSG00000033170	Caspase recruitment domain protein 10 (Bcl10-interacting MAGUK protein 1) (Bimp1). [Source:Uniprot/SWISSPROT;Acc	MTG_602471055	1.56	0.00649
ENSMUSG00000036879		MTG_602296393	1.56	0.00297
ENSMUSG00000031824		MTG_602472128	1.56	0.00337
ENSMUSG00000043984		gbctl04_plate15_G20	1.55	0.01929
ENSMUSG00000018995		gbctl04_plate11_G20	1.54	0.0254
ENSMUSG00000032125	Roundabout homolog 4 precursor. [Source:Uniprot/SWISSPROT;Acc:Q8C310]	MTG_602470736	1.54	0.01524
ENSMUSG00000024168		gbctl04_plate5_N09	1.54	0.00387
ENSMUSG00000009687	FXYD domain-containing ion transport regulator 5 precursor (Oncoprotein-induced protein 2) (Ion channel homolog RIC)	(gbctl04_plate12_L22	1.54	0.02478
ENSMUSG00000016494	Hematopoietic progenitor cell antigen CD34 precursor. [Source:Uniprot/SWISSPROT;Acc:Q64314]	gbctl04_plate8_G22	1.53	0.00272
ENSMUSG00000020431	Adenylyl cyclase type I (EC 4.6.1.1) (Fragment). [Source:Uniprot/SPTREMBL;Acc:O88444]	MTG_602477447	1.53	0.00272
ENSMUSG00000026584	ezrin-binding partner PACE-1. [Source:RefSeq;Acc:NM_028776]	MTG_602471190	1.52	0.00354
ENSMUSG00000033355	28 kDa interferon responsive protein. [Source:Uniprot/SWISSPROT;Acc:Q9ER80]	MTG_602472011	1.52	0.00944
ENSMUSG00000053344		MTG_602474446	1.52	0.00272
ENSMUSG00000059588	Calcitonin gene-related peptide type 1 receptor precursor (CGRP type 1 receptor) (Calcitonin receptor-like receptor). [So	MTG_602467069	1.52	0.00272
ENSMUSG00000018845	cardiomyopathy associated 4; striated muscle UNC45. [Source:RefSeq;Acc:NM_178680]	MTG_602475484	1.52	0.00316
ENSMUSG00000032220	Myosin If. [Source:Uniprot/SWISSPROT;Acc:P70248]	MTG_602477359	1.52	0.00342
ENSMUSG00000029484	Annexin A3 (Annexin III) (Lipocortin III) (Placental anticoagulant protein III) (PAP-III) (35-alpha calcimedin). [Source:Unipr	MTG_602467721	1.51	0.00272
ENSMUSG00000030127	COP9 (constitutive photomorphogenic) homolog, subunit 7a; COP9 (constitutive photomorphogenic), subunit 7a (Arabido	MTG_602471313	1.51	0.01359
ENSMUSG00000035227	Microsomal signal peptidase 25 kDa subunit (EC 3.4.-.-) (SPase 25 kDa subunit) (SPC25). [Source:Uniprot/SWISSPROT	MTG_602467122	1.51	0.03673
ENSMUSG00000039503		gbctl04_plate13_N06	1.51	0.03356
ENSMUSG00000054364	Transforming protein RhoB (H6). [Source:Uniprot/SWISSPROT;Acc:P01121]	MTG_602475026	1.51	0.01248
ENSMUSG00000026480	neutrophil cytosolic factor 2; NADPH oxidase subunit (67 kD); NADPH oxidase subunit (67kDa). [Source:RefSeq;Acc:NM	_MTG_602467813	1.51	0.00976
ENSMUSG00000020458	Reticulon 4 (Neurite outgrowth inhibitor) (Nogo protein). [Source:Uniprot/SWISSPROT;Acc:Q99P72]	gbctl04_plate17_A09	1.5	0.01599
ENSMUSG00000031217	Ephrin-B1 precursor (EPH-related receptor tyrosine kinase ligand 2) (LERK-2) (ELK ligand) (ELK-L) (STRA1 protein) (CE	Kgbctl04_plate10_J04	1.5	0.01527
ENSMUSG00000022579	1110002J19Rik protein (High density lipoprotein binding protein 1). [Source:Uniprot/SPTREMBL;Acc:Q9D1N2]	gbctl04_plate16_F15	1.49	0.01692
ENSMUSG00000024074	Cysteine-rich repeat-containing protein CRIM1 precursor (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q9JLL0]	MTG_602474546	1.49	0.00312
ENSMUSG00000048878	cardiac lineage protein 1. [Source:RefSeq;Acc:NM_138753]	MTG_602470118	1.49	0.009
ENSMUSG00000052713	zinc finger protein 608. [Source:RefSeq;Acc:NM_175751]	MTG_602471485	1.49	0.01357
ENSMUSG00000027996	secreted frizzled-related sequence protein 2; stromal cell derived factor 5; secreted frizzled-related sequence protein 5. [	gbctl04_plate14_O17	1.49	0.01206
ENSMUSG00000037003	C1 domain-containing phosphatase and tensin-like protein; tensin 2. [Source:RefSeq;Acc:NM_153533]	MTG_602467043	1.48	0.01566
ENSMUSG00000043505	Immunity-associated nucleotide 4-like 1 protein (Immunity-associated protein 3). [Source:Uniprot/SWISSPROT;Acc:Q8B	MTG_602476926	1.48	0.00728
ENSMUSG00000029211	Gamma-aminobutyric-acid receptor alpha-4 subunit precursor (GABA(A) receptor). [Source:Uniprot/SWISSPROT;Acc:Q	gbctl04_plate12_P13	1.48	0.0096
ENSMUSG00000040260	Disheveled associated activator of morphogenesis 2. [Source:Uniprot/SWISSPROT;Acc:Q80U19]	gbctl04_plate5_C02	1.48	0.00264
ENSMUSG00000039706	LIM domain binding 2. [Source:RefSeq;Acc:NM_010698]	gbctl04_plate14_N07	1.47	0.00948
ENSMUSG00000040212	Epithelial membrane protein-3 (EMP-3) (YMP protein) (Hematopoietic neural membrane protein) (HNMP-1). [Source:Uni	MTG_602470466	1.47	0.01045
ENSMUSG00000046546		MTG_602471228	1.47	0.01132
ENSMUSG00000062515	Fatty acid-binding protein, adipocyte (AFABP) (Adipocyte lipid-binding protein) (ALBP) (A-FABP) (P2 adipocyte protein) (	MTG_602474869	1.47	0.01581
ENSMUSG00000035353	RAS guanyl releasing protein 3. [Source:RefSeq;Acc:NM_207246]	gbctl04_plate11_F24	1.47	0.00421
ENSMUSG00000020099	unc-5 homolog B; unc5 homolog (C. elegans) 2. [Source:RefSeq;Acc:NM_029770]	MTG_602468418	1.46	0.00357
ENSMUSG00000028517	Lipid phosphate phosphohydrolase 3 (EC 3.1.3.4) (Phosphatidic acid phosphatase 2b) (Phosphatidate phosphohydrolas	MTG_602467668	1.46	0.00307
ENSMUSG00000051978		MTG_602467162	1.46	0.00765
ENSMUSG00000026813	sialytransferase 7 ((alpha-N-acetylneuraminyl 2,3-betagalactosyl-1,3)-N-acetyl galactosaminide alpha-2,6-sialytransferas	gbctl04_plate16_I24	1.46	0.00442
ENSMUSG00000037266		gbctl04_plate8_J22	1.45	0.0176
ENSMUSG00000056501	CCAAT/enhancer binding protein beta (C/EBP beta) (Interleukin-6- dependent binding protein) (IL-6DBP) (Liver-enriched	MTG_602474692	1.44	0.03063
ENSMUSG00000038604	MKIAA1930 protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q80T73]	MTG_602474744	1.44	0.00269
ENSMUSG00000013833	thyroid hormone receptor associated protein 5; thyroid hormone receptor-associated protein, 95-kD subunit; thyroid horm	oMTG_602469016	1.43	0.00303
ENSMUSG00000019857	ASF1 anti-silencing function 1 homolog A. [Source:RefSeq;Acc:NM_025541]	gbctl04_plate10_J02	1.43	0.00302
ENSMUSG00000025492	interferon induced transmembrane protein 3; fragilis. [Source:RefSeq;Acc:NM_025378]	MTG_602476412	1.43	0.03754
ENSMUSG00000053468	Early B-cell factor. [Source:Uniprot/SPTREMBL;Acc:Q8C955]	MTG_602467757	1.43	0.03407
ENSMUSG00000046186	CD109 antigen; GPI-anchored alpha 2 macroglobulin-related protein; Gov platelet alloantigens. [Source:RefSeq;Acc:NM	gbctl04_plate11_O11	1.42	0.00265
ENSMUSG00000064326	Apoptosis regulatory protein Siva (CD27-binding protein) (CD27BP). [Source:Uniprot/SWISSPROT;Acc:O54926]	MTG_602477616	1.42	0.00428
ENSMUSG00000019843	Proto-oncogene tyrosine-protein kinase FYN (EC 2.7.1.112) (P59-FYN). [Source:Uniprot/SWISSPROT;Acc:P39688]	MTG_602469292	1.41	0.00272
ENSMUSG00000042745	DNA-binding protein inhibitor ID-1 (ID). [Source:Uniprot/SWISSPROT;Acc:P20067]	MTG_602474003	1.41	0.02691
ENSMUSG00000001240	Receptor activity-modifying protein 2 precursor. [Source:Uniprot/SWISSPROT;Acc:Q9WUP0]	MTG_602470934	1.4	0.017
ENSMUSG00000019970	Serine/threonine-protein kinase Sgk1 (EC 2.7.1.37) (Serum/glucocorticoid-regulated kinase 1). [Source:Uniprot/SWISSP	MTG_602468044	1.4	0.00367
ENSMUSG00000024190	Dual specificity protein phosphatase 1 (EC 3.1.3.48) (EC 3.1.3.16) (MAP kinase phosphatase-1) (MKP-1) (Protein-tyrosin	MTG_602474213	1.4	0.0129
ENSMUSG00000024238	Transcription factor 8 (Zinc finger homeobox protein 1a) (MEB1) (Delta EF1). [Source:Uniprot/SWISSPROT;Acc:Q64318]	MTG_602475969	1.4	0.00365
ENSMUSG00000026817	Adenylate kinase isoenzyme 1 (EC 2.7.4.3) (ATP-AMP transphosphorylase) (AK1) (Myokinase). [Source:Uniprot/SWISS	MTG_602470558	1.4	0.03148
ENSMUSG00000043421		MTG_602472721	1.4	0.01658
ENSMUSG00000031393	Methyl-CpG-binding protein 2 (MeCP-2 protein) (MeCP2). [Source:Uniprot/SWISSPROT;Acc:Q9Z2D6]	gbctl04_plate8_H02	1.39	0.00272
ENSMUSG00000013611		gbctl04_plate6_E16	1.39	0.00963
ENSMUSG00000029436	Matrix metalloproteinase-17 precursor (EC 3.4.24.-) (MMP-17) (Membrane-type matrix metalloproteinase 4) (MT-MMP 4)	MTG_602471826	1.39	0.00272
ENSMUSG00000032035	C-ets-1 protein (p54). [Source:Uniprot/SWISSPROT;Acc:P27577]	MTG_602475030	1.39	0.01359
ENSMUSG00000020077	Secretory granule proteoglycan core protein precursor (Mastocytoma proteoglycan core protein) (Serglycin). [Source:Uni	gbctl04_plate6_N15	1.38	0.00436
ENSMUSG00000020552	D-glycosaminyl 3-O-sulfotransferase-3B. [Source:RefSeq;Acc:NM_018805]	gbctl04_plate16_J03	1.38	0.04309
ENSMUSG00000021912	polybromo 1. [Source:RefSeq;Acc:NM_025847]	gbctl04_plate10_M23	1.38	0.00302
ENSMUSG00000030846	Nucleolysin TIAR (TIA-1 related protein). [Source:Uniprot/SWISSPROT;Acc:P70318]	MTG_602467656	1.38	0.00339
ENSMUSG00000041390	kidney cell line derived transcript 1; clone 1.5. [Source:RefSeq;Acc:NM_175088]	gbctl04_plate13_F22	1.38	0.00307
ENSMUSG00000043298		MTG_602467115	1.38	0.01682
ENSMUSG00000034485	nuclear membrane binding protein NUCLING. [Source:RefSeq;Acc:NM_028283]	gbctl04_plate8_E15	1.38	0.00358
ENSMUSG00000020601	tribbles homolog 2. [Source:RefSeq;Acc:NM_144551]	MTG_602467572	1.37	0.00574
ENSMUSG00000052105		MTG_602467135	1.37	0.00708
ENSMUSG00000052911	Laminin beta-2 chain precursor (S-laminin) (S-LAM). [Source:Uniprot/SWISSPROT;Acc:Q61292]	MTG_602470812	1.35	0.00512
ENSMUSG00000054203	interferon activated gene 205; interferon-activatable protein 205-like. [Source:RefSeq;Acc:NM_172648]	MTG_602474876	1.35	0.03053
ENSMUSG00000022610	Mitogen-activated protein kinase 12 (EC 2.7.1.37) (Extracellular signal-regulated kinase 6) (ERK-6) (Stress-activated prot	gbctl04_plate10_M02	1.35	0.00563
ENSMUSG00000046916	myc target in myeloid cells 1. [Source:RefSeq;Acc:NM_026793]	gbctl04_plate3_E08	1.35	0.00639
