GenBank no.	Gene Symbol	Gene name	Fold change	P-value
NM_001958	EEF1A2	Homo sapiens eukaryotic translation elongation factor 1 alpha 2	12.4	5.58E-03
NM_001448	GPC4	Homo sapiens glypican 4	12.3	9.80E-05
NM_000371	TTR	Homo sapiens transthyretin	12.0	6.57E-04
NM_025163	PIGZ	Homo sapiens phosphatidylinositol glycan anchor biosynthesis, class Z	11.9	1.21E-05
NM_133374	ZNF618	Homo sapiens zinc finger protein 618	11.8	6.98E-04
NM_006235	POU2AF1	Homo sapiens POU domain, class 2, associating factor 1	11.6	4.87E-03
NM_006202	PDE4A	Homo sapiens phosphodiesterase 4A, cAMP-specific	11.4	7.32E-05
NM_014631	SH3PXD2A	Homo sapiens SH3 and PX domains 2A	10.9	2.28E-03
NM_015544	TMEM98	Homo sapiens transmembrane protein 98	10.5	3.88E-03
NM_018689	KIAA1199	Homo sapiens KIAA1199	10.5	1.68E-04
NM_001353	AKR1C1	Homo sapiens aldo-keto reductase family 1, member C1	10.3	6.08E-04
NM_080881	DBN1	Homo sapiens drebrin 1	10.3	4.31E-05
NM_001086	AADAC	Homo sapiens arylacetamide deacetylase (esterase)	10.3	8.51E-04
NM_020452	ATP8B2	Homo sapiens ATPase, Class I, type 8B, member 2	10.2	4.66E-04
NM_205863	PARD3B	Homo sapiens par-3 partitioning defective 3 homolog B (C. elegans)	10.1	8.61E-03
NM_003741	CHRD	Homo sapiens chordin	10.0	1.70E-04
NM_000104	CYP1B1	Homo sapiens cytochrome P450, family 1, subfamily B, polypeptide 1	9.87	2.01E-03
NM_020299	AKR1B10	Homo sapiens aldo-keto reductase family 1, member B10	9.83	2.79E-04
NM_018684	KIAA1166	Homo sapiens KIAA1166	9.72	1.98E-04
NM_173561	UNC5CL	Homo sapiens unc-5 homolog C (C. elegans)-like	9.63	3.30E-04
NM_000218	KCNQ1	Homo sapiens potassium voltage-gated channel, KQT-like subfamily, member 1, transcript variant 1	9.33	1.82E-04
NM_015103	PLXND1	Homo sapiens plexin D1	9.21	3.34E-04
NM_138969	RDHE2	Homo sapiens retinal short chain dehydrogenase reductase isoform 1	8.78	4.57E-05
NM_001020818	MYADM	Homo sapiens myeloid-associated differentiation marker, transcript variant 1	8.74	7.08E-05
NM_000142	FGFR3	Homo sapiens fibroblast growth factor receptor 3, transcript variant 1	8.64	6.14E-06
NM_006498	LGALS2	Homo sapiens lectin, galactoside-binding, soluble, 2	8.63	1.20E-05
NM_007210	GALNT6	Homo sapiens UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6 (GalNAc-T6)	8.6	1.58E-03
K03200	K03200	Human melanoma-associated antigen p97 (melanotransferrin)	8.5	5.23E-05
NM_002499	NEO1	Homo sapiens neogenin homolog 1 (chicken)	8.5	8.07E-04
NM_018689	KIAA1199	Homo sapiens KIAA1199	8.4	2.49E-04
NM_002081	GPC1	Homo sapiens glypican 1	8.4	9.71E-04
NM_000392	ABCC2	Homo sapiens ATP-binding cassette, sub-family C (CFTR/MRP), member 2	8.4	1.92E-03
NM_001353	AKR1C1	Homo sapiens aldo-keto reductase family 1, member C1	8.1	6.22E-04
NM_021969	NR0B2	Homo sapiens nuclear receptor subfamily 0, group B, member 2	8.1	2.34E-05
NM_004443	EPHB3	Homo sapiens EPH receptor B3	8.0	4.73E-04
NM_018194	HHAT	Homo sapiens hedgehog acyltransferase	8.0	5.36E-03
NM_001628	AKR1B1	Homo sapiens aldo-keto reductase family 1, member B1	7.9	2.37E-04
BC014117	TBXAS1	Homo sapiens thromboxane A synthase 1	7.2	5.90E-04
NM_203339	CLU	Homo sapiens clusterin, transcript variant 2	7.2	1.40E-05
NM_021784	FOXA2	Homo sapiens forkhead box A2, transcript variant 1	7.0	8.44E-05
NM_021069	SORBS2	Homo sapiens sorbin and SH3 domain containing 2, transcript variant 2	7.5	5.04E-05
NM_003839	TNFRSF11A	Homo sapiens tumor necrosis factor receptor superfamily, member 11a, NFKB activator	7.4	1.17E-04
NM_001445	FABP6	Homo sapiens fatty acid binding protein 6, ileal (gastrotropin), transcript variant 2	7.4	3.60E-03
NM_052906	LRRC62	Homo sapiens leucine rich repeat containing 62	7.3	6.94E-04
NM_001979	EPHX2	Homo sapiens epoxide hydrolase 2, cytoplasmic	7.3	5.83E-05
NM_032951	MLXIPL	Homo sapiens MLX interacting protein-like, transcript variant 1	7.3	1.02E-03
BC014117	TBXAS1	Homo sapiens thromboxane A synthase 1	7.2	5.90E-04
NM_203339	CLU	Homo sapiens clusterin, transcript variant 2	7.2	1.40E-05
NM_021784	FOXA2	Homo sapiens forkhead box A2, transcript variant 1	7.0	8.44E-05
NM_002414	CD99	Homo sapiens CD99 molecule	6.9	1.51E-04
NM_000352	ABCC8	Homo sapiens ATP-binding cassette, sub-family C (CFTR/MRP), member 8	6.9	7.54E-03
NM_001079528	ABCC6	Homo sapiens ATP-binding cassette, sub-family C (CFTR/MRP), member 6, transcript variant 2	6.9	1.05E-03
NM_013272	SLCO3A1	Homo sapiens solute carrier organic anion transporter family, member 3A1	6.8	2.60E-05
NM_000767	CYP2B6	Homo sapiens cytochrome P450, family 2, subfamily B, polypeptide 6	6.8	1.01E-04
NM_004895	NLRP3	Homo sapiens NLR family, pyrin domain containing 3, transcript variant 1	6.8	6.92E-03
NM_001486	GCKR	Homo sapiens glucokinase (hexokinase 4) regulator	6.7	1.16E-05
NM_002405	MFNG	Homo sapiens MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	6.7	1.03E-05
NM_007193	ANXA10	Homo sapiens annexin A10	6.6	7.29E-05
NM_032951	MLXIPL	Homo sapiens MLX interacting protein-lik, transcript variant 1	6.6	1.89E-04
NM_001793	CDH3	Homo sapiens cadherin 3, type 1, P-cadherin (placental)	6.6	2.77E-04
NM_000712	BLVRA	Homo sapiens biliverdin reductase A	6.6	2.98E-03
NM_016335	PRODH	Homo sapiens proline dehydrogenase (oxidase) 1, nuclear gene encoding mitochondrial protein	6.5	9.39E-05
NM_198580	SLC27A1	Homo sapiens solute carrier family 27 (fatty acid transporter), member 1	6.4	6.80E-05
NM_133374	ZNF618	Homo sapiens zinc finger protein 618	6.3	3.42E-04
NM_015642	ZBTB20	Homo sapiens zinc finger and BTB domain containing 20	6.3	8.21E-04
BC049823	RPL22L1	Homo sapiens ribosomal protein L22-like 1	6.3	8.19E-05
NM_000958	PTGER4	Homo sapiens prostaglandin E receptor 4 (subtype EP4)	6.2	1.08E-03
NM_005518	HMGCS2	Homo sapiens 3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	6.1	7.08E-04
NM_003088	FSCN1	Homo sapiens fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)	6.1	7.37E-04
NM_002845	PTPRM	Homo sapiens protein tyrosine phosphatase, receptor type, M	6.1	8.49E-05
NM_003196	TCEA3	Homo sapiens transcription elongation factor A (SII), 3	6.0	3.26E-04
NM_206836	PECI	Homo sapiens peroxisomal D3,D2-enoyl-CoA isomerase, transcript variant 2	6.0	1.40E-03
NM_018986	SH3TC1	Homo sapiens SH3 domain and tetratricopeptide repeats 1	5.9	2.46E-03
NM_004658	RASAL1	Homo sapiens RAS protein activator like 1 (GAP1 like)	5.9	8.94E-04
NM_032192	PPP1R1B	Homo sapiens protein phosphatase 1, regulatory (inhibitor) subunit 1B (dopamine and cAMP regulated phosphoprotein, DARPP-32), transcript variant 1	5.9	9.31E-07
NM_000343	SLC5A1	Homo sapiens solute carrier family 5 (sodium/glucose cotransporter), member 1	5.8	1.11E-04
NM_001399	EDA	Homo sapiens ectodysplasin A, transcript variant 1	5.8	7.70E-05
NM_002341	LTB	Homo sapiens lymphotoxin beta (TNF superfamily, member 3), transcript variant 1	5.8	5.31E-03
NM_020817	KIAA1407	Homo sapiens KIAA1407	5.8	2.29E-04
NM_001001438	LSS	Homo sapiens lanosterol synthase, transcript variant 2	5.7	1.14E-03
NM_006860	RABL4	Homo sapiens RAB, member of RAS oncogene family-like 4	5.7	2.60E-03
NM_022740	HIPK2	Homo sapiens homeodomain interacting protein kinase 2	5.7	4.48E-04
NM_033316	MFI2	Homo sapiens antigen p97 (melanoma associated), transcript variant 2	5.6	2.02E-03
NM_000029	AGT	Homo sapiens angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	5.6	7.53E-05
NM_212543	B4GALT4	Homo sapiens UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4, transcript variant 1	5.6	4.64E-05
NM_002405	MFNG	Homo sapiens MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	5.6	2.05E-04
NM_001080430	TOX3	Homo sapiens TOX high mobility group box family member 3	5.5	1.20E-03
NM_207309	UAP1L1	Homo sapiens UDP-N-acteylglucosamine pyrophosphorylase 1-like 1	5.5	1.12E-04
NM_004721	MAP3K13	Homo sapiens mitogen-activated protein kinase kinase kinase 13	5.5	1.37E-04
NM_001932	MPP3	Homo sapiens membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)	5.4	2.73E-04
NM_002456	MUC1	Homo sapiens mucin 1, cell surface associated, transcript variant 1	5.4	3.71E-04
NM_173626	SLC26A11	Homo sapiens solute carrier family 26, member 11	5.4	1.47E-04
NM_002073	GNAZ	Homo sapiens guanine nucleotide binding protein (G protein), alpha z polypeptide	5.4	1.13E-02
NM_001091	ABP1	Homo sapiens amiloride binding protein 1 (amine oxidase (copper-containing))	5.4	6.70E-05
NM_133374	ZNF618	Homo sapiens zinc finger protein 618	5.3	9.35E-04
NM_197941	ADAMTS6	Homo sapiens ADAM metallopeptidase with thrombospondin type 1 motif, 6	5.3	1.80E-03
BC036557	KIAA1394	Homo sapiens KIAA1394 protein	5.3	1.76E-03
NM_000240	MAOA	Homo sapiens monoamine oxidase A (MAOA), nuclear gene encoding mitochondrial protein	5.2	1.84E-03
NM_005329	HAS3	Homo sapiens hyaluronan synthase 3, transcript variant 1	5.2	2.66E-03
NM_024503	HIVEP3	Homo sapiens human immunodeficiency virus type I enhancer binding protein 3	5.1	1.78E-03
NM_144575	CAPN13	Homo sapiens calpain 13	5.1	2.81E-03
NM_000130	F5	Homo sapiens coagulation factor V (proaccelerin, labile factor)	5.1	3.10E-04
NM_001723	DST	Homo sapiens dystonin (DST), transcript variant 1e	5.1	1.12E-03
NM_001823	CKB	Homo sapiens creatine kinase, brain	5.1	6.10E-04
NM_002579	PALM	Homo sapiens paralemmin, transcript variant 1	5.1	5.67E-04
NM_000187	HGD	Homo sapiens homogentisate 1,2-dioxygenase (homogentisate oxidase)	5.1	1.70E-03
NM_020804	PACSIN1	Homo sapiens protein kinase C and casein kinase substrate in neurons 1	5.0	3.49E-03
NM_003890	FCGBP	Homo sapiens Fc fragment of IgG binding protein	5.0	2.93E-04
NM_004413	DPEP1	Homo sapiens dipeptidase 1 (renal)	4.9	6.85E-04
NM_198253	TERT	Homo sapiens telomerase reverse transcriptase, transcript variant 1	4.9	6.68E-03
NM_000067	CA2	Homo sapiens carbonic anhydrase II	4.9	4.72E-05
NM_014840	NUAK1	Homo sapiens NUAK family, SNF1-like kinase, 1	4.9	4.09E-04
NM_015548	DST	Homo sapiens dystonin, transcript variant 1eA	4.9	3.42E-03
NM_002023	FMOD	Homo sapiens fibromodulin	4.9	1.71E-03
NM_013322	SNX10	Homo sapiens sorting nexin 10	4.9	1.52E-03
NM_004616	TSPAN8	Homo sapiens tetraspanin 8	4.8	4.67E-03
NM_017541	CRYGS	Homo sapiens crystallin, gamma S	4.8	1.60E-03
NM_001609	ACADSB	Homo sapiens acyl-Coenzyme A dehydrogenase, short/branched chain, nuclear gene encoding mitochondrial protein	4.8	6.73E-03
NM_006481	TCF2	Homo sapiens transcription factor 2, hepatic; LF-B3; variant hepatic nuclear factor, transcript variant b	4.7	3.14E-03
NM_030582	COL18A1	Homo sapiens collagen, type XVIII, alpha 1, transcript variant 1	4.7	2.07E-04
NM_004991	MDS1	Homo sapiens myelodysplasia syndrome 1	4.7	6.46E-04
NM_002226	JAG2	Homo sapiens jagged 2, transcript variant 1	4.7	4.43E-04
NM_000022	ADA	Homo sapiens adenosine deaminase	4.7	7.24E-03
NM_181795	PKIB	Homo sapiens protein kinase (cAMP-dependent, catalytic) inhibitor beta, transcript variant 1	4.6	1.43E-04
BC107798	TNNT1	Homo sapiens troponin T type 1 (skeletal, slow)	4.6	1.21E-04
NM_003451	ZNF177	Homo sapiens zinc finger protein 177	4.6	7.66E-03
NM_020808	SIPA1L2	Homo sapiens signal-induced proliferation-associated 1 like 2	4.6	9.44E-04
NM_002130	HMGCS1	Homo sapiens 3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	4.6	1.57E-04
NM_007127	VIL1	Homo sapiens villin 1	4.6	1.24E-04
NM_199420	POLQ	Homo sapiens polymerase (DNA directed), theta	4.6	1.82E-03
NM_014286	FREQ	Homo sapiens frequenin homolog (Drosophila)	4.5	3.16E-03
NM_005688	ABCC5	Homo sapiens ATP-binding cassette, sub-family C (CFTR/MRP), member 5, transcript variant 1	4.5	2.89E-03
NM_198485	FAM79B	Homo sapiens family with sequence similarity 79, member B	4.5	4.06E-03
NM_007362	NCBP2	Homo sapiens nuclear cap binding protein subunit 2, 20kDa, transcript variant 1	4.5	1.37E-04
NM_022481	CENTD3	Homo sapiens centaurin, delta 3	4.5	6.01E-03
NM_018414	ST6GALNAC1	Homo sapiens ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1	4.5	5.53E-03
AF015521	MUC5AC	Homo sapiens mucin (MUC 5AC)	4.5	6.82E-03
NM_024791	PDZD3	Homo sapiens PDZ domain containing 3	4.5	1.02E-02
NM_030984	TBXAS1	Homo sapiens thromboxane A synthase 1 (platelet, cytochrome P450, family 5, subfamily A), transcript variant TXS-II	4.4	3.94E-03
NM_001017995	SH3PXD2B	Homo sapiens SH3 and PX domains 2B	4.4	1.78E-03
NM_001018053	PFKFB2	Homo sapiens 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2, transcript variant 2	4.4	1.50E-04
NM_018192	LEPREL1	Homo sapiens leprecan-like 1	4.4	7.61E-04
NM_139025	ADAMTS13	Homo sapiens ADAM metallopeptidase with thrombospondin type 1 motif, 13, transcript variant 1	4.4	3.80E-03
NM_015268	DNAJC13	Homo sapiens DnaJ (Hsp40) homolog, subfamily C, member 13	4.4	3.41E-04
NM_002250	KCNN4	Homo sapiens potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	4.4	1.08E-02
NM_022757	CCDC14	Homo sapiens coiled-coil domain containing 14	4.3	2.18E-03
NR_001564	XIST	Homo sapiens X (inactive)-specific transcript (XIST) on chromosome X	4.2	7.78E-03
NM_030802	FAM117A	Homo sapiens family with sequence similarity 117, member A	4.2	1.34E-06
NM_014799	HEPH	Homo sapiens hephaestin, transcript variant 2	4.2	2.66E-03
NM_020133	AGPAT4	Homo sapiens 1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)	4.2	1.11E-02
NM_001935	DPP4	Homo sapiens dipeptidyl-peptidase 4 (CD26, adenosine deaminase complexing protein 2)	4.2	3.14E-03
NM_015490	SEC31B	Homo sapiens SEC31 homolog B (S. cerevisiae)	4.2	4.86E-04
U94903	U94903	Human soluble CD44 (CD44) mRNA, with exon v10 extension	4.2	3.36E-03
NM_001076678	ZNF493	Homo sapiens zinc finger protein 493, transcript variant 3	4.1	1.33E-03
NM_003196	TCEA3	Homo sapiens transcription elongation factor A (SII), 3	4.1	9.32E-05
NM_022783	DEPDC6	Homo sapiens DEP domain containing 6	4.1	5.86E-03
NM_020877	DNAH2	Homo sapiens dynein, axonemal, heavy chain 2	4.1	1.78E-03
NM_001910	CTSE	Homo sapiens cathepsin E, transcript variant 1	4.1	1.16E-04
NM_144712	SLC23A3	Homo sapiens solute carrier family 23 (nucleobase transporters), member 3	4.1	5.48E-03
NM_006500	MCAM	Homo sapiens melanoma cell adhesion molecule	4.1	5.54E-04
NM_022113	KIF13A	Homo sapiens kinesin family member 13A	4.1	3.65E-03
NM_001512	GSTA4	Homo sapiens glutathione S-transferase A4	4.0	1.41E-03
NM_001012421	ANKRD20A2	Homo sapiens ankyrin repeat domain 20 family, member A2	4.0	3.20E-03
NM_025249	KIAA1683	Homo sapiens KIAA1683	4.0	1.34E-03
NM_207332	ERICH1	Homo sapiens glutamate-rich 1	4.0	6.99E-04
NM_206862	TACC2	Homo sapiens transforming, acidic coiled-coil containing protein 2, transcript variant 1	4.0	7.91E-05
NM_001978	EPB49	Homo sapiens erythrocyte membrane protein band 4.9 (dematin)	4.0	3.99E-03
NM_182909	FILIP1L	Homo sapiens filamin A interacting protein 1-like, transcript variant 1	4.0	1.55E-04
NM_006822	RAB40B	Homo sapiens RAB40B, member RAS oncogene family	3.9	3.68E-06
NM_022746	MOSC1	Homo sapiens MOCO sulphurase C-terminal domain containing 1	3.9	3.87E-03
NM_030766	BCL2L14	Homo sapiens BCL2-like 14 (apoptosis facilitator), transcript variant 2	3.9	3.42E-03
NM_052934	SLC26A9	Homo sapiens solute carrier family 26, member 9, transcript variant 1	3.9	7.35E-03
NM_005578	LPP	Homo sapiens LIM domain containing preferred translocation partner in lipoma	3.9	3.16E-04
NM_000854	GSTT2	Homo sapiens glutathione S-transferase theta 2	3.8	6.60E-04
NM_206927	SYTL2	Homo sapiens synaptotagmin-like 2, transcript variant c	3.8	4.66E-03
NM_004120	GBP2	Homo sapiens guanylate binding protein 2, interferon-inducible	3.8	4.08E-03
NM_004726	REPS2	Homo sapiens RALBP1 associated Eps domain containing 2, transcript variant 1	3.8	1.21E-03
NM_004580	RAB27A	Homo sapiens RAB27A, member RAS oncogene family, transcript variant 1	3.8	2.27E-03
NM_003944	SELENBP1	Homo sapiens selenium binding protein 1	3.8	1.24E-04
NM_000199	SGSH	Homo sapiens N-sulfoglucosamine sulfohydrolase (sulfamidase)	3.8	1.07E-04
NM_005170	ASCL2	Homo sapiens achaete-scute complex homolog 2 (Drosophila)	3.8	2.24E-03
NM_024302	MMP28	Homo sapiens matrix metallopeptidase 28, transcript variant 1	3.8	1.42E-04
NM_022353	OSGEPL1	Homo sapiens O-sialoglycoprotein endopeptidase-like 1	3.8	6.02E-03
NM_003102	SOD3	Homo sapiens superoxide dismutase 3, extracellular	3.7	1.33E-04
NM_001008701	LPHN1	Homo sapiens latrophilin 1, transcript variant 1	3.7	1.04E-02
NM_138444	KCTD12	Homo sapiens potassium channel tetramerisation domain containing 12	3.7	6.19E-03
NM_138393	REEP6	Homo sapiens receptor accessory protein 6	3.7	7.78E-04
NM_194430	RNASE4	Homo sapiens ribonuclease, RNase A family, 4, transcript variant 1	3.7	1.05E-03
NM_145693	LPIN1	Homo sapiens lipin 1	3.7	3.15E-04
NM_004619	TRAF5	Homo sapiens TNF receptor-associated factor 5, transcript variant 1	3.7	1.25E-03
NM_017980	LIMS2	Homo sapiens LIM and senescent cell antigen-like domains 2	3.7	6.32E-07
NM_152654	DAND5	Homo sapiens DAN domain family, member 5	3.7	9.41E-03
NM_152707	SLC25A16	Homo sapiens solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16, nuclear gene encoding mitochondrial protein	3.7	7.05E-03
NM_198551	MIA3	Homo sapiens melanoma inhibitory activity family, member 3	3.7	1.31E-03
NM_152312	GYLTL1B	Homo sapiens glycosyltransferase-like 1B	3.7	1.52E-04
NM_198461	LONRF2	Homo sapiens LON peptidase N-terminal domain and ring finger 2	3.6	5.73E-05
NM_152742	GPC2	Homo sapiens glypican 2	3.6	1.45E-03
NM_032251	CCDC88	Homo sapiens coiled-coil domain containing 88	3.6	1.14E-03
NM_017708	FAM83E	Homo sapiens family with sequence similarity 83, member E	3.6	5.07E-04
NM_000681	ADRA2A	Homo sapiens adrenergic, alpha-2A-, receptor	3.6	1.07E-02
NM_173570	ZDHHC23	Homo sapiens zinc finger, DHHC-type containing 23	3.6	6.63E-03
NM_017585	SLC2A6	Homo sapiens solute carrier family 2 (facilitated glucose transporter), member 6	3.6	1.51E-04
NM_006943	SOX12	Homo sapiens SRY (sex determining region Y)-box 12	3.6	4.03E-03
NM_024780	TMC5	Homo sapiens transmembrane channel-like 5	3.6	7.99E-05
NM_017563	IL17RD	Homo sapiens interleukin 17 receptor D, transcript variant 2	3.6	3.06E-03
NM_173596	SLC39A5	Homo sapiens solute carrier family 39 (metal ion transporter), member 5	3.6	7.59E-03
NM_001657	AREG	Homo sapiens amphiregulin (schwannoma-derived growth factor)	3.6	3.06E-03
NM_017644	KLHL24	Homo sapiens kelch-like 24 (Drosophila)	3.6	1.21E-05
NM_020654	SENP7	Homo sapiens SUMO1/sentrin specific peptidase 7, transcript variant 1	3.6	7.78E-05
NM_015644	TTLL3	Homo sapiens tubulin tyrosine ligase-like family, member 3, transcript variant 2	3.5	2.20E-04
NM_020926	BCOR	Homo sapiens BCL6 co-repressor, transcript variant 2	3.5	1.20E-03
NM_015033	FNBP1	Homo sapiens formin binding protein 1	3.5	1.32E-04
NM_002614	PDZK1	Homo sapiens PDZ domain containing 1	3.5	3.64E-03
NM_139248	LIPH	Homo sapiens lipase, member H	3.5	8.67E-03
NM_020133	AGPAT4	Homo sapiens 1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)	3.5	6.33E-03
NM_015990	KLHL5	Homo sapiens kelch-like 5 (Drosophila), transcript variant 1	3.5	3.73E-04
NM_004487	GOLGB1	Homo sapiens golgi autoantigen, golgin subfamily b, macrogolgin (with transmembrane signal), 1	3.5	7.17E-04
NM_003657	BCAS1	Homo sapiens breast carcinoma amplified sequence 1	3.5	5.48E-03
NM_025045	BAIAP2L2	Homo sapiens BAI1-associated protein 2-like 2	3.5	9.09E-05
NM_001431	EPB41L2	Homo sapiens erythrocyte membrane protein band 4.1-like 2	3.5	2.35E-03
NM_001009899	KIAA2018	Homo sapiens KIAA2018	3.5	1.59E-03
NM_207429	FLJ45803	Homo sapiens FLJ45803 protein	3.5	3.32E-03
NM_005775	SORBS3	Homo sapiens sorbin and SH3 domain containing 3, transcript variant 1	3.4	2.54E-03
NM_152395	NUDT16	Homo sapiens nudix (nucleoside diphosphate linked moiety X)-type motif 16	3.4	2.06E-03
NM_031453	FAM107B	Homo sapiens family with sequence similarity 107, member B	3.4	4.42E-05
NM_002206	ITGA7	Homo sapiens integrin, alpha 7	3.4	5.08E-03
NM_001001669	FLJ41603	Homo sapiens FLJ41603 protein	3.4	3.85E-04
NM_001042552	TATDN3	Homo sapiens TatD DNase domain containing 3, transcript variant 1	3.4	1.09E-03
NM_001170	AQP7	Homo sapiens aquaporin 7	3.4	1.70E-04
NM_004487	GOLGB1	Homo sapiens golgi autoantigen, golgin subfamily b, macrogolgin (with transmembrane signal), 1	3.4	1.01E-04
NM_019018	FAM105A	Homo sapiens family with sequence similarity 105, member A	3.4	8.89E-04
NM_022443	MLF1	Homo sapiens myeloid leukemia factor 1	3.4	9.86E-03
NM_025130	HKDC1	Homo sapiens hexokinase domain containing 1	3.3	1.61E-03
NM_004277	SLC25A27	Homo sapiens solute carrier family 25, member 27	3.3	9.82E-03
NM_181718	ASPHD1	Homo sapiens aspartate beta-hydroxylase domain containing 1	3.3	2.22E-03
NM_001080497	MEGF9	Homo sapiens multiple EGF-like-domains 9	3.3	8.78E-04
NM_020435	GJA12	Homo sapiens gap junction protein, alpha 12, 47kDa	3.3	3.08E-03
NM_198329	UBE1DC1	Homo sapiens ubiquitin-activating enzyme E1-domain containing 1, transcript variant 2	3.3	1.32E-03
NM_000189	HK2	Homo sapiens hexokinase 2	3.3	1.36E-03
NM_000081	LYST	Homo sapiens lysosomal trafficking regulator, transcript variant 1	3.3	1.10E-04
NM_012334	MYO10	Homo sapiens myosin X	3.3	4.08E-03
NM_014710	GPRASP1	Homo sapiens G protein-coupled receptor associated sorting protein 1	3.3	2.44E-04
NM_017573	PCSK4	Homo sapiens proprotein convertase subtilisin/kexin type 4	3.3	3.15E-03
NM_020307	CCNL1	Homo sapiens cyclin L1	3.3	8.87E-04
NM_133367	PAQR8	Homo sapiens progestin and adipoQ receptor family member VIII	3.3	1.61E-03
NM_001333	CTSL2	Homo sapiens cathepsin L2	3.2	6.09E-03
NM_001466	FZD2	Homo sapiens frizzled homolog 2 (Drosophila)	3.2	2.63E-03
NM_153240	NPHP3	Homo sapiens nephronophthisis 3 (adolescent)	3.2	7.86E-03
NM_206908	GUSBL2	Homo sapiens glucuronidase, beta-like 2	3.2	1.10E-02
NM_020451	SEPN1	Homo sapiens selenoprotein N, 1, transcript variant 1	3.2	6.30E-04
NM_001004321	FLJ45445	Homo sapiens FLJ45445 protein	3.2	9.93E-04
NM_020738	KIDINS220	Homo sapiens kinase D-interacting substance of 220 kDa	3.2	1.71E-03
NM_052843	OBSCN	Homo sapiens obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	3.2	6.38E-03
NM_024101	MLPH	Homo sapiens melanophilin, transcript variant 1	3.2	7.10E-05
NM_198551	MIA3	Homo sapiens melanoma inhibitory activity family, member 3	3.2	9.42E-05
NM_022149	MAGEF1	Homo sapiens melanoma antigen family F, 1	3.2	5.88E-04
NM_003129	SQLE	Homo sapiens squalene epoxidase	3.2	1.02E-04
NM_001145	ANG	Homo sapiens angiogenin, ribonuclease, RNase A family, 5	3.2	3.17E-03
NM_007362	NCBP2	Homo sapiens nuclear cap binding protein subunit 2, 20kDa, transcript variant 1	3.2	7.56E-05
NM_005414	SKIL	Homo sapiens SKI-like oncogene	3.2	1.97E-03
NM_032788	ZNF514	Homo sapiens zinc finger protein 514	3.2	4.25E-03
