Gene symbol	Full name	Accession no.	Main function(s) of gene product	Hypoxic induction (fold change) Array 1 (Affymetrix)	Array 2 (Illumina)	Functional Category
TRAF1	TNF receptor-associated factor 1	NM_005658	One of the TNFR members; forms a complex with TRAF2 to activate MAPK8/JNK and NF-?B; mediates the antiapoptotic signals from TNF receptors	9	8	Receptors and cell adhesion/signaling
ADORA2A	Adenosine A2a receptor	NM_000675	Receptor for adenosine	8	33	Receptors and cell adhesion/signaling
TREM1	Triggering receptor expressed on myeloid cells 1	NM_018643	Receptor of Ig superfamily expressed on human myeloid cells; regulates their inflammatory functions	5	6	Receptors and cell adhesion/signaling
MAP3K8	Mitogen-activated protein kinase kinase kinase 8	NM_005204	Cell signaling and cycling	4	6	Receptors and cell adhesion/signaling
ADORA2A	Adenosine A2a receptor	NM_000675	Receptor for adenosine	8	33	Receptors and cell adhesion/signaling
TREM1	Triggering receptor expressed on myeloid cells 1	NM_018643	Receptor of Ig superfamily expressed on human myeloid cells; regulates their inflammatory functions	5	6	Receptors and cell adhesion/signaling
MAP3K8	Mitogen-activated protein kinase kinase kinase 8	NM_005204	Cell signaling and cycling	4	6	Receptors and cell adhesion/signaling
TNS1	Tensin 1	NM_022648	Involved in cell migration and links signal transduction pathways to the cytoskeleton	3	7	Receptors and cell adhesion/signaling
TNIP2	TNFAIP3 interacting protein 2 (ABIN-2)	NM_024309	Inhibits NF-?-B activation	3	4	Receptors and cell adhesion/signaling
RelA (p65)	Nuclear factor of ? light polypeptide gene enhancer in B-cells 3 (p65/RelA)	NM_021975	Central mediator of canonical NF-?B signaling pathway in cells	3	3	Receptors and cell adhesion/signaling
TNFRSF1B	Tumor necrosis factor receptor superfamily, member 1B (TNF-R2 or CD120b)	NM_001066	One of 2 main TNFRs (I and II) mediating the effects of TNF-? on cells	3	2	Receptors and cell adhesion/signaling
TNFAIP3	Tumor necrosis factor-?-induced protein 3	NM_006290	Interacts with NAF1 and inhibits TNF-?-induced NF-?B-dependent gene expression	4	5	Receptors and cell adhesion/signaling
ANPEP	Aminopeptidase M or N (CD13 or APN)	NM_001150	Zinc-binding metalloprotease	3	2	Receptors and cell adhesion/signaling
STAT4	Signal transducer and activator of transcription 4	NM_003151	Signal transduction and activation of transcription; involved in IL-12 signaling	4	4	Receptors and cell adhesion/signaling
STAT6	Signal transducer and activator of transcription 6	NM_003153	Plays a central role in regulating the alternative (M2) activation of macrophages in response to IL-4	4	2	Receptors and cell adhesion/signaling
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (ETS2)	NM_005239	Transcription factor that regulates MMP-9 expression in macrophages and drives mammary tumor progression	3	3	Receptors and cell adhesion/signaling
NFKBIE	Nuclear factor of ? light polypeptide gene enhancer in B-cell inhibitor, epsilon	NM_004556	Inhibits DNA-binding of NF-?B p50-p65 and p50-c-Rel complexes	2	2	Receptors and cell adhesion/signaling
NFKBIA	Nuclear factor of ? light polypeptide gene enhancer in B-cell inhibitor, ?	NM_020529	Inhibits the activity of dimeric NF-?B/REL complexes by trapping REL dimers in the cytoplasm	2	3	Receptors and cell adhesion/signaling
IRAK3	IL-1 receptor-associated kinase 3	NM_007199	Inhibits dissociation of IRAK1 and IRAK4 from the Toll-like receptor signaling complex	2	4	Receptors and cell adhesion/signaling
RIPK2	Receptor-interacting serine-threonine kinase 2	NM_003821	Apoptosis and activates NF-?B	2	4	Receptors and cell adhesion/signaling
ERO1L	Endoplasmic reticulum oxidoreductin-1 (Ero1)-L ?	NM_014584	Endoplasmic reticular enzyme that helps to maintain VEGF secretion under hypoxia	3	6	Transcription, RNA processing, and translation
HSPA1B	Heat shock 70-kDa protein 1B	NM_005346	Intracellular enzyme; stabilizes existing proteins against aggregation and mediates the folding of newly translated proteins	3	3	Transcription, RNA processing, and translation
BTG1	B-cell translocation gene 1	NM_001731	Antiproliferative protein	3	2	Transcription, RNA processing, and translation
ELL2	Elongation factor, RNA polymerase II, 2	NM_012081	Increases the catalytic rate of RNA polymerase II transcription	2	2	Transcription, RNA processing, and translation
