Gene symbol	Parametric p-value	FDR	Geometric mean of intensities (class empty/class miR-26a )	Probe set	Description
DFFB	0.0002134	0.0355168	1.5292588	206752_s_at	DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase)
RNASE6	0.0002173	0.0355168	0.6413479	213566_at	ribonuclease, RNase A family, k6 /// ribonuclease, RNase A family, k6
C11orf75	0.000224	0.0355168	1.6226548	219806_s_at	chromosome 11 open reading frame 75
	0.000226	0.0355168	1.6819826	1554043_a_at	CDNA clone IMAGE:3928921
ALS2CR2	0.0002271	0.0355168	1.6488488	223266_at	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 2
	0.0002307	0.0355168	1.6358033	235545_at
CDT1	0.0002315	0.0355168	1.5277866	228868_x_at	Chromatin licensing and DNA replication factor 1
TLK2	0.0002336	0.0355168	0.6309975	239154_at	Tousled-like kinase 2
LOC285535	0.0002345	0.0355168	0.6535899	229130_at	hypothetical protein LOC285535
BIRC5	0.0002376	0.0355168	1.5370031	202094_at	baculoviral IAP repeat-containing 5 (survivin)
EDD1	0.0002395	0.0355168	0.619971	1555888_at	E3 ubiquitin protein ligase, HECT domain containing, 1
KIAA0256	0.0002448	0.0355168	0.6283649	233406_at	KIAA0256 gene product
CTAGE5	0.0002451	0.0355168	0.64641	204055_s_at	CTAGE family, member 5
FLJ25416	0.0002462	0.0355168	1.5211329	228281_at	hypothetical protein FLJ25416
MEF2A	0.000252	0.0355168	0.6601422	208328_s_at	MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)
MLF1IP	0.000254	0.0355168	1.5108017	229304_s_at	MLF1 interacting protein
ZNF573	0.0002544	0.0355168	0.6470038	217627_at	zinc finger protein 573
PRO1073	0.0002549	0.0355168	0.6462195	227510_x_at	PRO1073 protein
MCAM	0.000255	0.0355168	1.5535428	203625_x_at	melanoma cell adhesion molecule
NCAPH	0.0002572	0.0355168	1.5066404	212949_at	non-SMC condensin I complex, subunit H
LOC728177 /// LOC730675	0.0002615	0.0355168	0.6588706	230543_at	hypothetical protein LOC728177 /// hypothetical protein LOC730675
SCRN3	0.000267	0.0355168	0.6496029	219234_x_at	secernin 3
CHD9	0.0002674	0.0355168	0.5354132	220586_at	chromodomain helicase DNA binding protein 9
CHD2	0.0002727	0.0355168	0.6424625	243751_at	Chromodomain helicase DNA binding protein 2
CHAF1A	0.0002819	0.0355168	1.6232605	214426_x_at	chromatin assembly factor 1, subunit A (p150)
EIF3S1 /// RCBTB1 /// NEK10	0.0002836	0.0355168	0.5933676	1558588_at	Eukaryotic translation initiation factor 3, subunit 1 alpha, 35kDa /// Regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1 /// NIMA (never in mitosis gene a)- related kinase 10
KLRC4	0.0002892	0.0355168	0.5723947	210690_at	killer cell lectin-like receptor subfamily C, member 4
REEP4	0.0002897	0.0355168	1.6445411	218777_at	receptor accessory protein 4
AFF1	0.0002906	0.0355168	0.6505548	1570621_at	AF4/FMR2 family, member 1
ORMDL1	0.0002912	0.0355168	0.6188529	228801_at	ORM1-like 1 (S. cerevisiae)
LAMC1	0.0002927	0.0355168	0.6413169	200771_at	laminin, gamma 1 (formerly LAMB2)
FAM54A	0.0002977	0.0355168	1.6288213	228069_at	family with sequence similarity 54, member A
NCAPG2	0.0003018	0.0355168	1.523629	219588_s_at	non-SMC condensin II complex, subunit G2
ARHGEF7	0.0003031	0.0355168	0.6405962	235412_at	Rho guanine nucleotide exchange factor (GEF) 7
CENPN	0.0003048	0.0355168	1.5750192	228559_at	Centromere protein N
GABPB2	0.0003054	0.0355168	0.6423235	235172_at	GA binding protein transcription factor, beta subunit 2
TLR1	0.0003109	0.0355168	0.6698372	210176_at	toll-like receptor 1
TNFAIP8L2	0.0003119	0.0355168	0.6622811	223583_at	tumor necrosis factor, alpha-induced protein 8-like 2
MCAM	0.0003125	0.0355168	1.5028061	211042_x_at	melanoma cell adhesion molecule /// melanoma cell adhesion molecule
CENTB2	0.0003219	0.0356023	0.6522999	240759_at	Centaurin, beta 2
GALNT7	0.0003236	0.0356023	0.6421867	222587_s_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)
BLM	0.0003241	0.0356023	1.4918351	205733_at	Bloom syndrome
TXNIP	0.0003253	0.0356023	0.6530451	201009_s_at	thioredoxin interacting protein
	0.0003298	0.0356319	0.6219583	240859_at
ATRX /// LOC728849	0.0003316	0.0356319	0.6487821	208860_s_at	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae) /// similar to transcriptional regulator ATRX isoform 1
NCAPG	0.0003442	0.0359853	1.4855736	218662_s_at	non-SMC condensin I complex, subunit G
C1orf183	0.0003471	0.0359853	1.5193758	1557479_at	Chromosome 1 open reading frame 183
FAM54A	0.0003528	0.0359853	1.5022133	234944_s_at	family with sequence similarity 54, member A
FAM40B	0.0003529	0.0359853	1.5015606	231880_at	family with sequence similarity 40, member B
BTG2	0.0003548	0.0359853	0.581002	201235_s_at	BTG family, member 2
NANOS1	0.0003551	0.0359853	0.6505459	228523_at	nanos homolog 1 (Drosophila)
IFI44L	0.0003562	0.0359853	0.3408177	204439_at	interferon-induced protein 44-like
GNS	0.0003627	0.0363315	0.6597648	212335_at	glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)
RARRES3	0.0003734	0.0369276	0.5364759	204070_at	retinoic acid receptor responder (tazarotene induced) 3
BMP2K	0.0003749	0.0369276	1.6908603	226853_at	BMP2 inducible kinase
ZMYND11	0.0003862	0.0373174	0.6354047	202136_at	zinc finger, MYND domain containing 11
SFRS11	0.0003913	0.0373174	0.5856669	236948_x_at	Splicing factor, arginine/serine-rich 11
KIAA0372	0.0003927	0.0373174	0.6255407	1554029_a_at	KIAA0372
DTL	0.0003952	0.0373174	1.474084	218585_s_at	denticleless homolog (Drosophila)
OLFML1	0.0003961	0.0373174	0.6584072	1557177_at	Olfactomedin-like 1
IL6ST	0.0003978	0.0373174	0.6701491	212195_at	Interleukin 6 signal transducer (gp130, oncostatin M receptor)
EIF2S1	0.0004036	0.0375634	1.6991901	201142_at	eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa
STS-1	0.0004095	0.0376591	1.5843307	238462_at	Cbl-interacting protein Sts-1
CD52	0.000411	0.0376591	0.6729886	34210_at	CD52 molecule
TKT	0.0004159	0.0378149	1.4928386	228205_at	transketolase (Wernicke-Korsakoff syndrome)
	0.0004195	0.0378511	0.5887126	1557383_a_at	CDNA FLJ38112 fis, clone D3OST2002272
DUS4L	0.0004233	0.0379046	1.4670911	205762_s_at	dihydrouridine synthase 4-like (S. cerevisiae)
CCDC28A	0.0004569	0.0406057	1.6424751	209479_at	coiled-coil domain containing 28A
RAPGEF2	0.0004628	0.0406696	0.6848434	215992_s_at	Rap guanine nucleotide exchange factor (GEF) 2
PIK3CA	0.0004645	0.0406696	0.6472478	235980_at	Phosphoinositide-3-kinase, catalytic, alpha polypeptide
DLG7	0.0004758	0.0412578	1.4697765	203764_at	discs, large homolog 7 (Drosophila)
GLIPR1	0.0004782	0.0412578	0.6311028	226142_at	GLI pathogenesis-related 1 (glioma)
MGEA5	0.000487	0.0414544	0.6579995	235868_at	Meningioma expressed antigen 5 (hyaluronidase)
SETD5	0.0004882	0.0414544	0.6694875	244691_at	SET domain containing 5
MALAT1	0.000491	0.0414544	0.5908102	223940_x_at	metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)
DCAL1	0.0005009	0.0419903	0.6600125	1561899_at	Dendritic cell-associated lectin-1
BBX	0.0005149	0.0421371	0.6510751	1557239_at	Bobby sox homolog (Drosophila)
ZNF407	0.0005154	0.0421371	0.6400173	233239_at	Zinc finger protein 407
TSC22D1	0.0005171	0.0421371	0.6670891	235315_at	TSC22 domain family, member 1
PSAT1	0.0005184	0.0421371	1.490438	223062_s_at	phosphoserine aminotransferase 1
FKBP1A	0.0005234	0.0421371	0.6785545	236520_at	FK506 binding protein 1A, 12kDa
UBE2H	0.000528	0.0421371	0.565751	229483_at	Ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)
LOC643641	0.000531	0.0421371	0.6606125	226808_at	Hypothetical protein LOC643641
KIAA1033	0.0005332	0.0421371	0.6711634	215936_s_at	KIAA1033
CUL5	0.0005377	0.0421371	0.6372684	230393_at	cullin 5
FLJ10120	0.0005383	0.0421371	0.6900751	220220_at	hypothetical protein FLJ10120
FANCD2	0.0005494	0.0425883	1.5054368	242560_at	Fanconi anemia, complementation group D2
	0.0005563	0.0425883	0.6848537	242518_at	CDNA FLJ43403 fis, clone OCBBF2016612
SNRPN	0.0005598	0.0425883	0.6875138	243855_at	Small nuclear ribonucleoprotein polypeptide N
GLIPR1	0.0005613	0.0425883	0.6800376	204222_s_at	GLI pathogenesis-related 1 (glioma)
IFIT5	0.0005724	0.0425883	0.63398	203595_s_at	interferon-induced protein with tetratricopeptide repeats 5
MALAT1	0.0005737	0.0425883	0.5663269	224568_x_at	metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)
KIF2C	0.00058	0.0425883	1.4668267	209408_at	kinesin family member 2C
KIF15 /// NPVF	0.0005812	0.0425883	1.4799309	219306_at	kinesin family member 15 /// neuropeptide VF precursor
	0.0005812	0.0425883	0.6015985	239287_at	Transcribed locus
RFC4	0.0005846	0.0425883	1.4484428	204023_at	replication factor C (activator 1) 4, 37kDa
CCNB1	0.0005855	0.0425883	1.4661901	228729_at	cyclin B1
CTH	0.0005873	0.0425883	1.4763843	217127_at	cystathionase (cystathionine gamma-lyase)
USP18 /// LOC727996 /// LOC728216 /// LOC728438	0.0005985	0.0428827	0.6606552	219211_at	ubiquitin specific peptidase 18 /// similar to ubiquitin specific peptidase 18 /// similar to ubiquitin specific peptidase 18 /// similar to ubiquitin specific peptidase 18
MYBL1	0.0006073	0.0428827	1.5254951	213906_at	v-myb myeloblastosis viral oncogene homolog (avian)-like 1
MND1	0.0006083	0.0428827	1.4875313	223700_at	meiotic nuclear divisions 1 homolog (S. cerevisiae)
MPEG1	0.0006091	0.0428827	0.6653639	226818_at	macrophage expressed gene 1
MXD4	0.0006095	0.0428827	0.666019	210778_s_at	MAX dimerization protein 4
MLF1IP	0.0006133	0.0428947	1.4595063	229305_at	MLF1 interacting protein
GGA1	0.0006193	0.0430596	0.6527374	1554670_at	golgi associated, gamma adaptin ear containing, ARF binding protein 1
CEP55	0.0006261	0.0430674	1.4603562	218542_at	centrosomal protein 55kDa
WDR42A	0.0006267	0.0430674	0.6561663	1554049_s_at	WD repeat domain 42A
C6orf111	0.0006345	0.0433017	0.6902832	212177_at	chromosome 6 open reading frame 111
GOPC	0.0006398	0.0433017	0.6701281	236862_at	Golgi associated PDZ and coiled-coil motif containing
MEGF8	0.0006411	0.0433017	0.6536275	214778_at	multiple EGF-like-domains 8
PLK4	0.0006513	0.0437407	1.5013005	204886_at	polo-like kinase 4 (Drosophila)
HIST2H2AA3 /// HIST2H2AA4	0.0006617	0.0441881	0.6584858	218280_x_at	histone cluster 2, H2aa3 /// histone cluster 2, H2aa4
CD52	0.0006663	0.0442293	0.6893298	204661_at	CD52 molecule /// CD52 molecule
HIST2H2AA3 /// HIST2H2AA4	0.0006698	0.0442293	0.6157422	214290_s_at	histone cluster 2, H2aa3 /// histone cluster 2, H2aa4
YPEL5	0.0006747	0.0443053	0.6806922	217783_s_at	yippee-like 5 (Drosophila)
KIAA1370	0.000702	0.0458433	0.6408547	236237_at	KIAA1370
CDCA5	0.0007096	0.046085	1.4294362	224753_at	cell division cycle associated 5
UBE2W	0.0007183	0.0463357	0.6315488	222657_s_at	ubiquitin-conjugating enzyme E2W (putative)
	0.0007213	0.0463357	1.4316821	214804_at
MRAS	0.0007358	0.0470117	0.6873938	206538_at	muscle RAS oncogene homolog
IGF2R	0.000743	0.0472165	0.6924153	201392_s_at	insulin-like growth factor 2 receptor
ISGF3G	0.0007701	0.0486769	0.6207433	203882_at	interferon-stimulated transcription factor 3, gamma 48kDa
PCMTD1	0.0007754	0.0487512	0.6697771	238902_at	Protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
C16orf52	0.0007833	0.0487663	0.64051	244835_at	Chromosome 16 open reading frame 52
NPAS1	0.0007861	0.0487663	0.6956954	206699_x_at	neuronal PAS domain protein 1
CALML4	0.000793	0.0487663	1.4682178	1568600_at	calmodulin-like 4
ARL6IP6	0.0007987	0.0487663	1.4973338	225707_at	ADP-ribosylation-like factor 6 interacting protein 6
C17orf27	0.0008038	0.0487663	0.6698957	230000_at	chromosome 17 open reading frame 27
NUF2	0.0008053	0.0487663	1.4803285	223381_at	NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)
SKP2	0.0008121	0.0487663	1.4732182	210567_s_at	S-phase kinase-associated protein 2 (p45)
TXNIP	0.0008126	0.0487663	0.6246221	201008_s_at	thioredoxin interacting protein
MKI67	0.0008138	0.0487663	1.4520355	212022_s_at	antigen identified by monoclonal antibody Ki-67
BID	0.0008205	0.0487663	1.5219584	204493_at	BH3 interacting domain death agonist
SPBC25	0.0008232	0.0487663	1.4225488	209891_at	spindle pole body component 25 homolog (S. cerevisiae)
C20orf24	0.0008264	0.0487663	1.467352	224376_s_at	chromosome 20 open reading frame 24 /// chromosome 20 open reading frame 24
ARL6IP6	0.0008305	0.0487663	1.4214822	225711_at	ADP-ribosylation-like factor 6 interacting protein 6
NPL	0.0008334	0.0487663	0.6996785	240440_at	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)
DUT	0.0008484	0.0489017	1.4406052	208955_at	dUTP pyrophosphatase
OR52D1	0.0008532	0.0489017	1.5300179	234617_at	olfactory receptor, family 52, subfamily D, member 1
DEPDC1	0.0008548	0.0489017	1.4308717	232278_s_at	DEP domain containing 1
LOC284926	0.0008552	0.0489017	0.6771268	1556064_at	Hypothetical protein LOC284926
PHF19	0.0008564	0.0489017	1.4258536	227211_at	PHD finger protein 19
ZNF780A	0.0008748	0.0495988	0.6887187	238907_at	Zinc finger protein 780A
IFIT1	0.000877	0.0495988	0.4206197	203153_at	interferon-induced protein with tetratricopeptide repeats 1 /// interferon-induced protein with tetratricopeptide repeats 1
	0.0008864	0.0498917	0.6778372	239577_at	Homo sapiens, clone IMAGE:4182817, mRNA
MLLT3	0.0008918	0.0499577	0.6375269	1569652_at	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3
	0.0009016	0.0502685	0.6283392	1570125_at	Homo sapiens, clone IMAGE:5229457, mRNA
SUV420H1	0.000911	0.0505541	0.6582925	222566_at	suppressor of variegation 4-20 homolog 1 (Drosophila)
STK17B	0.0009194	0.0506399	0.6599154	243797_at	serine/threonine kinase 17b (apoptosis-inducing)
SCFD1	0.0009235	0.0506399	0.666643	243525_at	Sec1 family domain containing 1
	0.0009254	0.0506399	1.4510721	242826_at	Transcribed locus
YPEL5	0.0009301	0.0506626	0.6687072	222408_s_at	yippee-like 5 (Drosophila)
MYO1F	0.0009383	0.0508748	0.6932088	213733_at	myosin IF
NRF1	0.0009513	0.0513441	1.4275949	204652_s_at	nuclear respiratory factor 1
DENND3	0.0009564	0.0513848	1.4763116	240358_at	DENN/MADD domain containing 3
EID2B	0.0009634	0.0514568	0.696393	242470_at	EP300 interacting inhibitor of differentiation 2B
GNS	0.0009706	0.0514568	0.6744761	203676_at	glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)
	0.0009708	0.0514568	0.7075471	236280_at	Transcribed locus
MCM10	0.0009865	0.0518477	1.4244193	220651_s_at	MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)
KIF2C	0.0009877	0.0518477	1.4831973	211519_s_at	kinesin family member 2C
CDK8	0.0009948	0.0518477	1.5455641	204831_at	cyclin-dependent kinase 8
C11orf71	0.0009974	0.0518477	0.701253	218789_s_at	chromosome 11 open reading frame 71
EZH2	0.0010074	0.0518477	1.4755799	203358_s_at	enhancer of zeste homolog 2 (Drosophila)
	0.0010079	0.0518477	0.7023342	227074_at	MRNA; cDNA DKFZp667D2123 (from clone DKFZp667D2123)
CYB5B	0.001013	0.0518477	1.4258795	238554_at	cytochrome b5 type B (outer mitochondrial membrane)
CDC6	0.0010177	0.0518477	1.4108894	203968_s_at	cell division cycle 6 homolog (S. cerevisiae)
SLCO2B1	0.0010252	0.0518477	1.4093564	203473_at	solute carrier organic anion transporter family, member 2B1
HIST1H2BG	0.0010254	0.0518477	0.6964852	210387_at	histone cluster 1, H2bg
HELZ /// OVOS2 /// LOC728715	0.0010303	0.0518477	1.4950964	228245_s_at	helicase with zinc finger /// ovostatin 2 /// similar to cDNA sequence BC048546
KIAA1411	0.0010313	0.0518477	0.7030976	233730_at	KIAA1411
C20orf24	0.0010352	0.0518477	1.4297258	223880_x_at	chromosome 20 open reading frame 24
E2F7	0.0010404	0.0518883	1.6331131	228033_at	E2F transcription factor 7
GTSE1	0.0010467	0.0518992	1.4979024	204318_s_at	G-2 and S-phase expressed 1
	0.0010494	0.0518992	1.5213188	242655_at	Transcribed locus
BID	0.0010566	0.0520376	1.4051391	211725_s_at	BH3 interacting domain death agonist /// BH3 interacting domain death agonist
C22orf37	0.001062	0.0520865	0.6898729	1556072_at	chromosome 22 open reading frame 37
	0.0010868	0.0526062	0.6661222	236358_at
ATRX	0.0010878	0.0526062	0.6457436	211022_s_at	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)
THBS3	0.0010896	0.0526062	0.6797822	209561_at	thrombospondin 3
INPP5F	0.0010904	0.0526062	1.4196406	230362_at	inositol polyphosphate-5-phosphatase F
KIAA1033	0.0010996	0.0528311	0.6997704	212794_s_at	KIAA1033
RALGPS2	0.001104	0.0528311	0.6293124	232112_at	Ral GEF with PH domain and SH3 binding motif 2
EDEM3	0.0011152	0.052983	0.6874651	220342_x_at	ER degradation enhancer, mannosidase alpha-like 3
SOX5	0.0011256	0.052983	0.685878	215768_at	SRY (sex determining region Y)-box 5
LOC727820	0.0011266	0.052983	0.7152332	227384_s_at	hypothetical protein LOC727820
C20orf24	0.0011392	0.052983	1.4161157	217835_x_at	chromosome 20 open reading frame 24
IL12RB1	0.0011423	0.052983	0.6756502	1552584_at	interleukin 12 receptor, beta 1
TNFSF10	0.0011451	0.052983	0.6960341	202687_s_at	tumor necrosis factor (ligand) superfamily, member 10 /// tumor necrosis factor (ligand) superfamily, member 10
EXT1	0.0011452	0.052983	1.4305173	242126_at	Exostoses (multiple) 1
LOC642441 /// LOC730256 /// LOC730257	0.0011465	0.052983	0.6887068	229872_s_at	hypothetical LOC642441 /// hypothetical protein LOC730256 /// hypothetical protein LOC730257
	0.0011485	0.052983	0.6901478	233876_at
NAPSB	0.001152	0.052983	0.6856759	228056_s_at	napsin B aspartic peptidase pseudogene
PDCD4	0.0011567	0.052993	0.6875321	202730_s_at	programmed cell death 4 (neoplastic transformation inhibitor)
PLK4	0.0011663	0.0532265	1.4335543	204887_s_at	polo-like kinase 4 (Drosophila)
MR1	0.0011882	0.0540142	0.7075069	207565_s_at	major histocompatibility complex, class I-related
ECT2	0.0011927	0.0540142	1.5354364	237241_at	Epithelial cell transforming sequence 2 oncogene
MOAP1	0.0012015	0.0540387	0.7131409	212508_at	modulator of apoptosis 1
NEIL1 /// ANKRD44	0.001205	0.0540387	0.6765247	228471_at	Nei endonuclease VIII-like 1 (E. coli) /// Ankyrin repeat domain 44
MS4A7	0.0012142	0.0540387	0.6690329	223343_at	membrane-spanning 4-domains, subfamily A, member 7
USP25	0.0012157	0.0540387	1.5481222	223167_s_at	ubiquitin specific peptidase 25
PDCD4	0.0012161	0.0540387	0.6855224	1557166_at	programmed cell death 4 (neoplastic transformation inhibitor)
PALLD	0.0012328	0.0545756	1.4354304	200897_s_at	palladin, cytoskeletal associated protein
ZNRF1	0.001245	0.0548729	0.7176822	225962_at	zinc and ring finger 1
RPIA	0.0012488	0.0548729	1.4715718	212973_at	ribose 5-phosphate isomerase A (ribose 5-phosphate epimerase)
SERBP1	0.0012551	0.0549455	1.4300147	217724_at	SERPINE1 mRNA binding protein 1
POLE2	0.001267	0.0550144	1.4032848	205909_at	polymerase (DNA directed), epsilon 2 (p59 subunit)
	0.0012741	0.0550144	0.7170447	226252_at	CDNA FLJ34585 fis, clone KIDNE2008758
PASK	0.0012763	0.0550144	1.4901027	216945_x_at	PAS domain containing serine/threonine kinase
C16orf75	0.0012775	0.0550144	1.4030684	226456_at	chromosome 16 open reading frame 75
ORC1L	0.0012817	0.0550144	1.511178	205085_at	origin recognition complex, subunit 1-like (yeast)
	0.0012846	0.0550144	1.410785	235363_at	Transcribed locus
ZNF638	0.0012921	0.0551358	0.6994789	1554249_a_at	zinc finger protein 638
KNTC2	0.0013016	0.05516	1.3929372	204162_at	kinetochore associated 2
LPXN	0.001306	0.05516	0.7095188	242778_at	leupaxin
SERF1A	0.0013208	0.05516	0.6142493	1558937_s_at	Small EDRK-rich factor 1A (telomeric)
LOC767558	0.0013246	0.05516	1.6696196	223925_s_at	myeloproliferative disease-associated SEREX antigen
CRTC3	0.0013259	0.05516	0.7066955	1566032_at	CREB regulated transcription coactivator 3
KIF14	0.001326	0.05516	1.3951193	206364_at	kinesin family member 14
LOC646450	0.0013294	0.05516	0.6067106	1559532_at	hypothetical LOC646450
IMPA2	0.00133	0.05516	1.4167916	203126_at	inositol(myo)-1(or 4)-monophosphatase 2
CDK8	0.0013364	0.0552316	1.5905727	1553113_s_at	cyclin-dependent kinase 8
	0.0013512	0.055595	0.7176451	219881_s_at
SFRS4	0.0013546	0.055595	0.7064318	239511_s_at	splicing factor, arginine/serine-rich 4
ARID5B	0.0013692	0.0557165	1.6051235	241837_at	AT rich interactive domain 5B (MRF1-like)
