ID	P.Value	FC	Gene Symbol	Gene Name
206058_at	4.46E-06	3.0105	SLC6A12	SOLUTE CARRIER FAMILY 6 (NEUROTRANSMITTER TRANSPORTER, BETAINE/GABA), ...
209348_s_at	1.82E-05	2.9977	MAF	V-MAF MUSCULOAPONEUROTIC FIBROSARCOMA ONCOGENE HOMOLOG (AVIAN)
209651_at	6.00E-04	2.9895	TGFB1I1	TRANSFORMING GROWTH FACTOR BETA 1 INDUCED TRANSCRIPT 1
204731_at	7.49E-04	2.9850	TGFBR3	TRANSFORMING GROWTH FACTOR, BETA RECEPTOR III (BETAGLYCAN, 300KDA)
201792_at	5.94E-04	2.9744	AEBP1	AE BINDING PROTEIN 1
201867_s_at	7.02E-05	2.9644	TBL1X	TRANSDUCIN (BETA)-LIKE 1X-LINKED
204619_s_at	2.24E-04	2.9636	CSPG2	CHONDROITIN SULFATE PROTEOGLYCAN 2 (VERSICAN)
200665_s_at	4.32E-04	2.9576	SPARC	SECRETED PROTEIN, ACIDIC, CYSTEINE-RICH (OSTEONECTIN)
205594_at	2.17E-04	2.9567	ZNF652	ZINC FINGER PROTEIN 652
202661_at	1.57E-05	2.9321	ITPR2	INOSITOL 1,4,5-TRIPHOSPHATE RECEPTOR, TYPE 2
202085_at	8.73E-05	2.9248	TJP2	TIGHT JUNCTION PROTEIN 2 (ZONA OCCLUDENS 2)
221748_s_at	1.91E-05	2.9202	TNS1	TENSIN 1
217941_s_at	4.30E-04	2.9172	ERBB2IP	ERBB2 INTERACTING PROTEIN
207826_s_at	1.57E-04	2.8890	ID3	INHIBITOR OF DNA BINDING 3, DOMINANT NEGATIVE HELIX-LOOP-HELIX PROTEIN
202295_s_at	3.35E-04	2.8597	CTSH	CATHEPSIN H
205098_at	8.33E-04	2.8587	CCR1	CHEMOKINE (C-C MOTIF) RECEPTOR 1
205383_s_at	4.78E-04	2.8548	ZBTB20	ZINC FINGER AND BTB DOMAIN CONTAINING 20
202688_at	6.20E-04	2.8451	TNFSF10	TUMOR NECROSIS FACTOR (LIGAND) SUPERFAMILY, MEMBER 10
201616_s_at	3.89E-04	2.8307	CALD1	CALDESMON 1
211481_at	6.90E-04	2.8252	SLCO1A2	SOLUTE CARRIER ORGANIC ANION TRANSPORTER FAMILY, MEMBER 1A2
211317_s_at	1.06E-04	2.8243	CFLAR	CASP8 AND FADD-LIKE APOPTOSIS REGULATOR
203704_s_at	2.56E-04	2.8137	RREB1	RAS RESPONSIVE ELEMENT BINDING PROTEIN 1
207308_at	9.36E-05	2.8083	SLCO1A2	SOLUTE CARRIER ORGANIC ANION TRANSPORTER FAMILY, MEMBER 1A2
207655_s_at	3.82E-04	2.8000	BLNK	B-CELL LINKER
209699_x_at	2.52E-04	2.7813	AKR1C2	ALDO-KETO REDUCTASE FAMILY 1, MEMBER C2 (DIHYDRODIOL DEHYDROGENASE 2; ...
219777_at	1.24E-04	2.7726	GIMAP6	IMMUNE ASSOCIATED NUCLEOTIDE 2
201830_s_at	3.43E-05	2.7715	NET1	NEUROEPITHELIAL CELL TRANSFORMING GENE 1
211862_x_at	3.32E-05	2.7672	CFLAR	CASP8 AND FADD-LIKE APOPTOSIS REGULATOR
203723_at	4.56E-04	2.7640	ITPKB	INOSITOL 1,4,5-TRISPHOSPHATE 3-KINASE B
204963_at	5.89E-04	2.7348	SSPN	SARCOSPAN (KRAS ONCOGENE-ASSOCIATED GENE)
218084_x_at	1.83E-04	2.7335	FXYD5	FXYD DOMAIN CONTAINING ION TRANSPORT REGULATOR 5
208623_s_at	4.70E-04	2.7188	VIL2	VILLIN 2 (EZRIN)
203934_at	9.68E-04	2.7061	KDR	KINASE INSERT DOMAIN RECEPTOR (A TYPE III RECEPTOR TYROSINE KINASE)
202506_at	5.95E-05	2.6945	SSFA2	SPERM SPECIFIC ANTIGEN 2
212698_s_at	4.60E-05	2.6792	10-Sep	SEPTIN 10
209108_at	4.65E-04	2.6786	TSPAN6	TETRASPANIN 6
202609_at	4.67E-04	2.6702	EPS8	EPIDERMAL GROWTH FACTOR RECEPTOR PATHWAY SUBSTRATE 8
204834_at	7.34E-04	2.6641	FGL2	FIBRINOGEN-LIKE 2
203932_at	2.09E-04	2.6616	HLA-DMB	MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DM BETA
209341_s_at	2.24E-04	2.6487	IKBKB	INHIBITOR OF KAPPA LIGHT POLYPEPTIDE GENE ENHANCER IN B-CELLS, KINASE ...
204236_at	6.86E-04	2.6452	FLI1	FRIEND LEUKEMIA VIRUS INTEGRATION 1
202724_s_at	1.06E-04	2.6418	FOXO1A	FORKHEAD BOX O1A (RHABDOMYOSARCOMA)
209684_at	8.22E-04	2.6371	RIN2	RAS AND RAB INTERACTOR 2
212262_at	7.46E-05	2.6242	QKI	QUAKING HOMOLOG, KH DOMAIN RNA BINDING (MOUSE)
208789_at	3.50E-05	2.6217	PTRF	POLYMERASE I AND TRANSCRIPT RELEASE FACTOR
212522_at	6.71E-05	2.6190	PDE8A	PHOSPHODIESTERASE 8A
204151_x_at	8.99E-04	2.6172	AKR1C1	ALDO-KETO REDUCTASE FAMILY 1, MEMBER C1 (DIHYDRODIOL DEHYDROGENASE 1; ...
211653_x_at	2.72E-04	2.6168	AKR1C2	ALDO-KETO REDUCTASE FAMILY 1, MEMBER C2 (DIHYDRODIOL DEHYDROGENASE 2; ...
202173_s_at	1.44E-05	2.6139	ZNF161	ZINC FINGER PROTEIN 161
211316_x_at	2.60E-04	2.6102	CFLAR	CASP8 AND FADD-LIKE APOPTOSIS REGULATOR
201983_s_at	1.48E-04	2.6030	EGFR	EPIDERMAL GROWTH FACTOR RECEPTOR (ERYTHROBLASTIC LEUKEMIA VIRAL (V-ERB...
204061_at	1.48E-04	2.5957	PRKX	PROTEIN KINASE, X-LINKED
209285_s_at	9.22E-04	2.5902	C3ORF63	CHROMOSOME 3 OPEN READING FRAME 63
201131_s_at	6.64E-04	2.5894	CDH1	CADHERIN 1, TYPE 1, E-CADHERIN (EPITHELIAL)
204201_s_at	4.47E-04	2.5748	PTPN13	PROTEIN TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 13 (APO-1/CD95 (FAS)-A...
218816_at	4.52E-04	2.5724	LRRC1	LEUCINE RICH REPEAT CONTAINING 1
212263_at	1.93E-04	2.5722	QKI	QUAKING HOMOLOG, KH DOMAIN RNA BINDING (MOUSE)
221950_at	5.91E-04	2.5702	EMX2	EMPTY SPIRACLES HOMOLOG 2 (DROSOPHILA)
49306_at	8.35E-04	2.5531	RASSF4	RAS ASSOCIATION (RALGDS/AF-6) DOMAIN FAMILY 4
201829_at	9.09E-05	2.5421	NET1	NEUROEPITHELIAL CELL TRANSFORMING GENE 1
204563_at	7.72E-04	2.5343	SELL	SELECTIN L (LYMPHOCYTE ADHESION MOLECULE 1)
203705_s_at	7.32E-04	2.5328	FZD7	FRIZZLED HOMOLOG 7 (DROSOPHILA)
210906_x_at	2.40E-04	2.5316	AQP4	AQUAPORIN 4
215073_s_at	5.28E-04	2.5304	NR2F2	NUCLEAR RECEPTOR SUBFAMILY 2, GROUP F, MEMBER 2
210276_s_at	1.06E-05	2.5276	TRIOBP	TRIO AND F-ACTIN BINDING PROTEIN
218251_at	3.78E-04	2.5187	MID1IP1	MID1 INTERACTING PROTEIN 1 (GASTRULATION SPECIFIC G12-LIKE (ZEBRAFISH)...
208712_at	5.62E-04	2.5168	CCND1	CYCLIN D1
202171_at	5.15E-05	2.5160	ZNF161	ZINC FINGER PROTEIN 161
209343_at	7.03E-04	2.5026	EFHD1	EF-HAND DOMAIN FAMILY, MEMBER D1
218204_s_at	5.93E-06	2.4950	FYCO1	FYVE AND COILED-COIL DOMAIN CONTAINING 1
214808_at	1.34E-04	2.4894	NA	,CONSENSUS INCLUDES GB:AU147851 /FEA=EST /DB_XREF=GI:11009372 /DB_XREF
203238_s_at	3.71E-05	2.4730	NOTCH3	NOTCH HOMOLOG 3 (DROSOPHILA)
205111_s_at	1.30E-04	2.4627	PLCE1	PHOSPHOLIPASE C, EPSILON 1
203642_s_at	4.92E-04	2.4568	COBLL1	COBL-LIKE 1
210719_s_at	4.61E-04	2.4556	HMG20B	HIGH-MOBILITY GROUP 20B
204428_s_at	7.34E-06	2.4480	LCAT	LECITHIN-CHOLESTEROL ACYLTRANSFERASE
201615_x_at	9.97E-04	2.4385	CALD1	CALDESMON 1
202011_at	2.60E-04	2.4374	TJP1	TIGHT JUNCTION PROTEIN 1 (ZONA OCCLUDENS 1)
202172_at	1.43E-04	2.4352	ZNF161	ZINC FINGER PROTEIN 161
205957_at	7.57E-05	2.4335	PLXNB3	PLEXIN B3
218248_at	2.56E-05	2.4272	FAM111A	FAMILY WITH SEQUENCE SIMILARITY 111, MEMBER A
210983_s_at	1.88E-04	2.4165	MCM7	MCM7 MINICHROMOSOME MAINTENANCE DEFICIENT 7 (S. CEREVISIAE)
218454_at	1.70E-04	2.4161	FLJ22662	HYPOTHETICAL PROTEIN FLJ22662
219371_s_at	9.42E-04	2.4109	KLF2	KRUPPEL-LIKE FACTOR 2 (LUNG)
203295_s_at	4.58E-04	2.4100	ATP1A2	ATPASE, NA+/K+ TRANSPORTING, ALPHA 2 (+) POLYPEPTIDE
202350_s_at	5.19E-04	2.3978	MATN2	MATRILIN 2
208485_x_at	2.47E-04	2.3977	CFLAR	CASP8 AND FADD-LIKE APOPTOSIS REGULATOR
202664_at	1.15E-04	2.3837	WASPIP	WISKOTT-ALDRICH SYNDROME PROTEIN INTERACTING PROTEIN
210757_x_at	9.98E-04	2.3782	DAB2	DISABLED HOMOLOG 2, MITOGEN-RESPONSIVE PHOSPHOPROTEIN (DROSOPHILA)
219779_at	1.94E-04	2.3705	ZFHX4	ZINC FINGER HOMEODOMAIN 4
213236_at	6.35E-04	2.3688	SASH1	SAM AND SH3 DOMAIN CONTAINING 1
204112_s_at	7.86E-04	2.3678	HNMT	HISTAMINE N-METHYLTRANSFERASE
218829_s_at	9.35E-04	2.3543	CHD7	CHROMODOMAIN HELICASE DNA BINDING PROTEIN 7
219255_x_at	7.79E-04	2.3498	IL17RB	INTERLEUKIN 17 RECEPTOR B
NA	2.22E-05	2.3488	BIOB	BIOTIN SYNTHESIS, SULFUR INSERTION?
203501_at	1.65E-04	2.3352	PGCP	PLASMA GLUTAMATE CARBOXYPEPTIDASE
NA	9.66E-06	2.3318	BIOB	BIOTIN SYNTHASE
211663_x_at	3.55E-05	2.3291	PTGDS	PROSTAGLANDIN D2 SYNTHASE 21KDA (BRAIN)
209656_s_at	7.32E-04	2.3270	TMEM47	TRANSMEMBRANE PROTEIN 47
201279_s_at	6.85E-04	2.3267	DAB2	DISABLED HOMOLOG 2, MITOGEN-RESPONSIVE PHOSPHOPROTEIN (DROSOPHILA)
220266_s_at	9.21E-04	2.3266	KLF4	KRUPPEL-LIKE FACTOR 4 (GUT)
205801_s_at	8.35E-05	2.3236	RASGRP3	RAS GUANYL RELEASING PROTEIN 3 (CALCIUM AND DAG-REGULATED)
212494_at	1.78E-04	2.3202	TENC1	TENSIN LIKE C1 DOMAIN CONTAINING PHOSPHATASE (TENSIN 2)
213069_at	3.24E-04	2.3196	HEG1	HEG HOMOLOG 1 (ZEBRAFISH)
213005_s_at	6.87E-04	2.3190	ANKRD15	ANKYRIN REPEAT DOMAIN 15
221496_s_at	1.58E-04	2.3187	TOB2	TRANSDUCER OF ERBB2, 2
202239_at	5.58E-04	2.3136	PARP4	POLY (ADP-RIBOSE) POLYMERASE FAMILY, MEMBER 4
221558_s_at	3.78E-04	2.3058	LOC641518/L EF1	LYMPHOID ENHANCER-BINDING FACTOR 1
204964_s_at	7.45E-04	2.2968	SSPN	SARCOSPAN (KRAS ONCOGENE-ASSOCIATED GENE)
208986_at	7.08E-04	2.2909	TCF12	TRANSCRIPTION FACTOR 12 (HTF4, HELIX-LOOP-HELIX TRANSCRIPTION FACTORS ...
212345_s_at	5.86E-04	2.2861	CREB3L2	CAMP RESPONSIVE ELEMENT BINDING PROTEIN 3-LIKE 2
206363_at	1.06E-04	2.2843	MAF	V-MAF MUSCULOAPONEUROTIC FIBROSARCOMA ONCOGENE HOMOLOG (AVIAN)
204187_at	6.00E-04	2.2817	GMPR	GUANOSINE MONOPHOSPHATE REDUCTASE
219719_at	3.68E-05	2.2813	HIGD1B	HIG1 DOMAIN FAMILY, MEMBER 1B
203304_at	1.58E-04	2.2746	BAMBI	BMP AND ACTIVIN MEMBRANE-BOUND INHIBITOR HOMOLOG (XENOPUS LAEVIS)
210564_x_at	2.24E-04	2.2743	CFLAR	CASP8 AND FADD-LIKE APOPTOSIS REGULATOR
218424_s_at	2.30E-05	2.2729	STEAP3	STEAP FAMILY MEMBER 3
209496_at	1.02E-04	2.2688	RARRES2	RETINOIC ACID RECEPTOR RESPONDER (TAZAROTENE INDUCED) 2
209906_at	7.76E-04	2.2670	C3AR1	COMPLEMENT COMPONENT 3A RECEPTOR 1
208937_s_at	7.04E-04	2.2662	ID1	INHIBITOR OF DNA BINDING 1, DOMINANT NEGATIVE HELIX-LOOP-HELIX PROTEIN
221527_s_at	3.06E-04	2.2631	PARD3	PAR-3 PARTITIONING DEFECTIVE 3 HOMOLOG (C. ELEGANS)
205609_at	7.16E-04	2.2627	ANGPT1	ANGIOPOIETIN 1
208438_s_at	5.86E-04	2.2596	FGR	GARDNER-RASHEED FELINE SARCOMA VIRAL (V-FGR) ONCOGENE HOMOLOG
209121_x_at	3.87E-04	2.2589	NR2F2	NUCLEAR RECEPTOR SUBFAMILY 2, GROUP F, MEMBER 2
208033_s_at	2.25E-04	2.2559	ATBF1	AT-BINDING TRANSCRIPTION FACTOR 1
41644_at	3.54E-04	2.2526	SASH1	SAM AND SH3 DOMAIN CONTAINING 1
214833_at	7.71E-04	2.2503	TMEM63A	TRANSMEMBRANE PROTEIN 63A
213348_at	3.13E-04	2.2444	CDKN1C	CYCLIN-DEPENDENT KINASE INHIBITOR 1C (P57, KIP2)
212122_at	7.49E-04	2.2362	RHOQ	RAS HOMOLOG GENE FAMILY, MEMBER Q
201209_at	6.30E-05	2.2358	HDAC1	HISTONE DEACETYLASE 1
210166_at	2.65E-04	2.2338	TLR5	TOLL-LIKE RECEPTOR 5
214709_s_at	2.22E-04	2.2311	KTN1 / PDIA6	KINECTIN 1 (KINESIN RECEPTOR), PROTEIN DISULFIDE ISOMERASE FAMILY A, MEMBER 6
214693_x_at	3.64E-04	2.2279	NBPF12/KIA A1245/NBPF1   5/NBPF14/NB PF11/FBPF1/F BPF10/NBPF9	KIAA1245, NEUROBLASTOMA BREAKPOINT FAMILY MEMBER 14, NEUROBLASTOMA BREAKPOINT FAMILY, MEMBER 9
205859_at	5.51E-04	2.2213	LY86	LYMPHOCYTE ANTIGEN 86
221928_at	1.35E-04	2.2135	ACACB	ACETYL-COENZYME A CARBOXYLASE BETA
209102_s_at	2.79E-04	2.2120	HBP1	HMG-BOX TRANSCRIPTION FACTOR 1
200915_x_at	1.82E-04	2.2110	KTN1 / PDIA6	KINECTIN 1 (KINESIN RECEPTOR), PROTEIN DISULFIDE ISOMERASE FAMILY A, MEMBER 6
201785_at	5.71E-04	2.1954	RNASE1	RIBONUCLEASE, RNASE A FAMILY, 1 (PANCREATIC)
217892_s_at	2.74E-04	2.1949	LIMA1	LIM DOMAIN AND ACTIN BINDING 1
203964_at	5.49E-04	2.1920	NMI	N-MYC (AND STAT) INTERACTOR
207169_x_at	1.96E-04	2.1918	DDR1	DISCOIDIN DOMAIN RECEPTOR FAMILY, MEMBER 1
215807_s_at	1.13E-04	2.1888	PLXNB1	PLEXIN B1
218844_at	3.14E-04	2.1874	FLJ20920	HYPOTHETICAL PROTEIN FLJ20920
NA	6.20E-05	2.1834	BIOD	BIOTIN SYNTHESIS PROTEIN BIOC
NA	3.66E-05	2.1798	BIOB	BIOTIN SYNTHETASE
201150_s_at	3.96E-05	2.1782	TIMP3	TIMP METALLOPEPTIDASE INHIBITOR 3 (SORSBY FUNDUS DYSTROPHY, PSEUDOINFL...
214720_x_at	1.68E-05	2.1744	SEPT10	SEPTIN 10
209119_x_at	2.84E-04	2.1667	NR2F2	NUCLEAR RECEPTOR SUBFAMILY 2, GROUP F, MEMBER 2
210524_x_at	2.61E-04	2.1579	MT1F	METALLOTHIONEIN 1F (FUNCTIONAL)
58780_s_at	1.99E-04	2.1547	FLJ10357	HYPOTHETICAL PROTEIN FLJ10357
203593_at	7.15E-04	2.1533	CD2AP	CD2-ASSOCIATED PROTEIN
219956_at	9.58E-04	2.1463	GALNT6	UDP-N-ACETYL-ALPHA-D-GALACTOSAMINE:POLYPEPTIDE N-ACETYLGALACTOSAMINYLT...
221526_x_at	3.69E-04	2.1463	PARD3	PAR-3 PARTITIONING DEFECTIVE 3 HOMOLOG (C. ELEGANS)
219243_at	4.94E-04	2.1458	GIMAP4	GTPASE, IMAP FAMILY MEMBER 4
210220_at	5.05E-04	2.1426	FZD2	FRIZZLED HOMOLOG 2 (DROSOPHILA)
212398_at	5.26E-05	2.1423	RDX	RADIXIN
203961_at	4.02E-04	2.1404	NEBL	NEBULETTE
200696_s_at	4.18E-04	2.1401	GSN	GELSOLIN (AMYLOIDOSIS, FINNISH TYPE)
209267_s_at	1.22E-04	2.1381	SLC39A8	SOLUTE CARRIER FAMILY 39 (ZINC TRANSPORTER), MEMBER 8
216942_s_at	2.42E-05	2.1361	CD58	CD58 ANTIGEN, (LYMPHOCYTE FUNCTION-ASSOCIATED ANTIGEN 3)
209298_s_at	8.51E-04	2.1320	ITSN1	INTERSECTIN 1 (SH3 DOMAIN PROTEIN)
208683_at	3.93E-04	2.1318	CAPN2	CALPAIN 2, (M/II) LARGE SUBUNIT
209071_s_at	6.13E-04	2.1310	RGS5	REGULATOR OF G-PROTEIN SIGNALLING 5
208430_s_at	6.53E-05	2.1304	DTNA	DYSTROBREVIN, ALPHA
212377_s_at	2.02E-04	2.1271	NOTCH2	NOTCH HOMOLOG 2 (DROSOPHILA)
NA	9.03E-05	2.1211	BIOB	BIOTIN SYNTHESIS, SULFUR INSERTION?
203620_s_at	4.49E-04	2.1179	FCHSD2	FCH AND DOUBLE SH3 DOMAINS 2
213160_at	1.94E-04	2.1166	DOCK2	DEDICATOR OF CYTOKINESIS 2
203178_at	1.38E-05	2.1141	GATM	GLYCINE AMIDINOTRANSFERASE (L-ARGININE:GLYCINE AMIDINOTRANSFERASE)
208779_x_at	5.79E-04	2.1134	DDR1	DISCOIDIN DOMAIN RECEPTOR FAMILY, MEMBER 1
214265_at	1.42E-04	2.1106	ITGA8	INTEGRIN, ALPHA 8
218831_s_at	1.07E-04	2.1098	FCGRT	FC FRAGMENT OF IGG, RECEPTOR,  TRANSPORTER, ALPHA
203083_at	2.33E-04	2.1081	THBS2	THROMBOSPONDIN 2
209558_s_at	7.63E-04	2.1055	HIP1R	HUNTINGTIN INTERACTING PROTEIN 1 RELATED
221900_at	1.85E-05	2.1008	COL8A2	COLLAGEN, TYPE VIII, ALPHA 2
204959_at	2.41E-04	2.0992	MNDA	MYELOID CELL NUCLEAR DIFFERENTIATION ANTIGEN
210051_at	2.58E-04	2.0971	RAPGEF3	RAP GUANINE NUCLEOTIDE EXCHANGE FACTOR (GEF) 3
212658_at	4.41E-04	2.0970	LHFPL2	LIPOMA HMGIC FUSION PARTNER-LIKE 2
NA	1.20E-04	2.0914	BIOC	BIOTIN SYNTHESIS PROTEIN BIOC
NA	1.98E-05	2.0900	BIOB	BIOTIN SYNTHASE
202443_x_at	2.09E-04	2.0892	NOTCH2	NOTCH HOMOLOG 2 (DROSOPHILA)
216264_s_at	1.68E-04	2.0826	LAMB2	LAMININ, BETA 2 (LAMININ S)
208790_s_at	4.09E-05	2.0820	PTRF	POLYMERASE I AND TRANSCRIPT RELEASE FACTOR
215526_at	1.94E-04	2.0820	WWOX	PUTATIVE OXIDOREDUCTASE
221276_s_at	9.78E-05	2.0816	SYNC1	SYNCOILIN, INTERMEDIATE FILAMENT 1
210749_x_at	7.73E-04	2.0809	DDR1	DISCOIDIN DOMAIN RECEPTOR FAMILY, MEMBER 1
205137_x_at	7.08E-04	2.0780	USH1C	USHER SYNDROME 1C (AUTOSOMAL RECESSIVE, SEVERE)
218414_s_at	3.80E-05	2.0779	NDE1	NUDE NUCLEAR DISTRIBUTION GENE E HOMOLOG 1 (A. NIDULANS)
211748_x_at	4.84E-05	2.0768	PTGDS	PROSTAGLANDIN D2 SYNTHASE 21KDA (BRAIN)
213578_at	3.36E-04	2.0754	BMPR1A	BONE MORPHOGENETIC PROTEIN RECEPTOR, TYPE IA
