Affy ID	Gene name	Symbol	P
36568_at	Highly similar to Homo sapiens BNPI mRNA for brain-specific Na-dependent inorganic phosphate cotransporter.	NA	0.00000004
40468_at	Formin-binding protein 1	FNBP1	0.00000023
39175_at	Phosphofructokinase, platelet	PFKP	0.00000074
40607_at	Dihydropyrimidinase-like 2	DPYSL2	0.0000019
41138_at	CD99 antigen	CD99	0.0000022
106_at	Runt-related transcription factor 3	RUNX3	0.0000025
38700_at	Cysteine and glycine-rich protein 1	CSRP1	0.0000037
38836_at	Neuronal pentraxin receptor	NPTXR	0.0000056
38019_at	Casein kinase 1, epsilon	CSNK1E	0.000007
41585_at	KIAA0746 protein	KIAA0746	0.0000071
810_at	Rho guanine nucleotide exchange factor (GEF) 1	ARHGEF1	0.000021
41222_at	Signal transducer and activator of transcription 6	STAT6	0.000042
39158_at	Activating transcription factor 5	ATF5	0.000044
675_at	Hypothetical protein MGC27165	MGC27165	0.000061
35828_at	Cysteine-rich protein 2	CRIP2	0.00015
33244_at	Chimerin (chimaerin) 2	CHN2	0.00023
32095_at	Importin 13	IPO13	0.00023
837_s_at	Malic enzyme 1, NADP(+)-dependent, cytosolic	ME1	0.00033
39172_at	Hypothetical protein FLJ14547	FLJ14547	0.00074
41766_at	Mannosidase, a, class 2A, member 2	MAN2A2	0.0011
33956_at	Lymphocyte antigen 96	LY96	0.000002
160029_at	Protein kinase C, beta 1	PRKCB1	0.000047
37203_at	Carboxylesterase 1 (monocyte/macrophage serine esterase 1)	CES1	0.00017
32321_at	Major histocompatibility complex, class I, E	HLA-E	0.00029
37572_at	Cholecystokinin	CCK	0.00046
36565_at	Zinc finger protein 183 (RING finger, C3HC4 type)	ZNF183	0.0012
