Gene name	Description	8 hours	24 hours	Function
PTD008	PTD008 protein	4.1	NA	Miscellaneous
SYNGR2	Synaptogyrin 2	3.6	NA	Miscellaneous
HSU15552	Acidic 82 kDa protein mRNA	3.1	NA	Miscellaneous
NA	Homo sapiens, clone IMAGE:4754514, mRNA	3	NA	Miscellaneous
KIAA0685	KIAA0685	NA	7.8	Miscellaneous
NA	Incyte EST	NA	5.1	Miscellaneous
NA	Incyte EST	NA	4.9	Miscellaneous
NA	Homo sapiens similar to hypothetical protein MGC16385 (LOC376553), mRNA	NA	4.7	Miscellaneous
NA	EST, moderately similar to VATM_human vascular ATP synthase subunit H	NA	4.5	Miscellaneous
20D7-FC4	Hypothetical protein 20D7-FC4	NA	3.9	Miscellaneous
NA	Homo sapiens, clone 24694, mRNA	NA	3.6	Miscellaneous
PP2447	Hypothetical protein PP2447	NA	3.6	Miscellaneous
FLJ22301	Hypothetical protein FLJ22301	NA	3.6	Miscellaneous
KIAA0842	KIAA0842 protein	NA	3.6	Miscellaneous
FLJ13868	Hypothetical protein FLJ13868	NA	3.5	Miscellaneous
TOM1L2	Target of myb1-like 2 (chicken)	NA	3.4	Miscellaneous
HSPC242	Hypothetical protein HSPC242	NA	3.2	Miscellaneous
FLJ10377	Hypothetical protein FLJ10377	NA	3.1	Miscellaneous
NA	Incyte EST	NA	3.1	Miscellaneous
