Genbank accession no.	Description	Symbol	Fold change	Gene ontology
AF277292	C4orf1	ESAM	5.73	cell adhesion
Z70704	H.sapiens mRNA	Data not found	5.59	cell growth and/or
NM_005567	Lectin, galactoside-binding, soluble, 3 binding protein	LGALS3BP	5.34	cellular defense response
NM_003004	Secreted and transmembrane 1	SECTM1	5.21	immune response
NM_006932	Smoothelin	SMTN	5.16	cell shape and cell size control
NM_016234	FACL5 for fatty acid coenzyme A ligase 5	FACL5	5.14	fatty acid metabolism
AJ001348	cDNA for differentially expressed CO16 gene	HSJ001348	5.11	DNA damage response, induction of cell arrest by p53
NM_012198	Grancalcin	GCA	5.01	proteolysis and peptidolysis
AF043909	Gastric mucin, partial cds	MUC5AC	4.85	cell adhesion
NM_003761	Vesicle-associated membrane protein 8	VAMP8	4.84	protein complex assembly
AF282617	Vitellogenic carboxypeptidase-like protein	CPVL	4.76	proteolysis and peptidolysis
AB041269	mRNA for keratin 19, partial cds, isolate:K19-141	LOC160313	4.72	cytoskeleton organization and biogenesis
NM_012142	D-type cyclin-interacting protein 1	CCNDBP1	4.72	ion homeostasis
NM_016245	Retinal short-chain dehydrogenase/reductase retSDR2	RetSDR2	4.50	nitrogen metabolism
NM_014914	KIAA1099 protein	CENTG2	4.46	cell growth and/or maintenance
NM_004701	Cyclin B2	CCNB2	4.34	cell cycle control
NM_005118	Tumor necrosis factor superfamily, member 15	TNFSF15	4.28	signal transduction
NM_014096	PRO1659 protein	Data not found	4.14	lectin
AB011105	mRNA for KIAA0533 protein	LAMA5	3.83	cell adhesion
NM_016059	CGI-124 protein	PPIL1	3.83	immune response
NM_017661	Hypothetical protein FLJ20086	FLJ20086	3.78	transcription regulation
NM_006449	Cdc42 effector protein 3	CDC42EP3	3.74	signal transduction
NM_016142	Steroid dehydrogenase homolog	HSD17B12	3.67	steroid biosynthesis
NM_002744	Protein kinase C, zeta	PRKCZ	3.58	protein phosphorylation
NM_001546	Inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	ID4	3.55	transcription regulation from II promoter
AJ250475	mRNA for UCC1 protein	UCC1	3.51	cell cycle
NM_006762	Lysosomal-associated multispanning membrane protein-5	LAPTM5	3.47	vacuolar transport
AF264014	Scavenger receptor cysteine-rich type 1 protein M160 precursor	M160	3.40	integral plasma membrane protein
NM_002770	Protease, serine, 2	PRSS2	3.37	proteolysis and peptidolysis
AK001579	cDNA FLJ10717 fis	ARAP3	3.29	cytoskeleton organization and biogenesis
NM_018239	Hypothetical protein FLJ10844	FLJ10751	3.26	cell adhesion
NM_016038	CGI-97 protein	SBDS	3.23	leading strand elongation
NM_015910	Hypothetical protein	LOC51057	3.15	signal transduction
NM_002755	Mitogen-activated protein kinase kinase 1	MAP2K1	3.13	signal transduction
NM_001959	Eukaryotic translation elongation  factor 1 beta 2	EEF1B2	3.13	protein synthesis elongation
NM_001432	Epiregulin	EREG	3.11	cell cycle
NM_001758	Cyclin D1	CCND1	3.11	cell cycle control
NM_018548	Hypothetical protein PRO2975	Data not found	3.04	signal transduction
NM_006096	Differentiation-related gene 1	NDRG1	3.04	heavy metal response
NM_000895	Leukotriene A4 hydrolase	LTA4H	3.03	inflammatory response
NM_000110	Dihydropyrimidine dehydrogenase	DPYD	3.03	glutamate biosynthesis
NM_002594	Proprotein convertase subtilisin/kexin type 2	PCSK2	3.00	proteolysis and peptidolysis
NM_000090	Collagen, type III, alpha 1	COL3A1	0.03	cell adhesion
NM_005264	GDNF family receptor alpha 1	GFRA1	0.05	post-translational membrane targeting
NM_006517	Solute carrier family 16, member 2	SLC16A2	0.05	monocarboxylic acid transport
NM_001333	Cathepsin L2	CTSL2	0.06	proteolysis and peptidolysis
AB011167	mRNA for KIAA0595 protein	KIAA0595	0.07	signal transduction
NM_032727	Internexin neuronal intermediate filament protein, alpha	INA	0.07	cytoskeleton organization and biogenesis
NM_000071	Cystathionine-beta-synthase	CBS	0.07	cysteine metabolism
K02046	Human procollagen type I alpha-2 chain, partial exon 1 mutation C-propeptide region	CG1A2	0.07	cell adhesion
NM_003247	Thrombospondin 2	THBS2	0.08	cell adhesion
NM_000393	Collagen, type V, alpha 2	COL5A2	0.08	cell adhesion
NM_004086	Coagulation factor C homology	COCH	0.08	cell adhesion
NM_005166	Amyloid beta precursor-like protein 1	APLP1	0.08	signal transduction
AB040930	mRNA for KIAA1497 protein	LRRN1	0.09	signal transduction
NM_003056	Solute carrier family 19, member 1	SLC19A1	0.09	folate transport
NM_002133	Heme oxygenase 1	HMOX1	0.09	C21-steroid hormone biosynthesis
NM_003637	Integrin, alpha 10	ITGA10	0.10	cell-matrix adhesion
AK025000	cDNA: FLJ21347 fis	FLJ21347	0.10	oxidative stress response
AK024488	mRNA for FLJ00087 protein	FLJ21438	0.10	signal transduction
NM_000474	Twist homolog	TWIST1	0.10	transcription regulation
NM_002145	Homeo box B2	HOXB2	0.11	transcription regulation
NM_006583	Retinal pigment epithelium-derived rhodopsin homolog	RRH	0.11	phototransduction
NM_004598	Sparc/osteonectin, cwcv and kazal-like domains proteoglycan	SPOCK	0.11	cell adhesion
AK024251	cDNA FLJ14189 fis highly similar to KIAA0918 protein	KIAA0918	0.11	cell adhesion
NM_001430	Endothelial PAS domain protein 1	EPAS1	0.12	signal transduction
NM_005301	G protein-coupled receptor 35	GPR35	0.13	chemotaxis
NM_006169	Nicotinamide N-methyltransferase	NNMT	0.13	catecholamine metabolism
NM_001845	Collagen, type IV, alpha 1	COL4A1	0.13	cell adhesion
NM_014934	KIAA0996 protein	DZIP1	0.13	cell adhesion
AK021750	cDNA FLJ11688 fis, weakly similar to ZINC-BINDING PROTEIN A33	FSD1	0.14	cell shape and cell size control
NM_003793	Cathepsin F	CTSF	0.15	proteolysis and peptidolysis
NM_014592	Kv channel-interacting protein 1	KCNIP1	0.15	signal transduction
NM_006623	3-phosphoglycerate dehydrogenase	PHGDH	0.15	serine biosynthesis
NM_005329	Hyaluronan synthase 3	HAS3	0.15	carbohydrate metabolism
NM_006186	Nuclear receptor subfamily 4, group A, member 2	NR4A2	0.15	signal transduction
NM_003469	Secretogranin II	SCG2	0.15	protein secretion
NM_004390	Cathepsin H	CTSH	0.15	proteolysis and peptidolysis
L25629	Human cathepsin-L-like	CTSLL3	0.15	proteolysis and peptidolysis
NM_003012	Secreted frizzled-related protein 1	SFRP1	0.15	signal transduction
NM_006237	POU domain, class 4 transcription factor 1	POU4F1	0.16	transcription regulation from Pol II promoter
NM_018018	Hypothetical protein FLJ10191	SLC38A4	0.16	amino acid transport
X55525	H.sapiens mRNA for type I collagen	COL1A2	0.17	cell adhesion
NM_001831	Clusterin	CLU	0.17	ligand
NM_000511	Fucosyltransferase 2	FUT2	0.18	carbohydrate metabolism
NM_003115	UDP-N-acteylglucosamine pyrophosphorylase 1; Sperm associated antigen 2	UAP1	0.18	UDP-N-acetylglucosamine biosynthesis
NM_001627	Activated leucocyte cell adhesion molecule	ALCAM	0.18	cell adhesion
NM_005627	Serum/glucocorticoid regulated kinase	SGK	0.19	protein phosphorylation
NM_006227	Phospholipid transfer protein	PLTP	0.19	lipid metabolism
NM_014262	Hypothetical protein B	LEPREL2	0.19	synaptonemal complex formation
NM_002333	Low density lipoprotein Receptor-related protein 3	LRP3	0.19	receptor mediated endocytosis
NM_004472	Forkhead box D1	FOXD1	0.19	transcription regulation
AK026945	cDNA: FLJ23292 fis	C20orf97	0.19	protein phosphorylation
NM_002639	Protease inhibitor 5	SERPINB5	0.19	acute-phase response
NM_018992	Hypothetical protein	FLJ20040	0.20	ion transport
NM_002006	Fibroblast growth factor 2	FGF2	0.20	cell cycle control
AB048791	mRNA for bHLH factor Hes4	Hes4	0.20	transcription regulation
AB007924	mRNA for KIAA0455 protein	KIAA0455	0.20	signal transduction
NM_012304	f-box and leucine-rich repeat protein 7	FBXL7	0.20	DNA repair
AB042555	mRNA, similar to rat myomegalin	PDE4DIP	0.21	cell cycle
L25628	Human cathepsin-L-like	CTSLL2	0.22	proteolysis and peptidolysis
AK026315	cDNA: FLJ22662 fis, clone HSI08080	FLJ22662	0.22	retrograde (Golgi to ER) transport
NM_006187	2-5oligoadenylate synthetase 3	OAS3	0.23	nucleobase, nucleoside, nucleotide and nucleic acid metabolism
NM_000713	Biliverdin reductase B	BLVRB	0.23	mRNA capping
NM_002391	Midkine	MDK	0.23	cell cycle control
AB033767	BSCv, partial cds	C20orf3	0.24	cholesterol catabolism
NM_006005	Wolfram syndrome	WFS1	0.24	energy pathways
NM_013957	Neuregulin 1, transcript variant HRG-beta2	NRG1	0.24	signal transduction
NM_000935	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	PLOD2	0.25	protein modification
NM_005843	STAM-like protein containing SH3 and ITAM domains 2	STAM2	0.26	signal transduction
AF254086	EWS/ZSG fusion protein short isoform	EWS/ZSG fusion	0.26	transcription regulation
NM_002456	Mucin 1, transmembrane	MUC1	0.26	cholesterol catabolism
NM_005561	Lysosomal-associated membrane protein 1	LAMP1	0.26	cell proliferation
NM_003246	Thrombospondin 1	THBS1	0.26	cell adhesion
NM_000512	Galactosamine-6-sulfate sulfatase	GALNS	0.26	steroid metabolism
AB011539	mRNA for MEGF6, partial cds	EGFL3	0.26	cell adhesion
NM_000308	Protective protein for beta-galactosidase	PPGB	0.27	proteolysis and peptidolysis
NM_006943	SRY-box 22	SOX12	0.27	transcription regulation
NM_005765	ATPase, H+ transporting, lysosomal membrane sector associated protein M8-9	ATP6IP2	0.27	vacuolar acidification
NM_001757	Carbonyl reductase 1	CBR1	0.27	nitrogen metabolism
NM_000391	Ceroid-lipofuscinosis, neuronal 2 late infantile	CLN2	0.28	proteolysis and peptidolysis
NM_002337	Low density lipoprotein-related protein-associated protein 1	LRPAP1	0.28	vesicle transport
NM_001183	ATPase, H+ transporting lysosomal, subunit 1	ATP6IP1	0.28	proton transport
AB033053	mRNA for KIAA1227 protein	ZNF295	0.28	transcription regulation
NM_018386	Hypothetical protein FLJ11305	FLJ11305	0.28	ubiquitin-dependent protein degradation
NM_006834	RAB32, member RAS oncogene family	RAB32	0.28	intracellular protein traffic
NM_000302	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase	PLOD	0.28	protein modification
AJ223352	mRNA for histone H2B	HIST1H2BK	0.28	nucleosome assembly
NM_004435	endonuclease G, nuclear gene encoding mitochondrial protein	ENDOG	0.29	DNA metabolism
NM_000210	Integrin, alpha 6	ITGA6	0.29	cell-matrix adhesion
NM_001124	Adrenomedullin	ADM	0.29	signal transduction
AK025329	cDNA: FLJ21676 fis	DKFZP566H073	0.29	cell cycle
NM_001262	Cyclin-dependent kinase inhibitor 2C, and translated products	CDKN2C	0.30	cell cycle
NM_006769	LIM domain only 4	LMO4	0.30	transcription regulation
NM_004358	Cell division cycle 25B	CDC25B	0.30	mitosis
NM_003878	Gamma-glutamyl hydrolase	GGH	0.30	glutamine metabolism
NM_005149	T-box 19	TBX19	0.30	transcription regulation
NM_005907	mannosidase, alpha, class 1A member 1	MAN1A1	0.31	carbohydrate metabolism
NM_006423	Rab acceptor 1	RABAC1	0.31	non-selective vesicle
AF064255	Very long-chain acyl-CoA synthetase homolog 2	SLC27A5	0.31	fatty acid metabolism
NM_000521	Hexosaminidase B	HEXB	0.31	carbohydrate metabolism
AB033025	mRNA for KIAA1199 protein	KIAA1199	0.31	protein glycosylation
NM_006024	Tax1 binding protein 1	TAX1BP1	0.32	anti-apoptosis
NM_019011	TRIAD3 protein	TRIAD3	0.32	DNA repair
NM_004651	Ubiquitin specific protease 11	USP11	0.32	deubiquitination
NM_003377	Vascular endothelial growth factor B	VEGFB	0.32	signal transduction
NM_006855	KDEL endoplasmic reticulum protein retention receptor 3, transcript variant 1	KDELR3	0.32	intracellular protein traffic
NM_000104	Cytochrome P450, subfamily I polypeptide 1	CYP1B1	0.32	electron transport
NM_004095	Eukaryotic translation initiation factor 4E binding protein 1	EIF4EBP1	0.32	translational regulation
AF097431	GROS1-S protein, complete cds	LEPRE1	0.32	synaptonemal complex formation
AF278532	Beta-netrin, complete cds	NTN4	0.33	cell adhesion
NM_000086	Ceroid-lipofuscinosis, neuronal 3, juvenile	CLN3	0.33	protein folding
NM_003129	Squalene epoxidase	SQLE	0.33	ergosterol biosynthesis
NM_006079	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	CITED2	0.33	transcription regulation from Pol II promoter
J04474	Human branched chain alpha-keto acid dehydrogenase, 3 end	BCKDHA	0.33	protein modification
