GenBank	Gene	Gene Symbol	Fold change	Function
NM_003100	Sorting nexin 2	SNX2	?4.464	Trafficking and targeting proteins
NM_000672	Alcohol dehydrogenase 6 (class V)	ADH6	?8.140	Cellular metabolism
NM_004718	Cytochromecoxidase subunit VIIa polypeptide 2 like	COX7A2l	?3.893	Cellular metabolism
NM_000769	Cytochrome P450, subfamily IIC (mephenytoin 4-hydroxylase), polypeptide 19	CYP2C19	?4.014	Cellular metabolism
NM_001931	Dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	DLAT	?3.918	Cellular metabolism
NM_002539	Ornithine decarboxylase 1	ODC1	?2.526	Cellular metabolism
NM_000367	Thiopurine S-methyltransferase	TPMT	?5.111	Cellular metabolism
NM_006585	Chaperonin containing TCP1, subunit 8 (theta)	CCT8	?2.934	Post-translational modification
NM_000801	FK506-binding protein 1 A (12kDa)	FKBP1A	?2.626	Post-translational modification
NM_015929	Lipoyltransferase	LIPT1	2.288	Post-translational modification
NM_001404	Eukaryotic translation elongation factor 1 gamma	eEF1G	?2.619	Translational machinery
NM_001967	Eukaryotic translation initiation factor 4A, isoform 2	eIF4A2	?2.565	Translational machinery
NM_000998	Ribosomal protein L37a	RPL37A	?3.224	Translational machinery
M77234	Ribosomal protein S3A	RPS3A	?3.519	Translational machinery
NM_004052	BCL2/adenovirus E1B 19kDa-interacting protein 3	BNIP3	?2.603	Apoptosis-associated proteins
M74816	Clusterin (complement lysis inhibitor, SP-40,40, sulphated glycoprotein 2,testosterone-repressed prostate message 2, apolipoprotein J)	CLU	2.083	Apoptosis-associated proteins
D42055	Neural precursor cell expressed, developmentally downregulated 4	NEDD4	?4.371	Apoptosis-associated proteins
NM_002787	Proteasome (prosome, macropain) subunit, alpha type, 2	PSMA2	?3.422	Apoptosis-associated proteins
NM_004396	DEAD/H box polypeptide 5 (RNA helicase, 68kDa)	DDX5	?6.570	RNA processing, turnover and transport
NM_001363	Dyskeratosis congenita 1, dyskerin	DKC1	?7.402	RNA processing, turnover and transport
NM_006026	H1 histone family, member X	H1FX	?6.325	DNA binding and chromatin proteins
NM_004538	Nucleosome assembly protein 1-like 3	NAP1L3	?7.653	DNA binding and chromatin proteins
NM_000739	Cholinergic receptor, muscarinic 2	CHRM2	2.509	Cellular receptors
NM_000208	Insulin receptor	INSR	?15.573	Cellular receptors
NM_004736	Xenotropic and polytropic retrovirus receptor	XPR1	?4.135	Cellular receptors
NM_000882	Interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)	IL12A	?3.840	Cell signalling, extracellular communication
NM_002415	Macrophage migration inhibitory factor (glycosylation-inhibiting factor)	MIF	?2.815	Cell signalling, extracellular communication
NM_003236	Transforming growth factor, alpha	TGFA	?4.287	Cell signalling, extracellular communication
NM_004734	Doublecortin and CaM kinase-like 1	DCAMKL1	14.805	Intracellular transducers/effectors/modulators
NM_001946	Dual specificity phosphatase 6	DUSP6	?4.022	Intracellular transducers/effectors/modulators
NM_003479	Protein tyrosine phosphatase type IVA, member 2	PTP4A2	?4.475	Intracellular transducers/effectors/modulators
NM_001613	Actin, alpha 2, smooth muscle, aorta	ACTA2	2.196	Cytoskeleton/motility
NM_005159	Actin, alpha, cardiac muscle	ACTC	?2.339	Cytoskeleton/motility
NM_000384	Apolipoprotein B (including Ag(x) antigen)	APOB	5.184	Cytoskeleton/motility
NM_005690	Dynamin 1-like	DNM1L	?2.277	Cytoskeleton/motility
NM_003283	Troponin T1, skeletal, slow	TNNT1	?3.514	Cytoskeleton/motility
NM_003295	Tumour protein, translationally controlled 1	TPT1	?3.511	Cytoskeleton/motility
