Probeset ID	HUGO ID	Fold regulation CD1 siRNA	CDK4 siRNA	Gene name	Gene function
202119_s_at	CPNE3	2.1	2.3	Copine III	Phospholipid-binding
219315_s_at	C16ORF30	2.1	2.2	chromosome 16 open reading frame 30	Cell adhesion
225325_at	FLJ20160	10.2	4.6	FLJ20160 protein	Unknown
219543_at	MAWBP	4.5	3.4	Phenazine biosynthesis-like protein domain containing	Unknown
221467_at	MC4R	4.5	10.2	Melanocortin 4 receptor	Unknown
1552733_at	KLHDC1	4.3	4.4	Kelch domain containing 1	Unknown
235953_at	ZNF610	3.7	6.5	Zinc finger protein 610	Unknown
1557137_at	TMEM17	3.6	3.3	Transmembrane protein 17	Unknown
226158_at	KLHL24	3.4	3	Kelch-like 24 (Drosophila)	Unknown
240592_at	LCORL	3.1	4	Ligand-dependent nuclear receptor corepressor-like	Unknown
226104_at	RNF170	3.1	5.7	Ring finger protein 170	Unknown
225397_at	CCDC32	3	3.6	Coiled-coil domain containing 32	Unknown
227181_at	LOC348801	2.8	2.2	Hypothetical protein LOC348801	Unknown
224981_at	LOC124446	2.7	2.3	Hypothetical protein BC017488	Unknown
219013_at	GALNT11	2.7	3.5	Galactosamine N-acetylgalactosaminyltransferase 11	Unknown
226583_at	FLJ40142	2.6	2.4	FLJ40142 protein	Unknown
219348_at	MDS032	2.5	2.7	MDS032	Unknown
1553099_at	TIGD1	2.4	2.5	Tigger transposable element derived 1	Unknown
229491_at	LOC133308	2.3	2.9	Hypothetical protein BC009732	Unknown
225446_at	BRWD1	2.3	3.2	Bromodomain and WD repeat domain containing 1	Unknown
235174_s_at	LOC641917	2.3	5.4	Hypothetical protein LOC641917	Unknown
1556180_at	LOC255458	2.2	3.9	Hypothetical protein LOC255458	Unknown
226126_at	MGC16169	2.2	2.1	Hypothetical protein MGC16169	Unknown
41387_r_at	JMJD3	2.1	2.6	Jumonji domain containing 3	Unknown
226235_at	LOC339290	2.1	2.3	Hypothetical protein LOC339290	Unknown
226575_at	ZNF462	2.1	3.2	Zinc finger protein 462	Unknown
224443_at	C1ORF97	2.1	3.7	Chromosome 1 open reading frame 97	Unknown
218694_at	ARMCX1	2.1	2.5	Armadillo repeat containing, X-linked 1	Unknown
221845_s_at	CLPB	2.1	2.8	ClpB caseinolytic peptidase B homologue (E. coli)	Unknown
213939_s_at	RUFY3	2	2.3	RUN and FYVE domain containing 3	Unknown
78495_at	DKFZP762P2111	2	3.3	Hypothetical protein DKFZp762P2111	Unknown
230298_at	LOC153364	2	3.1	Similar to metallo-?-lactamase superfamily protein	Unknown
222931_s_at	THNSL1	2	4.5	Threonine synthase-like 1 (bacterial)	Unknown
