Probeset ID	Gene symbol	Description	FC (log2ratio)	Function
211595_s_at	MRPS11	28S ribosomal protein S11, mitochondrial precursor	-1.03	protein biosynthesis
218982_s_at	MRPS17	28S ribosomal protein S17, mitochondrial precursor	-1.03	protein biosynthesis
205078_at	PIGF	Phosphatidylinositol-glycan biosynthesis, class F protein	-1.02	protein biosynthesis
218270_at	MRPL24	mitochondrial ribosomal protein L24	-1.01	protein biosynthesis
203790_s_at	HRSP12	Ribonuclease UK114	-1	protein biosynthesis
218459_at	TOR3A	torsin family 3, member A	-1.24	protein folding
204518_s_at	PPIC	Peptidyl-prolyl cis-trans isomerase C	-1.02	protein folding
209645_s_at	ALDH1B1	Aldehyde dehydrogenase X, mitochondrial precursor (ALDH class 2)	-2.23	carbohydrate metabolism
203608_at	ALDH5A1	Succinate semialdehyde dehydrogenase, mitochondrial precursor	-2.02	carbohydrate metabolism
203452_at	B3GAT3	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3	-1.99	carbohydrate metabolism
203921_at	CHST2	Carbohydrate sulfotransferase 2	-1.83	carbohydrate metabolism
202838_at	FUCA1	Tissue alpha-L-fucosidase precursor	-1.6	carbohydrate metabolism
213333_at	MDH2	Malate dehydrogenase, mitochondrial precursor	-1.56	carbohydrate metabolism
205140_at	FPGT	Fucose-1-phosphate guanylyltransferase	-1.53	carbohydrate metabolism
203188_at	B3GNT6	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase	-1.37	carbohydrate metabolism
206855_s_at	HYAL2	Hyaluronidase-2 precursor	-1.31	carbohydrate metabolism
209537_at	EXTL2	Exostosin-like 2 (Glucuronyl-galactosyl-proteoglycan 4- alpha-N-acetylglucosaminyltransferase)	-1.29	carbohydrate metabolism
202934_at	HK2	Hexokinase-2 (Hexokinase type II)	-1.19	carbohydrate metabolism
206233_at	B4GALT6	Beta-1,4-galactosyltransferase 6	-1.16	carbohydrate metabolism
218981_at	ACN9	ACN9 protein homolog, mitochondrial precursor.	-1	carbohydrate metabolism
217188_s_at	ERG28_HUMAN	Probable ergosterol biosynthetic protein 28.	-1.82	lipid metabolism
215891_s_at	GM2A	Ganglioside GM2 activator precursor (GM2-AP)	-1.74	lipid metabolism
206473_at	MBTPS2	Membrane-bound transcription factor site 2 protease	-1.54	lipid metabolism
215535_s_at	AGPAT1	1-acyl-sn-glycerol-3-phosphate acyltransferase alpha	-1.53	lipid metabolism
213309_at	PLCL2	phospholipase C-like 2	-1.48	lipid metabolism
211569_s_at	HADHSC	Short chain 3-hydroxyacyl-CoA dehydrogenase, mitochondrial precursor	-1.37	lipid metabolism
208433_s_at	LRP8	Low-density lipoprotein receptor-related protein 8 precursor (Apolipoprotein E receptor 2).	-1.32	lipid metabolism
213787_s_at	EBP	3-beta-hydroxysteroid-delta(8),delta(7)-isomerase	-1.24	lipid metabolism
218322_s_at	ACSL5	Long-chain-fatty-acid--CoA ligase 5	-1.24	lipid metabolism
213132_s_at	FABD_HUMAN	Malonyl CoA-acyl carrier protein transacylase, mitochondrial precursor	-1.22	lipid metabolism
209739_s_at	PNPLA4	Patatin-like phospholipase domain-containing protein 4	-1.18	lipid metabolism
201433_s_at	PTDSS1	Phosphatidylserine synthase 1 (Serine-exchange enzyme I).	-1.15	lipid metabolism
37152_at	PPARD	Peroxisome proliferator-activated receptor delta (PPAR-delta)	-1.14	lipid metabolism
209546_s_at	APOL1	Apolipoprotein-L1 precursor	-1.1	lipid metabolism
218285_s_at	DHRS6_HUMAN	Dehydrogenase/reductase SDR family member 6 precursor	-1.09	lipid metabolism
201847_at	LIPA	Lysosomal acid lipase/cholesteryl ester hydrolase precursor	-1.07	lipid metabolism
210130_s_at	TM7SF2	Delta(14)-sterol reductase (C-14 sterol reductase) (Sterol C14-reductase)	-1.04	lipid metabolism
202613_at	CTPS	CTP synthase (UTP--ammonia ligase)	-1.82	nucleobase, nucleoside, nucleotide and nucleic acid metabolism
213632_at	DHODH	Dihydroorotate dehydrogenase, mitochondrial precursor	-1.62	nucleobase, nucleoside, nucleotide and nucleic acid metabolism
219048_at	PIGN	phosphatidylinositol glycan, class N	-1.31	nucleobase, nucleoside, nucleotide and nucleic acid metabolism
219553_at	NME7	Nucleoside diphosphate kinase 7	-1.23	nucleobase, nucleoside, nucleotide and nucleic acid metabolism
212173_at	AK2	Adenylate kinase isoenzyme 2, mitochondrial	-1.2	nucleobase, nucleoside, nucleotide and nucleic acid metabolism
213378_s_at	DDX12	Helicase (Fragment).	-1.19	nucleobase, nucleoside, nucleotide and nucleic acid metabolism
202587_s_at	AK1	Adenylate kinase isoenzyme 1 (ATP-AMP transphosphorylase)	-1.16	nucleobase, nucleoside, nucleotide and nucleic acid metabolism
218102_at	DERA	Putative deoxyribose-phosphate aldolase	-1.11	nucleobase, nucleoside, nucleotide and nucleic acid metabolism
217990_at	GMPR2	GMP reductase 2 (Guanosine 5-monophosphate oxidoreductase 2)	-1	nucleobase, nucleoside, nucleotide and nucleic acid metabolism
212901_s_at	CSTF2T	Cleavage stimulation factor, 64 kDa subunit, tau variant	-2.22	RNA metabolism
221688_s_at	IMP3	U3 small nucleolar ribonucleoprotein protein IMP3	-1.96	RNA metabolism
221264_s_at	TARDBP	TAR DNA-binding protein 43 (TDP-43).	-1.85	RNA metabolism
209449_at	LSM2	U6 snRNA-associated Sm-like protein LSm2 (SnRNP core Sm-like protein Sm-x5)	-1.8	RNA metabolism
219581_at	TSEN2	tRNA-splicing endonuclease subunit Sen2	-1.69	RNA metabolism
217856_at	RBM8A	RNA-binding protein 8A (RNA-binding motif protein 8A)	-1.6	RNA metabolism
204839_at	POP5	processing of precursor 5, ribonuclease P/MRP subunit isoform c	-1.49	RNA metabolism
201129_at	SFRS7	Splicing factor, arginine/serine-rich 7 (Splicing factor 9G8).	-1.41	RNA metabolism
219384_s_at	ADAT1	adenosine deaminase, tRNA-specific 1	-1.4	RNA metabolism
201076_at	NHP2L1	NHP2-like protein 1 (High mobility group-like nuclear protein 2 homolog 1)	-1.35	RNA metabolism
203820_s_at		IGF-II mRNA-binding protein 3	-1.35	RNA metabolism
91684_g_at	EXOSC4	Exosome complex exonuclease RRP41	-1.27	RNA metabolism
219539_at	GEMIN6	Gem-associated protein 6 (Gemin-6) (SIP2).	-1.25	RNA metabolism
217984_at	RNASET2	Ribonuclease T2 precursor (Ribonuclease 6).	-1.24	RNA metabolism
218365_s_at	DARS2	aspartyl-tRNA synthetase 2 (mitochondrial)	-1.11	RNA metabolism
218150_at	ARL5A	ADP-ribosylation factor-like protein 5A.	-1.08	RNA metabolism
202190_at	CSTF1	Cleavage stimulation factor, 50 kDa subunit (CSTF 50 kDa subunit)	-1.06	RNA metabolism
217099_s_at	GEMIN4	Component of gems 4 (Gemin-4) (p97).	-1.04	RNA metabolism
209104_s_at	NOLA2	H/ACA ribonucleoprotein complex subunit 2 (Nucleolar protein family A member 2)	-1.02	RNA metabolism
218493_at	CP033_HUMAN	U11/U12 snRNP 25 kDa protein (Minus-99 protein).	-1.02	RNA metabolism
221521_s_at	PSF2_HUMAN	DNA replication complex GINS protein PSF2.	-1.73	DNA metabolism
222238_s_at	POLM	DNA polymerase mu	-1.63	DNA metabolism
201555_at	MCM3	DNA replication licensing factor MCM3 (DNA polymerase alpha holoenzyme-associated protein P1)	-1.51	DNA metabolism
220311_at	N6AM1_HUMAN	Putative N6-DNA-methyltransferase	-1.36	DNA metabolism
204824_at	ENDOG	Endonuclease G, mitochondrial precursor	-1.34	DNA metabolism
205053_at	PRIM1	DNA primase small subunit	-1.24	DNA metabolism
205085_at	ORC1L	Origin recognition complex subunit 1 (Replication control protein 1).	-1.18	DNA metabolism
208955_at	DUT	Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial precursor	-1.1	DNA metabolism
204441_s_at	POLA2	DNA polymerase alpha subunit B (DNA polymerase alpha 70 kDa subunit).	-1.09	DNA metabolism
205521_at	ENDOGL1	Endonuclease G-like 1	-1.05	DNA metabolism
209773_s_at	RRM2	Ribonucleoside-diphosphate reductase M2 subunit	-1.02	DNA metabolism
204128_s_at	RFC3	Activator 1 38 kDa subunit (Replication factor C 38 kDa subunit)	-1	DNA metabolism
207826_s_at	ID3	DNA-binding protein inhibitor ID-3 (Inhibitor of DNA binding 3)	-3.72	transcription
214639_s_at	HOXA1	Homeobox protein Hox-A1 (Hox-1F).	-3.32	transcription
208937_s_at	ID1	DNA-binding protein inhibitor ID-1 (Inhibitor of DNA binding 1).	-2.56	transcription
217367_s_at	ZHX3	Zinc fingers and homeoboxes protein 3 (Triple homeobox 1 protein).	-2.54	transcription
202936_s_at	SOX9	Transcription factor SOX-9.	-2.48	transcription
216262_s_at	TGIF2	Homeobox protein TGIF2 (TGFB-induced factor 2)	-2.35	transcription
202815_s_at	HEXIM1	HMBA-inducible	-2.16	transcription
202586_at	POLR2L	DNA-directed RNA polymerase II 7.6 kDa polypeptide	-2.14	transcription
209724_s_at	ZFP161	Zinc finger protein 161 homolog (Zfp-161)	-2.05	transcription
209505_at	NR2F1	COUP transcription factor 1 (COUP-TF1)	-1.88	transcription
211597_s_at	HOP_HUMAN	Homeodomain-only protein (Lung cancer-associated Y protein)	-1.88	transcription
207480_s_at	MEIS2	Homeobox protein Meis2 (Meis1-related protein 1).	-1.84	transcription
218006_s_at	ZNF22	Zinc finger protein 22 (Zinc finger protein KOX15)	-1.7	transcription
205313_at	TCF2	Hepatocyte nuclear factor 1-beta (Variant hepatic nuclear factor 1)	-1.69	transcription
202401_s_at	SRF	Serum response factor (SRF).	-1.67	transcription
213150_at	HOXA10	Homeobox protein Hox-A10	-1.67	transcription
205264_at	CD3EAP	CD3E antigen, epsilon polypeptide associated protein	-1.63	transcription
203360_s_at	MYCBP	Gap junction alpha-10 protein (Connexin-59) (Connexin-58)	-1.61	transcription
203395_s_at	HES1	Transcription factor HES-1 (Hairy and enhancer of split 1)	-1.58	transcription
219779_at	ZFHX4	zinc finger homeodomain 4	-1.52	transcription
207760_s_at	NCOR2	Nuclear receptor corepressor 2 (N-CoR2)	-1.51	transcription
214881_s_at	UBTF	Nucleolar transcription factor 1 (Upstream binding factor 1)	-1.49	transcription
55872_at	SOX18	Transcription factor SOX-18.	-1.46	transcription
205817_at	SIX1	Homeobox protein SIX1 (Sine oculis homeobox homolog 1).	-1.45	transcription
218866_s_at	POLR3K	DNA-directed RNA polymerases III 12.5 kDa polypeptide	-1.43	transcription
202617_s_at	MECP2	Methyl-CpG-binding protein 2 (MeCP-2 protein)	-1.42	transcription
208670_s_at	CRI1	CREBBP/EP300 inhibitor 1 (CRI1), mRNA	-1.42	transcription
220102_at	FOXL2	Forkhead box protein L2.	-1.42	transcription
215933_s_at	HHEX	Homeobox protein PRH (Hematopoietically expressed homeobox)	-1.37	transcription
201827_at	SMARCD2	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2	-1.33	transcription
212037_at	PNN	Pinin (140 kDa nuclear and cell adhesion-related phosphoprotein)	-1.33	transcription
221558_s_at	LEF1	Lymphoid enhancer binding factor 1 (LEF-1)	-1.33	transcription
212332_at	RBL2	Retinoblastoma-like protein 2 (130 kDa retinoblastoma-associated protein)	-1.3	transcription
221727_at	SUB1	Activated RNA polymerase II transcriptional coactivator p15	-1.3	transcription
208119_s_at	ZNF93	Zinc finger protein 93 (Zinc finger protein 505)	-1.27	transcription
212774_at	ZNF238	Zinc finger protein 238 (Transcriptional repressor RP58)	-1.26	transcription
2028_s_at	E2F1	Transcription factor E2F1 (Retinoblastoma binding protein 3) (RBBP-3)	-1.24	transcription
212955_s_at	POLR2I	DNA-directed RNA polymerase II 14.5 kDa polypeptide 54]	-1.19	transcription
203081_at	CTNNBIP1	Beta-catenin-interacting protein 1 (Inhibitor of beta-catenin and Tcf- 4).	-1.19	transcription
206307_s_at		forkhead box D1 (FOXD1), mRNA	-1.18	transcription
206261_at	ZNF239	Zinc finger protein 239 (Zinc finger protein MOK-2)	-1.17	transcription
214482_at	ZBTB25	Zinc finger and BTB domain-containing protein 25	-1.17	transcription
218206_x_at	SCAND1	SCAN domain-containing protein 1.	-1.17	transcription
204872_at	TLE4	Transducin-like enhancer protein 4.	-1.14	transcription
222237_s_at	ZNF228	Zinc finger protein 228.	-1.13	transcription
214651_s_at	HOXA9	Homeobox protein Hox-A9 (Hox-1G).	-1.11	transcription
202979_s_at	ZHANG_HUMAN	Host cell factor-binding transcription factor Zhangfei	-1.1	transcription
213604_at	TCEB3	Transcription elongation factor B polypeptide 3 (RNA polymerase II transcription factor SIII subunit A1)	-1.09	transcription
210191_s_at	PHTF1	Putative homeodomain transcription factor 1.	-1.08	transcription
201362_at	IVNS1ABP	influenza virus NS1A binding protein isoform a	-1.06	transcription
204366_s_at	GTF3C2	General transcription factor 3C polypeptide 2 (Transcription factor IIIC-beta subunit)	-1.06	transcription
209407_s_at	DEAF1	Deformed epidermal autoregulatory factor 1 homolog (Nuclear DEAF-1 related transcriptional regulator)	-1.04	transcription
210290_at	ZNF174	Zinc finger protein 174	-1.04	transcription
201869_s_at	TBL1X	F-box-like/WD-repeat protein TBL1X (Transducin beta-like 1X protein)	-1.02	transcription
208502_s_at	PITX1	Pituitary homeobox 1 (Hindlimb expressed homeobox protein backfoot).	-1.02	transcription
218058_at	CXXC1	CpG binding protein (Protein containing PHD finger and CXXC domain 1)	-1.01	transcription
202519_at	MLXIP	mondoA	-1	transcription
204779_s_at	HOXB7	Homeobox protein Hox-B7 (Hox-2C) (HHO.C1).	-1	transcription
209623_at	MCCC2	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial precursor	-1.2	amino acid and derivative metabolism
218944_at	PYCRL	pyrroline-5-carboxylate reductase-like	-1.17	amino acid and derivative metabolism
201197_at	AMD1	S-adenosylmethionine decarboxylase proenzyme	-1.04	amino acid and derivative metabolism
209980_s_at	SHMT1	Serine hydroxymethyltransferase, cytosolic	-1.02	amino acid and derivative metabolism
213647_at	DNA2L	DNA2-like homolog (DNA replication ATP-dependent helicase-like homolog)	-1.01	amino acid and derivative metabolism
200769_s_at	MAT2A	S-adenosylmethionine synthetase gamma form (Methionine adenosyltransferase)	-2.14	cellular metabolism
214117_s_at	BTD	Biotinidase precursor	-1.84	cellular metabolism
204867_at	GCHFR	GTP cyclohydrolase I feedback regulatory protein (GFRP)	-1.83	cellular metabolism
220865_s_at	TPRT	trans-prenyltransferase	-1.72	cellular metabolism
203031_s_at	UROS	Uroporphyrinogen-III synthase	-1.59	cellular metabolism
210006_at	ABHD14A	abhydrolase domain containing 14A	-1.39	cellular metabolism
218121_at	HMOX2	Heme oxygenase 2	-1.31	cellular metabolism
218540_at	THTPA	Thiamine-triphosphatase	-1.3	cellular metabolism
202533_s_at	DHFR	Dihydrofolate reductase	-1.21	cellular metabolism
203040_s_at	HMBS	Porphobilinogen deaminase (Hydroxymethylbilane synthase)	-1.2	cellular metabolism
218307_at	RSAD1	radical S-adenosyl methionine domain containing 1	-1.1	cellular metabolism
211675_s_at	MDFIC	MyoD family inhibitor domain containing isoform p40	-1.12	response to stimulus
218507_at	HIG2_HUMAN	Hypoxia-inducible gene 2 protein.	-1.33	response to stress
216598_s_at	CCL2	Small inducible cytokine A2 precursor (CCL2) (Monocyte chemotactic protein 1)	-3.37	immune response
203596_s_at	IFIT5	Interferon-induced protein with tetratricopeptide repeats 5 (IFIT-5)	-2.34	immune response
202269_x_at	GBP1	Interferon-induced guanylate-binding protein 1 (GTP-binding protein 1)	-2.29	immune response
221060_s_at	TLR4	Toll-like receptor 4 precursor (hToll) (CD284 antigen).	-2.06	immune response
221058_s_at	CKLF	Chemokine-like factor (C32).	-1.63	immune response
211991_s_at	HLA-DPA1	HLA class II histocompatibility antigen, DP alpha chain precursor	-1.54	immune response
219076_s_at	PXMP2	Peroxisomal membrane protein 2 (22 kDa peroxisomal membrane protein).	-1.46	immune response
205483_s_at	G1P2	Interferon-induced 17 kDa protein precursor	-1.4	immune response
201207_at	TNFAIP1	Tumor necrosis factor, alpha-induced protein 1, endothelial (B12 protein).	-1.33	immune response
208097_s_at	TXNDC	Thioredoxin domain-containing protein 1 precursor	-1.28	immune response
35150_at	CD40	Tumor necrosis factor receptor superfamily member 5 precursor	-1.15	immune response
211852_s_at	ATRN	Attractin precursor (Mahogany homolog) (DPPT-L)	-1.05	immune response
218689_at	FANCF	Fanconi anemia group F protein (Protein FACF).	-2.38	reponse to DNA damage stimulus
219502_at	NEIL3	Endonuclease VIII-like 3 (Nei-like 3)	-2.18	reponse to DNA damage stimulus
221703_at	BRIP1	Fanconi anemia group J protein	-1.84	reponse to DNA damage stimulus
201291_s_at	TOP2A	Topoisomerase II alpha (Fragment).	-1.63	reponse to DNA damage stimulus
205875_s_at	TREX1	ATR-interacting protein (ATM and Rad3-related-interacting protein).	-1.48	reponse to DNA damage stimulus
206066_s_at	RAD51C	DNA repair protein RAD51 homolog 3.	-1.43	reponse to DNA damage stimulus
209731_at	NTHL1	Endonuclease III-like protein 1	-1.36	reponse to DNA damage stimulus
219494_at	RAD54B	DNA repair and recombination protein RAD54B	-1.32	reponse to DNA damage stimulus
205909_at	POLE2	DNA polymerase epsilon subunit 2	-1.31	reponse to DNA damage stimulus
209903_s_at	ATR	Serine-protein kinase ATR (Ataxia telangiectasia and Rad3-related protein)	-1.21	reponse to DNA damage stimulus
203806_s_at	FANCA	Fanconi anemia group A protein (Protein FACA).	-1.19	reponse to DNA damage stimulus
218397_at	FANCL	Ubiquitin ligase protein FANCL (Fanconi anemia group L protein)	-1.18	reponse to DNA damage stimulus
205672_at	XPA	DNA-repair protein complementing XP-A cells	-1.17	reponse to DNA damage stimulus
204766_s_at	NUDT1	7,8-dihydro-8-oxoguanine triphosphatase (EC 3.1.6.-) (8-oxo-dGTPase)	-1.16	reponse to DNA damage stimulus
204603_at	EXO1	exonuclease 1 isoform b	-1.15	reponse to DNA damage stimulus
204408_at	APEX2	DNA-(apurinic or apyrimidinic site) lyase 2	-1.08	reponse to DNA damage stimulus
215773_x_at	PARP2	Poly [ADP-ribose] polymerase 2	-1.06	reponse to DNA damage stimulus
213677_s_at	PMS1	PMS1 protein homolog 1 (DNA mismatch repair protein PMS1).	-1.04	reponse to DNA damage stimulus
204339_s_at	RGS4	Regulator of G-protein signaling 4 (RGS4) (RGP4).	-4.09	G-protein coupled receptor protein signaling pathway
206023_at	NMU	Neuromedin U-25 precursor (NmU-25).	-2.01	G-protein coupled receptor protein signaling pathway
206290_s_at	RGS7	Regulator of G-protein signaling 7 (RGS7).	-1.87	G-protein coupled receptor protein signaling pathway
219560_at	GNB1L	Guanine nucleotide-binding protein beta subunit-like protein 1	-1.5	G-protein coupled receptor protein signaling pathway
209990_s_at	GPR51	Gamma-aminobutyric acid type B receptor, subunit 2 precursor (GABA-B receptor 2)	-1.34	G-protein coupled receptor protein signaling pathway
202019_s_at	LANCL1	LanC-like protein 1 (40 kDa erythrocyte membrane protein) (p40).	-1.23	G-protein coupled receptor protein signaling pathway
204451_at	FZD1	Frizzled 1 precursor (Frizzled-1)	-1.19	G-protein coupled receptor protein signaling pathway
213603_s_at	RAC2	Ras-related C3 botulinum toxin substrate 2 (p21-Rac2)	-1.09	G-protein coupled receptor protein signaling pathway
214613_at	GPR3	Probable G-protein coupled receptor 3 (ACCA orphan receptor).	-1.08	G-protein coupled receptor protein signaling pathway
206673_at	GPR176	Probable G-protein coupled receptor 176 (HB-954).	-1.07	G-protein coupled receptor protein signaling pathway
205990_s_at	WNT5A	Wnt-5a protein precursor.	-2.42	signal transduction
218951_s_at	PLCXD1	phosphatidylinositol-specific phospholipase C, X domain containing 1	-2.17	signal transduction
204686_at	IRS1	Insulin receptor substrate 1 (IRS-1).	-1.86	signal transduction
219412_at	RAB38	Ras-related protein Rab-38 (Antigen NY-MEL-1).	-1.79	signal transduction
204168_at	MGST2	Microsomal glutathione S-transferase 2	-1.52	signal transduction
203499_at	EPHA2	Ephrin type-A receptor 2 precursor (Tyrosine-protein kinase receptor ECK)	-1.52	signal transduction
221772_s_at	PPP2R2D	protein phosphatase 2, regulatory subunit B, delta isoform 2	-1.48	signal transduction
203450_at	PGEA1	Chibby protein (PKD2 interactor, Golgi and endoplasmic reticulum associated 1)	-1.39	signal transduction
