Gene Symbol	Gene Description	Fold Change	Function
P2RX1	Purinergic receptor P2X, ligand-gated ion channel, 1	0.28	Intracellular signaling–signal transducer activity–protein modification
RAB25	RAB25, member RAS oncogene family	0.36	Intracellular signaling–signal transducer activity–protein modification
DKFZP434C131	DKFZP434C131 protein	NA	Intracellular signaling–signal transducer activity–protein modification
PIM1	Pim-1 oncogene	0.42	Intracellular signaling–signal transducer activity–protein modification
RALGDS	Ral guanine nucleotide dissociation stimulator	0.48	Intracellular signaling–signal transducer activity–protein modification
DUSP5	Dual-specificity phosphatase 5	0.51	Intracellular signaling–signal transducer activity–protein modification
MAPK3	Mitogen-activated protein kinase 3	0.56	Intracellular signaling–signal transducer activity–protein modification
PLOD2	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	0.57	Intracellular signaling–signal transducer activity–protein modification
ARHF	Ras homologue gene family, member F (in filopodia)	0.59	Intracellular signaling–signal transducer activity–protein modification
TOB1	Transducer of ERBB2, 1	0.59	Intracellular signaling–signal transducer activity–protein modification
CLK3	CDC-like kinase 3	0.65	Intracellular signaling–signal transducer activity–protein modification
PRKCD	Protein kinase C, ?	0.68	Intracellular signaling–signal transducer activity–protein modification
PTPRA	Protein tyrosine phosphatase, receptor type, A	0.71	Intracellular signaling–signal transducer activity–protein modification
ELF3	E74-like factor 3 (Ets domain transcription factor, epithelial-specific)	0.13	Transcription
MXI1	MAX interacting protein 1	0.25	Transcription
CDX2	Caudal type homeobox transcription factor 2	0.42	Transcription
NFE2	Nuclear factor (erythroid-derived 2), 45 kDa	0.52	Transcription
KLF4	Kruppel-like factor 4 (gut)	0.55	Transcription
ZNF266	Zinc finger protein 266	0.6	Transcription
