GeneID, ranked according to fold change	gene symbol	Fold change after EZH2 knockdown	Corresponding change after NIPP1 knockdown	Expression
51474	LIMA1	3.1	2.03	Upregulated genes
79669	C3orf52	3,09; 1,86	1,32; 1,31	Upregulated genes
4599	MX1	3.08	2.25	Upregulated genes
4495	MT1G	3.06	1.66	Upregulated genes
4314	MMP3	3.06	1.03	Upregulated genes
7185	TRAF1	3.05	1.02	Upregulated genes
83895	KRTAP1-5	3.04	2.45	Upregulated genes
11262	SP140	3.02	1.85	Upregulated genes
57590	WDFY1	3.01	0.79	Upregulated genes
4493	MT1E	3,00; 2,96	1,66; 1,62	Upregulated genes
4490	MT1B	3	1.63	Upregulated genes
4501	MT1X	2,99; 2,98	1,61; 1,64	Upregulated genes
51105	PHF20L1	2.98	2.11	Upregulated genes
5371	PML	2,96; 2,27	1,88; 0,95	Upregulated genes
140766	ADAMTS14	2.96	2.32	Upregulated genes
64761	PARP12	2.95	1.81	Upregulated genes
27074	LAMP3	2.94	2.6	Upregulated genes
9076	CLDN1	2.93	1.43	Upregulated genes
5955	RCN2	2.93	2.51	Upregulated genes
3516	RBPJ	2,92; 2,52; 2,45	1,66; 1,54; 1,40	Upregulated genes
54972	TMEM132A	2.91	1.68	Upregulated genes
3569	IL6	2.9	1.28	Upregulated genes
64747	MFSD1	2.89	2.09	Upregulated genes
3669	ISG20	2.87	1.86	Upregulated genes
3309	HSPA5	2,85; 1,58; 1,58	0,98; 0,86; 0,85	Upregulated genes
117854	TRIM6	2,84; 2,80	1,71; 1,63	Upregulated genes
83892	KCTD10	2,84; 1,65	2,01; 1,53	Upregulated genes
57393	TMEM27	2.84	2.96	Upregulated genes
10923	SUB1	2.83	1.12	Upregulated genes
8091	HMGA2	2.83	0.7	Upregulated genes
84216	TMEM117	2.82	1.3	Upregulated genes
5054	SERPINE1	2,82; 2,79; 2,75; 2,75; 2,75; 2,71; 2,71; 2,71; 2,69; 2,68; 2,62	3,03; 2,81; 2,87; 2,83; 2,15; 2,85; 2,81; 2,81; 2,84; 2,81; 2,48	Upregulated genes
5366	PMAIP1	2,81; 2,76; 2,75; 2,73; 2,73; 2,72; 2,70; 2,67; 2,66	1,17; 1,11; 1,13; 1,14; 1,13; 1,13; 1,13; 1,11; 1,14	Upregulated genes
5420	PODXL	2.79	1.67	Upregulated genes
5163	PDK1	2,79; 1,81	1,76; 1,52	Upregulated genes
83591	THAP2	2.78	2.71	Upregulated genes
183	AGT	2.78	1.11	Upregulated genes
9819	TSC22D2	2,77; 1,82	1,25; 1,18	Upregulated genes
2634	GBP2	2.75	1.74	Upregulated genes
9374	PPT2	2.75	1.92	Upregulated genes
4133	MAP2	2.74	1.57	Upregulated genes
157567	ANKRD46	2.71	2.22	Upregulated genes
6672	SP100	2.7	1.64	Upregulated genes
3456	IFNB1	2.69	1.15	Upregulated genes
57169	ZNFX1	2,69; 2,22	1,60; 1,45	Upregulated genes
3383	ICAM1	2.67	0.83	Upregulated genes
10133	OPTN	2.67	1.38	Upregulated genes
6398	SECTM1	2.67	1.05	Upregulated genes
54538	ROBO4	2.64	1.86	Upregulated genes
7128	TNFAIP3	2.64	1.6	Upregulated genes
4688	NCF2	2.64	1.15	Upregulated genes
2591	GALNT3	2.64	0.5	Upregulated genes
9764	KIAA0513	2.63	1.45	Upregulated genes
353322	ANKRD37	2.63	1.21	Upregulated genes
84132	USP42	2,63; 2,35	1,98; 1,70	Upregulated genes
860	RUNX2	2.62	1.49	Upregulated genes
4502	MT2A	2,62; 2,45; 2,19	1,83; 1,93; 1,82	Upregulated genes
221079	ARL5B	2,62; 1,65	1,49; 1,26	Upregulated genes
1508	CTSB	2,62; 2,33; 1,92; 1,79	0,91; 1,18; 0,90; 0,95	Upregulated genes
6773	STAT2	2,62; 1,65	1,71; 1,18	Upregulated genes
6715	SRD5A1	2.61	2.24	Upregulated genes
404203	SPINK6	2.61	1.61	Upregulated genes
4919	ROR1	2,60; 2,43	0,47; 0,51	Upregulated genes
2627	GATA6	2.6	1.89	Upregulated genes
152926	PPM1K	2.59	1.74	Upregulated genes
4907	NT5E	2,58; 1,71	1,41; 0,87	Upregulated genes
5999	RGS4	2,58; 2,02	1,69; 1,40	Upregulated genes
83637	ZMIZ2	2,58; 1,77	1,75; 1,16	Upregulated genes
57561	ARRDC3	2.58	1.22	Upregulated genes
634	CEACAM1	2.58	0.65	Upregulated genes
80830	APOL6	2,58; 2,11	1,26; 1,18	Upregulated genes
6236	RRAD	2.57	1.23	Upregulated genes
98	ACYP2	2.57	2.25	Upregulated genes
9976	CLEC2B	2,57; 2,05	1,29; 1,04	Upregulated genes
5770	PTPN1	2.56	2	Upregulated genes
6303	SAT1	2,55; 2,35	3,11; 3,02	Upregulated genes
373856	USP41	2.54	1.04	Upregulated genes
10170	DHRS9	2.53	1.32	Upregulated genes
4118	MAL	2.53	0.72	Upregulated genes
202459	LOC202459	2.52	1.86	Upregulated genes
93349	LOC93349	2,52; 2,36	1,74; 1,71	Upregulated genes
7280	TUBB2A	2.51	1.24	Upregulated genes
144402	CPNE8	2,51; 2,06; 1,99	1,16; 1,17; 1,31	Upregulated genes
85363	TRIM5	2.51	1.63	Upregulated genes
23052	ENDOD1	2,50; 2,07	1,44; 1,28	Upregulated genes
80213	TM2D3	2,50; 1,82	1,39; 1,28	Upregulated genes
1906	EDN1	2.5	1.46	Upregulated genes
9709	HERPUD1	2.5	1.27	Upregulated genes
6925	TCF4	2.5	2.37	Upregulated genes
55332	DRAM	2,49; 2,26	1,45; 1,32	Upregulated genes
3918	LAMC2	2,48; 1,67	0,89; 0,81	Upregulated genes
7057	THBS1	2,47; 2,06	1,29; 1,21	Upregulated genes
4316	MMP7	2.47	1.69	Upregulated genes
5359	PLSCR1	2.47	1.78	Upregulated genes
5569	PKIA	2.47	1.23	Upregulated genes
1316	KLF6	2,47; 2,36; 2,20; 2,03	1,63; 1,41; 1,36; 1,22	Upregulated genes
8548	BLZF1	2,46; 2,39	1,00; 1,30	Upregulated genes
5412	UBL3	2,46; 1,70	1,25; 1,38	Upregulated genes
7045	TGFBI	2.46	1.21	Upregulated genes
23142	DCUN1D4	2.46	2.57	Upregulated genes
131566	DCBLD2	2,45; 2,01; 1,93	1,45; 1,06; 1,16	Upregulated genes
5801	PTPRR	2.44	1.43	Upregulated genes
65977	PLEKHA3	2,44; 1,83	3,23; 2,12	Upregulated genes
5021	OXTR	2.44	1.2	Upregulated genes
6648	SOD2	2.43	1.21	Upregulated genes
3659	IRF1	2.43	0.96	Upregulated genes
84541	KBTBD8	2.42	1.82	Upregulated genes
23780	APOL2	2,42; 2,11	1,91; 1,79	Upregulated genes
1958	EGR1	2.41	1.94	Upregulated genes
59272	ACE2	2.41	1.38	Upregulated genes
58505	DC2	2.41	1.87	Upregulated genes
133	ADM	2.41	1.35	Upregulated genes
10397	NDRG1	2.4	0.86	Upregulated genes
55008	HERC6	2,40; 2,09	1,45; 1,38	Upregulated genes
8829	NRP1	2.4	1.26	Upregulated genes
8073	PTP4A2	2,40; 2,27	1,59; 1,65	Upregulated genes
7103	TSPAN8	2.39	1.55	Upregulated genes
9881	LBA1	2.39	2.4	Upregulated genes
79573	TTC13	2.38	1.27	Upregulated genes
3106	HLA-B	2,37; 2,28; 2,28; 2,25; 2,05	0,99; 0,98; 1,05; 1,15; 0,94	Upregulated genes
57179	KIAA1191	2,37; 2,19	2,10; 1,91	Upregulated genes
1647	GADD45A	2.37	1.51	Upregulated genes
11009	IL24	2.37	1	Upregulated genes
4938	OAS1	2.36	1.58	Upregulated genes
1901	EDG1	2.36	1.22	Upregulated genes
54838	C10orf26	2.36	2.14	Upregulated genes
374860	ANKRD30B	2.36	2.74	Upregulated genes
342908	ZNF404	2.35	1.7	Upregulated genes
8710	SERPINB7	2.35	2.56	Upregulated genes
171546	C14orf147	2.34	2.04	Upregulated genes
6646	SOAT1	2,34; 2,05	2,01; 3,18	Upregulated genes
9586	CREB5	2,34; 1,56	1,28; 1,23	Upregulated genes
54464	XRN1	2.34	1.79	Upregulated genes
145567	TTC7B	2.34	2.34	Upregulated genes
144100	PLEKHA7	2.33	1.14	Upregulated genes
25939	SAMHD1	2.33	1.44	Upregulated genes
57537	SORCS2	2.33	0.92	Upregulated genes
831	CAST	2.33	0.58	Upregulated genes
25927	C2orf32	2.33	3.29	Upregulated genes
51022	GLRX2	2.33	2.61	Upregulated genes
5743	PTGS2	2,32; 2,08	1,86; 1,70	Upregulated genes
3134	HLA-F	2,32; 2,17	1,21; 1,05	Upregulated genes
7097	TLR2	2.31	1.02	Upregulated genes
55196	C12orf35	2,31; 1,94	1,30; 1,10	Upregulated genes
89932	PAPLN	2.3	0.72	Upregulated genes
51155	HN1	2.3	2.31	Upregulated genes
1307	COL16A1	2.3	1.4	Upregulated genes
567	B2M	2.3	1.34	Upregulated genes
23424	TDRD7	2.28	1.58	Upregulated genes
50999	TMED5	2.27	1.84	Upregulated genes
6288	SAA1	2.27	1.11	Upregulated genes
1185	CLCN6	2.27	1.23	Upregulated genes
23118	MAP3K7IP2	2.27	1.49	Upregulated genes
148641	SLC35F3	2.27	0.84	Upregulated genes
9111	NMI	2,27; 2,26; 2,24; 2,24; 2,23; 2,23; 2,21; 2,21; 2,21; 2,20	2,01; 2,04; 2,04; 2,05; 2,02; 2,02; 2,05; 2,06; 2,02; 2,05	Upregulated genes
26750	RPS6KC1	2.27	1.73	Upregulated genes
84259	DCUN1D5	2.26	2.55	Upregulated genes
54530	FLJ20054	2.26	1.31	Upregulated genes
22890	ZBTB1	2.25	1.19	Upregulated genes
7518	XRCC4	2.25	1.83	Upregulated genes
7851	MALL	2,24; 2,19; 1,75	0,52; 0,58; 0,54	Upregulated genes
84981	MGC14376	2.24	0.98	Upregulated genes
24145	PANX1	2,24; 1,50	0,90; 0,85	Upregulated genes
1437	CSF2	2.23	1.59	Upregulated genes
3157	HMGCS1	2,23; 1,73	1,32; 1,05	Upregulated genes
24138	IFIT5	2,23; 2,17	1,74; 1,62	Upregulated genes
55686	MREG	2,23; 1,67	1,36; 1,15	Upregulated genes
23621	BACE1	2.22	2.02	Upregulated genes
122786	FRMD6	2,22; 1,79	1,25; 1,40	Upregulated genes
481	ATP1B1	2,22; 1,77	1,15; 1,29	Upregulated genes
9140	ATG12	2,22; 2,00	1,17; 1,18	Upregulated genes
4147	MATN2	2,21; 1,57	1,94; 1,47	Upregulated genes
285047	LOC285047	2.21	1	Upregulated genes
55900	ZNF302	2.21	0.64	Upregulated genes
440068	INCA	2.21	1.24	Upregulated genes
3576	IL8	2.2	1.91	Upregulated genes
8837	CFLAR	2,20; 1,71	0,92; 0,93	Upregulated genes
56674	TMEM9B	2,20; 2,02	1,59; 1,48	Upregulated genes
340481	ZDHHC21	2,20; 1,49	2,00; 1,40	Upregulated genes
677	ZFP36L1	2.19	1.28	Upregulated genes
9123	SLC16A3	2.19	1.03	Upregulated genes
79919	C2orf54	2.18	1.01	Upregulated genes
6792	CDKL5	2.18	1.33	Upregulated genes
1318	SLC31A2	2.18	1.4	Upregulated genes
58155	PTBP2	2,17; 1,94	1,05; 1,19	Upregulated genes
22941	SHANK2	2.17	1.36	Upregulated genes
441140	FLJ45422	2.17	1.05	Upregulated genes
8519	IFITM1	2.17	1.6	Upregulated genes
10447	FAM3C	2,16; 2,15; 2,04	2,12; 2,15; 2,00	Upregulated genes
285704	RGMB	2.16	1.43	Upregulated genes
23760	PITPNB	2,16; 1,85	1,59; 1,57	Upregulated genes
3162	HMOX1	2.16	6.06	Upregulated genes
6583	SLC22A4	2.16	1.06	Upregulated genes
54033	RBM11	2.16	1.29	Upregulated genes
55704	KIAA1212	2.16	1.97	Upregulated genes
51454	GULP1	2,15; 1,57	1,32; 1,28	Upregulated genes
11141	IL1RAPL1	2.15	1.31	Upregulated genes
112849	C14orf149	2.15	1.7	Upregulated genes
169200	TMEM64	2.15	1.52	Upregulated genes
715	C1R	2.15	0.89	Upregulated genes
7325	UBE2E2	2.14	2.16	Upregulated genes
3398	ID2	2,14; 1,85	2,08; 1,70	Upregulated genes
2621	GAS6	2.14	1.29	Upregulated genes
2651	GCNT2	2.14	1.36	Upregulated genes
1890	ECGF1	2.14	0.99	Upregulated genes
1435	CSF1	2.14	0.83	Upregulated genes
3107	HLA-C	2.13	1.12	Upregulated genes
377677	CA13	2.13	1.69	Upregulated genes
1789	DNMT3B	2.12	1.71	Upregulated genes
329	BIRC2	2.12	1.69	Upregulated genes
23568	ARL2BP	2.11	1.76	Upregulated genes
9246	UBE2L6	2,11; 1,88	1,44; 1,37	Upregulated genes
64951	MRPS24	2.11	2.09	Upregulated genes
5533	PPP3CC	2.1	2.18	Upregulated genes
284996	RNF149	2.1	1.42	Upregulated genes
51056	LAP3	2,10; 1,74	1,39; 1,34	Upregulated genes
3135	HLA-G	2.1	1.07	Upregulated genes
51199	NIN	2.09	2.23	Upregulated genes
83931	STK40	2.09	1.14	Upregulated genes
284021	C17orf60	2.09	1.08	Upregulated genes
80014	WWC2	2,09; 1,84	0,94; 0,95	Upregulated genes
11082	ESM1	2.08	1.54	Upregulated genes
51200	CPA4	2,08; 2,02	1,06; 0,95	Upregulated genes
54625	PARP14	2,08; 2,00	1,55; 1,38	Upregulated genes
130888	FBXO36	2.07	1.17	Upregulated genes
5033	P4HA1	2.07	1.71	Upregulated genes
7855	FZD5	2.07	1.04	Upregulated genes
4149	MAX	2,07; 1,61; 1,54	1,19; 0,80; 0,87	Upregulated genes
3717	JAK2	2.06	1.4	Upregulated genes
10371	SEMA3A	2.06	0.93	Upregulated genes
9069	CLDN12	2.06	1.05	Upregulated genes
140886	PABPC5	2.06	0.88	Upregulated genes
9245	GCNT3	2.05	1.7	Upregulated genes
56256	SERTAD4	2.05	0.81	Upregulated genes
2861	GPR37	2.05	1.38	Upregulated genes
2781	GNAZ	2.05	1.21	Upregulated genes
149111	CNIH3	2.05	1.19	Upregulated genes
8651	SOCS1	2.04	1.18	Upregulated genes
8816	WDR22	2.04	0.96	Upregulated genes
51251	NT5C3	2.04	1.29	Upregulated genes
678	ZFP36L2	2.04	1.23	Upregulated genes
6513	SLC2A1	2.04	0.9	Upregulated genes
10514	MYBBP1A	2.04	1.05	Upregulated genes
5210	PFKFB4	2.04	1.25	Upregulated genes
51365	PLA1A	2.03	1.03	Upregulated genes
4254	KITLG	2.03	2.03	Upregulated genes
22795	NID2	2.02	2.23	Upregulated genes
3720	JARID2	2.02	1.17	Upregulated genes
282679	AQP11	2.02	1.01	Upregulated genes
2745	GLRX	2.01	1.16	Upregulated genes
9404	LPXN	2.01	0.86	Upregulated genes
9334	B4GALT5	2,01; 1,90	1,63; 1,50	Upregulated genes
3964	LGALS8	2,01; 1,79	1,17; 1,19	Upregulated genes
8226	HDHD1A	2.01	1.91	Upregulated genes
87178	PNPT1	2	1.88	Upregulated genes
649864		2,00; 1,84	0,97; 0,99	Upregulated genes
54619	CCNJ	2	0.75	Upregulated genes
26985	AP3M1	2	0.89	Upregulated genes
10957	PNRC1	2	1.02	Upregulated genes
55893	ZNF395	2,00; 1,76	1,15; 0,95	Upregulated genes
3136	HLA-H	2	0.97	Upregulated genes
283078	MKX	1.99	1.18	Upregulated genes
128434	C20orf102	1.99	0.52	Upregulated genes
9674	KIAA0040	1.99	1.08	Upregulated genes
94033	FTMT	1.99	1.21	Upregulated genes
51141	INSIG2	1,99; 1,87	1,57; 1,56	Upregulated genes
7706	TRIM25	1.99	1.23	Upregulated genes
9314	KLF4	1.99	1.06	Upregulated genes
493856	ZCD2	1.99	1.83	Upregulated genes
10186	LHFP	1.99	1.47	Upregulated genes
55591	VEZT	1.98	1.26	Upregulated genes
55296	TBC1D19	1.98	1.34	Upregulated genes
3133	HLA-E	1,98; 1,90; 1,90	1,06; 0,94; 0,93	Upregulated genes
840	CASP7	1.98	1.15	Upregulated genes
961	CD47	1.98	1.4	Upregulated genes
27230	SERP1	1,97; 1,78	1,41; 1,33	Upregulated genes
58472	SQRDL	1.97	1.06	Upregulated genes
400745	SH2D5	1.97	1.48	Upregulated genes
5321	PLA2G4A	1,97; 1,96; 1,96; 1,94; 1,93; 1,92; 1,91; 1,90; 1,87; 1,84	1,79; 1,72; 1,64; 1,68; 1,72; 1,66; 1,68; 1,73; 1,71, 1,64	Upregulated genes
154467	C6orf129	1.97	1.8	Upregulated genes
121260	SLC15A4	1,97; 1,68	1,43; 1,28	Upregulated genes
10404	PGCP	1.96	1.18	Upregulated genes
23325	KIAA1033	1,96; 1,83	1,10; 1,18	Upregulated genes
4236	MFAP1	1.96	2.06	Upregulated genes
23180	RFTN1	1.96	1.26	Upregulated genes
54361	WNT4	1.95	0.57	Upregulated genes
64145	ZFYVE20	1.95	1.97	Upregulated genes
8767	RIPK2	1,95; 1,48	1,52; 1,15	Upregulated genes
3784	KCNQ1	1.95	0.98	Upregulated genes
83666	PARP9	1.94	2.18	Upregulated genes
64163	IFRG15	1.94	0.96	Upregulated genes
135398	C6orf141	1.94	1.31	Upregulated genes
3423	IDS	1.94	0.94	Upregulated genes
399665	FAM102A	1.94	0.95	Upregulated genes
84978	FRMD5	1.94	2.12	Upregulated genes
2246	FGF1	1,94; 1,85	1,64; 1,46	Upregulated genes
3988	LIPA	1.93	0.87	Upregulated genes
9267	PSCD1	1.93	0.93	Upregulated genes
8564	KMO	1.93	1.32	Upregulated genes
55905	ZNF313	1,93; 1,80	1,13; 1,11	Upregulated genes
4794	NFKBIE	1.93	1.04	Upregulated genes
64167	LRAP	1,93; 1,74	1,55; 1,38	Upregulated genes
5664	PSEN2	1,93; 1,76	1,14; 1,05	Upregulated genes
132864	CPEB2	1,93; 1,53	0,72; 1,10	Upregulated genes
355	FAS	1.92	1.33	Upregulated genes
1130	LYST	1.92	1.31	Upregulated genes
26010	LOC26010	1.92	1.55	Upregulated genes
10769	PLK2	1.92	1.4	Upregulated genes
85463	ZC3H12C	1.92	1.21	Upregulated genes
54664	TMEM106B	1,92; 1,78	1,77; 1,56	Upregulated genes
4489	MT1A	1.92	1.23	Upregulated genes
151195	CCNYL1	1,91; 1,87; 1,78	0,79; 0,75; 0,83	Upregulated genes
8974	P4HA2	1,91; 1,65	1,57; 1,39	Upregulated genes
351	APP	1.91	1.23	Upregulated genes
3601	IL15RA	1.91	1.21	Upregulated genes
114548	NLRP3	1.91	0.67	Upregulated genes
26002	MOXD1	1.91	0.94	Upregulated genes
51719	CAB39	1.91	1.1	Upregulated genes
285343	C3orf23	1.9	1.14	Upregulated genes
55901	THSD1	1.9	1.48	Upregulated genes
55337	FLJ11286	1.9	2.13	Upregulated genes
387763	LOC387763	1.9	1.3	Upregulated genes
55890	GPRC5C	1,89; 1,57	0,88; 0,78	Upregulated genes
64778	FNDC3B	1.89	0.94	Upregulated genes
4170	MCL1	1,89; 1,71	1,01; 0,95	Upregulated genes
5655	KLK10	1.89	1.19	Upregulated genes
6584	SLC22A5	1.89	1.67	Upregulated genes
7159	TP53BP2	1.89	1.43	Upregulated genes
6364	CCL20	1.89	1.48	Upregulated genes
51429	SNX9	1.89	2.41	Upregulated genes
6018	RLF	1.89	1.28	Upregulated genes
56243	KIAA1217	1.89	1.16	Upregulated genes
10970	CKAP4	1.89	0.98	Upregulated genes
55076	TMEM45A	1.88	1.75	Upregulated genes
2048	EPHB2	1.88	1.15	Upregulated genes
26872	STEAP1	1,88; 1,82; 1,72	1,59; 1,55; 1,49	Upregulated genes
91624	NEXN	1.88	1.17	Upregulated genes
55061	SUSD4	1.88	1.4	Upregulated genes
113146	AHNAK2	1,88; 1,67	1,08; 1,04	Upregulated genes
23258	RAB6IP1	1.88	1.16	Upregulated genes
3660	IRF2	1.88	0.81	Upregulated genes
403341	ZBTB34	1.88	0.91	Upregulated genes
9655	SOCS5	1.88	1.33	Upregulated genes
10979	PLEKHC1	1.88	1.92	Upregulated genes
134429	STARD4	1.88	1.05	Upregulated genes
54877	ZCCHC2	1.88	1.02	Upregulated genes
29094	HSPC159	1.88	1.54	Upregulated genes
101	ADAM8	1.88	0.96	Upregulated genes
80176	SPSB1	1.87	1.18	Upregulated genes
10602	CDC42EP3	1.87	1.01	Upregulated genes
23094	SIPA1L3	1.87	1.49	Upregulated genes
2114	ETS2	1,87; 1,51	0,99; 0,96	Upregulated genes
2045	EPHA7	1.87	1.25	Upregulated genes
965	CD58	1.87	1.4	Upregulated genes
92999	ZBTB47	1.87	1.71	Upregulated genes
3745	KCNB1	1.86	0.64	Upregulated genes
25798	BRI3	1.86	1.09	Upregulated genes
53940	FTHL17	1.86	1.18	Upregulated genes
10090	UST	1.86	0.91	Upregulated genes
58480	RHOU	1.86	1.1	Upregulated genes
25827	FBXL2	1.86	1.19	Upregulated genes
9175	MAP3K13	1.85	1.09	Upregulated genes
9943	OXSR1	1,85; 1,67	0,99; 0,82	Upregulated genes
91252	SLC39A13	1.85	1.28	Upregulated genes
201163	FLCN	1.85	1.21	Upregulated genes
387921	RP11-50D16.3	1,85; 1,59	0,80; 0,69	Upregulated genes
89801	PPP1R3F	1.85	1	Upregulated genes
7091	TLE4	1,85; 1,49	1,43; 1,14	Upregulated genes
5874	RAB27B	1.85	0.95	Upregulated genes
2920	CXCL2	1.85	2.29	Upregulated genes
934	CD24	1.85	0.94	Upregulated genes
221895	JAZF1	1.85	1.4	Upregulated genes
163732	CITED4	1.84	1.22	Upregulated genes
5696	PSMB8	1.84	1.38	Upregulated genes
6868	ADAM17	1.84	1.01	Upregulated genes
23413	FREQ	1.84	1.15	Upregulated genes
7342	UBP1	1.84	1.44	Upregulated genes
58517	RBM25	1,84; 1,83	1,45; 1,22	Upregulated genes
301	ANXA1	1.84	1.11	Upregulated genes
