AffyID	Gene symbol	Gene name	Fold changea	s.d.b	GO biological process c	Function
226452_at	PDK1	Pyruvate dehydrogenase kinase, isoenzyme 1	0.4	0.06	Glucose metabolism/protein amino-acid phosphorylation/small GTPase-mediated signal transduction	Protein kinase activity/kinase activity/phosphotransferase activity
208195_at	TTN	Titin	0.4	0.02	Protein amino-acid phosphorylation/response to oxidative stress/muscle development	Protein kinase activity/kinase activity/phosphotransferase activity
237107_at	PRKRA	Protein kinase, interferon-inducible double-stranded RNA-dependent activator	0.38	0.05	Immune response/signal transduction/negative regulation of cell proliferation/response to virus	Protein kinase activity/kinase activity/phosphotransferase activity
1438_at	EPHB3	EPH receptor B3	0.37	0.07	Protein amino-acid phosphorylation/transmembrane receptor protein tyrosine	Protein kinase activity/kinase activity/phosphotransferase activity
204600_at	NA	NA	NA	NA	kinase-signaling pathway	Protein kinase activity/kinase activity/phosphotransferase activity
1555310_a_at	PAK6	p21(CDKN1A)-activated kinase 6	0.36	0.09	Protein amino-acid phosphorylation	Protein kinase activity/kinase activity/phosphotransferase activity
232282_at	WNK3	WNK lysine-deficient protein kinase 3	0.3	0.01	Protein amino-acid phosphorylation/protein amino-acid phosphorylation/protein kinase cascade	Protein kinase activity/kinase activity/phosphotransferase activity
203934_at	KDR	Kinase insert domain receptor (a type III receptor tyrosine kinase)	0.2	0.08	Angiogenesis/transmembrane receptor protein tyrosine kinase-signaling pathway/cell differentiation	Protein kinase activity/kinase activity/phosphotransferase activity
201578_at	PODXL	Podocalyxin like	4.71	2.05	Adhesion	Morphogenesis/organogenesis
201539_s_at	FHL1	Four and a half LIM domains 1	3.27	0.56	Muscle development/cell growth/cell differentiation	Morphogenesis/organogenesis
210298_x_at	NA	NA	NA	NA	NA	Morphogenesis/organogenesis
210299_s_at	NA	NA	NA	NA	NA	Morphogenesis/organogenesis
214505_s_at	NA	NA	NA	NA	NA	Morphogenesis/organogenesis
226576_at	ARHGAP26	Rho GTPase-activating protein 26	3.12	0.93	Neurogenesis/actin cytoskeleton organization and biogenesis	Morphogenesis/organogenesis
219884_at	LHX6	LIM homeobox 6	3.1	0.74	Regulation of transcription, DNA-dependent/brain development	Morphogenesis/organogenesis
213139_at	SNAI2	Snail homolog 2 (Drosophila)	2.75	0.47	Negative regulation of transcription/ectoderm and mesoderm interaction	Morphogenesis/organogenesis
221765_at	UGCG	UDP-glucose ceramide glucosyltransferase	2.62	0.45	Carbohydrate metabolism/protein amino-acid N-linked glycosylation	Morphogenesis/organogenesis
207173_x_at	CDH11	Cadherin 11, type 2, OB-cadherin (osteoblast)	2.47	0.5	Ossification/homophilic cell adhesion	Morphogenesis/organogenesis
207172_s_at	NA	NA	NA	NA	NA	Morphogenesis/organogenesis
219049_at	ChGn	Chondroitin beta1,4 N-acetylgalactosaminyltransferase	0.38	0.04	Cell proliferation/morphogenesis/extracellular matrix organization and biogenesis	Morphogenesis/organogenesis
209087_x_at	MCAM	Melanoma cell adhesion molecule	0.29	0.09	Cell adhesion/morphogenesis	Morphogenesis/organogenesis
210869_s_at	NA	NA	NA	NA	NA	Morphogenesis/organogenesis
211340_s_at	NA	NA	NA	NA	NA	Morphogenesis/organogenesis
217028_at	CXCR4	Chemokine (C-X-C motif) receptor 4	0.27	0.13	Signal transduction/G-protein-coupled receptor protein-signaling pathway	Morphogenesis/organogenesis
231798_at	NOG	Noggin	0.22	0.16	Neurogenesis/perception of sound/cell differentiation/cartilage development	Morphogenesis/organogenesis
224873_s_at	MRPS25	Mitochondrial ribosomal protein S25	2.87	0.59	Protein biosynthesis	Structural molecule activity
217624_at	PDAP1	PDGFA-associated protein 1	2.87	0.72	Signal transduction/cell proliferation	Structural molecule activity
203215_s_at	MYO6	Myosin VI	2.2	0.25	Striated muscle contraction/perception of sound/actin filament-based movement	Structural molecule activity
203407_at	PPL	Periplakin	0.41	0.08	Keratinization	Structural molecule activity
235094_at	TPM4	Tropomyosin 4	0.41	0.08	Muscle development	Structural molecule activity
1555938_x_at	VIM	Vimentin	0.39	0.11	Structural molecule activity/protein binding/ intermediate filament	Structural molecule activity
226877_at	LOC132241	Hypothetical protein LOC132241	0.35	0.03	Protein biosynthesis	Structural molecule activity
215314_at	ANK3	Ankyrin 3, node of Ranvier	0.29	0.11	Protein targeting/cytoskeletal anchoring/signal transduction	Structural molecule activity
237839_at	NA	(ankyrin G)	NA	NA	NA	Structural molecule activity
