Refseq	Geneid	Gene symbol	Gene name	Fold Change	q-value (%)	Negative Fold Change
NM_006066	10327	AKR1A1	aldo-keto reductase family 1, member A1 (aldehyde reductase)	1.83180829	5.0573729	NA
NM_153326	10327	AKR1A1	aldo-keto reductase family 1, member A1 (aldehyde reductase)	1.83180829	5.0573729	NA
NM_020299	57016	AKR1B10	aldo-keto reductase family 1, member B10 (aldose reductase)	3.42925425	4.3199052	NA
NM_003689	8574	AKR7A2	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)	1.66696153	5.7639809	NA
NM_005163	207	AKT1	v-akt murine thymoma viral oncogene homolog 1	2.25858219	2.3697766	NA
NM_001014432	207	AKT1	v-akt murine thymoma viral oncogene homolog 1	2.25858219	2.3697766	NA
NM_001014431	207	AKT1	v-akt murine thymoma viral oncogene homolog 1	2.25858219	2.3697766	NA
NM_000692	219	ALDH1B1	aldehyde dehydrogenase 1 family, member B1	2.50553112	1.5613079	NA
NM_000691	218	ALDH3A1	aldehyde dehydrogenase 3 family, memberA1	4.06092219	5.3706176	NA
NM_184043	226	ALDOA	aldolase A, fructose-bisphosphate	2.10689128	2.4738185	NA
NM_184041	226	ALDOA	aldolase A, fructose-bisphosphate	2.10689128	2.4738185	NA
NM_000034	226	ALDOA	aldolase A, fructose-bisphosphate	2.10689128	2.4738185	NA
NM_005165	230	ALDOC	aldolase C, fructose-bisphosphate	3.8298026	1.4706181	NA
NM_013339	29929	ALG6	asparagine-linked glycosylation 6 homolog (S. cerevisiae, alpha-1,3-glucosyltransferase)	0.34607011	1.7079054	-2.889587893
NM_001001655	121642	ALKBH2	alkB, alkylation repair homolog 2 (E. coli)	2.22449759	5.5989565	NA
NM_139178	221120	ALKBH3	alkB, alkylation repair homolog 3 (E. coli)	1.73576491	8.593663	NA
NM_017621	54784	ALKBH4	alkB, alkylation repair homolog 4 (E. coli)	2.3540713	2.3206861	NA
NM_017758	54890	ALKBH5	alkB, alkylation repair homolog 5 (E. coli)	2.08655488	2.3206861	NA
NM_015120	7840	ALMS1	Alstrom syndrome 1	0.54736072	9.8653909	-1.826948781
NM_025144	80216	ALPK1	alpha-kinase 1	0.23132374	1.7079054	-4.322945842
NM_032797	84883	AMID	apoptosis-inducing factor (AIF)-like mitochondrion-associated inducer of death	0.60562848	9.0782945	-1.651177303
NM_016627	51321	AMZ2	archaemetzincins-2	1.8176269	5.5989565	NA
NM_001002246	51529	ANAPC11	APC11 anaphase promoting complex subunit 11 homolog (yeast)	1.63316424	6.3497914	NA
NM_001002247	51529	ANAPC11	APC11 anaphase promoting complex subunit 11 homolog (yeast)	1.63316424	6.3497914	NA
NM_001002245	51529	ANAPC11	APC11 anaphase promoting complex subunit 11 homolog (yeast)	1.63316424	6.3497914	NA
NM_016476	51529	ANAPC11	APC11 anaphase promoting complex subunit 11 homolog (yeast)	1.63316424	6.3497914	NA
NM_001002249	51529	ANAPC11	APC11 anaphase promoting complex subunit 11 homolog (yeast)	1.63316424	6.3497914	NA
NM_001002248	51529	ANAPC11	APC11 anaphase promoting complex subunit 11 homolog (yeast)	1.63316424	6.3497914	NA
NM_013366	29882	ANAPC2	anaphase promoting complex subunit 2	2.44936223	6.8159167	NA
NM_013367	29945	ANAPC4	anaphase promoting complex subunit 4	0.38889158	3.753678	-2.571410777
NM_016237	51433	ANAPC5	anaphase promoting complex subunit 5	1.5382599	9.6306887	NA
NM_139314	51129	ANGPTL4	angiopoietin-like 4	0.26675848	1.7079054	-3.748709319
NM_020987	288	ANK3	ankyrin 3, node of Ranvier (ankyrin G)	0.51189757	9.6306887	-1.953515818
NM_001149	288	ANK3	ankyrin 3, node of Ranvier (ankyrin G)	0.51189757	9.6306887	-1.953515818
NM_017747	54882	ANKHD1	ankyrin repeat and KH domain containing 1	0.47434497	3.9508566	-2.108170347
NM_017978	54882	ANKHD1	ankyrin repeat and KH domain containing 1	1.80323297	5.7639809	NA
NM_024668	54882	ANKHD1	ankyrin repeat and KH domain containing 1	1.80323297	5.7639809	NA
NM_020319	57037	ANKMY2	ankyrin repeat and MYND domain containing 2	0.13477295	1.7079054	-7.419886557
NM_013275	29123	ANKRD11	ankyrin repeat domain 11	0.62260833	9.6306887	-1.606146195
NM_015208	23253	ANKRD12	ankyrin repeat domain 12	0.28330187	1.7079054	-3.529803739
NM_152345	124930	ANKRD13B	ankyrin repeat domain 13B	2.23198944	2.6012277	NA
NM_020337	57182	ANKRD50	ankyrin repeat domain 50	0.55298432	8.27025	-1.808369539
NM_018153	84168	ANTXR1	anthrax toxin receptor 1	1.89764439	1.4706181	NA
NM_058172	118429	ANTXR2	anthrax toxin receptor 2	0.40159958	4.3199052	-2.490042445
NM_001155	309	ANXA6	annexin A6	2.91505218	0.637618	NA
NM_004033	309	ANXA6	annexin A6	2.91505218	0.637618	NA
NM_080550	11276	AP1GBP1	AP1 gamma subunit binding protein 1	0.37764337	1.7079054	-2.648000943
NM_007247	11276	AP1GBP1	AP1 gamma subunit binding protein 1	0.37764337	1.7079054	-2.648000943
NM_032493	8907	AP1M1	adaptor-related protein complex 1, mu 1 subunit	2.22749326	2.0161834	NA
NM_001025205	1173	AP2M1	adaptor-related protein complex 2, mu 1 subunit	2.72546693	1.4567723	NA
NM_004068	1173	AP2M1	adaptor-related protein complex 2, mu 1 subunit	2.72546693	1.4567723	NA
NM_004069	1175	AP2S1	adaptor-related protein complex 2, sigma 1 subunit	2.52576903	2.4738185	NA
NM_021575	1175	AP2S1	adaptor-related protein complex 2, sigma 1 subunit	2.60908906	2.1038158	NA
NM_005829	10239	AP3S2	adaptor-related protein complex 3, sigma 2 subunit	1.95942354	7.2505573	NA
NM_153000	147495	APCDD1	adenomatosis polyposis coli down-regulated 1	2.59318444	0.637618	NA
NM_001640	327	APEH	N-acylaminoacyl-peptide hydrolase	2.14080396	8.593663	NA
NM_001641	328	APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1	1.67473002	8.0395314	NA
NM_080648	328	APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1	1.67473002	8.0395314	NA
NM_080649	328	APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1	1.67473002	8.0395314	NA
NM_014481	27301	APEX2	APEX nuclease (apurinic/apyrimidinic endonuclease) 2	2.06456836	5.9122677	NA
NM_005166	333	APLP1	amyloid beta (A4) precursor-like protein 1	0.31662638	1.7079054	-3.158296539
NM_001024807	333	APLP1	amyloid beta (A4) precursor-like protein 1	0.31662638	1.7079054	-3.158296539
NM_144772	128240	APOA1BP	apolipoprotein A-I binding protein	1.97239359	5.9122677	NA
NM_021822	60489	APOBEC3G	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G	0.48612333	9.0782945	-2.05709115
NM_001647	347	APOD	apolipoprotein D	1.50630223	8.27025	NA
NM_012096	26060	APPL	adaptor protein containing pH domain, PTB domain and leucine zipper motif 1	0.4469102	3.797649	-2.237585985
NM_015032	23047	APRIN	androgen-induced proliferation inhibitor	0.39265143	5.5989565	-2.546788127
NM_000485	353	APRT	adenine phosphoribosyltransferase	2.7759215	0.637618	NA
NM_001654	369	ARAF	v-raf murine sarcoma 3611 viral oncogene homolog	1.97129742	3.753678	NA
NM_003491	8260	ARD1A	ARD1 homolog A, N-acetyltransferase (S. cerevisiae)	1.72316132	6.3497914	NA
NM_001657	374	AREG	amphiregulin (schwannoma-derived growth factor)	0.46357093	3.3991674	-2.157167189
NM_001659	377	ARF3	ADP-ribosylation factor 3	2.56173852	2.5903232	NA
NM_001660	378	ARF4	ADP-ribosylation factor 4	1.84199317	5.3706176	NA
NM_001662	381	ARF5	ADP-ribosylation factor 5	1.67747841	9.4283268	NA
NM_018209	55738	ARFGAP1	ADP-ribosylation factor GTPase activating protein 1	1.98845849	3.797649	NA
NM_175609	55738	ARFGAP1	ADP-ribosylation factor GTPase activating protein 1	1.98845849	3.797649	NA
NM_012402	23647	ARFIP2	ADP-ribosylation factor interacting protein 2 (arfaptin 2)	3.04190565	0.637618	NA
NM_003224	10139	ARFRP1	ADP-ribosylation factor related protein 1	2.78341483	0.637618	NA
NM_018287	94134	ARHGAP12	Rho GTPase activating protein 12	0.28952191	1.7079054	-3.453970029
NM_004309	396	ARHGDIA	Rho GDP dissociation inhibitor (GDI) alpha	1.62887425	8.0395314	NA
NM_001175	397	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	6.38301971	0	NA
NM_015318	23370	ARHGEF18	rho/rac guanine nucleotide exchange factor (GEF) 18	1.71643217	8.593663	NA
NM_152641	196528	ARID2	AT rich interactive domain 2 (ARID, RFX-like)	0.3124924	1.7079054	-3.200077826
NM_023001	5926	ARID4A	AT rich interactive domain 4A (RBP1-like)	0.51426912	8.593663	-1.944507187
NM_023000	5926	ARID4A	AT rich interactive domain 4A (RBP1-like)	0.51426912	8.593663	-1.944507187
NM_002892	5926	ARID4A	AT rich interactive domain 4A (RBP1-like)	0.51426912	8.593663	-1.944507187
NM_005744	25820	ARIH1	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)	2.0957107	3.3991674	NA
NM_006321	10425	ARIH2	ariadne homolog 2 (Drosophila)	1.64624084	7.6537443	NA
NM_025047	80117	ARL14	ADP-ribosylation factor-like 14	4.17367365	0	NA
NM_001667	402	ARL2	ADP-ribosylation factor-like 2	2.37709807	2.9727196	NA
NM_012106	23568	ARL2BP	ADP-ribosylation factor-like 2 binding protein	1.45685333	9.8653909	NA
NM_001002252	51329	ARL6IP4	ADP-ribosylation-like factor 6 interacting protein 4	2.38226517	1.4567723	NA
NM_016638	51329	ARL6IP4	ADP-ribosylation-like factor 6 interacting protein 4	2.36998814	1.4706181	NA
NM_001002251	51329	ARL6IP4	ADP-ribosylation-like factor 6 interacting protein 4	2.36998814	1.4706181	NA
NM_018694	51329	ARL6IP4	ADP-ribosylation-like factor 6 interacting protein 4	2.36998814	1.4706181	NA
NM_033415	93436	ARMC6	armadillo repeat containing 6	2.53412636	2.6012277	NA
NM_016607	51566	ARMCX3	armadillo repeat containing, X-linked 3	1.78093717	5.5989565	NA
NM_177947	51566	ARMCX3	armadillo repeat containing, X-linked 3	1.78093717	5.5989565	NA
NM_177948	51566	ARMCX3	armadillo repeat containing, X-linked 3	1.78093717	5.5989565	NA
NM_020183	56938	ARNTL2	aryl hydrocarbon receptor nuclear translocator-like 2	3.35756438	1.3001076	NA
NM_006409	10552	ARPC1A	actin related protein 2/3 complex, subunit 1A, 41kDa	1.8656446	2.6012277	NA
NM_005720	10095	ARPC1B	actin related protein 2/3 complex, subunit 1B, 41kDa	1.88389763	5.3706176	NA
NM_001024960	10093	ARPC4	actin related protein 2/3 complex, subunit 4, 20kDa	1.63663733	8.8660141	NA
NM_001024959	10093	ARPC4	actin related protein 2/3 complex, subunit 4, 20kDa	1.63663733	8.8660141	NA
NM_005718	10093	ARPC4	actin related protein 2/3 complex, subunit 4, 20kDa	1.63663733	8.8660141	NA
NM_005717	10092	ARPC5	actin related protein 2/3 complex, subunit 5, 16kDa	1.8238032	3.797649	NA
NM_030978	81873	ARPC5L	actin related protein 2/3 complex, subunit 5-like	1.64597224	7.2505573	NA
NM_152285	92714	ARRDC1	arrestin domain containing 1	1.51208717	9.8653909	NA
NM_015683	27106	ARRDC2	arrestin domain containing 2	2.42062887	2.9727196	NA
NM_003976	9048	ARTN	artemin	4.04740667	1.219488	NA
NM_057090	9048	ARTN	artemin	4.04740667	1.219488	NA
NM_057091	9048	ARTN	artemin	4.04740667	1.219488	NA
NM_057160	9048	ARTN	artemin	4.04740667	1.219488	NA
NM_177924	427	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1	0.44979772	4.9341886	-2.223221585
NM_004315	427	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1	0.44979772	4.9341886	-2.223221585
NM_024769	79827	ASAM	adipocyte-specific adhesion molecule	0.37256209	3.2351467	-2.684116358
NM_016114	51665	ASB1	ankyrin repeat and SOCS box-containing 1	1.91579132	8.593663	NA
NM_177999	140459	ASB6	ankyrin repeat and SOCS box-containing 6	1.65720545	8.7274414	NA
NM_017873	140459	ASB6	ankyrin repeat and SOCS box-containing 6	1.65720545	8.7274414	NA
NM_024087	140462	ASB9	ankyrin repeat and SOCS box-containing 9	2.5271365	0.637618	NA
NM_032204	84164	ASCC2	activating signal cointegrator 1 complex subunit 2	2.03961558	7.6537443	NA
NM_001024944	435	ASL	argininosuccinate lyase	2.61516238	0.637618	NA
NM_000048	435	ASL	argininosuccinate lyase	2.45948315	0.637618	NA
NM_001024946	435	ASL	argininosuccinate lyase	2.45948315	0.637618	NA
NM_001024943	435	ASL	argininosuccinate lyase	2.45948315	0.637618	NA
NM_004317	439	ASNA1	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)	2.14157537	8.0395314	NA
NM_032466	444	ASPH	aspartate beta-hydroxylase	0.39514234	5.9122677	-2.530733609
NM_032468	444	ASPH	aspartate beta-hydroxylase	0.39285225	5.7639809	-2.545486248
NM_181718	253982	ASPHD1	aspartate beta-hydroxylase domain containing 1	1.75414606	7.6537443	NA
NM_054012	445	ASS	argininosuccinate synthetase	2.88820637	9.6306887	NA
NM_000050	445	ASS	argininosuccinate synthetase	2.88820637	9.6306887	NA
NM_032810	84896	ATAD1	ATPase family, AAA domain containing 1	0.43732909	4.9341886	-2.286607552
NM_014109	29028	ATAD2	ATPase family, AAA domain containing 2	0.39809493	1.9393426	-2.511963667
NM_005171	466	ATF1	activating transcription factor 1	2.00872572	3.797649	NA
NM_006856	11016	ATF7	activating transcription factor 7	0.53873688	3.9508566	-1.856193695
NM_018179	55729	ATF7IP	activating transcription factor 7 interacting protein	0.35011246	1.7079054	-2.856225111
NM_004707	9140	ATG12	ATG12 autophagy related 12 homolog (S. cerevisiae)	1.99141124	3.9508566	NA
NM_178326	23192	ATG4B	ATG4 autophagy related 4 homolog B (S. cerevisiae)	1.94475725	2.3206861	NA
NM_013325	23192	ATG4B	ATG4 autophagy related 4 homolog B (S. cerevisiae)	1.95413471	2.0161834	NA
NM_032885	84971	ATG4D	ATG4 autophagy related 4 homolog D (S. cerevisiae)	2.11685132	1.4706181	NA
NM_004045	475	ATOX1	ATX1 antioxidant protein 1 homolog (yeast)	1.71159682	8.593663	NA
NM_020453	57205	ATP10D	ATPase, Class V, type 10D	0.28104025	1.7079054	-3.558209189
NM_001679	483	ATP1B3	ATPase, Na+/K+ transporting, beta 3 polypeptide	0.56907329	9.4283268	-1.757242903
NM_001681	488	ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	0.35748195	1.7079054	-2.797344034
NM_001001323	490	ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	0.24117634	1.7079054	-4.146343709
NM_001682	490	ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	0.24117634	1.7079054	-4.146343709
NM_001684	493	ATP2B4	ATPase, Ca++ transporting, plasma membrane 4	0.33506239	1.7079054	-2.984518794
NM_001001396	493	ATP2B4	ATPase, Ca++ transporting, plasma membrane 4	0.33506239	1.7079054	-2.984518794
NM_001001487	27032	ATP2C1	ATPase, Ca++ transporting, type 2C, member 1	0.44353373	6.8159167	-2.254619959
NM_014382	27032	ATP2C1	ATPase, Ca++ transporting, type 2C, member 1	0.41994097	4.6110465	-2.381287065
NM_001001486	27032	ATP2C1	ATPase, Ca++ transporting, type 2C, member 1	0.44353373	6.8159167	-2.254619959
NM_001001485	27032	ATP2C1	ATPase, Ca++ transporting, type 2C, member 1	0.44353373	6.8159167	-2.254619959
NM_001001975	513	ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	2.43045778	0.637618	NA
NM_001687	513	ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	2.37516534	0.637618	NA
NM_005175	516	ATP5G1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)	2.61154212	2.1038158	NA
NM_001002027	516	ATP5G1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)	2.61154212	2.1038158	NA
NM_001002258	518	ATP5G3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)	1.83980594	3.797649	NA
NM_001689	518	ATP5G3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)	1.83980594	3.797649	NA
NM_001003714	9551	ATP5J2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2	1.99406413	2.9727196	NA
NM_004889	9551	ATP5J2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2	2.43837418	1.219488	NA
NM_001003713	9551	ATP5J2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2	2.43837418	1.219488	NA
NM_005765	10159	ATP6AP2	ATPase, H+ transporting, lysosomal accessory protein 2	0.46219258	3.2351467	-2.16360029
NM_001694	527	ATP6V0C	ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c	1.62317094	8.1979458	NA
NM_001693	526	ATP6V1B2	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2	1.61043421	8.593663	NA
NM_001696	529	ATP6V1E1	ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1	1.7566679	9.4283268	NA
NM_004231	9296	ATP6V1F	ATPase, H+ transporting, lysosomal 14kDa, V1 subunit F	1.93898426	8.27025	NA
NM_006045	10079	ATP9A	ATPase, Class II, type 9A	0.50237583	4.9341886	-1.990541623
NM_018066	54707	ATPBD1B	ATP binding domain 1 family, member B	2.0201353	6.8159167	NA
NM_080650	89978	ATPBD4	ATP binding domain 4	1.71850421	5.0573729	NA
NM_001184	545	ATR	ataxia telangiectasia and Rad3 related	0.3237332	1.7079054	-3.088963381
NM_139322	8455	ATRN	attractin	2.04375933	7.2505573	NA
NM_012070	8455	ATRN	attractin	2.04375933	7.2505573	NA
NM_017900	54998	AURKAIP1	aurora kinase A interacting protein 1	1.90449628	4.3199052	NA
NM_001015878	6795	AURKC	aurora kinase C	0.49207453	5.5989565	-2.032212478
NM_001015879	6795	AURKC	aurora kinase C	0.49207453	5.5989565	-2.032212478
NM_003160	6795	AURKC	aurora kinase C	0.49207453	5.5989565	-2.032212478
NM_020371	57099	AVEN	apoptosis, caspase activation inhibitor	2.00555851	3.797649	NA
NM_032193	84153	AYP1	AYP1 protein	2.19143435	2.3206861	NA
NM_003782	8705	B3GALT4	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4	1.72875714	3.2351467	NA
NM_014256	10331	B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3	1.91328175	5.0573729	NA
NM_030765	79369	B3GNT4	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4	0.44959531	4.9341886	-2.22422249
NM_004776	9334	B4GALT5	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5	0.42218562	3.3991674	-2.368626388
NM_032989	572	BAD	BCL2-antagonist of cell death	2.15180126	8.27025	NA
NM_004322	572	BAD	BCL2-antagonist of cell death	2.15180126	8.27025	NA
NM_001188	578	BAK1	BCL2-antagonist/killer 1	3.44431363	0.637618	NA
NM_012342	25805	BAMBI	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	2.31234704	0.8369687	NA
NM_003860	8815	BANF1	barrier to autointegration factor 1	3.04157967	2.9727196	NA
NM_004656	8314	BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	1.58129909	8.0395314	NA
NM_080598	7919	BAT1	HLA-B associated transcript 1	1.64785394	9.0782945	NA
NM_004640	7919	BAT1	HLA-B associated transcript 1	1.64785394	9.0782945	NA
NM_015172	23215	BAT2D1	BAT2 domain containing 1	0.37760602	7.2505573	-2.648262864
NM_013448	11177	BAZ1A	bromodomain adjacent to zinc finger domain, 1A	0.38916634	8.0395314	-2.569595305
NM_182648	11177	BAZ1A	bromodomain adjacent to zinc finger domain, 1A	0.38916634	8.0395314	-2.569595305
NM_023005	9031	BAZ1B	bromodomain adjacent to zinc finger domain, 1B	0.54098436	8.7274414	-1.848482274
NM_032408	9031	BAZ1B	bromodomain adjacent to zinc finger domain, 1B	0.54098436	8.7274414	-1.848482274
NM_013450	29994	BAZ2B	bromodomain adjacent to zinc finger domain, 2B	0.40856433	8.593663	-2.447594972
NM_014417	27113	BBC3	BCL2 binding component 3	1.56418858	8.27025	NA
NM_005581	4059	BCAM	basal cell adhesion molecule (Lutheran blood group)	0.47745892	3.2351467	-2.094421024
NM_001008405	55973	BCAP29	B-cell receptor-associated protein 29	0.39756258	3.6724243	-2.515327273
NM_018844	55973	BCAP29	B-cell receptor-associated protein 29	0.40464852	3.753678	-2.471280508
NM_001010974	55653	BCAS4	breast carcinoma amplified sequence 4	1.66714636	5.7639809	NA
NM_017843	55653	BCAS4	breast carcinoma amplified sequence 4	1.72037015	4.3199052	NA
NM_198799	55653	BCAS4	breast carcinoma amplified sequence 4	1.72037015	4.3199052	NA
NM_001190	587	BCAT2	branched chain aminotransferase 2, mitochondrial	1.74499054	8.1979458	NA
NM_019606	56257	BCDIN3	bin3, bicoid-interacting 3, homolog (Drosophila)	1.83206819	4.3199052	NA
NM_005881	10295	BCKDK	branched chain ketoacid dehydrogenase kinase	2.65810178	0.637618	NA
NM_001191	598	BCL2L1	BCL2-like 1	1.98544254	7.2505573	NA
NM_138639	83596	BCL2L12	BCL2-like 12 (proline rich)	1.85965591	7.6537443	NA
NM_052842	83596	BCL2L12	BCL2-like 12 (proline rich)	1.85965591	7.6537443	NA
NM_001706	604	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	0.40094077	1.7079054	-2.494133984
NM_138931	604	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	0.40094077	1.7079054	-2.494133984
NM_138707	9275	BCL7B	B-cell CLL/lymphoma 7B	2.01429541	2.4738185	NA
NM_001707	9275	BCL7B	B-cell CLL/lymphoma 7B	2.07387934	2.9727196	NA
NM_004765	9274	BCL7C	B-cell CLL/lymphoma 7C	1.98377787	3.9508566	NA
