Gen Symbol	Fold Change	Log Odds
Zfand6	2.42	8.83
Zdhhc5	2.42	3.9
Gtf2ird1	2.41	10.19
Pqlc2	2.4	6
Krt80	2.38	6.68
Erc1	2.38	10.54
Lypd3	2.38	7.35
Fxyd4	2.38	7.82
Vdr	2.37	10.22
Hspa14	2.37	9.63
Aim1	2.37	8.73
Smad7	2.37	3.02
Fem1b	2.37	10.46
Ppl	2.36	8.11
Mapk13	2.36	11.04
Braf	2.35	9.73
Rad51	2.35	8.87
Cldn3	2.35	8.05
Sult2b1	2.35	8.94
Pdk3	2.34	9.74
Irf6	2.34	8.81
Csdc2	2.33	7.55
Wdr26	2.33	6.14
Celsr1	2.33	8.2
Isyna1	2.33	8.76
Trex2	2.33	10.26
Uhrf1	2.32	7.31
Ahcy	2.31	10.31
Mcm7	2.31	6.33
Bnc1	2.31	7.9
Elovl3	2.31	5.61
Mpp7	2.31	10.37
Steap1	2.3	10.57
Fabp5	2.29	9.47
Eva1	2.28	10.22
Crot	2.28	9.85
Asl	2.28	10.58
Frag1	2.28	5.46
Nt5dc2	2.28	8.96
Nola2	2.27	7.54
Rbm35a	2.26	9.04
Krtap3-3	2.26	9.45
Eif4a1	2.26	6.58
Rab27b	2.25	7.52
Abcf1	2.25	8.13
Ptpn13	2.25	8.88
Vps36	2.25	8.24
Vil2	2.25	5.05
Bspry	2.25	10.2
Dsg2	2.25	4.47
Foxc1	2.23	8.14
Tk1	2.23	9.02
Prim1	2.23	8.22
Atp1a1	2.22	4.68
Gjb5	2.22	7.48
Areg	2.22	6.99
Tcf19	2.22	8.05
Tubb2a	2.21	9.54
Marcksl1	2.21	4.59
p	2.21	9.95
Abhd2	2.21	10.17
Upp1	2.21	3.35
Srms	2.2	9.45
Unc5b	2.2	5.8
Egr1	2.2	9.23
Uck2	2.2	9.75
Prdm1	2.2	7.86
Cybrd1	2.2	7.34
Scd2	2.2	4.68
Eif3s7	2.19	10.07
Serpinb11	2.19	4.59
Piwil2	2.19	5.63
Oplah	2.19	4.35
Rexo2	2.19	7.64
Myh14	2.19	8.97
Dedd2	2.18	8.7
Cenpf	2.17	6.86
Nol5a	2.17	10.13
Txnrd1	2.16	5.58
Crct1	2.16	9.38
Kif22	2.16	6.75
Tuba8	2.16	7.58
Psrc1	2.16	9.63
Fgfr3	2.15	6.33
Fen1	2.15	5.79
Tdh	2.15	6.05
Sytl1	2.14	9.45
Rrm1	2.14	9.06
Epgn	2.14	5.94
Cars	2.14	10.1
Klf5	2.13	3.57
Ankrd13a	2.13	4.14
Stag3	2.13	9.66
Ube2h	2.13	8.78
Acsm3	2.12	7.51
Tubb6	2.12	8.91
Aldoc	2.12	7.51
Rai14	2.12	4.97
Pvrl2	2.12	6.75
Dok4	2.11	8.4
Ptprv	2.11	9.99
Ptch1	2.11	8.08
Shmt1	2.11	6.97
Tpx2	2.1	9.43
Smpd1	2.1	9.1
Pard6b	2.1	8.74
Eif2b5	2.1	7.68
Tubb3	2.09	7.16
Acot7	2.09	7.02
Dlx4	2.09	4.76
Rnaset2	2.08	7.29
Uchl3	2.08	4.35
Slc9a3r1	2.08	8.49
Atad2b	2.08	7.96
Mad2l1	2.08	6.35
Mcm4	2.07	6.58
Pou3f1	2.07	3.66
Pvrl4	2.06	7.01
Ccnd2	2.06	8.24
Dcbld1	2.05	8.06
Eif2s1	2.05	9.37
Otub1	2.05	7.41
Ralgps2	2.05	5.96
Gpsm2	2.05	8.43
Cenpa	2.04	6.65
Eif2b2	2.04	6.38
Hsp90aa1	2.04	7.91
Gspt1	2.04	6.18
Eif5	2.04	5.82
Tm4sf4	2.04	9.9
Metap2	2.03	7.83
Ccrn4l	2.03	5.97
Cyp2s1	2.03	7.87
Kctd5	2.03	8.78
Calml3	2.02	6.11
Cdh6	2.02	6.38
Slain1	2.02	6.38
Centd1	2.02	9.75
Alox12	2.02	7.25
Bag2	2.01	8.08
Tkt	2.01	8.65
Gars	2.01	8.1
Sgk3	2.01	5.55
Gpr37	2	7.21
Spbc25	2	4.98
Fignl1	2	5.23
Bmp7	2	6.49
Trim29	2	5.01
Pthlh	1.99	7.85
Tubb2c	1.99	3.97
Rpl13a	1.99	7.23
Robo1	1.99	6.19
Cdca7	1.99	6.79
Nusap1	1.99	5.64
Bnipl	1.99	7.9
SMAD6	1.99	6.93
Klk7	1.98	5.95
Kif11	1.98	7.37
Prep	1.98	6.13
Etf1	1.98	6.31
Mtap7	1.98	5.54
H1f0	1.97	5.29
Gltp	1.97	5.76
Fts	1.97	6.85
Slc3a2	1.96	4.46
Tle3	1.96	5.94
Bub1b	1.96	6.12
Rangap1	1.96	3.37
Slc25a5	1.95	4.68
Eraf	1.95	3.18
Apex1	1.95	7.27
Lmnb1	1.95	5.65
Nsdhl	1.95	7.38
Rnd2	1.95	6.22
Plxna2	1.95	7.55
Npm3	1.95	4.73
Bmpr1a	1.94	7.69
Gng4	1.94	6.48
Psmd8	1.94	8.17
Baiap2l1	1.94	7.87
Hspa1b	1.94	4.4
Dut	1.94	6.86
Pcdh7	1.93	8.86
Kif2c	1.93	4.25
Ppp1r2	1.93	8.19
Tcf7	1.93	6.87
Trip13	1.93	7.87
Prkci	1.92	7.19
Pex26	1.92	5.62
Eif2b1	1.92	5.73
Tmem41b	1.92	8.52
Tcfl5	1.92	4.32
Hspb1	1.92	7.97
Gjb3	1.92	6.31
Anp32e	1.92	7.03
Fbl	1.92	5.67
Dynll1	1.92	4.13
Cct7	1.92	6.81
Smc2	1.91	5.74
Dsc3	1.91	5.26
Rad23b	1.91	5.65
Eif2s3x	1.91	3.55
Hunk	1.91	6.98
Ckap2	1.91	5.79
Gtpbp1	1.91	3.65
Heyl	1.91	4.68
	1.91	6.83
Tera	1.9	8.33
Il1rn	1.9	8.39
Nsun2	1.9	6.18
Kif20a	1.9	5.4
Defb1	1.89	6.27
Wdr12	1.89	4.59
Mybl2	1.89	6.9
Ripk4	1.89	5.53
Ncapg	1.88	7.92
Tlcd1	1.88	5.07
Wnt11	1.88	4.22
Gdpd3	1.88	4.61
Rps6ka3	1.88	6.69
Lrrc16	1.87	7.53
Ube2d3	1.87	6.64
Pabpc1	1.87	5.31
Aurkb	1.87	8.34
Rhog	1.87	8.62
Nrarp	1.87	5.81
Spint2	1.87	7.93
Kcne1	1.87	6.25
Sertad1	1.86	6.11
Yars	1.86	6.24
Ell2	1.86	3.4
Cct3	1.86	6.9
Farslb	1.86	3.44
Cdk4	1.86	8.45
Ptbp1	1.86	4.23
Brca1	1.85	6.98
Timm8a1	1.85	7.23
Ephb3	1.85	6.87
Prkch	1.85	5.34
	1.85	7.71
Ibrdc3	1.85	7.4
Cdca3	1.85	3.15
Serbp1	1.84	4.19
Slc34a2	1.84	5.69
Dlx2	1.84	5.98
Sae1	1.84	7.03
Fgf5	1.83	4.43
Bop1	1.83	6.25
Ccne2	1.83	5.54
Igsf4c	1.83	6.57
Rfc4	1.83	4.47
Lypla2	1.83	5.62
Rassf7	1.83	4.13
Nudt5	1.83	5.1
Slc6a13	1.83	7.08
Slc39a14	1.83	6.68
Mcm3	1.83	5.74
Tacstd1	1.82	3.66
Grhl2	1.82	3.95
Dusp11	1.82	6.84
Cbx2	1.82	5.48
Farp1	1.82	4.63
Cnn3	1.82	5.79
Usp38	1.82	4.35
Pigf	1.82	6.86
Cdv3	1.81	6.79
Slc23a3	1.81	6.14
Nasp	1.81	5.53
S100a1	1.81	6.38
Eif3s9	1.81	4.89
Arl4c	1.81	7.6
Mod1	1.81	4.06
Slc31a1	1.81	6.11
Prc1	1.81	5.02
Prdx2	1.81	4.19
Dnajb10	1.8	6.6
Thex1	1.8	5.31
Racgap1	1.8	6.44
Tyms	1.8	5.26
Rhpn2	1.8	5.92
Arf6	1.8	7.17
Guca1b	1.8	6.32
Gins1	1.8	3.06
Pla2g2f	1.8	3.17
Eif3s1	1.79	7.28
Lbr	1.79	4.95
Eif2s2	1.79	5.15
Cdr2	1.79	5.5
Eif1ay	1.79	6.91
Kit	1.79	3.57
Arl2bp	1.79	6.6
Set	1.79	5.36
Pgam5	1.79	5.67
Ranbp1	1.79	3.12
Pycard	1.79	3.36
Gmnn	1.79	6.12
Acot1	1.79	6.06
Epha4	1.78	7.86
Ppil5	1.78	4.3
Ptpn12	1.77	4.97
Enc1	1.77	4.9
Lig1	1.77	7.3
Dazap1	1.77	3.12
Clk3	1.77	5.08
Bmp2k	1.77	6.33
Eif3s2	1.77	5.91
Impdh2	1.77	5.63
Slc4a1	1.77	7.04
Hnrpab	1.76	4.26
Eif3s6ip	1.76	5.23
Dera	1.76	5.45
Ncaph	1.76	4.31
Npal2	1.76	6.78
Mt2	1.76	3.74
Pld3	1.76	3.12
Klc3	1.76	6.15
Cryl1	1.75	5.44
Srxn1	1.75	6.07
Thsd1	1.75	5.55
Qars	1.75	7.11
Asns	1.75	3.33
Chi3l1	1.75	5.2
Usp16	1.74	6.1
Cldn8	1.74	5.01
Slc16a7	1.74	4.29
Rps6	1.74	4.78
Nup62	1.74	4.94
Hexb	1.74	3.48
Cpsf3l	1.74	6.13
Fkbp4	1.74	5.77
Ube2m	1.73	3.72
Hoxb2	1.73	3.06
Isg20l1	1.73	6.02
Tdg	1.73	6.24
Chaf1b	1.73	6.82
Gpr143	1.73	6.31
Taldo1	1.73	5.54
Aspm	1.72	3.5
Msx1	1.72	6.05
Clic3	1.72	4.63
Strn	1.72	4.3
Wif1	1.72	6.98
Lmo4	1.72	4.02
Aqp3	1.71	3.78
Rfc5	1.71	5.99
Prps2	1.71	6.21
Them4	1.71	3.55
Anln	1.71	6.09
Lsm4	1.71	3.75
Strbp	1.71	4.98
Cdca4	1.71	4.27
Rhbg	1.71	5.8
Rasl11b	1.71	5.54
Cenpk	1.71	4.41
Dohh	1.7	4.13
Sgol1	1.7	5.71
Wnt10a	1.7	3.87
Cdt1	1.7	4.63
Slc45a2	1.7	6.86
Celsr2	1.7	3.4
Ppp4c	1.7	4.85
Pcna	1.7	3.63
Herc4	1.7	5.13
Prickle1	1.7	5.24
Rmnd5b	1.7	5.83
Tmprss2	1.69	3.71
Efna3	1.69	5.96
Fhl2	1.69	6.35
Wipi1	1.69	4.67
Dach1	1.69	5.37
Chek1	1.69	4.74
Eif3s8	1.69	3.91
Ereg	1.69	4.31
Cdcp1	1.68	4.74
Reps1	1.68	6.06
Mtmr4	1.68	5.3
Slc38a3	1.68	4.2
Metrnl	1.68	3.75
Rhov	1.68	5.57
Ppp2cb	1.68	5.77
H2afz	1.68	3.81
Zswim1	1.68	3.83
	1.67	4.37
Stard10	1.67	5.31
Car13	1.67	3.74
Shkbp1	1.67	4.21
Tmem56	1.67	5.25
Dtl	1.67	6.3
Taf13	1.67	3.06
Rbp1	1.67	6.39
Mark1	1.67	5.6
Psmc5	1.67	6.37
Eps8l2	1.67	4.09
Pqlc1	1.67	4.57
Pdap1	1.66	6.07
Dlx1	1.66	4.26
Shcbp1	1.66	4.67
Ehf	1.66	4.24
Osbpl2	1.66	4.68
Ints7	1.66	4.51
Psmc4	1.66	5.71
C1qdc2	1.66	4.96
Tomm40	1.66	4.14
Vangl2	1.65	4.58
Lhx2	1.65	3.08
Ddx21	1.65	3.26
Cad	1.65	4.38
Topbp1	1.65	3.7
Anp32b	1.65	6.4
Faf1	1.65	4.54
Rab38	1.65	5.18
Plk4	1.65	3.24
Sppl3	1.65	4.45
Gtpbp9	1.65	6.03
Numb	1.64	6.2
Rbl1	1.64	6.62
Cct6a	1.64	4.47
Fez1	1.64	5.1
Trp63	1.64	5.09
Gp1bb	1.64	3.7
Spag5	1.64	5.21
Shmt2	1.64	5.09
Tubb5	1.64	6.19
Mycbp	1.64	6.55
Lss	1.63	5.6
Foxm1	1.63	4.11
Hmmr	1.63	6.17
Eif4e	1.62	6.02
Crb3	1.62	3.36
Katna1	1.62	3.17
Pgd	1.62	3.22
Psmd13	1.62	4.77
Stt3b	1.62	4.87
Runx1t1	-1.62	5.84
Lifr	-1.62	4.13
Ube1l	-1.62	5.56
Gcsh	-1.62	4.14
Oasl1	-1.62	3.09
Lpin1	-1.62	4.41
Cachd1	-1.62	5.74
Rftn2	-1.62	3.75
Slc12a2	-1.62	5.33
Mcl1	-1.62	5.5
Rab2b	-1.62	3.11
Sar1b	-1.63	4.46
Ldha	-1.63	6.1
Snap23	-1.63	6.48
Gm561	-1.63	4.07
Asah1	-1.63	6.02
Dnaja4	-1.63	4
Timp4	-1.63	5.12
Glo1	-1.63	5.24
Ebf2	-1.63	3.95
H2-K1	-1.63	5.03
Mc2r	-1.63	5.32
Ctps2	-1.63	4.44
Mcart1	-1.63	3.73
Htatsf1	-1.63	6.27
rp9	-1.63	6.41
Tshr	-1.63	4.21
Chl1	-1.63	4.88
Rsn	-1.63	5.17
Nox4	-1.63	3.56
Fbxo3	-1.64	5.26
Slc11a1	-1.64	5.64
Trip11	-1.64	3.68
Serpina1a	-1.64	3.87
Cntf	-1.64	4.44
Nkiras1	-1.64	6.37
Zfhx4	-1.64	6.12
Il10rb	-1.64	6.64
Zfyve21	-1.64	5.64
Map1lc3b	-1.64	5.14
Vtn	-1.64	5.36
Gdpd2	-1.64	3.04
S100a10	-1.64	4.96
Pcx	-1.64	5.67
Pfdn5	-1.64	6.63
Aldh7a1	-1.64	4.08
Cflar	-1.65	3.52
Extl2	-1.65	4.3
H47	-1.65	5.43
Npr2	-1.65	3.7
Adk	-1.65	5.21
Ndufs5	-1.65	4.32
Arrb1	-1.65	4.57
Crry	-1.65	3.73
Lmbr1	-1.65	4.59
Opn3	-1.65	6.11
Gpr155	-1.65	5.26
Fmr1	-1.65	4.71
Phldb1	-1.65	4.37
Cyb5r3	-1.65	4.72
Idh3a	-1.65	4.57
Smyd1	-1.65	4.92
Anxa4	-1.65	4.58
Gadd45a	-1.65	3.41
Adamts4	-1.65	4.84
Large	-1.65	5.14
Cdh2	-1.65	4.69
Ddah2	-1.65	5.25
Trim21	-1.65	5.26
Angptl1	-1.65	5.15
Morf4l1	-1.65	5.29
Pfkfb1	-1.65	3.35
Leprot	-1.65	5.49
Osbpl11	-1.66	3.95
Ushbp1	-1.66	3.79
Plxdc1	-1.66	4.25
Gprk5	-1.66	4.69
Tmem176a	-1.66	4.36
Idh3g	-1.66	5.01
Dusp3	-1.66	5.29
Ear11	-1.66	3.83
Cxcl12	-1.66	3.3
Six1	-1.66	4.6
Dvl1	-1.66	3.58
Gng10	-1.66	5.92
Kazald1	-1.66	6.22
Adm	-1.66	3.84
Prlr	-1.67	3.87
Pkig	-1.67	5.37
Pnp	-1.67	6.82
Igsf4b	-1.67	5.59
Arhgap21	-1.67	4.43
Rbpsuh	-1.67	5.45
Casp8	-1.67	4.68
Tgoln1	-1.67	5.96
She	-1.67	5.14
Eif4a2	-1.67	4.55
Fas	-1.67	5.21
Rnf13	-1.67	3.61
Mdfic	-1.67	6.4
Lynx1	-1.67	4.2
Dynll2	-1.67	5.16
Selp	-1.68	3.36
Mocs2	-1.68	6.63
Npc2	-1.68	3.27
As3mt	-1.68	5.06
P2ry12	-1.68	5.87
Plod1	-1.68	5.88
Odz3	-1.68	6.02
Mmp9	-1.68	6.78
Armcx1	-1.68	5.39
Mybph	-1.68	4.51
Apbb2	-1.68	4.59
Adamtsl4	-1.68	5.19
Hbld2	-1.68	4.44
Pik3r1	-1.68	3.92
Cryz	-1.68	5.82
Sri	-1.68	5.21
Tpte2	-1.68	4.18
Lypla3	-1.68	5.03
Degs1	-1.68	4.4
Arpc1b	-1.68	6.8
Ly96	-1.68	3.53
Tdrd7	-1.69	5.48
H6pd	-1.69	3.23
Sfi1	-1.69	3.53
Gstp1	-1.69	3.8
Ccl8	-1.69	3.8
Mrap	-1.69	4.53
Enpp5	-1.69	4.66
Dci	-1.69	6.73
Epsti1	-1.69	6.87
St6galnac5	-1.69	4.75
Fyb	-1.69	5.81
Bcl2a1a	-1.69	3.74
Slc7a7	-1.7	6.77
Pld4	-1.7	3.81
Mbnl1	-1.7	6.54
Lcp2	-1.7	4.74
Gbe1	-1.7	4.81
Rab33b	-1.7	3.41
Bbox1	-1.7	5.32
Man2b1	-1.7	4
Plekha2	-1.7	6.46
Tpi1	-1.7	4.67
Dpep1	-1.7	7.36
Adh7	-1.7	3.66
Rora	-1.7	5.47
Vdac3	-1.7	4.49
Prei4	-1.7	7.39
Gzma	-1.7	3.44
Pttg1ip	-1.71	3.28
Prr13	-1.71	3.21
Flcn	-1.71	7.01
Dlat	-1.71	3.36
Coq10a	-1.71	4.86
Smoc2	-1.71	3.74
Arhgap18	-1.71	4.02
Rnase4	-1.71	5.51
Asb14	-1.71	6.17
Ppargc1b	-1.71	6.32
Klf7	-1.71	3.34
Crispld1	-1.71	3.65
Ttc28	-1.71	5.76
C3ar1	-1.71	3.81
Socs3	-1.71	4.53
Egfl7	-1.71	5.04
Ppm1m	-1.72	4.82
Acsl6	-1.72	6.35
Rapgef3	-1.72	5.41
2-Mar	-1.72	5.99
Slc41a3	-1.72	4.88
Adfp	-1.72	5.65
Igsf6	-1.72	4.95
Car14	-1.72	5.15
Gpd1	-1.72	4.05
Ctsw	-1.72	5.18
Lilrb3	-1.72	5.07
Slc22a4	-1.72	7.38
Rbpms	-1.72	4.47
Hist1h4h	-1.72	3.77
Tspan17	-1.72	5.82
Rap1b	-1.72	6.27
Zfpm2	-1.73	3.81
Adamts5	-1.73	6.79
Tscot	-1.73	7.15
Il13ra1	-1.73	4.55
Entpd1	-1.73	4.54
Mx1	-1.73	3.85
Tmigd1	-1.73	4
Ppp3ca	-1.73	5.26
Stat5a	-1.73	5.85
Plcl2	-1.73	3.88
Rrbp1	-1.73	6.42
Drctnnb1a	-1.73	5.07
Abcb1a	-1.73	5.14
Cfd	-1.73	6.77
Sdcbp	-1.73	4.5
Maoa	-1.73	4.86
Kcnj8	-1.73	7.18
Papss2	-1.74	3.56
Lyrm5	-1.74	5.92
Zyg11b	-1.74	5.47
Copz2	-1.74	4.24
Lgals7	-1.74	3.38
Itgb1	-1.75	6.7
Gpi1	-1.75	4.97
Dnm1	-1.75	3.39
Ctsb	-1.75	4.84
Cbr2	-1.75	4.91
Tll1	-1.75	4.73
Bcl6	-1.75	5.1
Pthr1	-1.75	5.91
Nagk	-1.76	6.02
Atbf1	-1.76	7.26
Tnfsf13	-1.76	7.32
Cpt1b	-1.76	4.94
Ube2b	-1.76	7.12
Rab28	-1.76	4.79
Mrps6	-1.76	3.41
Lass2	-1.76	3.61
Pkib	-1.76	7.31
Cbr3	-1.76	4.13
Tmem77	-1.77	3.69
Agtpbp1	-1.77	3
Sumf1	-1.77	3.55
Vamp4	-1.77	3.29
G3bp2	-1.77	4.69
Ctsh	-1.77	5.41
Icam2	-1.78	4.2
Rgs5	-1.78	3.03
Cpeb3	-1.78	5.14
Slc37a4	-1.78	4.74
Sec14l4	-1.78	5.9
Galntl1	-1.78	4.39
Gda	-1.78	5.32
Mthfs	-1.78	4.82
Aff1	-1.78	5.32
Cacng1	-1.78	5.88
Ctdsp2	-1.78	5.23
Pgrmc1	-1.78	6.49
Cysltr1	-1.79	7.68
Sdhd	-1.79	6.42
Plce1	-1.79	6.36
Rhoc	-1.79	5.66
Dock2	-1.79	5.77
Tmed3	-1.79	6.12
Serpinb9	-1.79	3.7
Mll5	-1.79	3.26
Syne1	-1.79	7.61
Stat5b	-1.79	5.3
Itpr1	-1.79	4.47
Capza2	-1.79	5.43
Stambpl1	-1.79	5.66
Plekhf1	-1.79	6.16
Ftl1	-1.79	4.88
Snx10	-1.79	6.59
Gnpda1	-1.8	6.39
Hk2	-1.8	3.34
Hsd3b2	-1.8	7.22
Tcea3	-1.8	7.56
Fxyd5	-1.8	4.55
Tm6sf1	-1.8	7.1
Pxmp4	-1.8	3.62
Mccc1	-1.8	4.71
Ugdh	-1.8	6.29
Csf1r	-1.8	7.23
Retnla	-1.8	4.01
Endog	-1.8	5.77
Uap1	-1.8	3.84
Ccr5	-1.8	7.5
Acadm	-1.81	5.27
Mbc2	-1.81	7.03
Dpp4	-1.81	6.35
Twf2	-1.81	4.79
Tmem176b	-1.81	6.24
Prg1	-1.81	4.48
Sod3	-1.81	3.55
Ms4a6c	-1.82	6.76
Phr1	-1.82	7.41
Kcmf1	-1.82	6.73
Ulk2	-1.82	7.04
Gatm	-1.82	3.72
Hspb2	-1.82	3.98
Flnc	-1.82	5.69
Zdhhc14	-1.82	3.05
Gpam	-1.82	5.66
Ddhd2	-1.82	5.52
Nckap1l	-1.82	7.89
Pdzk1ip1	-1.82	4.86
Pfn2	-1.82	4.44
Utrn	-1.83	7.99
Eif2ak2	-1.83	4.32
Prnp	-1.83	6.45
Gja7	-1.83	5.51
Enpp3	-1.83	3.68
Ehbp1l1	-1.83	5.41
Ifngr1	-1.83	7.06
Idh2	-1.83	6.81
Park7	-1.84	4.99
Ppapdc3	-1.84	6.96
Prrx2	-1.84	7.58
Rab6ip1	-1.84	3.63
Akr1c12	-1.84	3.25
Tmed10	-1.84	5.07
Ebf3	-1.84	6.62
Nqo2	-1.84	7.56
Brp44	-1.84	5.48
