Affy ID	Gene Title	Gene Symbol	Ratio(Mt/Wt)
1425746_at	RIKEN cDNA D730039F16 gene	D730039F16Rik	5.496062992
1443312_at	Transcribed sequence with weak  similarity to protein ref:NP_081764.1 (M.musculus)  RIKEN cDNA 5730493B19 [Mus musculus]	---	5.378995434
1422333_at	cytochrome P450, family 21, subfamily a, polypeptide 1	Cyp21a1	5.357894737
1424362_at	RIKEN cDNA D830019K17 gene	D830019K17Rik	5.337837838
1421637_at	solute carrier family 5, member 4a	Slc5a4a	5.292682927
1428077_at	RIKEN cDNA 2610024A01 gene	2610024A01Rik	5.281818182
1450607_s_at	urocortin 2	Ucn2	5.067901235
1418019_at	carboxypeptidase D	Cpd	5.029962547
1423353_at	Cocoacrisp protein	Cocoacrisp	5
1421730_at	nuclear receptor subfamily 5, group A, member 1	Nr5a1	4.948148148
1419697_at	chemokine (C-X-C motif) ligand 11	Cxcl11	4.753012048
1421479_at	zinc finger protein 318	Zfp318	4.741463415
1460481_at	pericentrin 2	Pcnt2	4.710144928
1425614_x_at	histocompatibility 2, K1, K region	H2-K1	4.640625
1424600_at	amiloride binding protein 1 (amine oxidase, copper-containing)	Abp1	4.596774194
1438190_x_at	trophoblast specific protein alpha	Tpbpa	4.443708609
1427589_at	RIKEN cDNA 8430419L09 gene	8430419L09Rik	4.431034483
1448038_at	RIKEN cDNA 1810021B22 gene	1810021B22Rik	4.35546875
1427797_s_at	---	---	4.303571429
1426174_s_at	expressed sequence AU044919	AU044919	4.295597484
1426720_at	amyloid beta (A4) precursor protein-binding, family B, member 2	Apbb2	4.214574899
1431542_at	presenilin 2	Psen2	4.140243902
1425355_at	cDNA sequence BC018371	BC018371	4.108433735
1422053_at	inhibin beta-A	Inhba	4.097560976
1422023_at	bassoon	Bsn	4.08365019
1421788_x_at	kallikrein 8	Klk8	4.041493776
1427952_at	aryl hydrocarbon receptor-interacting protein-like 1	Aipl1	4.040697674
1450165_at	schlafen 2	Slfn2	4.012448133
1451947_at	Clone L2MZB-24.1 immunoglobulin heavy chain variable region mRNA, partial cds	---	4
1427700_x_at	keratin complex 2, basic, gene 6a	Krt2-6a	4
1425391_a_at	oxysterol binding protein-like 5	Osbpl5	3.995121951
1418352_at	hydroxysteroid (17-beta) dehydrogenase 2	Hsd17b2	3.968085106
1425707_a_at	potassium inwardly-rectifying channel, subfamily J, member 6	Kcnj6	3.894957983
1421683_at	t-complex-associated testis expressed 3	Tcte3	3.848930481
1425782_at	phospholipase C, beta 1	Plcb1	3.821428571
1427848_at	M.musculus mRNA for Tcell receptor, V-J beta junctional region (clone T1CRP8)	---	3.758293839
1450347_at	synaptotagmin 10	Syt10	3.725714286
1429626_at	surfactant associated protein A	Sftpa	3.678362573
1450444_a_at	nuclear receptor subfamily 1, group H, member 3	Nr1h3	3.602339181
1426107_at	cDNA sequence BC012016	BC012016	3.592436975
1452420_at	serine/threonine kinase 32B	Stk32b	3.511627907
1449173_at	membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2)	Mpp2	3.432343234
1422494_s_at	RIKEN cDNA 4932702G04 gene	4932702G04Rik	3.362725451
1455932_at	RIKEN cDNA 2610103J23 gene	2610103J23Rik	3.35154827
1451930_at	cDNA sequence BC016608	BC016608	3.344671202
1421715_at	tissue-type  vomeronasal neurons putative  pheromone receptor V2R2	LOC56544	3.330855019
1448136_at	ectonucleotide pyrophosphatase/phosphodiesterase 2	Enpp2	3.296023564
1417954_at	somatostatin	Sst	3.292307692
1427836_at	RIKEN cDNA 0610007P08 gene	0610007P08Rik	3.266990291
1425335_at	CD8 antigen, alpha chain	Cd8a	3.213709677
1456002_at	xeroderma pigmentosum, complementation group A	Xpa	3.210526316
1430195_at	RIKEN cDNA 2810043O03 gene	2810043O03Rik	3.167048055
1418678_at	hyaluronan synthase 2	Has2	3.155585106
1417996_at	neuroglobin	Ngb	3.119133574
1455844_at	Cdk5 and Abl enzyme substrate 1	Cables1	3.107806691
1430514_a_at	RIKEN cDNA 2410026K10 gene	2410026K10Rik	3.105621806
1426001_at	eomesodermin homolog (Xenopus laevis)	Eomes	3.09653092
1450076_at	RIKEN cDNA 4933411K20 gene	4933411K20Rik	3.068493151
1437810_a_at	hemoglobin Z, beta-like embryonic chain	Hbb-bh1	3.063091483
1421053_at	kinesin family member 1A	Kif1a	3.054773083
1429730_at	RIKEN cDNA 1810009N02 gene	1810009N02Rik	3.050485437
1424308_at	solute carrier family 24 (sodium/potassium/calcium exchanger), member 3	Slc24a3	3.042763158
1418957_at	src homology three (SH3) and cysteine rich domain	Stac	3.041198502
1423101_at	RIKEN cDNA 1500004C10 gene	1500004C10Rik	3.031746032
1450795_at	luteinizing hormone beta	Lhb	2.997297297
1449242_s_at	histidine-rich glycoprotein	Hrg	2.965189873
1419304_at	brachyury	T	2.909859155
1422917_at	Eph receptor A1	Epha1	2.905781585
1421686_at	RFamide-related peptide	Rfrp	2.884488449
1452249_at	prickle like 1 (Drosophila)	Prickle1	2.851351351
1417216_at	proviral integration site 2	Pim2	2.848725395
1422852_at	calcium and integrin binding family member 2	Cib2	2.820833333
1451944_a_at	tumor necrosis factor (ligand) superfamily, member 11	Tnfsf11	2.815789474
1416354_at	RNA binding motif protein, X chromosome	Rbmx	2.804780876
1421374_a_at	FXYD domain-containing ion transport regulator 1	Fxyd1	2.798866856
1415894_at	ectonucleotide pyrophosphatase/phosphodiesterase 2	Enpp2	2.796692607
1428850_x_at	RIKEN cDNA 2410026K10 gene	2410026K10Rik	2.762184381
1420741_x_at	RIKEN cDNA 1110058A15 gene	1110058A15Rik	2.755905512
1455575_at	eukaryotic translation initiation factor 4E binding protein 2	Eif4ebp2	2.694029851
1451382_at	RIKEN cDNA 1810008K03 gene	1810008K03Rik	2.68622291
1427361_at	homeo box C6	Hoxc6	2.646924829
1455930_at	---	---	2.623854884
1439240_x_at	lin 7 homolog b (C. elegans)	Lin7b	2.601895735
1448408_at	Hermansky-Pudlak syndrome 1 homolog (human)	Hps1	2.569844789
1420700_s_at	folate receptor 4 (delta)	Folr4	2.540983607
1449953_at	RIKEN cDNA 4930471O16 gene	4930471O16Rik	2.521052632
1453913_a_at	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	Tap2	2.491027732
1452092_at	RIKEN cDNA 4631426J05 gene	4631426J05Rik	2.47833935
1422068_at	POU domain, class 3, transcription factor 1	Pou3f1	2.474573942
1421202_at	cholinergic receptor, nicotinic, alpha polypeptide 4	Chrna4	2.472906404
1453556_x_at	RIKEN cDNA 2410026K10 gene	2410026K10Rik	2.441332324
1419135_at	lymphotoxin B	Ltb	2.393110188
1460038_at	POU domain, class 3, transcription factor 1	Pou3f1	2.374489296
1416832_at	solute carrier family 39 (metal ion transporter), member 8	Slc39a8	2.364218827
1427366_at	keratin associated protein 3-1	Krtap3-1	2.36097561
1415927_at	actin, alpha, cardiac	Actc1	2.3575983
1449581_at	EMI domain containing 1	Emid1	2.35501355
1439383_x_at	---	---	2.338409475
1422228_at	wingless-related MMTV integration site 8A	Wnt8a	2.337708831
1436097_x_at	Rho GTPase activating protein 9	Arhgap9	2.33164557
1451008_at	sialyltransferase 8 (alpha-2, 8-sialyltransferase) C	Siat8c	2.326899879
1460659_at	phosphotidylinositol transfer protein, beta	Pitpnb	2.32193159
1432115_a_at	phosphatidylinositol glycan, class N	Pign	2.310657596
1450482_a_at	paired-like homeodomain transcription factor 2	Pitx2	2.307503075
1420767_at	camello-like 2	Cml2	2.306487696
1421682_a_at	t-complex-associated testis expressed 3	Tcte3	2.294545455
1418446_at	solute carrier family 16 (monocarboxylic acid transporters), member 2	Slc16a2	2.281920327
1449982_at	interleukin 11	Il11	2.278617711
1420565_at	homeo box A1	Hoxa1	2.270951993
1448158_at	syndecan 1	Sdc1	2.256505576
1448745_s_at	loricrin	Lor	2.238341969
1452407_at	sperm associated antigen 4	Spag4	2.235905045
1427716_at	RIKEN cDNA 1700036D21 gene	1700036D21Rik	2.231532525
1449022_at	nestin	Nes	2.216008389
1451697_a_at	Ellis van Creveld gene homolog (human)	Evc	2.199367089
1425383_a_at	pre B-cell leukemia transcription factor 1	Pbx1	2.189342404
1415886_at	SH2 domain containing 3C	Sh2d3c	2.161643836
1417527_at	adaptor-related protein complex 3, mu 2 subunit	Ap3m2	2.122580645
1416863_at	abhydrolase domain containing 8	Abhd8	2.121564482
1451786_at	mucin 20	Muc20	2.103321033
1416432_at	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	Pfkfb3	2.097876748
1419639_at	ephrin B2	Efnb2	2.076168929
1418648_at	EGL nine homolog 3 (C. elegans)	Egln3	2.069281046
1419406_a_at	B-cell CLL/lymphoma 11A (zinc finger protein)	Bcl11a	2.067172264
1455092_at	zinc finger protein 207	Zfp207	2.067045206
1448249_at	glycerol-3-phosphate dehydrogenase 1 (soluble)	Gpd1	2.062394604
1451038_at	apelin	Apln	2.060234244
1422073_a_at	cadherin EGF LAG seven-pass G-type receptor 2	Celsr2	2.052851182
1421728_at	oligodendrocyte transcription factor 3	Olig3	2.044491525
1449875_s_at	histocompatibility 2, T region locus 10	H2-T10	2.033691756
1422611_s_at	insulin-like growth factor 2, binding protein 3	Igf2bp3	2.033400134
1422914_at	trans-acting transcription factor 5	Sp5	2.018066847
1449897_a_at	mature T-cell proliferation 1	Mtcp1	2.017897092
1450924_at	hepatoma-derived growth factor, related protein 3	Hdgfrp3	2.012886598
1426124_a_at	CDC-like kinase	Clk	2.002308669
