Symbol	Description	Family	Agilent	Affymetrix	Fold Change Transgenic	p-value Transgenic	Fold Change Human	p-value Human
PAPD7	PAP associated domain containing 7	enzyme	A_52_P380329	202466_at	2.329	9.1339E-05	2.294	0.000359061
SNRPF	small nuclear ribonucleoprotein polypeptide F	other	A_51_P255613	203832_at	2.294	8.93057E-05	2.08	0.007751052
EEF1E1	eukaryotic translation elongation factor 1 epsilon 1	translation	A_51_P164420	204905_s_at	2.263	0.000127154	2.177	0.047280356
GAPDH	glyceraldehyde-3-phosphate dehydrogenase	enzyme	A_52_P1687	M33197_5_at	2.237	0.000295943	2.398	0.020756707
GRP	gastrin-releasing peptide	growth factor	A_51_P356055	206326_at	2.144	0.002535132	12.856	0.024611644
CACNA1A	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	ion channel	A_52_P58404	214933_at	2.125	6.006E-05	9.66	0.02159147
PARP1	poly (ADP-ribose) polymerase 1	enzyme	A_51_P314277	208644_at	2.124	1.82153E-06	2.204	0.006096241
DTYMK	deoxythymidylate kinase (thymidylate kinase)	kinase	A_52_P136808	203270_at	2.04	4.53594E-06	2.89	0.001019636
CLDND1	claudin domain containing 1	other	A_52_P473154	208925_at	2.02	0.00495531	2.442	0.000206278
DPT	dermatopontin	other	A_51_P116651	213068_at	-2.027	0.002788391	-2.198	0.03612155
TRIM16	tripartite motif-containing 16	transcription	A_51_P502580	204341_at	-2.034	0.000146762	-2.314	0.004750109
SERPINF1	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	other	A_52_P35048	202283_at	-2.041	9.20296E-05	-2.812	0.015774867
CMAH	cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminate monooxygenase) pseudogene	enzyme	A_52_P156452	205518_s_at	-2.041	0.001226159	-3.098	0.014046173
TGFBR3	transforming growth factor, beta receptor III	kinase	A_51_P255899	204731_at	-2.052	0.010536633	-2.66	0.001628828
DNAH9	dynein, axonemal, heavy chain 9	other	A_51_P416308	207959_s_at	-2.073	5.72217E-05	-3.634	0.003568097
TGM2	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	enzyme	A_51_P182794	201042_at	-2.084	0.000282726	-2.423	0.006792794
TPPP3	tubulin polymerization-promoting protein family member 3	other	A_51_P246924	218876_at	-2.085	0.000625341	-7.33	0.001653426
CRYM	crystallin, mu	enzyme	A_51_P264695	205489_at	-2.092	0.000190498	-2.708	0.008540674
GSTK1	glutathione S-transferase kappa 1	enzyme	A_51_P459240	217751_at	-2.115	5.29182E-05	-2.069	0.003614093
PRSS23	protease, serine, 23	peptidase	A_52_P679105	202458_at	-2.122	0.000441567	-2.489	0.015178774
APOD	apolipoprotein D	transporter	A_51_P366811	201525_at	-2.128	0.001933251	-4.551	0.001042792
MYO5C	myosin VC	other	A_51_P232393	218966_at	-2.132	0.001973512	-2.076	0.004873632
SORL1	sortilin-related receptor, L(DLR class) A repeats-containing	transporter	A_51_P318683	203509_at	-2.147	0.000344065	-2.413	0.001640972
LAMB3	laminin, beta 3	transporter	A_51_P223656	209270_at	-2.152	0.00184217	-3.596	0.004091265
SCNN1B	sodium channel, nonvoltage-gated 1, beta	ion channel	A_51_P412348	205464_at	-2.155	1.14158E-05	-2.037	0.014676516
DMD	dystrophin	other	A_52_P81210	203881_s_at	-2.172	0.000178465	-2.477	0.004844876
FGFR3	fibroblast growth factor receptor 3	kinase	A_51_P322906	204379_s_at	-2.175	0.001438327	-4.636	0.008323105
PROS1	protein S (alpha)	other	A_51_P393426	207808_s_at	-2.222	0.003759533	-4.303	0.000571058
FAM129A	family with sequence similarity 129, member A	other	A_51_P467798	217967_s_at	-2.231	0.000104378	-2.369	0.03296614
CYP2J2	cytochrome P450, family 2, subfamily J, polypeptide 2	enzyme	A_51_P506328	205073_at	-2.246	0.003429088	-2.573	0.001986551
EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	transporter	A_52_P286098	220161_s_at	-2.287	0.000114738	-3.714	0.001531801
TGFBR2	transforming growth factor, beta receptor II (70/80kDa)	kinase	A_51_P450573	208944_at	-2.29	3.42779E-06	-2.139	0.030172883
RAB36	RAB36, member RAS oncogene family	enzyme	A_51_P264084	211471_s_at	-2.304	0.003430656	-3.037	0.008047115
SPAG6	sperm associated antigen 6	other	A_51_P505967	210033_s_at	-2.361	1.38975E-05	-6.429	0.001503079
ALDH1A1	aldehyde dehydrogenase 1 family, member A1	enzyme	A_51_P334942	212224_at	-2.363	0.004435097	-7.47	0.002060951
SRPX	sushi-repeat-containing protein, X-linked	other	A_51_P316871	204955_at	-2.365	0.014648564	-2.519	0.045127183
SEMA5A	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A	trans. receptor	A_52_P409076	205405_at	-2.376	0.002316048	-2.048	0.047739606
CBR3	carbonyl reductase 3	enzyme	A_51_P481159	205379_at	-2.429	0.000719671	-2.718	0.000183006
GNA14	guanine nucleotide binding protein (G protein), alpha 14	enzyme	A_51_P110323	220108_at	-2.53	1.37927E-05	-2.042	0.04085027
MAK	male germ cell-associated kinase	kinase	A_51_P467268	220302_at	-2.57	0.000351279	-2.771	0.026518673
SLC2A10	solute carrier family 2 (facilitated glucose transporter), member 10	transporter	A_51_P382912	221024_s_at	-2.582	0.000388696	-2.884	0.004986513
TEKT2	tektin 2 (testicular)	other	A_51_P109933	210323_at	-2.585	6.18979E-06	-4.196	0.000988007
HLF	hepatic leukemia factor	transcription	A_51_P134228	204753_s_at	-2.613	0.000475814	-3.002	0.024998669
RTDR1	rhabdoid tumor deletion region gene 1	other	A_51_P191100	220105_at	-2.681	0.000192412	-4.142	0.002146156
SERPINA1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	other	A_52_P598495	211429_s_at	-2.747	0.000666645	-2.494	0.017867638
ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	kinase	A_51_P216179	216836_s_at	-2.759	0.000485027	-2.331	0.000637657
CFH	complement factor H	other	A_52_P309381	213800_at	-2.774	0.001120195	-3.486	0.004254021
ADAM28	ADAM metallopeptidase domain 28	peptidase	A_52_P302284	205997_at	-2.794	0.00011468	-2.47	0.04511399
ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	enzyme	A_51_P233797	210505_at	-2.81	7.78439E-05	-4.808	0.011415597
FXYD3	FXYD domain containing ion transport regulator 3	ion channel	A_52_P377791	202488_s_at	-2.877	5.00611E-05	-2.491	0.001789994
LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	kinase	A_52_P34823	202625_at	-2.891	0.00047957	-2.662	0.005695882
EPHX1	epoxide hydrolase 1, microsomal (xenobiotic)	peptidase	A_52_P416072	202017_at	-3.086	7.32261E-05	-2.551	0.00263602
PTGER4	prostaglandin E receptor 4 (subtype EP4)	G-protein c.rec.	A_51_P207988	206754_s_at	-3.128	5.79795E-05	-2.867	0.010242004
CYP2B6	cytochrome P450, family 2, subfamily B, polypeptide 6	enzyme	A_52_P472486	206754_s_at	-3.128	4.34659E-05	-5.243	0.001598798
SLC44A4	solute carrier family 44, member 4	other	A_51_P107652	205597_at	-3.13	0.001471601	-4.908	0.002257424
TNS1	tensin 1	other	A_52_P254470	221748_s_at	-3.162	5.47943E-06	-2.1	0.03723234
FAM107A	family with sequence similarity 107, member A	other	A_52_P87900	209074_s_at	-3.28	6.82621E-05	-2.359	0.012828152
LRRC6	leucine rich repeat containing 6	other	A_51_P249559	206483_at	-3.281	0.000726394	-3.795	0.002626549
VNN2	vanin 2	enzyme	A_51_P265374	205922_at	-3.283	0.000487463	-2.082	0.044137787
PROM1	prominin 1	other	A_52_P402786	204304_s_at	-3.284	0.004847416	-5.02	0.004673326
CSTA	cystatin A (stefin A)	other	A_51_P401907	204971_at	-3.296	0.00034281	-5.5	0.02417857
PLTP	phospholipid transfer protein	other	A_51_P226655	202075_s_at	-3.301	1.35685E-05	-2.982	0.000685121
PER2	period homolog 2 (Drosophila)	other	A_51_P282760	205251_at	-3.333	1.28131E-07	-2.605	0.020772005
PCSK5	proprotein convertase subtilisin/kexin type 5	peptidase	A_52_P571794	205559_s_at	-3.337	0.000923207	-2.793	0.001096959
CYP4B1	cytochrome P450, family 4, subfamily B, polypeptide 1	enzyme	A_51_P118704	210096_at	-3.356	0.000194262	-13.304	0.0001332
MYOF	myoferlin	other	A_52_P360440	201798_s_at	-3.362	0.000434957	-2.37	0.027336609
FBLN1	fibulin 1	other	A_51_P154417	202995_s_at	-3.504	4.88055E-05	-2.544	0.031752
DIAPH2	diaphanous homolog 2 (Drosophila)	other	A_51_P192162	205726_at	-3.509	2.72508E-06	-4.005	0.000519735
GSTA3	glutathione S-transferase alpha 3	enzyme	A_51_P503625	222102_at	-3.524	3.66224E-07	-4.321	0.000943052
EPAS1	endothelial PAS domain protein 1	transcription	A_51_P307954	200878_at	-3.527	3.57962E-05	-2.772	0.03306864
CX3CL1	chemokine (C-X3-C motif) ligand 1	cytokine	A_51_P196925	823_at	-3.543	4.38608E-07	-2.342	0.002801855
MAOB	monoamine oxidase B	enzyme	A_51_P302566	204041_at	-3.56	0.002161789	-2.35	0.000162733
CES1	carboxylesterase 1 (monocyte/macrophage serine esterase 1)	enzyme	A_51_P375969	209616_s_at	-3.568	0.002201125	-9.078	0.000133359
AKR1C3	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)	enzyme	A_51_P256170	209160_at	-3.796	0.001707365	-5.452	0.01034513
TCF21	transcription factor 21	transcription	A_51_P459944	204931_at	-3.89	3.07125E-06	-2.144	0.013025948
NME5	non-metastatic cells 5, protein expressed in (nucleoside-diphosphate kinase)	kinase	A_51_P420969	206197_at	-3.993	0.024632089	-7.373	0.001554143
ABLIM1	actin binding LIM protein 1	other	A_51_P368580	200965_s_at	-4.204	0.00024279	-2.258	0.012632819
TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	cytokine	A_51_P448741	202688_at	-4.52	1.62225E-05	-2.385	0.00087874
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	enzyme	A_51_P428555	206262_at	-4.701	0.000255375	-12.825	0.001301307
LEPR	leptin receptor	trans. receptor	A_52_P247900	209894_at	-5.599	0.000559037	-2.667	0.04401645
FMO3	flavin containing monooxygenase 3	enzyme	A_51_P269404	40665_at	-6.176	8.59563E-05	-2.547	0.03266541
