ENSEMBL_gene_id	Glomerulus cDNA clones ENSEMBL_gene_name	Clone_id	log2(glo/rest_kidney)	Pvalue
ENSMUSG00000038991	Thioredoxin domain containing protein 5 precursor (Thioredoxin-like protein p46) (Endoplasmic reticulum protein	gbctl04_plate7_K23	-1.7	0.04529
ENSMUSG00000022105	Retinoblastoma-associated protein (PP105) (RB). [Source:Uniprot/SWISSPROT;Acc:P13405]	MTG_602472704	-1.69	0.04441
ENSMUSG00000027984	Short chain 3-hydroxyacyl-CoA dehydrogenase, mitochondrial precursor (EC 1.1.1.35) (HCDH) (Medium and sho	MTG_602310506	-1.69	0.00327
ENSMUSG00000032786		MTG_602476691	-1.68	0.00303
ENSMUSG00000018796	Long-chain-fatty-acid--CoA ligase 2 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 2) (LACS 2). [Source:Uniprot/	gbctl04_plate9_E24	-1.67	0.00921
ENSMUSG00000028130	Selenium-binding protein 1 (56 kDa selenium-binding protein) (SP56). [Source:Uniprot/SWISSPROT;Acc:P17563	MTG_602474670	-1.67	0.00464
ENSMUSG00000024180	Transmembrane protein 8 precursor (M83 protein). [Source:Uniprot/SWISSPROT;Acc:Q9ESN3]	gbctl04_plate4_L19	-1.65	0.02163
ENSMUSG00000030695	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Muscle-type aldolase) (Aldolase 1). [Source:Uniprot/SWISSPR	gbctl04_plate15_P21	-1.65	0.00269
ENSMUSG00000013539	Ser/Thr-rich protein T10 in DGCR region. [Source:Uniprot/SWISSPROT;Acc:P54797]	MTG_602472153	-1.64	0.00387
ENSMUSG00000047728		MTG_602310514	-1.64	0.00272
ENSMUSG00000014303	GLIS family zinc finger 2; Kruppel-like factor 16 (neuronal); GLI-Kruppel family member GLI5. [Source:RefSeq;Ac	MTG_602471661	-1.62	0.00356
ENSMUSG00000032047	acetyl-Coenzyme A acetyltransferase 1 precursor. [Source:RefSeq;Acc:NM_144784	MTG_602474150	-1.62	0.0083
ENSMUSG00000036093	ADP-ribosylation factor-like protein 5. [Source:Uniprot/SWISSPROT;Acc:Q80ZU0]	gbctl04_plate14_B07	-1.62	0.02892
ENSMUSG00000038843	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N- acetylglucosaminyltransferase (EC 2.4.1.102) (Core 2 br	MTG_602470561	-1.62	0.00342
ENSMUSG00000062054		MTG_602476657	-1.62	0.02675
ENSMUSG00000022175	Low-density lipoprotein receptor-related protein 10 precursor. [Source:Uniprot/SWISSPROT;Acc:Q7TQH7	MTG_602472264	-1.61	0.04419
ENSMUSG00000026687	aldehyde dehydrogenase 9, subfamily A1; aldehyde dehydrogenase 9A; EST AA139417. [Source:RefSeq;Acc:N	MTG_602467725	-1.61	0.00695
ENSMUSG00000032359	Cathepsin H precursor (EC 3.4.22.16) (Cathepsin B3) (Cathepsin BA). [Source:Uniprot/SWISSPROT;Acc:P49935	MTG_602474123	-1.61	0.00317
ENSMUSG00000025742	Ribose-phosphate pyrophosphokinase II (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthetase II) (PRS-II). [So	uMTG_602471640	-1.6	0.02494
ENSMUSG00000033161	Sodium/potassium-transporting ATPase alpha-1 chain precursor (EC 3.6.3.9) (Sodium pump 1) (Na+/K+ ATPase	gbctl04_plate6_C15	-1.6	0.01063
ENSMUSG00000064181	PAT-12 protein. [Source:Uniprot/SPTREMBL;Acc:Q64154]	gbctl04_plate4_H18	-1.6	0.01971
ENSMUSG00000022180	Large neutral amino acids transporter small subunit 2 (L-type amino acid transporter 2). [Source:Uniprot/SWISSP	MTG_602472944	-1.59	0.00315
ENSMUSG00000031881	Cadherin-16 precursor (Kidney-specific cadherin) (Ksp-cadherin). [Source:Uniprot/SWISSPROT;Acc:O88338]	gbctl04_plate15_A15	-1.59	0.00313
ENSMUSG00000005682	ubiquitin specific protease 52. [Source:RefSeq;Acc:NM_133992]	MTG_602475718	-1.58	0.0034
ENSMUSG00000030246	L-lactate dehydrogenase B chain (EC 1.1.1.27) (LDH-B) (LDH heart subunit) (LDH-H). [Source:Uniprot/SWISSPR	gbctl04_plate14_J10	-1.56	0.00255
ENSMUSG00000019996	microtubule-associated protein 7. [Source:RefSeq;Acc:NM_008635]	MTG_602471212	-1.55	0.01581
ENSMUSG00000002032	transmembrane protein 25. [Source:RefSeq;Acc:NM_027865]	gbctl04_plate16_P17	-1.54	0.00272
ENSMUSG00000005362	cereblon; novel lethal gene; cDNA sequence AF229032. [Source:RefSeq;Acc:NM_175357	MTG_602475117	-1.54	0.00917
ENSMUSG00000029119	Epididymis-specific alpha-mannosidase precursor (EC 3.2.1.24) (Mannosidase alpha class 2B member 2). [Sourc	egbctl04_plate16_K19	-1.54	0.00871
ENSMUSG00000058735		gbctl04_plate13_B13	-1.54	0.04317
ENSMUSG00000021236	Ectonucleoside triphosphate diphosphohydrolase 5 precursor (EC 3.6.1.6) (NTPDase5) (Nucleoside diphosphata	gbctl04_plate11_M23	-1.53	0.00313
ENSMUSG00000024782	GTP:AMP phosphotransferase mitochondrial (EC 2.7.4.10) (AK3) (Adenylate kinase 3 alpha like 1). [Source:Unip	MTG_602468016	-1.53	0.03235
ENSMUSG00000024866	Aspartoacylase 2 (EC 3.5.1.15) (Aminoacylase-3) (ACY-3) (Acylase III) (Hepatitis C virus core-binding protein 1)	MTG_602471405	-1.52	0.00718
ENSMUSG00000039367		MTG_602475137	-1.52	0.03623
ENSMUSG00000063870	chromodomain helicase DNA binding protein 4; Mi-2 beta. [Source:RefSeq;Acc:NM_145979	gbctl04_plate4_I22	-1.52	0.03112
ENSMUSG00000013584	Aldehyde dehydrogenase 1A2 (EC 1.2.1.3) (Retinaldehyde-specific dehydrogenase type 2) (RALDH(II)) (RALDH-	2gbctl04_plate13_J15	-1.51	0.01141
ENSMUSG00000026043		MTG_602472755	-1.51	0.0254
ENSMUSG00000027562	Carbonic anhydrase II (EC 4.2.1.1) (Carbonate dehydratase II) (CA-II). [Source:Uniprot/SWISSPROT;Acc:P0092	MTG_602472903	-1.51	0.00272
ENSMUSG00000028405	Iron-responsive element binding protein 1 (IRE-BP 1) (Iron regulatory protein 1) (IRP1) (Ferritin repressor protein	MTG_602468537	-1.51	0.00475
ENSMUSG00000029545	Acyl-CoA dehydrogenase, short-chain specific, mitochondrial precursor (EC 1.3.99.2) (SCAD) (Butyryl-CoA dehyd	MTG_602477746	-1.51	0.0032
ENSMUSG00000049152		MTG_602476433	-1.51	0.01927
ENSMUSG00000003464	peroxisome biogenesis factor 19; peroxisomal farnesylated protein. [Source:RefSeq;Acc:NM_023041	MTG_602469571	-1.5	0.00272
ENSMUSG00000024758	Reticulon protein 3. [Source:Uniprot/SWISSPROT;Acc:Q9ES97]	gbctl04_plate9_B06	-1.5	0.0205
ENSMUSG00000025495	Phosphatidylserine synthase 2 (EC 2.7.8.-) (PtdSer synthase-2) (PSS-2) (Serine-exchange enzyme II). [Source:U	nMTG_602475507	-1.5	0.00615
ENSMUSG00000027610	Glutathione synthetase (EC 6.3.2.3) (Glutathione synthase) (GSH synthetase) (GSH-S). [Source:Uniprot/SWISSP	MTG_602470595	-1.5	0.00325
ENSMUSG00000034285	NipSnap1 protein. [Source:Uniprot/SWISSPROT;Acc:O55125]	MTG_602472230	-1.5	0.00354
ENSMUSG00000022564	NMDA receptor glutamate-binding chain; Lag protein. [Source:RefSeq;Acc:NM_023168	MTG_602474321	-1.49	0.00307
ENSMUSG00000025651	Ubiquinol-cytochrome C reductase complex core protein I, mitochondrial precursor (EC 1.10.2.2). [Source:Uniprot	/gbctl04_plate12_L09	-1.49	0.00658
ENSMUSG00000027006	ER-resident protein ERdj5. [Source:RefSeq;Acc:NM_024181]	MTG_602467634	-1.49	0.00272
ENSMUSG00000027315	Kunitz-type protease inhibitor 1 precursor (Hepatocyte growth factor activator inhibitor type 1) (HAI-1). [Source:Un	MTG_602472423	-1.49	0.00831
ENSMUSG00000033416		MTG_602477479	-1.49	0.00474
ENSMUSG00000020777	Acyl-coenzyme A oxidase 1, peroxisomal (EC 1.3.3.6) (Palmitoyl-CoA oxidase) (AOX). [Source:Uniprot/SWISSP	MTG_602473486	-1.48	0.00567
ENSMUSG00000026139		MTG_602469213	-1.48	0.00264
ENSMUSG00000041238	Similar to retinoblastoma binding protein 8. [Source:Uniprot/SPTREMBL;Acc:Q80YR6	gbctl04_plate6_H04	-1.48	0.02747
ENSMUSG00000062835	Friend virus susceptibility 4. [Source:RefSeq;Acc:NM_010245]	gbctl04_plate13_I20	-1.48	0.00706
ENSMUSG00000043323		MTG_602468463	-1.47	0.01315
ENSMUSG00000054735	Similar to CDNA FLJ32111 FIS (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q8BLZ5]	MTG_602467742	-1.47	0.00307
ENSMUSG00000022186	Succinyl-CoA:3-ketoacid-coenzyme A transferase 1, mitochondrial precursor (EC 2.8.3.5) (Somatic-type succinyl	Cgbctl04_plate4_H03	-1.46	0.02047
ENSMUSG00000055912	cDNA sequence BC014685; fasting-inducible integral membrane protein TM6P1. [Source:RefSeq;Acc:NM_14491	gbctl04_plate15_B21	-1.46	0.00378
ENSMUSG00000039168	death-associated protein. [Source:RefSeq;Acc:NM_146057]	MTG_602473447	-1.45	0.03727
ENSMUSG00000043587		MTG_602477701	-1.45	0.04915
ENSMUSG00000050447		MTG_602472584	-1.45	0.02086
ENSMUSG00000056608	Similar to DJ620E11.1.1 (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q8BYH8]	MTG_602468667	-1.45	0.00711
ENSMUSG00000023122	Sulfotransferase 1C1 (EC 2.8.2.-). [Source:Uniprot/SWISSPROT;Acc:Q9D939]	MTG_602471663	-1.44	0.00536
ENSMUSG00000027199	Glycine amidinotransferase, mitochondrial precursor (EC 2.1.4.1) (L- arginine:glycine amidinotransferase) (Trans	MTG_602471659	-1.44	0.00594
ENSMUSG00000028412		gbctl04_plate10_I12	-1.44	0.04675
ENSMUSG00000027875	Hydroxymethylglutaryl-CoA synthase, mitochondrial precursor (EC 2.3.3.10) (HMG-CoA synthase) (3-hydroxy-3-	MTG_602475166	-1.43	0.00888
ENSMUSG00000004668	ATP-binding cassette transporter. [Source:Uniprot/SPTREMBL;Acc:Q80T20]	MTG_602471535	-1.42	0.00638
ENSMUSG00000018677	similar to human CGI-69 protein. [Source:RefSeq;Acc:NM_026542]	MTG_602474063	-1.42	0.00302
ENSMUSG00000023960	ectonucleotide pyrophosphatase/phosphodiesterase 5. [Source:RefSeq;Acc:NM_032003	MTG_602468274	-1.42	0.0056
ENSMUSG00000031644	Serine/threonine-protein kinase Nek1 (EC 2.7.1.37) (NimA-related protein kinase 1). [Source:Uniprot/SWISSPRO	MTG_602468658	-1.42	0.0263
ENSMUSG00000053898	Delta3,5-delta2,4-dienoyl-CoA isomerase, mitochondrial precursor (EC 5.3.3.-). [Source:Uniprot/SWISSPROT;Ac	MTG_602470174	-1.42	0.01262
ENSMUSG00000005125	NDRG1 protein (N-myc downstream regulated gene 1 protein) (Protein Ndr1). [Source:Uniprot/SWISSPROT;Acc:	Qgbctl04_plate3_A17	-1.41	0.0034
ENSMUSG00000015090	Prostaglandin-H2 D-isomerase precursor (EC 5.3.99.2) (Lipocalin-type prostaglandin-D synthase) (Glutathione-in	MTG_602476101	-1.41	0.01644
ENSMUSG00000022323	Ribonuclease UK114 (EC 3.1.-.-) (Heat-responsive protein 12). [Source:Uniprot/SWISSPROT;Acc:P52760]	MTG_602476318	-1.41	0.00384
ENSMUSG00000022479	Vitamin D3 receptor (VDR) (1,25-dihydroxyvitamin D3 receptor). [Source:Uniprot/SWISSPROT;Acc:P48281	gbctl04_plate16_D20	-1.41	0.00316
ENSMUSG00000029103	Alpha-2-macroglobulin receptor-associated protein precursor (Alpha-2- MRAP) (Low density lipoprotein receptor-r	MTG_602474274	-1.41	0.00603
ENSMUSG00000034947		MTG_602472026	-1.41	0.0085
ENSMUSG00000058997		gbctl04_plate15_F18	-1.41	0.00415
ENSMUSG00000015970	Choline dehydrogenase, mitochondrial precursor (EC 1.1.99.1) (CHD) (CDH). [Source:Uniprot/SWISSPROT;Acc:	MTG_602471695	-1.4	0.00363
ENSMUSG00000024072		gbctl04_plate16_A16	-1.4	0.02592
ENSMUSG00000027406	isocitrate dehydrogenase 3, beta subunit; isocitrate dehydrogenase 3 beta; N14A tumor-related protein. [Source:	MTG_602470341	-1.4	0.00662
ENSMUSG00000056483		MTG_602467125	-1.4	0.00337
ENSMUSG00000063683	glycine-N-acyltransferase. [Source:RefSeq;Acc:NM_145935]	gbctl04_plate17_G16	-1.4	0.00476
ENSMUSG00000025380	fascin homolog 2, actin-bundling protein, retinal (Strongylocentrotus purpuratus). [Source:RefSeq;Acc:NM_17280	MTG_602476069	-1.39	0.00352
ENSMUSG00000033379	Vacuolar ATP synthase 21 kDa proteolipid subunit (EC 3.6.3.14) (23-kDa subunit of V-ATPase). [Source:Uniprot/	gbctl04_plate8_E09	-1.39	0.00902
ENSMUSG00000021646	Similar to methylcrotonoyl-coenzyme A carboxylase 2 (Beta). [Source:Uniprot/SPTREMBL;Acc:Q8K1L7	MTG_602469146	-1.38	0.00318
ENSMUSG00000029304	Osteopontin precursor (Bone sialoprotein 1) (Minopontin) (Early T lymphocyte activation 1 protein) (Secreted pho	gbctl04_plate7_I18	-1.38	0.01251
ENSMUSG00000037523		MTG_602477084	-1.38	0.00382
ENSMUSG00000006717	Thioesterase superfamily member 2. [Source:Uniprot/SWISSPROT;Acc:Q9CQR4]	MTG_602473938	-1.37	0.00598
ENSMUSG00000021033	Maleylacetoacetate isomerase (EC 5.2.1.2) (MAAI) (Glutathione S- transferase zeta 1) (EC 2.5.1.18) (GSTZ1-1).	MTG_602475818	-1.37	0.00302
ENSMUSG00000025871		MTG_602472626	-1.37	0.00305
ENSMUSG00000060625	Ferritin light chain 1 (Ferritin L subunit 1). [Source:Uniprot/SWISSPROT;Acc:P29391]	MTG_602475427	-1.37	0.02666
ENSMUSG00000015846	Retinoic acid receptor RXR-alpha. [Source:Uniprot/SWISSPROT;Acc:P28700]	MTG_602472096	-1.36	0.03235
ENSMUSG00000025428	ATP synthase alpha chain, mitochondrial precursor (EC 3.6.3.14). [Source:Uniprot/SWISSPROT;Acc:Q03265	MTG_602475884	-1.36	0.00302
ENSMUSG00000032577		MTG_602472330	-1.36	0.00302
ENSMUSG00000060750	Ferritin light chain 1 (Ferritin L subunit 1). [Source:Uniprot/SWISSPROT;Acc:P29391]	gbctl04_plate6_J10	-1.36	0.01554
ENSMUSG00000024359	Stress-70 protein, mitochondrial precursor (75 kDa glucose regulated protein) (GRP 75) (Peptide-binding protein	gbctl04_plate4_A09	-1.35	0.04232
ENSMUSG00000024644	Cytosolic nonspecific dipeptidase (Glutamate carboxypeptidase-like protein 1). [Source:Uniprot/SWISSPROT;Acc	MTG_602476864	-1.35	0.00436
ENSMUSG00000025980	60 kDa heat shock protein, mitochondrial precursor (Hsp60) (60 kDa chaperonin) (CPN60) (Heat shock protein 6	gbctl04_plate12_F14	-1.35	0.01695
ENSMUSG00000042315	Beta-galactosidase precursor (EC 3.2.1.23) (Lactase) (Acid beta- galactosidase). [Source:Uniprot/SWISSPROT;	MTG_602476674	-1.35	0.0061
ENSMUSG00000046873	membrane-bound transcription factor protease, site 2; RIKEmembrane-bound transcription factor protease, site 2.	MTG_602296353	-1.35	0.01692
ENSMUSG00000051397	tumor-associated calcium signal transducer 2; lymphocyte antigen 97; tunor-associated calcium signal transducer	MTG_602475188	-1.35	0.00333
ENSMUSG00000026820	prostaglandin E synthase 2. [Source:RefSeq;Acc:NM_133783	MTG_602475947	-1.34	0.00272
ENSMUSG00000001120	Poly(rC)-binding protein 3 (Alpha-CP3). [Source:Uniprot/SWISSPROT;Acc:P57722]	MTG_602471016	-1.32	0.00358
ENSMUSG00000014077	Calcium-binding protein p22 (Calcium-binding protein CHP) (Calcineurin homologous protein) (Sid 470). [Source:	MTG_602476369	-1.32	0.00884
ENSMUSG00000018900	Organic cation/carnitine transporter 2 (Solute carrier family 22, member 5) (High-affinity sodium-dependent carniti	nMTG_602473895	-1.32	0.0042
ENSMUSG00000020665	Dystrobrevin beta (Beta-dystrobrevin) (DTN-B) (MDTN-B). [Source:Uniprot/SWISSPROT;Acc:O70585]	gbctl04_plate14_H17	-1.32	0.00415
ENSMUSG00000025060	serine/threonine kinase 2; Ste20-related kinase. [Source:RefSeq;Acc:NM_009289	gbctl04_plate5_B12	-1.32	0.00564
ENSMUSG00000031256	cleavage stimulation factor, 3 pre-RNA subunit 2; cleavage stimulation factor, 3 pre-RNA subunit 2, 64 kDa. [Sou	MTG_602474559	-1.32	0.03327
ENSMUSG00000031826	Ubiquitin carboxyl-terminal hydrolase 10 (EC 3.1.2.15) (Ubiquitin thiolesterase 10) (Ubiquitin-specific processing	MTG_602476533	-1.31	0.00432
ENSMUSG00000002985	Apolipoprotein E precursor (Apo-E). [Source:Uniprot/SWISSPROT;Acc:P08226]	gbctl04_plate7_C12	-1.3	0.00466
ENSMUSG00000017144	Rho-related GTP-binding protein RhoE. [Source:Uniprot/SWISSPROT;Acc:P61588]	MTG_602470537	-1.3	0.00696
ENSMUSG00000029438	B-cell CLL/lymphoma 7A. [Source:RefSeq;Acc:NM_029850]	MTG_602472876	-1.3	0.00307
ENSMUSG00000030630	Fumarylacetoacetase (EC 3.7.1.2) (Fumarylacetoacetate hydrolase) (Beta-diketonase) (FAA). [Source:Uniprot/S	MTG_602477122	-1.3	0.00557
ENSMUSG00000002957	Adapter-related protein complex 2 alpha 2 subunit (Alpha-adaptin C) (Adaptor protein complex AP-2 alpha-2 subu	MTG_602474083	-1.29	0.02036
ENSMUSG00000015095	F-box/WD-repeat protein 5 (F-box and WD-40 domain protein 5). [Source:Uniprot/SWISSPROT;Acc:Q9QXW2]	MTG_602476505	-1.29	0.00436
ENSMUSG00000015653	Weakly similar to tumor suppressor PHYDE. [Source:Uniprot/SPTREMBL;Acc:Q8BWB6]	MTG_602469385	-1.29	0.01664
ENSMUSG00000019590	Cytochrome b561 (Cytochrome b-561). [Source:Uniprot/SWISSPROT;Acc:Q60720]	MTG_602473935	-1.29	0.00302
ENSMUSG00000021278	Amnionless protein precursor. [Source:Uniprot/SWISSPROT;Acc:Q99JB7]	gbctl04_plate16_O09	-1.29	0.02608
ENSMUSG00000033065	6-phosphofructokinase, muscle type (EC 2.7.1.11) (Phosphofructokinase 1) (Phosphohexokinase) (Phosphofruct	MTG_602471574	-1.29	0.00512
ENSMUSG00000041926	Aminopeptidase B (EC 3.4.11.6) (Ap-B) (Arginyl aminopeptidase) (Arginine aminopeptidase) (Cytosol aminopepti	MTG_602471554	-1.29	0.00307
ENSMUSG00000056516	NADH-ubiquinone oxidoreductase chain 4L (EC 1.6.5.3). [Source:Uniprot/SWISSPROT;Acc:P03903	MTG_602467008	-1.29	0.00272
ENSMUSG00000001119	Collagen alpha 1(VI) chain precursor. [Source:Uniprot/SWISSPROT;Acc:Q04857]	gbctl04_plate3_I09	-1.28	0.00339
ENSMUSG00000001211	1-acylglycerol-3-phosphate O-acyltransferase 3. [Source:RefSeq;Acc:NM_053014	MTG_602475328	-1.28	0.00471
ENSMUSG00000025176		gbctl04_plate10_H12	-1.28	0.00403
ENSMUSG00000028639	Nuclease sensitive element binding protein 1 (Y box binding protein-1) (Y-box transcription factor) (YB-1) (CCAA	gbctl04_plate3_M01	-1.28	0.00612
ENSMUSG00000027774	Elongation factor G 1, mitochondrial precursor (mEF-G 1) (Elongation factor G1). [Source:Uniprot/SWISSPROT;A	MTG_602475423	-1.27	0.01832
ENSMUSG00000039953	Calsyntenin-1 precursor. [Source:Uniprot/SWISSPROT;Acc:Q9EPL2]	MTG_602310575	-1.27	0.0207
