Affy ID	Symbol	Gene Name	Mean Fold-Difference	p-value†
209683_at		209683_at	3.2	7.20E-06
217028_at	CXCR4	Chemokine (C-X-C motif) receptor 4	7.8	8.80E-06
208092_s_at	FAM49A	Family with sequence similarity 49, member A	2.4	9.40E-06
202921_s_at	ANK2	Ankyrin 2, neuronal	2.0	1.00E-05
212956_at	KIAA0882	KIAA0882 protein	3.6	1.00E-05
211919_s_at	CXCR4	Chemokine (C-X-C motif) receptor 4	3.6	1.10E-05
218807_at	VAV3	Vav 3 oncogene	2.4	1.20E-05
37892_at	COL11A1	Collagen, type XI, alpha 1	-4.1	1.40E-05
211237_s_at	FGFR4	Fibroblast growth factor receptor 4	2.5	1.40E-05
209201_x_at	CXCR4	Chemokine (C-X-C motif) receptor 4	3.6	1.80E-05
206404_at	FGF9	Fibroblast growth factor 9 (glia-activating factor)	-1.7	1.80E-05
222146_s_at	TCF4	Transcription factor 4	-1.8	2.10E-05
204914_s_at	SOX11	SRY (sex determining region Y)-box 11	-2.6	2.20E-05
203178_at	GATM	Glycine amidinotransferase (L-arginine:glycine amidinotransferase)	1.9	2.30E-05
212385_at	TCF4	Transcription factor 4	-1.5	2.40E-05
218806_s_at	VAV3	Vav 3 oncogene	2.1	2.90E-05
203753_at	TCF4	Transcription factor 4	-1.8	3.50E-05
212680_x_at	PPP1R14B	Protein phosphatase 1, regulatory (inhibitor) subunit 14B	1.7	4.00E-05
210102_at	LOH11CR2A	Loss of heterozygosity, 11, chromosomal region 2, gene A	2.5	4.10E-05
209168_at	GPM6B	Glycoprotein M6B	2.6	4.50E-05
204320_at	COL11A1	Collagen, type XI, alpha 1	-2.4	4.70E-05
214608_s_at	EYA1	Eyes absent homolog 1 (Drosophila)	2.0	4.90E-05
207145_at	GDF8	Growth differentiation factor 8	-3.0	5.30E-05
205087_at	RWDD3	RWD domain containing 3	1.6	5.90E-05
202643_s_at	TNFAIP3	Tumor necrosis factor, alpha-induced protein 3	1.8	5.90E-05
202644_s_at	TNFAIP3	Tumor necrosis factor, alpha-induced protein 3	2.0	6.70E-05
204579_at	FGFR4	Fibroblast growth factor receptor 4	2.7	6.80E-05
202039_at	TIAF1	TGFB1-induced anti-apoptotic factor 1	2.2	7.90E-05
201889_at	FAM3C	Family with sequence similarity 3, member C	1.7	8.50E-05
218273_s_at	PPM2C	Protein phosphatase 2C, magnesium-dependent, catalytic subunit	-1.6	9.40E-05
218832_x_at	ARRB1	Arrestin, beta 1	1.7	9.80E-05
212386_at	TCF4	Transcription factor 4	-1.9	9.80E-05
219718_at	FLJ10986	Hypothetical protein FLJ10986	2.3	1.00E-04
203510_at	MET	Met proto-oncogene (hepatocyte growth factor receptor)	2.6	1.00E-04
202920_at	ANK2	Ankyrin 2, neuronal	2.5	1.10E-04
221861_at		MRNA; cDNA DKFZp762M127 (from clone DKFZp762M127)	2.6	1.20E-04
209708_at	MOXD1	Monooxygenase, DBH-like 1	-2.0	1.20E-04
216733_s_at	GATM	Glycine amidinotransferase (L-arginine:glycine amidinotransferase)	2.7	1.30E-04
218162_at	OLFML3	Olfactomedin-like 3	-2.4	1.30E-04
220161_s_at	EPB41L4B	Erythrocyte membrane protein band 4.1 like 4B	1.8	1.60E-04
205163_at	HUMMLC2B	Myosin light chain 2	-3.6	1.60E-04
49111_at		MRNA; cDNA DKFZp762M127 (from clone DKFZp762M127)	2.6	1.70E-04
219377_at	C18orf11	Chromosome 18 open reading frame 11	2.0	1.80E-04
43511_s_at		MRNA; cDNA DKFZp762M127 (from clone DKFZp762M127)	2.7	2.00E-04
207571_x_at	C1orf38	Chromosome 1 open reading frame 38	2.2	2.00E-04
209655_s_at	TM4SF10	Transmembrane 4 superfamily member 10	2.0	2.30E-04
210785_s_at	C1orf38	Chromosome 1 open reading frame 38	2.3	2.60E-04
209608_s_at	ACAT2	Acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)	2.2	2.90E-04
212382_at	TCF4	Transcription factor 4	-1.8	3.20E-04
212977_at	CMKOR1	Chemokine orphan receptor 1	4.3	3.30E-04
209170_s_at	GPM6B	Glycoprotein M6B	3.0	3.60E-04
212387_at	TCF4	Transcription factor 4	-1.8	3.60E-04
203725_at	GADD45A	Growth arrest and DNA-damage-inducible, alpha	1.8	3.70E-04
206662_at	GLRX	Glutaredoxin (thioltransferase)	-1.6	3.80E-04
202188_at	NUP93	Nucleoporin 93kDa	1.6	3.80E-04
204105_s_at	NRCAM	Neuronal cell adhesion molecule	2.8	4.50E-04
216511_s_at	TCF7L2	Transcription factor 7-like 2 (T-cell specific, HMG-box)	1.8	4.50E-04
205330_at	MN1	Meningioma (disrupted in balanced translocation) 1	2.0	4.60E-04
219304_s_at	PDGFD	Platelet derived growth factor D	2.1	4.60E-04
209121_x_at	NR2F2	Nuclear receptor subfamily 2, group F, member 2	1.5	4.70E-04
203680_at	PRKAR2B	Protein kinase, cAMP-dependent, regulatory, type II, beta	2.0	4.80E-04
213061_s_at	NTAN1	N-terminal asparagine amidase	1.6	5.80E-04
209120_at	NR2F2	Nuclear receptor subfamily 2, group F, member 2	2.5	6.80E-04
216044_x_at	LOC388650	Hypothetical LOC388650	1.8	7.10E-04
203961_at	NEBL	Nebulette	2.2	7.30E-04
203962_s_at	NEBL	Nebulette	3.0	7.70E-04
204850_s_at	DCX	Doublecortex; lissencephaly, X-linked (doublecortin)	3.7	8.60E-04
205389_s_at	ANK1	Ankyrin 1, erythrocytic	1.7	8.80E-04
201464_x_at	JUN	V-jun sarcoma virus 17 oncogene homolog (avian)	2.2	9.30E-04
218149_s_at	ZNF395	Zinc finger protein 395	1.8	1.00E-03
221123_x_at	ZNF395	Zinc finger protein 395	1.6	1.00E-03
39248_at	AQP3	Aquaporin 3	2.4	1.10E-03
