Gene Name	Gene Symbol	Accession No.	UniGene No.	Gene Ontology	M Value Con	M Value ET	M Value ST	P Value
Protein kinase N3	PKN3	N32908	Hs.300485	Signal transduction; protein amino-acid phosphorylation; protein serine/threonine kinase activity; nucleotide binding	1.19	0.82	0.77	0.03
Phospholipase C, beta 2	PLCB2	AA464970	Hs.355888	Phospholipid metabolism; intracellular-signaling cascade; lipid catabolism	1.32	0.97	0.9	0.03
Protein kinase C, alpha	PRKCA	AA424938	Hs.531704	Intracellular-signaling cascade; protein amino-acid phosphorylation; calcium ion binding; diacylglycerol binding; nucleotide binding; protein binding; protein kinase C activity	0.9	0.63	0.64	0.03
Regulator of G-protein–signaling 4	RGS4	AA007419	Hs.386726	Inactivation of MAPK activity; regulation of G-protein–coupled receptor protein-signaling pathway	1.26	0.55	0.61	0.01
src homology three (SH3) and cysteine-rich domain	STAC	AA031284	Hs.56045	Intracellular-signaling cascade; diacylglycerol binding; metal ion binding; zinc ion binding	0.67	0.4	0.35	0.04
V-yes-1 Yamaguchi sarcoma viral oncogene homolog 1	YES1	N36882	Hs.194148	Protein amino-acid phosphorylation; protein–tyrosine kinase activity	0.74	0.43	0.48	0.05
Core-binding factor, runt domain, alpha subunit 2; translocated to, 2	CBFA2T2	AA496887	Hs.153934	Regulation of transcription, DNA dependent; cell proliferation;	1.38	0.75	0.59	0.04
Chromobox homolog 5 (HP1 alpha homolog, Drosophila)	CBX5	AA192411	Hs.632724	Chromatin assembly or disassembly; chromatin binding	0.71	0.49	0.47	0.03
EMG1 nucleolar protein homolog (S. cerevisiae)	EMG1	AA701981	Hs.558447	Translational elongation; 35S primary transcript processing; protein binding; nucleus	0.85	0.61	0.44	0.04
GATA-binding protein 4	GATA4	AA431347	Hs.243987	Regulation of transcription, DNA dependent; positive regulation of transcription	0.84	0.57	0.45	0.02
GIPC PDZ domain containing family, member 1	GIPC1	AA133577	Hs.631639	RNA splicing	0.62	0.31	0.33	0.02
General transcription factor IIE, polypeptide 2, beta 34 kDa	GTF2E2	AA133566	Hs.77100	Transcription; transcription initiation from RNA polymerase II promoter	0.68	0.46	0.36	0.03
General transcription factor IIIC, poly peptide 2, beta 110 kDa	GTF3C2	AA922691	Hs.75782	Transcription; transcription from RNA polymerase III promoter; protein binding	0.79	0.63	0.43	0.04
Histone cluster 1, H2am	HIST1H2AM	AI095013	Hs.134999	Nucleosome formation, DNA binding	1.08	0.58	0.56	0.02
Histone cluster 1, H4c	HIST1H4C	AA868008	Hs.46423	Nucleosome formation, DNA binding	0.84	0.37	0.25	0.03
Homeobox B7	HOXB7	AA857101	Hs.436181	Regulation of transcription, DNA dependent; development	0.87	0.51	0.48	0.05
Nudix (nucleoside diphosphate linked moiety X)-type motif 1	NUDT1	AA443998	Hs.534331	DNA repair; response to oxidative stress	0.87	0.27	0.59	0.03
Polymerase (DNA directed), epsilon 2 (p59 subunit)	POLE2	AA448664	Hs.162777	DNA replication	0.9	0.37	0.35	0.05
Peptidylprolyl isomerase H (cyclophilin H)	PPIH	AA418410	Hs.256639	mRNA processing; protein complex assembly; snRNP protein import into nucleus; RNA splicing	0.63	0.32	0.38	0.03
RAD51-associated protein 1	RAD51AP1	AI214426	Hs.591046	DNA repair; double-stranded DNA binding; RNA binding; protein binding	0.62	0.2	0.27	0.03
Replication factor C (activator 1) 4, 37 kDa	RFC4	N93924	Hs.591322	DNA strand elongation; DNA replication; phosphoinositide-mediated signaling	0.81	0.23	0.27	0.02
Ras homolog gene family, member T1	RHOT1	N59119	Hs.500775	Regulation of transcription, DNA dependent	0.93	0.73	0.69	0.04
SWI/SNF related, matrix associated, actin-dependent regulator of chromatin, subfamily c, member 1	SMARCC1	AA872122	Hs.476179	Chromatin assembly or disassembly; regulation of transcription; transcription coactivator activity	0.63	0.32	0.37	0.03
TAF1 RNA polymerase II, TATA box-binding protein (TBP)-associated factor, 250 kDa	TAF1	AA677306	Hs.158560	Regulation of transcription, DNA dependent; transcription initiation; protein serine/threonine kinase activity; transcription factor TFIID complex	1	0.77	0.64	0.04
Zinc finger protein 525	ZNF525	N54526	Hs.352638	Transcription; regulation of transcription, DNA dependent	1.11	0.7	0.69	0.04
Nuclear receptor subfamily 4, group A, member 1	NR4A1	N94487	Hs.524430	Transcription; ligand-dependent nuclear receptor activity	1.22	0.74	0.71	0.02
Acrosomal vesicle protein 1	ACRV1	AA732783	Hs.169222	Multicellular organismal development	0.99	0.74	0.77	0.04
Desmoplakin	DSP	H90899	Hs.519873	Epidermis development; peptide cross-linking; cell–cell adherens junction	0.56	0.27	0.26	0.03
Family with sequence similarity 82, member B	FAM82B	AA458483	Hs.145386	Binding	0.64	0.32	0.35	0.04
Hemogen	HEMGN	AA431795	Hs.176626	Cell differentiation	0.84	0.41	0.39	0.01
Intercellular adhesion molecule 2	ICAM2	R21535	Hs.431460	Cell–cell adhesion; integrin binding	1.73	0.88	0.77	0.05
Keratin 20	KRT20	AA133469	Hs.84905	Structural constituent of cytoskeleton;	0.93	0.6	0.56	0.03
Podoplanin	PDPN	AA046430	Hs.468675	Water transport; amino-acid transport; development	1.09	0.64	0.69	0.04
Rab acceptor 1 (prenylated)	RABAC1	AI865765	Hs.11417	Identical protein binding; membrane	1.5	0.47	0.98	0.04
Retinol dehydrogenase 5 (11-cis/9-cis)	RDH5	AA633882	Hs.632719	Retinol dehydrogenase activity; oxidoreductase activity	1.49	0.81	0.73	0.04
Stimulated by retinoic acid 13 homolog (mouse)	STRA13	AA453750	Hs.37616	NA	0.99	0.69	0.73	0.03
Transketolase (Wernicke–Korsakoff syndrome)	TKT	AA070358	Hs.89643	Transketolase activity; calcium ion binding	0.45	0.17	0.18	0.03
aa92a03.s1 Stratagene fetal retina 937202 H. sapiens cDNA clone IMAGE:838732 3-similar to contains LTR2.t3 LTR2 repetitive element	NA	AA457543	NA	NA	1.77	1.07	0.7	0.04
Family with sequence similarity 86, member A	FAM86A	AA464702	Hs.406461	NA	0.87	0.44	0.37	0.01
Chromosome 6 open reading frame 130	C6orf130	AI767030	Hs.227457	NA	4.54	2.52	2.07	0.03
No annotation	NA	N57754	NA	NA	0.48	0.14	0.14	0.01
yt84b10.s1 Soares_pineal_gland_N3HPG H. sapiens cDNA clone IMAGE:230971 3 similar to contains Alu repetitive element;, mRNA sequence.	NA	R96155	NA	NA	1.64	0.78	0.72	0.02
