Probe ID	Gene symbol	Gene title	P value	Expression difference
204607_at	HMGCS2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	0.009010278	2.338422712
1555247_a_at	RAPGEF6	Rap guanine nucleotide exchange factor (GEF) 6	0.008698925	2.016779218
223635_s_at	SSBP3	single stranded DNA binding protein 3	0.000323308	2.069021023
212789_at	NCAPD3	non-SMC condensin II complex, subunit D3	0.008731253	2.282975539
201408_at	PPP1CB	protein phosphatase 1, catalytic subunit, beta isoform	0.005068067	2.035712554
212180_at	CRKL	v-crk sarcoma virus CT10 oncogene homolog (avian)-like	0.001112598	2.086687996
224870_at	KIAA0114	KIAA0114	0.001390936	2.16099695
210907_s_at	PDCD10	programmed cell death 10	0.005317937	2.331975984
216109_at	THRAP2	Thyroid hormone receptor associated protein 2	0.000652519	2.168927341
225456_at	PPARBP	PPAR binding protein	0.00027241	2.124337608
208876_s_at	PAK2	p21 (CDKN1A)-activated kinase 2	0.000649863	2.035111147
219497_s_at	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	0.00401736	2.107916239
200902_at	15-Sep	15 kDa selenoprotein	0.000161728	2.072562165
212751_at	UBE2N	ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast)	0.000538784	2.06086375
203517_at	MTX2	metaxin 2	0.00042817	2.140725762
226601_at	SLC30A7	solute carrier family 30 (zinc transporter), member 7	0.000557285	2.11504112
209259_s_at	SMC3	structural maintenance of chromosomes 3	0.000519643	2.093122242
205218_at	POLR3F	polymerase (RNA) III (DNA directed) polypeptide F, 39 kDa	0.000183063	2.013416559
205342_s_at	SULT1C2	sulfotransferase family, cytosolic, 1C, member 2	0.001813521	2.205344699
201229_s_at	ARIH2	ariadne homolog 2 (Drosophila)	0.000966282	2.000694351
211762_s_at	KPNA2	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	7.43E-05	2.069433773
202061_s_at	SEL1L	sel-1 suppressor of lin-12-like (C. elegans)	0.001562246	2.076595923
226159_at	LOC285636	hypothetical protein LOC285636	0.001840878	2.02595022
233732_at	LOC401320	Hypothetical LOC401320	0.005794478	2.349575956
210216_x_at	RAD1	RAD1 homolog (S. pombe)	0.001292821	2.057786117
201664_at	SMC4	structural maintenance of chromosomes 4	0.002112584	2.154522818
213017_at	ABHD3	abhydrolase domain containing 3	0.000490485	2.120266689
235450_at	FBXL4	F-box and leucine-rich repeat protein 4	0.008019176	2.26487132
213126_at	MED8	mediator of RNA polymerase II transcription, subunit 8 homolog (S. cerevisiae)	0.006437355	2.38738799
202633_at	TOPBP1	topoisomerase (DNA) II binding protein 1	0.000712586	2.139348211
224866_at	MLSTD2	male sterility domain containing 2	0.000748089	2.041789786
209141_at	UBE2G1	ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, yeast)	0.00308485	2.025367733
203079_s_at	CUL2	cullin 2	1.52E-06	2.055160557
227446_s_at	C14orf167	chromosome 14 open reading frame 167	0.005426334	2.291429448
215723_s_at	PLD1	phospholipase D1, phosphatidylcholine-specific	3.34E-05	2.00497115
204407_at	TTF2	transcription termination factor, RNA polymerase II	0.002487311	2.012216077
209825_s_at	UCK2	uridine-cytidine kinase 2	0.006935745	2.312678286
227257_s_at	C10orf46	chromosome 10 open reading frame 46	0.004802763	2.140997114
226443_at	FAM122A	family with sequence similarity 122A	0.004166797	2.303930835
240044_x_at	TNRC6B	Trinucleotide repeat containing 6B	0.00444925	2.150753434
217831_s_at	NSFL1C	NSFL1 (p97) cofactor (p47)	6.61E-06	2.056925064
202211_at	ARFGAP3	ADP-ribosylation factor GTPase activating protein 3	0.001224633	2.089123537
214440_at	NAT1	N-acetyltransferase 1 (arylamine N-acetyltransferase)	0.001247839	2.112363586
209175_at	SEC23IP	SEC23 interacting protein	0.000387298	2.005812867
224899_s_at	LOC728866	implantation-associated protein	1.95E-05	2.08482404
212196_at	IL6ST	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	0.002707188	2.250851816
225752_at	NIPA1	non imprinted in Prader-Willi/Angelman syndrome 1	0.009396152	2.212319554
212408_at	TOR1AIP1	torsin A interacting protein 1	0.000160857	2.114081831
214830_at	SLC38A6	solute carrier family 38, member 6	0.001095642	2.211086465
1552264_a_at	MAPK1	mitogen-activated protein kinase 1	0.001977298	2.153785744
212397_at	RDX	radixin	0.000914583	2.184738781
201225_s_at	SRRM1	serine/arginine repetitive matrix 1	0.000792298	2.156121437
212482_at	RMND5A	required for meiotic nuclear division 5 homolog A (S. cerevisiae)	0.001565342	2.058956088
208631_s_at	HADHA	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit	3.89E-05	2.112675379
224811_at	---	CDNA FLJ30652 fis, clone DFNES2000011	0.002627997	2.172006049
222590_s_at	NLK	nemo-like kinase	0.004778036	2.052908088
218185_s_at	ARMC1	armadillo repeat containing 1	0.000101299	2.095827563
212693_at	MDN1	MDN1, midasin homolog (yeast)	0.000108658	2.035904878
226005_at	UBE2G1	ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, yeast)	0.000279249	2.032713003
202377_at	LEPR	leptin receptor	0.000415026	2.075526618
204017_at	KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3	0.000197362	2.111198097
52285_f_at	CEP76	centrosomal protein 76kDa	0.002798838	2.208072385
223645_s_at	CYorf15B	chromosome Y open reading frame 15B	0.009421671	2.472693212
205034_at	CCNE2	cyclin E2	0.006518877	2.296761587
201964_at	SETX	senataxin	0.00402142	2.142751117
203557_s_at	PCBD1	pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1)	0.003346843	2.179108192
236129_at	GALNT5	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 (GalNAc-T5)	7.03E-06	2.036485791
219016_at	FASTKD5	FAST kinase domains 5	0.000593119	2.192480974
225661_at	IFNAR1	interferon (alpha, beta and omega) receptor 1	0.003555352	2.30138088
202097_at	NUP153	nucleoporin 153kDa	0.000790229	2.205268732
223225_s_at	SEH1L	SEH1-like (S. cerevisiae)	0.003437746	2.087598454
214163_at	C1orf41	Chromosome 1 open reading frame 41	0.000299296	2.054034576
218303_x_at	KRCC1	lysine-rich coiled-coil 1	0.000969612	2.025656633
203041_s_at	LAMP2	lysosomal-associated membrane protein 2	0.001210645	2.250839395
203622_s_at	PNO1	partner of NOB1 homolog (S. cerevisiae)	0.000650435	2.166634887
219130_at	CCDC76	coiled-coil domain containing 76	0.003259482	2.302448511
218477_at	TMEM14A	transmembrane protein 14A	0.000297693	2.175425575
209078_s_at	TXN2	thioredoxin 2	0.002119287	2.218180671
1554451_s_at	CIP29	cytokine induced protein 29 kDa	0.00715199	2.072228103
209131_s_at	SNAP23	synaptosomal-associated protein, 23kDa	0.000562453	2.109474795
222666_s_at	RCL1	RNA terminal phosphate cyclase-like 1	0.002055687	2.176773372
222527_s_at	RBM22	RNA binding motif protein 22	0.001666922	2.129024337
209896_s_at	PTPN11	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	0.007758135	2.010572941
222231_s_at	LRRC59	leucine rich repeat containing 59	0.000299854	2.196533212
205357_s_at	AGTR1	angiotensin II receptor, type 1	0.000412682	2.193135004
206770_s_at	SLC35A3	solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3	0.002122773	2.27588398
238069_at	---	Homo sapiens, clone IMAGE:5168282, mRNA	0.007022906	2.085169677
201066_at	CYC1	cytochrome c-1	0.000872367	2.047293022
210564_x_at	CFLAR	CASP8 and FADD-like apoptosis regulator	0.009408366	2.160057748
1554149_at	CLDND1	claudin domain containing 1	0.000193945	2.061697953
229958_at	CLN8	ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)	0.001668225	2.167040792
225885_at	EEA1	early endosome antigen 1	0.000636813	2.017689032
212051_at	WIPF2	WAS/WASL interacting protein family, member 2	0.00074513	2.237894315
208863_s_at	SFRS1	splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)	0.000141361	2.084821633
223669_at	HEMGN	hemogen	0.005929242	2.403175058
221689_s_at	PIGP	phosphatidylinositol glycan anchor biosynthesis, class P	0.003133208	2.064027252
217901_at	DSG2	Desmoglein 2	0.00256587	2.034782763
209811_at	CASP2	caspase 2, apoptosis-related cysteine peptidase (neural precursor cell expressed, developmentally down-regulated 2)	0.003175231	2.093128302
200693_at	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	0.000238182	2.015002514
226779_at	---	CDNA FLJ37302 fis, clone BRAMY2016009	3.40E-05	2.04142077
210104_at	MED6	mediator of RNA polymerase II transcription, subunit 6 homolog (S. cerevisiae)	4.11E-05	2.027559437
217848_s_at	PPA1	pyrophosphatase (inorganic) 1	0.000499173	2.162102024
219565_at	CYP20A1	cytochrome P450, family 20, subfamily A, polypeptide 1	0.000475716	2.081334751
203138_at	HAT1	histone acetyltransferase 1	0.000208293	2.202781832
201532_at	PSMA3	proteasome (prosome, macropain) subunit, alpha type, 3	4.74E-05	2.13542367
208118_x_at	IMAA	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5 pseudogene 1	0.006302204	2.005931735
202169_s_at	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	0.000140125	2.102720023
223280_x_at	MS4A6A	membrane-spanning 4-domains, subfamily A, member 6A	0.007694078	2.435142729
223696_at	ARSD	arylsulfatase D	0.00655968	2.005749771
1567080_s_at	CLN6	ceroid-lipofuscinosis, neuronal 6, late infantile, variant	0.003148865	2.241229033
210555_s_at	NFATC3	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3	0.003334906	2.35343673
221487_s_at	ENSA	endosulfine alpha	0.000633306	2.198196497
209041_s_at	UBE2G2	ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)	0.000620851	2.087140957
227794_at	GLYATL1	glycine-N-acyltransferase-like 1	0.008607279	2.420827349
221620_s_at	APOO	apolipoprotein O	0.006388473	2.069694981
211423_s_at	SC5DL	sterol-C5-desaturase (ERG3 delta-5-desaturase homolog, S. cerevisiae)-like	0.004315642	2.412809281
235390_at	P18SRP	P18SRP protein	0.005684899	2.331887942
214882_s_at	SFRS2	splicing factor, arginine/serine-rich 2	0.000116782	2.166140102
203755_at	BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	0.000904329	2.074963602
215952_s_at	OAZ1	ornithine decarboxylase antizyme 1	0.000154977	2.094017402
213090_s_at	TAF4	TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa	0.001911448	2.118548114
218276_s_at	SAV1	salvador homolog 1 (Drosophila)	0.003121431	2.296209932
204207_s_at	RNGTT	RNA guanylyltransferase and 5-phosphatase	0.002125358	2.023997016
211228_s_at	RAD17	RAD17 homolog (S. pombe)	0.000211871	2.158423373
233177_s_at	PNKD	paroxysmal nonkinesiogenic dyskinesia	0.000153922	2.18123815
222587_s_at	GALNT7	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)	0.002559078	2.176251143
221677_s_at	DONSON	downstream neighbor of SON	0.000172295	2.156344259
224740_at	DKFZP686E2158	hypothetical protein LOC643155	5.95E-05	2.089953429
202923_s_at	GCLC	glutamate-cysteine ligase, catalytic subunit	0.006634969	2.477530114
207112_s_at	GAB1	GRB2-associated binding protein 1	8.31E-06	2.101441427
200046_at	DAD1	defender against cell death 1	0.001322558	2.133935942
203725_at	GADD45A	growth arrest and DNA-damage-inducible, alpha	0.005742436	2.260605848
210137_s_at	DCTD	dCMP deaminase	0.000139357	2.053582137
227978_s_at	ZADH2	zinc binding alcohol dehydrogenase, domain containing 2	0.004975822	2.130689977
238625_at	C1orf168	chromosome 1 open reading frame 168	0.005140353	2.051097404
224629_at	LMAN1	Lectin, mannose-binding, 1	0.000933301	2.108235626
1552275_s_at	PXK	PX domain containing serine/threonine kinase	6.43E-05	2.085385546
231897_at	LTB4DH	leukotriene B4 12-hydroxydehydrogenase	0.000203111	2.143006639
202024_at	ASNA1	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)	0.000857228	2.109685446
209580_s_at	MBD4	methyl-CpG binding domain protein 4	0.005681742	2.367475516
218911_at	YEATS4	YEATS domain containing 4	0.000755971	2.018551115
214875_x_at	APLP2	amyloid beta (A4) precursor-like protein 2	0.004409235	2.33672385
225974_at	TMEM64	transmembrane protein 64	0.000778477	2.178501129
201161_s_at	CSDA	cold shock domain protein A	0.00409105	2.316751911
201357_s_at	SF3A1	splicing factor 3a, subunit 1, 120kDa	0.008055233	2.447058957
200033_at	DDX5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	0.00064327	2.02403229
222874_s_at	CLN8	ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)	0.00965276	2.483733492
202558_s_at	STCH	stress 70 protein chaperone, microsome-associated, 60kDa	0.003682381	2.081640075
