Accession no.	Gene name	Symbol	Ratio Mean +/- SE
AA101792	Phosphatidylinositol glycan, class F [GPI anchor biosynthesis]	PIGF	2.9 ± 0.8 (2)
AA011215	Spermidine/spermine N1-acetyltransferase	SAT	2.8 ± 0.4 (3)
N64014	Phosphatidylinositol-4-phosphate 5-kinase, type I, alpha	PIP5K1A	2.8 ± 0.1 (2)
W86145	Rho GTPase activating protein 5	ARHGAP5	2.8 ± 0.6 (2)
T87515	Murine leukemia viral (bmi-1) oncogene homolog (polycomb gene family)	BMI1	2.8 ± 0.5 (3)
AA001432	Laminin, alpha 3 (nicein (150kD), kalinin (165kD), BM600 (150kD), epilegrin)	LAMA3	2.7 ± 0.5 (3)
T72202	Transcription factor IL-4 Stat (also known as Stat6)	STAT6	2.7 ± 0.2 (3)
T71782	Branched chain Acyl-CoA oxidase	BRCOX	2.7 ± 0.1 (2)
W65461	Human protein tyrosine phosphatase mRNA	NA	2.7 ± 0.7 (2)
AA292226	Creatine transporter mRNA	SLC6A8	2.7 ± 0.1 (3)
AA633882	Retinol dehydrogenase 1 (11-cis)	RDH1	2.7 ± 0.7 (2)
AA625806	Ninjurin1 (nerve injury-induced protein 1)	NINJ1	2.7 ± 0.3 (4)
T97762	Interferon-related developmental regulator 1	IFRD1	2.7 ± 0.3 (2)
H08899	Homolog of yeast IPP isomerase (isopentyl-diphosphate delta-isomerase)	NA	2.6 ± 0.8 (3)
AA429895	Human multidrug resistance-associated protein homolog (MRP3)	MRP3	2.6 ± 0.1 (2)
AA504461	Low density lipoprotein receptor precursor	LDLR	2.6 ± 0.0 (2)
AA931758	Putative lymphocyte G0/G1 switch gene (G0S2)	G0S2A	2.6 ± 0.4 (4)
N31467	Coxsackie virus and adenovirus receptor	CXADR	2.6 ± 0.3 (2)
AA427561	Heparan sulfate proteoglycan (HSPG2)	HSPG2	2.6 ± 0.2 (3)
AA911236	v-Myb avian myeloblastosis viral oncogene homolog-like 1	MYBL1	2.6 ± 0.2 (3)
AA425238	Proto-oncogene AML1 (runt-related transcriptional regulator)	CBFA2	2.6 ± 0.3 (3)
AA442984	MHC class II DQ-beta associated with DR2, DQw1 protein	HLA-DQB1	2.6 ± 0.5 (3)
AA677655	Klotho protein	KL	2.6 ± 0.5 (2)
AA287196	Globin gene	NA	2.6 ± 0.3 (3)
AA875953	KIAA0404 protein	NA	2.6 ± 0.2 (2)
AA628430	Sm-like protein CaSm (U6 SnRNA-associated LSm1 protein))	NA	2.6 ± 0.1 (4)
AA452556	TRAMP protein (translocating chain-associating membrane protein)	TRAMP	2.6 ± 0.2 (4)
N66177	Microphthalmia-associated transcription factor	MITF	2.6 ± 0.3 (2)
R06417	Junction plakoglobin	JUP	2.6 ± 0.6 (3)
AA463297	Lost on transformation protein 1 (LOT1) [zinc finger tumor suppressor]	LOT1	2.6 ± 0.0 (2)
R13558	Activated leucocyte cell adhesion molecule	ALCAM	2.6 ± 0.5 (2)
H59231	Human metalloprotease/disintegrin/cysteine-rich protein precursor (MDC9)	MDC9	2.6 ± 0.3 (4)
R19956	Vascular endothelial growth factor	VEGF	2.6 ± 0.6 (3)
N72115	Cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	CDKN2C	2.6 ± 0.5 (2)
AA479795	HEM45 (low level estrogen modulating) [also called ISG20]	HEM45	2.6 ± 0.1 (2)
AA933077	Transforming growth factor, alpha	TGFA	2.6 ± 0.0
AA464250	Keratin 19	KRT19	2.5 ± 0.4 (4)
AA406601	KIAA0059 (similar to an actin bundling protein)	NA	2.5 ± 0.5 (3)
T70122	Ribonuclease L (2,5-oligoisoadenylate synthetase-dependent) inhibitor	RNASELI	2.5 ± 0.4 (3)
AA486238	Thyroid autoantigen (truncated actin-binding protein)	NA	2.5 ± 0.7 (2)
AA025275	DAP-kinase (death associated protein kinase)	HSDAPK	2.5 ± 0.1 (2)
AA489839	KIAA0127 (transcription regulation interacting with PHD-bromodomain 2 (TRIP-Br2)	NA	2.5 ± 0.1 (3)
AA047338	Proteasome iota chain (prosomal p27K protein, PROS-27)	PSA6	2.5 ± 0.1 (2)
R61674	Protein tyrosine phosphatase PTPCAAX1 (hPTPCAAX1)	PTPCAAX1	2.5 ± 0.4 (3)
H99813	Glutathione S-transferase theta 1	GSTT1	2.5 ± 0.2 (3)
H85464	Deleted in split hand/split foot syndrome 1 (DSS1)	DSS1	2.5 ± 0.3 (2)
AA669689	Malate oxidoreductase (NADH-dependent malic enzyme)	NA	2.5 ± 0.3 (4)
H08564	SM22-alpha homolog (= transgelin 2) [marker of smooth muscle differentiation]	TGLN2	2.5 ± 0.3 (3)
AA464246	Major histocompatibility complex, class I, C	HLA-C	2.4 ± 0.0
AA455128	Transducin (beta)-like 2 [from deleted in Williams Beuren syndrome region]	TBL2	2.4 ± 0.4 (2)
H96235	v-Ets avian erythroblastosis virus E26 oncogene homolog 2	ETS2	2.4 ± 0.1 (2)
AA664180	Glutathione peroxidase 3 (plasma)	GPX3	2.4 ± 0.5 (2)
T55337	CGI-97 protein (Shwachman-Bodian-Diamond syndrome protein, RNA metabolism)	SDBS	2.4 ± 0.3 (2)
AA700054	Adipophilin (adipose differentiation related protein)	ADRP	2.4 ± 0.2 (2)
AA485653	Beta-1,2-N-acetylglucosaminyltransferase II (MGAT2) gene	MGAT2	2.4 ± 0.0 (4)
AA406020	Interferon-induced 17 kD protein (ubiquitin cross-reactive protein)	UCRP	2.4 ± 0.4 (4)
AA453728	Plasminogen activator, tissue type (t-PA)	PLAT	2.4 ± 0.5 (2)
AA488367	Host cell factor homolog	LCP	2.4 ± 0.3 (2)
AA047039	eIF-1A, Y isoform (eukaryotic translation initiation factor 1A, Y isoform)	EIF1AY	2.4 ± 0.3 (4)
AA460286	G protein gamma-10 subunit (guanine nucleotide-binding protein GBGA)	NA	2.4 ± 0.3 (3)
H26426	Protein tyrosine phosphatase, receptor type, mu polypeptide	PTPRM	2.4 ± 0.4 (2)
W94105	Hypothetical protein FLJ10697	FLJ10697	2.3 ± 0.4 (2)
W05628	L-3-phosphoserine-phosphatase homologue	CO9	2.3 ± 0.2 (4)
AA460841	Insulin receptor substrate-1 [human, skeletal muscle, mRNA, 5828 nt]	IRS1	2.3 ± 0.3 (3)
AA934762	26S proteasome subunit p44.5 (26S proteasome regulatory subunit 9)	PSDB	2.3 ± 0.3 (4)
N32787	KIAA1593 protein	NA	2.3 ± 0.0 (2)
AA464582	Zinc ribbon domain containing, 1	ZNRD1	2.3 ± 0.4 (2)
W07099	N-acetylglucosaminidase, alpha- (Sanfilippo disease IIIB	NAGLU	2.3 ± 0.1 (2)
AA444009	Acid alpha-glucosidase	GAA	2.3 ± 0.5 (2)
AA446301	Paraoxonase (PON2 protein) [arylesterase, metabolizes organophosphates]	PON2	2.3 ± 0.4 (3)
AA430665	hCPE-R (Clostridium perfringens enterotoxin receptor, claudin 4)	CLDN4	2.3 ± 0.2 (2)
AA463544	Membrane cofactor (CD46, trophoblast-lymphocyte cross-reactive antigen)	MCP	2.3 ± 0.4 (2)
AA683520	Antileukoproteinase 1 precursor (secretory leukoproteinase inhibitor)	SLPI	2.3 ± 0.4 (2)
R55882	Protein phosphatase 2 (formerly 2A) beta subunit	PPP2R3A	2.3 ± 0.1 (2)
AA434369	KIAA0183 gene	NA	2.3 ± 0.2 (2)
H50623	HLA class II histocompatibility antigen, DR-W53 beta chain precursor	NA	2.3 ± 0.2 (2)
AA251770	Proteasome (prosome, macropain) 26S subunit, ATPase, 2	PSMC2	2.3 ± 0.0 (2)
AA485906	Hypothetical protein FLJ10913	FLJ10913	2.3 ± 0.1 (2)
AA053285	Interleukin 15 receptor alpha chain	IL15RA	2.2 ± 0.2 (3)
AA481745	Homo sapiens clone 23763 unknown mRNA	NA	2.2 ± 0.1 (2)
AA424695	Integrin alpha-3 subunit	ITGA3	2.2 ± 0.3 (4)
AA404341	Homo sapiens cDNA FLJ13920 fis, clone Y79AA1000420	NA	2.2 ± 0.2 (2)
AA400317	DNA polymerase epsilon 4 (p12 subunit)	POLE4	2.2 ± 0.1 (2)
AA598513	Protein tyrosine phosphatase, receptor type, f polypeptide	PTPRF	2.2 ± 0.0 (2)
AA453859	Alcohol dehydrogenase 5 chi subunit (class III)	ADH5	2.3 ± 0.4 (3)
AA055215	Homo sapiens cDNA: FLJ21022 fis, clone CAE06383	NA	2.2 ± 0.0 (2)
T56316	Nerve growth factor beta	NGFB	2.2 ± 0.2 (2)
AI002301	RAB family small GTP binding protein RAB13	RAB13	2.2 ± 0.1(2)
AA664195	MHC class II protein HLA-DR-beta-1 (HLA-DRB1)	HLA-DRB1	2.2 ± 0.1 (2)
H19068	Hippocalcin (neuronal calcium-binding protein)	HPCA	2.2 ± 0.1 (3)
H51404	LIM domain kinase 1	LIMK1	2.2 ± 0.2 (2)
AA912071	Distal-less homeobox 2 protein (DLX-2)	DLX2	2.1 ± 0.2 (2)
N29844	M-phase phosphoprotein, mpp11	MPP11	2.1 ± 0.3 (2)
AA425861	Peroxisomal enoyl-CoA hydratase-like protein (HPXEL)	HPXEL	2.1 ± 0.2 (3)
T55801	General transcription factor TFIIA gamma subunit	GTFA2	2.1 ± 0.3 (4)
N52474	Prostate-specific membrane antigen	PSMA	2.1 ± 0.3 (2)
N48698	Hybrid receptor gp250 precursor	NA	2.1 ± 0.0 (2)
R38343	Protein tyrosine phosphatase, receptor type, gamma polypeptide	PTPRG	2.1 ± 0.0 (2)
AA489568	Nucleoporin-like protein	NA	2.1 ± 0.2 (3)
AA428859	Glutathione transferase zeta 1 (GSTZ1)	GSTZ1	2.1 ± 0.1 (2)
AA702544	Homo sapiens YAC clone 377A1 unknown mRNA, 3 untranslated region	NA	2.1 ± 0.1 (2)
AA988313	Protein translation factor SUI1 homolog	SUI1	2.1 ± 0.3 (2)
AA886199	DEME-6 (differentially expressed in estrogen receptor positive breast ca cell line)	NA	2.1 ± 0.0 (2)
AA131760	Hypothetical protein FLJ10656	FLJ10656	2.1 ± 0.1 (2)
AA885642	Histone H2B.1 (H2B) gene	H2B1	2.1 ± 0.2 (3)
AA443302	Rho-related GTP binding protein RhoE	RHOE	2.1 ± 0.2 (2)
AA411640	Ras-related GTP-binding protein A (ragA protein)	RAGA	2.1 ± 0.3 (2)
AI017398	Amiloride-sensitive cation channel 2 (hBNaC2) mRNA, alternatively spliced	ACCN2	2.1 ± 0.1 (2)
AA598567	Myelin gene expression factor 2	MEF2	2.1 ± 0.1 (2)
AA430668	IgG Fc receptor hFcRn	NA	2.1 ± 0.3 (2)
AA454862	CGI-135 protein (tetratricopeptide repeat domain 11) [mitochondrial fission protein]	TTC11	2.1 ± 0.0 (2)
H50993	Actinin, alpha 4	ACTN4	2.1 ± 0.2 (2)
AA975209	Hepatocyte growth factor activator inhibitor	HAI1	2.1 ± 0.0 (2)
AA490300	PDGF associated protein (PDFA-associated protein 1)	PDAP1	2.1 ± 0.2 (3)
R14822	RAN binding protein 1	RANBP1	2.1 ± 0.1 (2)
AA453831	Hepatoma-derived growth factor	HDGF	2.1 ± 0.0 (2)
R09836	Homo sapiens cDNA: FLJ21016 fis, clone CAE05735	NA	2.0 ± 0.0 (2)
T52830	Insulin-like growth factor binding protein 5	IGFBP5	2.0 ± 0.2 (2)
W47387	Ecotropic viral integration site 5 (coil-coil protein, cell cycle regulation)	EVI5	2.0 ± 0.2 (2)
AA491302	Islet cell autoantigen 1 (69kD) (type I insulin-dependent diabetes mellitus)	ICA1	2.0 ± 0.0 (2)
H99699	Aconitase 2, mitochondrial	ACO2	2.0 ± 0.1 (2)
AA598814	ATPase, Na+/K+ transporting, beta 1 polypeptide	ATP1B1	2.0 ± 0.1 (2)
R26960	Peripheral myelin protein 22	PMP22	2.0 ± 0.2 (2)
N93505	Cell surface glycoprotein A15 (transmembrane 4 superfamily, member 2)	TM4SF2	2.0 ± 0.1 (2)
AA488346	Myosin light chain alkali, non-muscle isoform	NA	2.0 ± 0.0 (2)
AA074596	Bromodomain adjacent to zinc finger domain, 1B	BAZ1B	2.0 ± 0.1 (2)
AA482325	Human chromosome 17q12-21 mRNA, clone pOV-2	NA	2.0 ± 0.1 (2)
AA634103	Thymosin beta-4	NA	2.0 ± 0.1 (2)
AA489246	Serine protease SNC19 (suppressor of tumorigenesis 14, matriptase)	ST14	2.0 ± 0.0
AA884015	Tubby related protein 2 (TULP2)	TULP2	2.0 ± 0.1 (2)
AA995282	Homo sapiens (clone 35.3) DRAL mRNA, complete cds	NA	2.0 ± 0.5 (2)
N67711	Hypothetical protein FLJ11193	FLJ11193	2.0 ± 0.1 (2)
AA017042	Tat interactive protein (transcriptional regulation)	NA	1.9 ± 0.0
AA425451	Integrin, alpha E (CD103, mucosal lymphocyte antigen 1; alpha polypeptide)	ITGAE	1.9 ± 0.0 (2)
AA683085	High-mobility group (nonhistone chromosomal) protein 1	HMG1	1.9 ± 0.0 (2)
AA291513	B cell lymphoma protein 7B	BCL7	1.9 ± 0.3 (2)
AA454662	KIAA0020 (minor histocompatibility antigen HA-8)	XTP5	1.9 ± 0.1 (2)
AA664219	Glucocorticoid receptor	GRL	1.9 ± 0.1 (2)
AA676598	Nerve growth factor-inducible PC4 homologue	IFRD2	1.9 ± 0.2 (3)
AA454222	Bromodomain protein (BRDT)	BRDT	1.9 ± 0.0 (2)
H60859	Sorcin (calcium-binding protein, modulates Ca+2 homeostasis)	SRI	1.9 ± 0.1 (2)
AA456028	Geranylgeranyl transferase type II beta-subunit (protein modification)	RABGGTB	1.9 ± 0.0 (2)
W74536	Advanced glycosylation end product-specific receptor	AGER	1.9 ± 0.3 (2)
AA477082	Brain and reproductive organ-expressed protein (BRE) gene	BRE	1.9 ± 0.0 (2)
H21041	Activating transcription factor 3	ATF3	1.9 ± 0.3 (2)
T57556	Putative protein kinase C inhibitor PKCI-1 (protein kinase C-interacting 1)	PRKCNH1	1.9 ± 0.0 (2)
T47813	Macrophage stimulating 1 (hepatocyte growth factor-like)	MST1	1.9 ± 0.2 (2)
AA430382	Nucleoside phosphorylase	NP	1.9 ± 0.0 (2)
AA464601	Tetraspanin Tspan-5 (TSPAN-5) gene	TM4SF9	1.9 ± 0.0 (2)
H90431	Adrenergic, beta-2-, receptor, surface	ADRB2	1.8 ± 0.0 (2)
AA036974	Placenta copper monamine oxidase (also called vascular adhesion protein 1)	AOC3	1.8 ± 0.0 (2)
T69926	Myosin, heavy polypeptide 9, non-muscle	MYH9	1.8 ± 0.2 (2)
AA630328	Lectin, galactoside-binding, soluble, 3 (galectin 3)	LGALS3	1.8 ± 0.2 (2)
T97710	Ladinin (LAD) [IgA bullous dermatosis antigen, anchoring filament protein]	LAD	1.8 ± 0.2 (2)
AA679864	HP protein (also called deleted in liver cancer 1, Rho GTPase-activating protein)	DLC1	1.7 ± 0.1 (2)
AA491191	Interferon-gamma induced protein IFI 16 (myeloid differen. transcriptional activator)	IFI16	1.7 ± 0.2 (2)
AA910443	Nephroblastoma overexpressed (angiogenic regulator, inhibits Notch signaling)	NOV	1.7 ± 0.2 (2)
