Gene symbol	Gene name	Affymetrix ID	Fold change	P
Rasgrf1	RAS protein-specific guanine nucleotide-releasing factor 1	1424734_at	?1.189	9.69E?02
Rgl1	Ral guanine nucleotide dissociation stimulator,-like 1	1449124_at	?1.259	8.61E?02
Rhoc	Ras homologue gene family, member C	1435394_s_at	2.871	2.79E?02
Rhog	Ras homologue gene family, member G	1422572_at	1.115	8.07E?02
Rhou	Ras homologue gene family, member U	1449028_at	7.1	4.03E?04
NA	NA	1449027_at	5.127	4.87E?03
Rit1	Ras-like without CAAX 1	1428710_at	?1.170	5.14E?02
NA	NA	1420540_a_at	?1.232	5.29E?02
Rsu1	Ras suppressor protein 1	1419259_at	1.198	5.24E?02
Sdcbp	Syndecan binding protein	1450941_at	1.822	2.56E?02
Tiam1	T-cell lymphoma invasion and metastasis 1	1418057_at	?1.093	3.80E?02
Vav3	Vav 3 oncogene	1448600_s_at	1.678	3.16E?04
NA	NA	1417122_at	1.313	2.74E?02
2600005C20Rik	RIKEN cDNA 2600005C20 gene	1452118_at	?1.484	5.62E?02
NA	NA	1452119_at	?1.026	4.36E?02
Aass	Aminoadipate-semialdehyde synthase	1423523_at	?3.106	2.01E?03
Cat	Catalase	1416429_a_at	1.859	4.68E?03
Ctsb	Cathepsin B	1417490_at	2.956	7.07E?02
NA	NA	1417492_at	2.007	8.93E?02
NA	NA	1417491_at	1.376	2.74E?02
Cyba	Cytochrome b-245, ? polypeptide	1454268_a_at	4.175	5.46E?02
Gpx2	Glutathione peroxidase 2	1449279_at	4.624	2.42E?02
Gpx3	Glutathione peroxidase 3	1449106_at	?5.263	3.70E?02
Gpx4	Glutathione peroxidase 4	1456193_x_at	?1.064	4.24E?03
Idh1	Isocitrate dehydrogenase 1 (NADP+), soluble	1422433_s_at	3.323	1.77E?02
Ncf2	Neutrophil cytosolic factor 2	1448561_at	1.097	7.23E?02
Noxo1	NADPH oxidase organizer 1	1425151_a_at	7.005	1.72E?02
Nqo1	NAD(P)H dehydrogenase, quinone 1	1423627_at	?1.295	3.70E?02
Prdx1	Peroxiredoxin 1	1434731_x_at	1.718	5.55E?03
NA	NA	1436691_x_at	1.471	1.54E?02
Prdx2	Peroxiredoxin 2	1430979_a_at	1.506	8.66E?02
Prdx6	Peroxiredoxin 6	1423223_a_at	?2.874	8.11E?03
Txnip	Thioredoxin interacting protein	1415996_at	2.453	4.18E?02
Txnrd2	Thioredoxin reductase 2	1449097_at	?1.484	2.38E?02
