UniGene ID	Symbol	Gene Name	tumor/normala	P value
Hs.20495	DKFZP434F011	DKFZP434F011 protein	2.73	<0.001
Hs.83883	TMEPAI	transmembrane, prostate androgen induced RNA	2.71	0.001
Hs.878	SORD	sorbitol dehydrogenase	2.69	<0.001
Hs.14846		mRNA; cDNA DKFZp564D016 (from clone DKFZp564D016), mRNA sequence	2.69	<0.001
Hs.9329	C20orf1	chromosome 20 open reading frame 1	2.68	<0.001
Hs.283664	ASPH	aspartate beta-hydroxylase	2.67	<0.001
Hs.6727	HMGB1	high-mobility group box 1	2.66	<0.001
Hs.77367	CXCL9	chemokine (C-X-C motif) ligand 9	2.66	<0.001
		Human melanoma-associated antigen p97 (melanotransferrin) mRNA, 3 flank	2.65	<0.001
Hs.252587	PTTG1	pituitary tumor-transforming 1	2.64	<0.001
Hs.5184	TH1L	TH1-like (Drosophila)	2.64	<0.001
Hs.73798	MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	2.62	<0.001
Hs.75069	SHMT2	serine hydroxymethyltransferase 2 (mitochondrial)	2.62	<0.001
Hs.71465	SQLE	squalene epoxidase	2.6	<0.001
Hs.127337	AXIN2	axin 2 (conductin, axil)	2.6	0.006
Hs.118638	NME1	non-metastatic cells 1, protein (NM23A) expressed in	2.57	<0.001
Hs.1197	HSPE1	heat shock 10kDa protein 1 (chaperonin 10)	2.54	<0.001
Hs.61960	FLJ20040	hypothetical protein FLJ20040	2.54	<0.001
Hs.108106	UHRF1	ubiquitin-like, containing PHD and RING finger domains, 1	2.54	<0.001
Hs.356317	RPS21	ribosomal protein S21	2.54	<0.001
Hs.57783	EIF3S9	eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa	2.53	<0.001
Hs.179661		Beta-tubulin [Homo sapiens], mRNA sequence	2.53	<0.001
Hs.9029	HAIK1	type I intermediate filament cytokeratin	2.52	0.001
Hs.20252	ARHU	ras homolog gene family, member U	2.52	0.001
Hs.159525	CGR11	cell growth regulatory with EF-hand domain	2.52	<0.001
		c33.28 unnamed HERV-H protein mRNA, partial cds	2.5	<0.001
Hs.394389	PPIB	peptidylprolyl isomerase B (cyclophilin B)	2.5	<0.001
Hs.83753	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1	2.5	<0.001
Hs.183556	SLC1A5	solute carrier family 1 (neutral amino acid transporter), member 5	2.49	<0.001
Hs.119192	H2AFZ	H2A histone family, member Z	2.49	<0.001
Hs.397090	SNRPD2	small nuclear ribonucleoprotein D2 polypeptide 16.5kDa	2.49	<0.001
Hs.180479	C20orf42	chromosome 20 open reading frame 42	2.48	<0.001
Hs.84113	CDKN3	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	2.48	<0.001
Hs.5094	RNF10	ring finger protein 10	2.47	<0.001
Hs.404119	TSTA3	tissue specific transplantation antigen P35B	2.46	<0.001
Hs.194698	CCNB2	cyclin B2	2.46	<0.001
Hs.25237	LOC51337	mesenchymal stem cell protein DSCD75	2.46	<0.001
Hs.174070	E2-EPF	ubiquitin carrier protein	2.46	<0.001
Hs.83532	MCP	membrane cofactor protein (CD46, trophoblast-lymphocyte cross-reactive antigen)	2.45	<0.001
Hs.16426	PODXL	podocalyxin-like	2.45	<0.001
Hs.104741	TOPK	T-LAK cell-originated protein kinase	2.44	<0.001
Hs.3053	ZID	zinc finger protein with interaction domain	2.44	<0.001
Hs.351438		cDNA: FLJ22209 fis, clone HRC01496, mRNA sequence	2.44	<0.001
Hs.279813	HSPC014	hypothetical protein HSPC014	2.43	<0.001
Hs.194208	SNT-2	suc1-associated neurotrophic factor target 2 (FGFR signalling adaptor)	2.42	0.003
Hs.99364	ABHD2	abhydrolase domain containing 2	2.42	<0.001
		C17orf1 gene, exon 1 3	2.41	<0.001
Hs.72550	HMMR	hyaluronan-mediated motility receptor (RHAMM)	2.4	<0.001
Hs.108809	CCT7	chaperonin containing TCP1, subunit 7 (eta)	2.4	<0.001
Hs.6793	PAFAH1B3	platelet-activating factor acetylhydrolase, isoform Ib, gamma subunit 29kDa	2.39	<0.001
Hs.179565	MCM3	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)	2.39	<0.001
Hs.78776	NMA	putative transmembrane protein	2.38	0.003
Hs.407298		mRNA; cDNA DKFZp586O2022 (from clone DKFZp586O2022), mRNA sequence	2.38	<0.001
Hs.226795	GSTP1	glutathione S-transferase pi	2.38	<0.001
Hs.126782	SRPUL	sushi-repeat protein	2.37	0.004
Hs.172089	PORIMIN	pro-oncosis receptor inducing membrane injury gene	2.36	<0.001
Hs.376844	HNRPA1	heterogeneous nuclear ribonucleoprotein A1	2.36	<0.001
Hs.77152	MCM7	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	2.36	<0.001
Hs.76927	TOMM34	translocase of outer mitochondrial membrane 34	2.36	<0.001
Hs.79006	DTYMK	deoxythymidylate kinase (thymidylate kinase)	2.36	<0.001
Hs.101302	COL12A1	collagen, type XII, alpha 1	2.34	<0.001
		c-myc=Burkitt-like c-myc {exons 1 and 2, oncogene}	2.34	<0.001
Hs.75410	HSPA5	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)	2.33	<0.001
Hs.53563	COL9A3	collagen, type IX, alpha 3	2.33	<0.001
Hs.923	SSBP1	single-stranded DNA binding protein	2.32	<0.001
Hs.300711	ANXA5	annexin A5	2.32	<0.001
Hs.14623	IFI30	interferon, gamma-inducible protein 30	2.32	0.003
Hs.406515	NQO1	NAD(P)H dehydrogenase, quinone 1	2.31	0.001
Hs.85137	CCNA2	cyclin A2	2.31	<0.001
Hs.239891	GPR35	G protein-coupled receptor 35	2.31	<0.001
Hs.1650	SLC26A3	solute carrier family 26, member 3	2.3	0.002
Hs.119571	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	2.3	0.009
Hs.204238	LCN2	lipocalin 2 (oncogene 24p3)	2.29	0.002
Hs.152931	LBR	lamin B receptor	2.29	<0.001
Hs.11806	DHCR7	7-dehydrocholesterol reductase	2.29	<0.001
Hs.78771	PGK1	phosphoglycerate kinase 1	2.28	<0.001
Hs.406269	STMN1	stathmin 1/oncoprotein 18	2.27	<0.001
Hs.84790	C7orf14	chromosome 7 open reading frame 14	2.27	<0.001
Hs.356531	HSPCA	heat shock 90kDa protein 1, alpha	2.27	<0.001
Hs.78619	GGH	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)	2.27	<0.001
Hs.24178	EML2	echinoderm microtubule associated protein like 2	2.26	0.002
Hs.77496	SNRPG	small nuclear ribonucleoprotein polypeptide G	2.26	<0.001
Hs.3192	PCBD	6-pyruvoyl-tetrahydropterin synthase/dimerization cofactor of hepatocyte nuclear factor 1	2.26	<0.001
		4F2 light chain (LOC51597), mRNA	2.26	<0.001
		H.sapiens (xs159) mRNA, 300bp	2.26	<0.001
Hs.182825	RPL35	ribosomal protein L35	2.25	<0.001
		Human mRNA for nucleotide diphosphate kinase B, 5UTR	2.24	<0.001
Hs.6566	TRIP13	thyroid hormone receptor interactor 13	2.23	<0.001
Hs.183858	TIF1	transcriptional intermediary factor 1	2.23	<0.001
Hs.90077	TGIF	TGFB-induced factor (TALE family homeobox)	2.23	<0.001
Hs.313	SPP1	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	2.23	<0.001
Hs.125359	THY1	Thy-1 cell surface antigen	2.23	<0.001
Hs.44865	LEF1	lymphoid enhancer-binding factor 1	2.23	0.001
Hs.3566	ART-4	ART-4 protein	2.23	<0.001
Hs.12385	KIAA0417	KIAA0417 gene product	2.23	<0.001
Hs.21486	STAT1	signal transducer and activator of transcription 1, 91kDa	2.23	<0.001
Hs.29797	RPL10	ribosomal protein L10	2.22	<0.001
Hs.113503	KPNB3	karyopherin (importin) beta 3	2.22	<0.001
Hs.181309	PSMA2	proteasome (prosome, macropain) subunit, alpha type, 2	2.22	<0.001
Hs.12163	EIF2S2	eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa	2.22	<0.001
Hs.2250	LIF	leukemia inhibitory factor (cholinergic differentiation factor)	2.22	<0.001
Hs.301547	RPS7	ribosomal protein S7	2.21	<0.001
Hs.195614	SF3B3	splicing factor 3b, subunit 3, 130kDa	2.21	<0.001
Hs.79259	HSPC152	hypothetical protein HSPC152	2.21	<0.001
Hs.303125	PIGPC1	p53-induced protein PIGPC1	2.21	<0.001
Hs.75765	CXCL2	chemokine (C-X-C motif) ligand 2	2.21	<0.001
Hs.71827	RRS1	homolog of yeast ribosome biogenesis regulatory protein RRS1	2.21	<0.001
Hs.171814	PTMS	parathymosin	2.2	<0.001
Hs.193602	HCAP-G	chromosome condensation protein G	2.2	<0.001
Hs.63287	CA9	carbonic anhydrase IX	2.19	0.002
Hs.72157	DKFZp564I1922	adlican	2.19	0.002
Hs.348183	TNFRSF6B	tumor necrosis factor receptor superfamily, member 6b, decoy	2.19	<0.001
Hs.31773	OKL38	pregnancy-induced growth inhibitor	2.19	<0.001
Hs.155462	MCM6	MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)	2.19	<0.001
Hs.103755	RIPK2	receptor-interacting serine-threonine kinase 2	2.18	<0.001
Hs.179573	COL1A2	collagen, type I, alpha 2	2.18	<0.001
Hs.222505		cDNA FLJ11435 fis, clone HEMBA1001208, mRNA sequence	2.18	<0.001
Hs.10098	NOH61	putative nucleolar RNA helicase	2.18	<0.001
Hs.90315	KIAA0007	KIAA0007 protein	2.17	<0.001
Hs.191945		cDNA: FLJ20888 fis, clone ADKA03289, mRNA sequence	2.17	<0.001
Hs.287406		cDNA FLJ11363 fis, clone HEMBA1000251, mRNA sequence	2.17	<0.001
Hs.18616	FLJ20311	hypothetical protein FLJ20311	2.17	<0.001
Hs.376253	TRAP1	heat shock protein 75	2.17	<0.001
		H.sapiens (xs4) mRNA, 315bp	2.17	<0.001
Hs.334842	K-ALPHA-1	tubulin, alpha, ubiquitous	2.16	<0.001
Hs.178551	RPL8	ribosomal protein L8	2.16	<0.001
Hs.58382	FLJ11101	hypothetical protein FLJ11101	2.16	0.003
Hs.84520	YAP1	Yes-associated protein 1, 65kDa	2.15	<0.001
Hs.180859	LOC51142	16.7Kd protein	2.15	<0.001
Hs.271411	BACE2	beta-site APP-cleaving enzyme 2	2.15	<0.001
Hs.433416	NME2	non-metastatic cells 2, protein (NM23B) expressed in	2.15	<0.001
Hs.384303		Somatotropin Receptor, mRNA sequence [Homo sapiens]	2.15	<0.001
Hs.25590	STC1	stanniocalcin 1	2.15	0.005
Hs.432607	PSMB2	proteasome (prosome, macropain) subunit, beta type, 2	2.15	<0.001
Hs.2442	ADAM9	a disintegrin and metalloproteinase domain 9 (meltrin gamma)	2.15	0.001
Hs.2012	TCN1	transcobalamin I (vitamin B12 binding protein, R binder family)	2.15	0.005
Hs.302178		H.sapiens mRNA for TRE5, mRNA sequence	2.13	<0.001
Hs.279591	MGC9850	hypothetical protein MGC9850	2.13	<0.001
Hs.85146	ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	2.13	<0.001
Hs.18349	MRPL15	mitochondrial ribosomal protein L15	2.13	<0.001
Hs.20030	TR2	thioredoxin reductase 2	2.13	<0.001
Hs.58593	GTF2F2	general transcription factor IIF, polypeptide 2, 30kDa	2.13	<0.001
Hs.228059	TRIM28	tripartite motif-containing 28	2.12	<0.001
Hs.413946		cig33 mRNA, partial sequence, mRNA sequence	2.12	<0.001
Hs.9625	NEK6	NIMA (never in mitosis gene a)-related kinase 6	2.12	<0.001
Hs.73722	APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1	2.11	<0.001
Hs.3069	HSPA9B	heat shock 70kDa protein 9B (mortalin-2)	2.11	<0.001
Hs.166705	GPR49	G protein-coupled receptor 49	2.11	0.002
Hs.199853		cDNA FLJ13339 fis, clone OVARC1001928, mRNA sequence	2.11	<0.001
Hs.172894	BID	BH3 interacting domain death agonist	2.11	<0.001
Hs.196209	RAE1	RAE1 RNA export 1 homolog (S. pombe)	2.11	<0.001
Hs.381575		FLJ00083 protein [Homo sapiens], mRNA sequence	2.1	<0.001
Hs.318526	FLJ12661	hypothetical protein FLJ12661	2.1	<0.001
Hs.94	DNAJA1	DnaJ (Hsp40) homolog, subfamily A, member 1	2.1	<0.001
Hs.106127	RPAC2	likely ortholog of mouse RNA polymerase 1-3 (16 kDa subunit)	2.1	<0.001
Hs.78225	ANXA1	annexin A1	2.09	0.002
Hs.279903	RHEB2	Ras homolog enriched in brain 2	2.09	<0.001
Hs.17667	SH3BP4	SH3-domain binding protein 4	2.09	<0.001
Hs.4311	UBA2	SUMO-1 activating enzyme subunit 2	2.09	<0.001
Hs.727	INHBA	inhibin, beta A (activin A, activin AB alpha polypeptide)	2.09	<0.001
Hs.301126		cDNA FLJ11854 fis, clone HEMBA1006767, mRNA sequence	2.09	<0.001
Hs.25954	IL13RA2	interleukin 13 receptor, alpha 2	2.08	<0.001
Hs.432428	PSMA3	proteasome (prosome, macropain) subunit, alpha type, 3	2.08	<0.001
Hs.81848	RAD21	RAD21 homolog (S. pombe)	2.08	<0.001
Hs.48712	FLJ20736	hypothetical protein FLJ20736	2.08	<0.001
Hs.130522	KCNIP1	Kv channel interacting protein 1	2.08	<0.001
Hs.339810	GDF1	growth differentiation factor 1	2.08	<0.001
Hs.222088	PRO2000	PRO2000 protein	2.07	<0.001
Hs.279923	NS	nucleostemin	2.07	<0.001
Hs.89718	SMS	spermine synthase	2.07	<0.001
Hs.74598	POLD2	polymerase (DNA directed), delta 2, regulatory subunit 50kDa	2.06	<0.001
Hs.75412	ARMET	arginine-rich, mutated in early stage tumors	2.06	<0.001
Hs.2730	HNRPL	heterogeneous nuclear ribonucleoprotein L	2.06	<0.001
Hs.85951	XPOT	exportin, tRNA (nuclear export receptor for tRNAs)	2.06	<0.001
Hs.183800	RANGAP1	Ran GTPase activating protein 1	2.06	<0.001
Hs.30213	CLN5	ceroid-lipofuscinosis, neuronal 5	2.06	<0.001
Hs.153357	PLOD3	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3	2.06	<0.001
Hs.75319	RRM2	ribonucleotide reductase M2 polypeptide	2.06	<0.001
Hs.121576	MYO1B	myosin IB	2.06	<0.001
Hs.104859	DKFZp762E1312	hypothetical protein DKFZp762E1312	2.06	<0.001
Hs.7753	CALU	calumenin	2.05	<0.001
Hs.14732	ME1	malic enzyme 1, NADP(+)-dependent, cytosolic	2.05	<0.001
Hs.115263	EREG	epiregulin	2.05	0.008
Hs.81452	FACL4	fatty-acid-Coenzyme A ligase, long-chain 4	2.05	<0.001
Hs.181444	TMEM9	transmembrane protein 9	2.05	<0.001
Hs.250175	HELO1	homolog of yeast long chain polyunsaturated fatty acid elongation enzyme 2	2.05	<0.001
Hs.8358	FLJ20366	hypothetical protein FLJ20366	2.05	<0.001
Hs.234489	LDHB	lactate dehydrogenase B	2.05	<0.001
Hs.406013	KRT18	keratin 18	2.04	<0.001
Hs.151734	NUTF2	nuclear transport factor 2	2.04	<0.001
Hs.18457	FLJ20315	hypothetical protein FLJ20315	2.04	<0.001
Hs.2704	GPX2	glutathione peroxidase 2 (gastrointestinal)	2.03	0.003
Hs.75914	RNP24	coated vesicle membrane protein	2.03	<0.001
Hs.69423	KLK10	kallikrein 10	2.03	<0.001
Hs.30928	TOMM40	translocase of outer mitochondrial membrane 40 homolog (yeast)	2.03	<0.001
Hs.384710		full length insert cDNA YP99H09, mRNA sequence	2.03	<0.001
Hs.90107	ADRM1	adhesion regulating molecule 1	2.03	<0.001
Hs.235750	TIMM10	translocase of inner mitochondrial membrane 10 homolog (yeast)	2.03	<0.001
Hs.2359	DUSP4	dual specificity phosphatase 4	2.02	0.003
Hs.193053	EIF2C2	eukaryotic translation initiation factor 2C, 2	2.02	<0.001
Hs.14144	SMOC1	secreted modular calcium-binding protein 1	2.02	<0.001
Hs.83484	SOX4	SRY (sex determining region Y)-box 4	2.02	<0.001
		transient receptor potential channel 7 (TRPC7) mRNA	2.01	<0.001
Hs.134989	EN2	engrailed homolog 2	2.01	0.001
Hs.21075	GTF2IRD1	GTF2I repeat domain containing 1	2.01	<0.001
Hs.73010	IFNW1	interferon, omega 1	2.01	<0.001
Hs.27693	PPIL1	peptidylprolyl isomerase (cyclophilin)-like 1	2	<0.001
Hs.2910	PRPS2	phosphoribosyl pyrophosphate synthetase 2	2	<0.001
Hs.79086	MRPL3	mitochondrial ribosomal protein L3	2	<0.001
Hs.850	IMPDH1	IMP (inosine monophosphate) dehydrogenase 1	2	<0.001
Hs.119908	NOP5 / NOP58	nucleolar protein NOP5/NOP58	2	<0.001
