Probe Set ID	Gene Symbol	Ratio	PS	Description
1374320_at	F5	4.42		coagulation factor V (proaccelerin, labile factor)
1367857_at	FADS1	0.374		fatty acid desaturase 1
1376177_at	FAM117A	2.936		family with sequence similarity 117, member A
1376831_at	FAM64A	0.203		family with sequence similarity 64, member A
1367708_a_at	FASN	0.352		fatty acid synthase
1368829_at	FBN1	6.52		fibrillin 1
1367839_at	FDFT1	0.451		farnesyl-diphosphate farnesyltransferase 1
1367667_at	FDPS	0.229		farnesyl diphosphate synthase
1368114_at	FGF13	17.214		fibroblast growth factor 13
1372107_at	FHL1	0.463		four and a half LIM domains 1
1373175_at	FLJ22662	113.837		hypothetical protein FLJ22662
1375043_at	FOS	19.346		v-fos FBJ murine osteosarcoma viral oncogene homolog
1368947_at	GADD45A	2.889		growth arrest and DNA-damage-inducible, alpha
1368332_at	GBP2	5.709		guanylate nucleotide binding protein 2
1387505_at	GNAI1	0.479		guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1
1387039_at	GPC1	2.091		glypican 1
1368618_at	GRB14	0.106		growth factor receptor-bound protein 14
1369113_at	GREM1	0.379		gremlin 1, cysteine knot superfamily, homolog (Xenopus laevis)
1370952_at	GSTM1	0.399		glutathione S-transferase M1
1370813_at	GSTM3	0.355		glutathione S-transferase M3 (brain)
1367553_x_at	HBB	252.236		hemoglobin, beta
1393096_at	HCG 21078	0.365		hCG21078
1369204_at	HCK	12.989		hemopoietic cell kinase
1387036_at	HES1	2.48		hairy and enhancer of split 1, (Drosophila)
1381428_a_at	HFE	3.23		hemochromatosis
1390021_at	HIST1H2BG	3.275		histone cluster 1, H2bg
1371332_at	HIST1H3J	2.763		histone cluster 1, H3j
1371332_at	HIST1H3J	2.763		histone cluster 1, H3j
1369728_at	HIST1H4I	4.772		histone cluster 1, H4i
1369728_at	HIST1H4I	4.772		histone cluster 1, H4i
1369728_at	HIST1H4I	4.772		histone cluster 1, H4i
1369728_at	HIST1H4I	4.772		histone cluster 1, H4i
1370383_s_at	HLA-DRB1	17.34		major histocompatibility complex, class II, DR beta 1
1388164_at	HLA-E	5.56		major histocompatibility complex, class I, E
1388213_a_at	HLA-E	11.664		major histocompatibility complex, class I, E
1393629_at	HLX	0.378		H2.0-like homeobox
1367932_at	HMGCS1	0.363		3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)
1371989_at	HMGN3	0.489		high mobility group nucleosomal binding domain 3
1370202_at	HRASLS3	6.665		HRAS-like suppressor 3
1386953_at	HSD11B1	43.352		hydroxysteroid (11-beta) dehydrogenase 1
1393555_at	HSP90AB1	4.797		heat shock protein 90kDa alpha (cytosolic), class B member 1
1387898_at	HSPB6	0.42		heat shock protein, alpha-crystallin-related, B6
1390208_at	HTATIP2	0.23		HIV-1 Tat interactive protein 2, 30kDa
1368870_at	ID2	10.822		inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
1369954_at	IDH1	0.446		isocitrate dehydrogenase 1 (NADP+), soluble
1368878_at	IDI1	0.27		isopentenyl-diphosphate delta isomerase 1
1379748_at	IFI44L	6.035		interferon-induced protein 44-like
1384180_at	IFIT2	3.395		interferon-induced protein with tetratricopeptide repeats 2
1372013_at	IFITM1	24.164		interferon induced transmembrane protein 1 (9-27)
1386881_at	IGFBP3	70.667		insulin-like growth factor binding protein 3
1385123_at	IK	22.969		IK cytokine, down-regulator of HLA II
1387273_at	IL1RL1	0.299		interleukin 1 receptor-like 1
1389092_at	IL2RG	28.753		interleukin 2 receptor, gamma (severe combined immunodeficiency)
1373970_at	IL33	2.049		interleukin 33
1389581_at	IL33	2.317		interleukin 33
1398808_at	IMPA1	0.492		inositol(myo)-1(or 4)-monophosphatase 1
1367894_at	INSIG1	0.391		insulin induced gene 1
1382314_at	ISG15	2.387		ISG15 ubiquitin-like modifier
1387144_at	ITGA1	3.097		integrin, alpha 1
1383131_at	ITGB2	31.094		integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)
1377367_at	KAZALD1	2.832		Kazal-type serine peptidase inhibitor domain 1
1377246_at	KB40	0.195		type II keratin Kb40
1395739_at	KIAA0143	0.49		KIAA0143 protein
1373722_at	KIF20A	0.335		kinesin family member 20A
1368650_at	KLF10	2.135		Kruppel-like factor 10
1388932_at	LAMA5	2.267		laminin, alpha 5
1379340_at	LAMC2	0.215		laminin, gamma 2
1387868_at	LBP	158.321		lipopolysaccharide binding protein
1393696_at	LOC387758	0.425		fin bud initiation factor
1370477_at	LOC4951	5.679		parvalbumin
1372330_at	LOC652955	247.426		goliath
1369644_at	LPHN2	0.485		latrophilin 2
1368964_at	LRRN3	8.946		leucine rich repeat neuronal 3
1372973_at	LSS	0.347		lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)
1367912_at	LTBP1	0.243		latent transforming growth factor beta binding protein 1
1382192_at	LYVE1	121.615		lymphatic vessel endothelial hyaluronan receptor 1
1373432_at	MARCKS	2.647		myristoylated alanine rich protein kinase C substrate
1370948_a_at	MARCKS	3.832		myristoylated alanine rich protein kinase C substrate
1369944_at	MARCKSL1	2.135		MARCKS-like 1
1368501_s_at	MCPT9	0.321		mast cell protease 9
1368501_s_at	MCPT9	0.321		mast cell protease 9
1368501_s_at	MCPT9	0.321		mast cell protease 9
1368501_s_at	MCPT9	0.321		mast cell protease 9
1377792_at	MEGF10	0.312		multiple EGF-like-domains 10
1385408_at	MGA	3.197		MAX gene associated
1367568_a_at	MGP	676.926		matrix Gla protein
1377302_a_at	MMAA	0.334		methylmalonic aciduria (cobalamin deficiency) cblA type
1367860_a_at	MMP14	2.052		matrix metallopeptidase 14 (membrane-inserted)
1370301_at	MMP2	86.92		matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)
1380775_at	MPHOSPH1	0.489		M-phase phosphoprotein 1
1378193_at	MS4A7	84.295		membrane-spanning 4-domains, subfamily A, member 7
1368181_at	MTHFD1	0.357		methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1
1390878_at	MUC1	3.268		mucin 1, cell surface associated
1368020_at	MVD	0.337		mevalonate (diphospho) decarboxylase
1372000_at	NET1	2.231		neuroepithelial cell transforming gene 1
1378389_at	NFATC1	2.17		nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1
1385534_at	NGFRAP1	0.37		nerve growth factor receptor (TNFRSF16) associated protein 1
1388618_at	NID2	7.381		nidogen 2 (osteonidogen)
1378171_at	NRP2	0.49		neuropilin 2
1392988_at	NSDHL	0.224		NAD(P) dependent steroid dehydrogenase-like
1371849_at	NT5DC2	0.452		5-nucleotidase domain containing 2
1392579_at	OBFC2A	0.409		oligonucleotide/oligosaccharide-binding fold containing 2A
1376749_at	OGN	7.904		osteoglycin
1387562_at	PADI3	6.714		peptidyl arginine deiminase, type III
1392001_at	PANX1	3.519		pannexin 1
1383783_at	PCDH9	3.105		protocadherin 9
1368100_at	PCYT2	0.415		phosphate cytidylyltransferase 2, ethanolamine
1375367_at	PDLIM2	0.381		PDZ and LIM domain 2 (mystique)
1367970_at	PFN2	0.374		profilin 2
1387015_at	PFN2	0.479		profilin 2
1368399_a_at	PGCP	2.106		plasma glutamate carboxypeptidase
1371646_at	PGD	0.398		phosphogluconate dehydrogenase
1372744_at	PKP4	0.486		plakophilin 4
1370445_at	PLA1A	2.303		phospholipase A1 member A
1368128_at	PLA2G2A	13.15		phospholipase A2, group IIA (platelets, synovial fluid)
1373243_at	PMVK	0.262		phosphomevalonate kinase
1395842_at	POSTN	31.586		periostin, osteoblast specific factor
1373911_at	POSTN	77.209		periostin, osteoblast specific factor
1372101_at	PPAP2B	2.94		phosphatidic acid phosphatase type 2B
1374004_at	PREPL	0.415		prolyl endopeptidase-like
1371133_a_at	PRKAR2B	0.25		protein kinase, cAMP-dependent, regulatory, type II, beta
1398262_at	PRPS2	0.365		phosphoribosyl pyrophosphate synthetase 2
1369929_at	PSAP	0.447		prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy)
1372665_at	PSAT1	0.349		phosphoserine aminotransferase 1
1374033_at	PSMB10	2.713		proteasome (prosome, macropain) subunit, beta type, 10
1368259_at	PTGS1	0.411		prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
1368259_at	PTGS1	0.411		prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
1368527_at	PTGS2	0.339		prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
1369968_at	PTN	22.507		pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)
1377867_at	QPCT	8.152		glutaminyl-peptide cyclotransferase (glutaminyl cyclase)
1367884_at	RAB14	2.587		RAB14, member RAS oncogene family
1373666_at	RAPGEF5	8.927		Rap guanine nucleotide exchange factor (GEF) 5
1369994_at	RCP9	2.72		calcitonin gene-related peptide-receptor component protein
1372922_at	RGD1307036 PREDICTED	0.145		hypothetical LOC287306 (predicted)
1374775_at	RGD1564824 PREDICTED	0.459		similar to Mki67 protein (predicted)
1374775_at	RGD1564824 PREDICTED	0.459		similar to Mki67 protein (predicted)
1374775_at	RGD1564824 PREDICTED	0.459		similar to Mki67 protein (predicted)
1372491_at	RGD1565591 PREDICTED	2.133		similar to Ski protein (predicted)
1372585_at	RGD1566254 PREDICTED	3.153		RGD1566254 (predicted)
1390707_at	RGS10	0.455		regulator of G-protein signaling 10
1369958_at	RHOB	2.827		ras homolog gene family, member B
1389648_at	RIPK4	0.269		receptor-interacting serine-threonine kinase 4
1371475_at	RNASE4	4.099		ribonuclease, RNase A family, 4
1375211_at	RNASET2	2.143		ribonuclease T2
1379693_at	ROBO2	13.188		roundabout, axon guidance receptor, homolog 2 (Drosophila)
1396049_x_at	RPL3	8.53		ribosomal protein L3
1372133_at	RRAS2	0.193		related RAS viral (r-ras) oncogene homolog 2
1382058_at	RRAS2	0.241		related RAS viral (r-ras) oncogene homolog 2
1393848_at	RRM2	0.479		ribonucleotide reductase M2 polypeptide
1368807_at	RTN3	10.52		reticulon 3
1368275_at	SC4MOL	0.467		sterol-C4-methyl oxidase-like
1387926_at	SC5DL	0.207		sterol-C5-desaturase (ERG3 delta-5-desaturase homolog, S. cerevisiae)-like
1390777_at	SC5DL	0.225		sterol-C5-desaturase (ERG3 delta-5-desaturase homolog, S. cerevisiae)-like
1370355_at	SCD	0.07		stearoyl-CoA desaturase (delta-9-desaturase)
1376062_at	SDC1	4.238		syndecan 1
1367849_at	SDC1	6.587		syndecan 1
1369547_at	SERPINB7	0.221		serpin peptidase inhibitor, clade B (ovalbumin), member 7
1368519_at	SERPINE1	11.909		serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1
1388569_at	SERPINF1	9.124		serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1
1387957_a_at	SH3KBP1	2.931		SH3-domain kinase binding protein 1
1388828_at	SIDT2	2.231		SID1 transmembrane family, member 2
1370609_a_at	SLC16A7	0.224		solute carrier family 16, member 7 (monocarboxylic acid transporter 2)
1370609_a_at	SLC16A7	0.224		solute carrier family 16, member 7 (monocarboxylic acid transporter 2)
1395986_at	SLIT2	0.488		slit homolog 2 (Drosophila)
1373869_at	SOAT1	0.442		sterol O-acyltransferase (acyl-Coenzyme A: cholesterol acyltransferase) 1
1374976_a_at	SOAT1	0.465		sterol O-acyltransferase (acyl-Coenzyme A: cholesterol acyltransferase) 1
1368322_at	SOD3	3.304		superoxide dismutase 3, extracellular
1377457_a_at	SORL1	118.235		sortilin-related receptor, L(DLR class) A repeats-containing
1383137_at	SOX4	2.656		SRY (sex determining region Y)-box 4
1373860_at	SOX4	3.164		SRY (sex determining region Y)-box 4
1373026_at	SPC24	0.459		SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae)
1368254_a_at	SPHK1	2.104		sphingosine kinase 1
1371248_at	SPRR1A	0.132		small proline-rich protein 1A
1387017_at	SQLE	0.356		squalene epoxidase
1388426_at	SREBF1	0.43		sterol regulatory element binding transcription factor 1
1368655_at	SRGN	2.374		serglycin
1387354_at	STAT1	2.109		signal transducer and activator of transcription 1, 91kDa
1396101_at	STC1	3.511		stanniocalcin 1
1377404_at	STC1	3.827		stanniocalcin 1
1385397_at	STEAP4	2.227		STEAP family member 4
1385475_a_at	STRA6	16.965		stimulated by retinoic acid gene 6 homolog (mouse)
1390525_a_at	STRA6	37.75		stimulated by retinoic acid gene 6 homolog (mouse)
1388753_at	SULF2	4.696		sulfatase 2
1390107_at	SYTL2	0.451		synaptotagmin-like 2
1388750_at	TFRC	0.421		transferrin receptor (p90, CD71)
1371913_at	TGFBI	22.449		transforming growth factor, beta-induced, 68kDa
1369943_at	TGM2	4.098		transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)
1374257_at	TIAM1	13.761		T-cell lymphoma invasion and metastasis 1
1389725_at	TM7SF2	0.146		transmembrane 7 superfamily member 2
1388930_at	TMEM123	0.166		transmembrane protein 123
1379513_at	TMEM30B	0.201		transmembrane protein 30B
1392534_at	TMEPAI	2.929		transmembrane, prostate androgen induced RNA
1387370_at	TMOD1	8.406		tropomodulin 1
1388718_at	TMOD1	10.572		tropomodulin 1
1379331_at	TNN	15.674		tenascin N
1371354_at	TNNC1	0.373		troponin C type 1 (slow)
1371241_x_at	TPM1	12.729		tropomyosin 1 (alpha)
1373718_at	TUBB2A	2.122		tubulin, beta 2A
1394144_at	TUBB6	122.947		tubulin, beta 6
1368762_at	UBD	13.157		ubiquitin D
1374413_at	UBL3	2.335		ubiquitin-like 3
1368474_at	VCAM1	31.185		vascular cell adhesion molecule 1
1371232_a_at	VCAN	7.395		versican
1388142_at	VCAN	8.802		versican
1388054_a_at	VCAN	9.829		versican
1387455_a_at	VLDLR	0.225		very low density lipoprotein receptor
1369973_at	XDH	16.838		xanthine dehydrogenase
1369973_at	XDH	16.838		xanthine dehydrogenase
1370931_at	XRCC5	0.445		X-ray repair complementing defective repair in Chinese hamster cells 5
