Gene Symbol	Description	CM/EB Fold Change	FH/EB Fold Change	AH/EB Fold change
CCDC68	coiled-coil domain containing 68	17.51	21.9	31.92
LRRFIP2	leucine rich repeat (in FLII) interacting protein 2	62.74	144.91	178.41
SLC26A9	solute carrier family 26, member 9	35.05	83.93	220.15
MB	myoglobin	86.97	267.37	491.29
MEF2C	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)	7.17	5.93	3.56
SMYD1	SET and MYND domain containing 1	83.06	120.87	98.13
DCAMKL2		2.91	5.46	3.82
FHL2	four and a half LIM domains 2	91.36	214.56	177.11
OSR1	odd-skipped related 1 (Drosophila)	5.01	11.26	3.32
TRIM63	tripartite motif-containing 63	75.17	191.98	161.61
C18orf1	chromosome 18 open reading frame 1	14.01	44.79	40.14
MYBPC3	myosin binding protein C, cardiac	86.22	134.35	243.44
CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	15.05	24.17	15.05
SHC4	SHC (Src homology 2 domain containing) family, member 4	4.73	4.94	11.82
RBM24	RNA binding motif protein 24	29.29	69.23	29.27
MYH7B	myosin, heavy polypeptide 7B, cardiac muscle, beta	70.35	139.22	114.07
TTN	titin	9.49	32.5	71.64
CKM	creatine kinase, muscle	87.59	417.73	820.47
ADPRHL1	ADP-ribosylhydrolase like 1	100.88	69.51	168.1
MYL2	myosin, light polypeptide 2, regulatory, cardiac, slow	96.44	2251.88	4092.23
PGAM2	phosphoglycerate mutase 2 (muscle)	84.19	165.02	368.07
FLJ22028	hypothetical protein FLJ22028	10.88	3.67	3.31
FLJ14437	myopalladin	53.91	242.54	707.22
MASP1	mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor)	145.82	48.79	58.83
USP16	ubiquitin specific peptidase 16	55.61	20.21	38.76
C12orf39	chromosome 12 open reading frame 39	24.97	126.9	230.95
GATA4	GATA binding protein 4	11.04	7.59	5.37
CRIP2	cysteine-rich protein 2	20.3	22.58	21.7
JPH2	junctophilin 2	30.69	33.52	38.68
C4orf18	chromosome 4 open reading frame 18	3.59	10.28	9.25
TBX5	T-box 5	222.25	237.98	117.29
NIPSNAP3B	nipsnap homolog 3B (C. elegans)	68.8	195.82	380.61
WDR31	WD repeat domain 31	7.11	8.65	25.12
FBXL17	F-box and leucine-rich repeat protein 17	2.81	2.19	5.37
KIAA0774	KIAA0774	9.69	42.88	34.15
ZNF69	zinc finger protein 69	9.18	8.64	2.96
ASB10	ankyrin repeat and SOCS box-containing 10	65.32	2052.17	12184.64
JPH2	junctophilin 2	30.25	53.73	26.62
IRX4	iroquois homeobox protein 4	44.97	28.5	13.44
FRMD3	FERM domain containing 3	13.7	6.8	7.45
NEXN	nexilin (F actin binding protein)	55.89	44.93	73.81
COX6A2	cytochrome c oxidase subunit VIa polypeptide 2	92.63	534.05	1601.06
AKAP6	A kinase (PRKA) anchor protein 6	5.89	10.38	13.7
FBLN2	fibulin 2	18.8	30.52	57.82
RP13-15M17.2 hypothetical protein LOC199953		5.33	13.75	5.06
CYP2E1	cytochrome P450, family 2, subfamily E, polypeptide 1	3.49	6.03	2.5
SLC8A1	solute carrier family 8 (sodium/calcium exchanger), member 1	29.9	34.53	16.19
C6orf208	chromosome 6 open reading frame 208	59.25	20.63	3.33
MYH11	myosin, heavy polypeptide 11, smooth muscle	68.65	82.62	204.74
TTN	titin	30.33	36.28	6.8
MUM1L1	melanoma associated antigen (mutated) 1-like 1	5.64	2.15	2.23
SPTBN1	spectrin, beta, non-erythrocytic 1	88.86	180.19	257.32
PPP1R12B	protein phosphatase 1, regulatory (inhibitor) subunit 12B	97.67	220.52	237.54
SLCO3A1	solute carrier organic anion transporter family, member 3A1	87.82	111.99	52.05
DIRAS3	DIRAS family, GTP-binding RAS-like 3	125.61	239.94	175.34
MSRB3	methionine sulfoxide reductase B3	16.81	11.59	13.46
HIST1H2AD	histone 1, H2ad	53.07	21.56	3.27
C2orf27	chromosome 2 open reading frame 27	17.75	7.7	3.81
AGT	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	3.89	3.42	3.95
NEBL	nebulette	21.08	8.11	11.76
TCEA3	transcription elongation factor A (SII), 3	17.67	25.32	21.99
CPNE5	copine V	11.21	12.69	8.68
C4orf18	chromosome 4 open reading frame 18	3.87	13.04	12.76
ESRRG	estrogen-related receptor gamma	20.43	18.32	17.41
FLJ41603	FLJ41603 protein	5.59	10.48	19.58
MASP1	mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor)	131.38	40.99	53.78
BVES	blood vessel epicardial substance	23.56	27.94	7.68
TMEM117	transmembrane protein 117	16.52	7.04	5.25
CYP2J2	cytochrome P450, family 2, subfamily J, polypeptide 2	47.26	90.14	122.53
COL21A1	collagen, type XXI, alpha 1	2.07	4.96	2.46
PDLIM3	PDZ and LIM domain 3	21.13	18.39	23.77
NNT	nicotinamide nucleotide transhydrogenase	15.99	19.74	69.6
SLC4A4	solute carrier family 4, sodium bicarbonate cotransporter, member 4	5.12	14.82	16.69
PDE4D	phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)	3.31	5.86	3.53
ADCY5	adenylate cyclase 5	51.56	138.6	146.73
LOC161247	similar to CG10671-like	31.62	115.51	127.9
POPDC3	popeye domain containing 3	51.55	18.28	12.55
HOP	homeodomain-only protein	4.27	10.35	2.71
HSPB3	heat shock 27kDa protein 3	94.44	312.67	509.45
CORO6	coronin 6	108.27	149.47	86.37
FBXO32	F-box protein 32	27	27.38	23.45
CCL4L1	chemokine (C-C motif) ligand 4-like 1	41.51	390.77	50.97
C6	complement component 6	8.21	10.29	136.29
SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	5.92	3.55	3.03
ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	15.14	67.9	424
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	2.5	11.69	8.71
FLJ30294	hypothetical protein FLJ30294	26.76	94.32	1462.97
C1orf175		7.14	21.21	9.88
FLJ45224	FLJ45224 protein	4.16	10.23	26.27
TNNI3K	TNNI3 interacting kinase	40.12	133.53	116.78
SH3RF2	SH3 domain containing ring finger 2	7.96	46.26	76.54
PDLIM5	PDZ and LIM domain 5	21.37	34.46	131
EDG1	endothelial differentiation, sphingolipid G-protein-coupled receptor, 1	6.66	5.88	3.75
URB	coiled-coil domain containing 80	35.13	35.47	115.74
CRYAB	crystallin, alpha B	63.09	374.99	700.07
ENPEP	glutamyl aminopeptidase (aminopeptidase A)	2.13	8.6	5.53
ENO3	enolase 3 (beta, muscle)	15.71	16.26	25.82
GP1BB	glycoprotein Ib (platelet), beta polypeptide	9.64	12.44	6.6
RXRG	retinoid X receptor, gamma	44.81	5.2	8.38
TXLNB	taxilin beta	12.08	42.74	94.56
MICAL2	microtubule associated monoxygenase, calponin and LIM domain containing 2	22.34	28.58	14.47
TBX20	T-box 20	35.59	494.79	11.08
IRX5	iroquois homeobox protein 5	6.3	4.88	4.13
MITF	microphthalmia-associated transcription factor	7.66	7.98	8.08
LOC400258	similar to RIKEN cDNA A530016L24 gene	10.32	239.37	410.45
TRIM55	tripartite motif-containing 55	4.49	2.23	2.28
CACNB2	calcium channel, voltage-dependent, beta 2 subunit	64.85	77.31	65.04
ADPRHL1	ADP-ribosylhydrolase like 1	28.87	19.57	43.55
RRAD	Ras-related associated with diabetes	58.34	122.1	37.89
UNQ739	von Willebrand factor C domain containing 2	5.27	18.51	74.94
LOC88523	CG016	5.53	2.62	6.72
AKAP13	A kinase (PRKA) anchor protein 13	3.49	12.77	11.92
ARHGAP26	Rho GTPase activating protein 26	44.47	99.76	63.61
ADAM11	ADAM metallopeptidase domain 11	9.65	7.74	2.6
C21orf34	chromosome 21 open reading frame 34	2.29	4.22	12.8
ACTC	actin, alpha, cardiac muscle 1	32.27	36.33	55.17
CMYA5	cardiomyopathy associated 5	38.44	68.51	288.92
SYPL2		169.62	90.02	251.91
FXYD1	FXYD domain containing ion transport regulator 1 (phospholemman)	4.57	12.11	98.52
DMD	dystrophin (muscular dystrophy, Duchenne and Becker types)	33.33	79.47	73.3
DPY19L2	dpy-19-like 2 (C. elegans)	3.06	17.29	9.86
RYR2	ryanodine receptor 2 (cardiac)	19.4	50.13	210.63
PPARGC1A	peroxisome proliferative activated receptor, gamma, coactivator 1, alpha	26.97	55.75	40.53
PROX1	prospero-related homeobox 1	9.41	13.42	11.62
ACTA2	actin, alpha 2, smooth muscle, aorta	12.97	9.36	6.8
FLJ20152	hypothetical protein FLJ20152	24.46	26.78	69.42
STX11	syntaxin 11	7.96	26.67	16.12
PPP1R13B	protein phosphatase 1, regulatory (inhibitor) subunit 13B	13.07	8.32	9.82
C3orf45	chromosome 3 open reading frame 45	106.2	117.61	128.1
RAB9B	RAB9B, member RAS oncogene family	5.77	5.55	8.69
CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)	12.74	8.02	6.36
DLC1	deleted in liver cancer 1	2.87	47.39	20.95
DUSP26	dual specificity phosphatase 26 (putative)	14.94	9.42	15.88
ZAK	sterile alpha motif and leucine zipper containing kinase AZK	12.24	11.74	20.65
CKMT2	creatine kinase, mitochondrial 2 (sarcomeric)	14.17	406.74	1257.98
C14orf44	chromosome 14 open reading frame 44	4.91	3.88	2.15
C10orf65	chromosome 10 open reading frame 65	17.43	69.41	174.3
CAMK2B	calcium/calmodulin-dependent protein kinase (CaM kinase) II beta	8.7	28.36	56.28
KBTBD3	kelch repeat and BTB (POZ) domain containing 3	6.05	9.49	21.61
FLJ20054	hypothetical protein FLJ20054	5.5	3.58	5.96
PCAF	p300/CBP-associated factor	2.45	2.6	7.07
REEP1	receptor accessory protein 1	3.69	2.81	2.13
PRG4	proteoglycan 4	23.16	4046.09	951.12
GPR22	G protein-coupled receptor 22	14.33	101.94	232.92
C9orf61	chromosome 9 open reading frame 61	101.28	44.03	12.6
PPP1R3C	protein phosphatase 1, regulatory (inhibitor) subunit 3C	9.57	32.67	17.55
LOC285513	GPRIN family member 3	41.43	142.26	31.51
CASQ1	calsequestrin 1 (fast-twitch, skeletal muscle)	147.93	101.31	89.68
FLJ11000	transmembrane protein 140	2.19	8.66	90.12
LIMS2	LIM and senescent cell antigen-like domains 2	23.13	47.46	34.91
HRC	histidine rich calcium binding protein	20.52	45.9	117.79
FHOD3	formin homology 2 domain containing 3	14.06	20.91	23.47
CISH	cytokine inducible SH2-containing protein	3.44	22.66	12.02
SLC5A1	solute carrier family 5 (sodium/glucose cotransporter), member 1	20.05	339.52	606.59
IRX3	iroquois homeobox protein 3	3.31	3.36	2.56
YAF2	YY1 associated factor 2	4.53	2.02	7
TMEM16E	transmembrane protein 16E	6.44	4.74	111.73
PTPLA	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member A	20.16	8.46	8.26
CACNB1	calcium channel, voltage-dependent, beta 1 subunit	24.58	16.34	3.1
FLJ43374	FLJ43374 protein	19.47	21.5	23.8
AMICA1	adhesion molecule, interacts with CXADR antigen 1	8.73	34.49	30.12
TMEM56	transmembrane protein 56	9.45	5.07	7.86
USH2A	Usher syndrome 2A (autosomal recessive, mild)	7.83	16.3	14.4
SDPR	serum deprivation response (phosphatidylserine binding protein)	2.75	51.97	75.55
TPM2	tropomyosin 2 (beta)	14.34	20.78	40.99
FCER1A	Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide	4.23	14.09	116.62
AFF3	AF4/FMR2 family, member 3	17.73	43.13	4.58
SMYD2	SET and MYND domain containing 2	3.39	4.38	10.76
TTN	titin	14.9	25.86	18.12
PTGER3	prostaglandin E receptor 3 (subtype EP3)	17.14	186.01	3.76
LOC340061	transmembrane protein 173	16.16	23.06	14.08
FLJ22655	hypothetical protein FLJ22655	3.98	8.24	25.27
ITIH5	inter-alpha (globulin) inhibitor H5	3.46	14.45	29.68
HBEGF	heparin-binding EGF-like growth factor	15.03	8.02	19.19
MXRA7	matrix-remodelling associated 7	4.46	3.66	2.63
TSC22D3	TSC22 domain family, member 3	5.01	20.79	18.8
ZAK	sterile alpha motif and leucine zipper containing kinase AZK	7.89	10.17	20.12
HSPB8	heat shock 22kDa protein 8	8.08	6.88	32.46
LOC347273	similar to RIKEN cDNA 2310039E09	2.67	5.26	8.88
CD36	CD36 molecule (thrombospondin receptor)	37.77	614.05	2532.11
PKP2	plakophilin 2	5.01	2.45	4.83
PPM1K	protein phosphatase 1K (PP2C domain containing)	8.56	7.43	24.45
MRAS	muscle RAS oncogene homolog	8.15	8.13	11.86
H2AFY	H2A histone family, member Y	3.06	3.18	2.7
CPT1B	carnitine palmitoyltransferase 1B (muscle)	10.48	39.19	52.54
PLEKHA7	pleckstrin homology domain containing, family A member 7	12.59	14.22	2.55
CUGBP2	CUG triplet repeat, RNA binding protein 2	7.68	12.15	7.61
ARHGAP24	Rho GTPase activating protein 24	5.5	22.98	11.88
FZD1	frizzled homolog 1 (Drosophila)	3.02	9.38	2.21
C1orf105	chromosome 1 open reading frame 105	6.8	3.02	4.06
MYOCD	myocardin	11.61	3.93	3.7
SH3BGR	SH3 domain binding glutamic acid-rich protein	11.96	13.89	8.03
NFIA	nuclear factor I/A	5.66	33.47	44.16
NEBL	nebulette	13.64	11.57	32.65
ESRRB	estrogen-related receptor beta	4.35	4.88	4.06
FLJ39370	chromosome 4 open reading frame 32	7.29	5.99	7.82
PALLD	palladin, cytoskeletal associated protein	4.08	3.91	5.42
CDGAP	Cdc42 GTPase-activating protein	7.68	8.26	6.81
PAX9	paired box gene 9	40.59	46.96	9.22
C8orf49	chromosome 8 open reading frame 49	17.44	11.43	4.96
PROS1	protein S (alpha)	4.88	2.38	2.97
ATOH8	atonal homolog 8 (Drosophila)	5.36	7.28	6.38
HIST2H2BE	histone 2, H2be	4.36	6.02	8.96
DES	desmin	13.97	547.66	2597.84
PDGFD	platelet derived growth factor D	4.66	5.73	7.27
COMMD3	COMM domain containing 3	3.38	2.4	2.91
BMPR2	bone morphogenetic protein receptor, type II (serine/threonine kinase)	3.07	3.01	3.67
ADSSL1	adenylosuccinate synthase like 1	4.06	32.35	54.51
OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	2.77	8.87	11.97
B3GALT3	beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)	9.13	180.44	55.29
CRIP1	cysteine-rich protein 1 (intestinal)	4.52	10.44	2.93
ART3	ADP-ribosyltransferase 3	15.71	21.86	75.3
LMO7	LIM domain 7	19.83	23.71	29.65
PRKAG2	protein kinase, AMP-activated, gamma 2 non-catalytic subunit	12.06	7.26	8.8
GPT	glutamic-pyruvate transaminase (alanine aminotransferase)	12.42	24.81	194.02
ABCA5	ATP-binding cassette, sub-family A (ABC1), member 5	12.35	126.48	231.17
ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	14.05	15.93	23.12
ABCA8	ATP-binding cassette, sub-family A (ABC1), member 8	7.73	33.7	38.51
SYTL3	synaptotagmin-like 3	5.94	8.92	7.43
PLA2G5	phospholipase A2, group V	50.51	746.74	1555.37
IQWD1	IQ motif and WD repeats 1	2.85	3.53	8.97
SPTA1	spectrin, alpha, erythrocytic 1 (elliptocytosis 2)	12.39	640.12	7.16
ADRB2	adrenergic, beta-2-, receptor, surface	17.16	13.41	7.92
FAM81A	family with sequence similarity 81, member A	11.81	279.38	422.84
CMYA3	cardiomyopathy associated 3	2.74	126.46	1276.93
GFOD1	glucose-fructose oxidoreductase domain containing 1	11.47	6.96	11.66
EPM2AIP1	EPM2A (laforin) interacting protein 1	2.2	2.88	2.07
ZNF540	zinc finger protein 540	2.44	4.94	11.42
FHL2	four and a half LIM domains 2	31.73	56.92	58.22
SIPA1L2	signal-induced proliferation-associated 1 like 2	3.56	2.8	2.4
ACSL1	acyl-CoA synthetase long-chain family member 1	6.15	5.08	24.36
GMPR	guanosine monophosphate reductase	6	12.04	15.93
ABTB2	ankyrin repeat and BTB (POZ) domain containing 2	15.46	3.34	3.13
ARHGAP24	Rho GTPase activating protein 24	2.16	4.33	3.47
FBXO9	F-box protein 9	14.25	47.06	4.53
PAG1	phosphoprotein associated with glycosphingolipid microdomains 1	7.45	6.7	2.66
FLJ39378	hypothetical protein FLJ39378	3.48	3.25	6.63
ABCA9	ATP-binding cassette, sub-family A (ABC1), member 9	2.9	14.66	17.9
ACE2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	2.89	13.07	8.78
SVIL	supervillin	4.91	3.15	4.73
AK1	adenylate kinase 1	2.9	2.71	5.3
TECTA	tectorin alpha	3.89	2.98	2.69
OXCT1	3-oxoacid CoA transferase 1	7.49	11.26	29.67
LYZ	lysozyme (renal amyloidosis)	4.37	7.41	3.75
RAPGEF4	Rap guanine nucleotide exchange factor (GEF) 4	5.24	11.39	12.78
YPEL2	yippee-like 2 (Drosophila)	4.48	4.18	3.91
RNF150	ring finger protein 150	3.95	10.89	7.77
ISOC1	isochorismatase domain containing 1	6.54	3.28	3.49
SCHIP1	schwannomin interacting protein 1	4.3	2.91	3.54
SCN2B	sodium channel, voltage-gated, type II, beta	2.28	7.85	11.48
TPO	thyroid peroxidase	9.65	21.82	173.75
WDR22	WD repeat domain 22	4.98	4.32	5.79
DUSP13	dual specificity phosphatase 13	5.29	4.14	8.24
SMYD2	SET and MYND domain containing 2	3.31	4.37	11.55
NMNAT1	nicotinamide nucleotide adenylyltransferase 1	3.09	3.14	3.78
SLC20A2	solute carrier family 20 (phosphate transporter), member 2	7.79	4.1	3.26
FLJ43339	FLJ43339 protein	13.49	27.14	66.75
SNTA1	syntrophin, alpha 1 (dystrophin-associated protein A1, 59kDa, acidic component)	13.39	16.47	14.91
FLJ46380	ring finger protein 207	15.24	39.75	13.49
FOLR2	folate receptor 2 (fetal)	9.35	983.07	1130.3
JAK2	Janus kinase 2 (a protein tyrosine kinase)	2.72	7.48	8.74
LOC375449	similar to microtubule associated testis specific serine/threonine protein kinase	9.95	15.6	52.4
CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	13.27	3.35	3.32
OGN	osteoglycin (osteoinductive factor, mimecan)	4.44	79.98	37.99
EPM2A	epilepsy, progressive myoclonus type 2A, Lafora disease (laforin)	6.62	5.44	13.36
MYL9	myosin, light polypeptide 9, regulatory	20.09	20.01	19.67
CCDC69	coiled-coil domain containing 69	9.74	4.23	9.53
NDRG2	NDRG family member 2	4.41	3.86	4.7
FRY	furry homolog (Drosophila)	2.53	8.26	13.42
MYL9	myosin, light polypeptide 9, regulatory	21.62	21.52	16.49
TMEM25	transmembrane protein 25	4.27	12.71	15.74
HSPB7	heat shock 27kDa protein family, member 7 (cardiovascular)	62.06	131.26	198.77
SLC25A30	solute carrier family 25, member 30	31.21	28.28	163.94
SSPN	sarcospan (Kras oncogene-associated gene)	10.36	34.02	24.84
CAV2	caveolin 2	8.48	10.61	20.38
PKIG	protein kinase (cAMP-dependent, catalytic) inhibitor gamma	8.58	21.25	445.17
ATP2B4	ATPase, Ca++ transporting, plasma membrane 4	4.61	4.44	4.5
UPB1	ureidopropionase, beta	2.26	6.51	3.62
CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	10.35	3.91	4.25
ADCY6	adenylate cyclase 6	2.91	5.42	2.2
SPTBN1	spectrin, beta, non-erythrocytic 1	4.16	9.95	12.45
ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	12.05	13.12	20.42
KCNJ8	potassium inwardly-rectifying channel, subfamily J, member 8	10.24	25.23	30.15
ANK2	ankyrin 2, neuronal	2.18	4.36	5.75
ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	2.06	2.26	3
MRPS36	mitochondrial ribosomal protein S36	5.61	2.93	5.76
DMN	desmuslin	9.45	24.02	98.23
SLC30A3	solute carrier family 30 (zinc transporter), member 3	28.79	17.52	10.2
ICA1	islet cell autoantigen 1, 69kDa	14.14	11.18	9.75
TRIM54	tripartite motif-containing 54	3.93	5.09	19.13
NNT	nicotinamide nucleotide transhydrogenase	4.09	3.59	7.99
ETFDH	electron-transferring-flavoprotein dehydrogenase	4.11	4.3	15.39
C10orf10	chromosome 10 open reading frame 10	3.36	5.96	4.23
SLC4A3	solute carrier family 4, anion exchanger, member 3	7.39	61.67	69.17
TANC1	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1	3.49	4.66	4.5
MGC23985	similar to AVLV472	3.33	8.06	9.06
TLL2	tolloid-like 2	2.17	94.44	288.52
RAFTLIN	raft-linking protein	8.72	4.87	5.17
C10orf71	chromosome 10 open reading frame 71	22.86	160.16	266.08
KCNH2	potassium voltage-gated channel, subfamily H (eag-related), member 2	4.44	4.55	5.81
RRAGD	Ras-related GTP binding D	8.23	7.39	17.45
BRP44L	brain protein 44-like	3.4	6.84	19.21
EBI2	Epstein-Barr virus induced gene 2 (lymphocyte-specific G protein-coupled receptor)	14.81	13.59	4.47
PPAPDC3	phosphatidic acid phosphatase type 2 domain containing 3	9.5	30.97	34.89
CASZ1	castor homolog 1, zinc finger (Drosophila)	4.83	3.85	5.56
DKFZp451A211	DKFZp451A211 protein	6.71	29.96	45.8
ABCA6		6.8	1144.52	1752.07
DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	2.15	3.7	2.02
