Gene symbol	Gene name	Gene ID	Median SLR (range)	Increased/decreased/not changed	References	Validated in Huang data set
EGFL5	Epidermal growth factor-like-domain, multiple 5	1955	1.41 (0.46–1.99)	16/0/0	NA	Yes
FRCP1	Likely orthologue of mouse fibronectin type III repeat containing protein 1	64838	3.075 (0.11–4.61)	11/0/5	NA	NA
FDFT1	Farnesyl-diphosphate farnesyltransferase 1	2222	?0.525 (?0.98–?0.09)	0/12/4	NA	NA
SFN	Stratifin	2810	1.655 (0.29–3.26)	12/0/4	-24	NA
SLPI	Secretory leukocyte protease inhibitor (antileukoproteinase)	6590	2.705 (?0.15–4.4)	14/0/2	NA	NA
TREM1	Triggering receptor expressed on myeloid cells 1	54210	2.21 (0.73–3.75)	12/0/4	NA	NA
DAT1	Neuronal specific transcription factor DAT1	55885	1.205 (0.32–2.01)	15/0/1	NA	NA
S100A14	S100 calcium-binding protein A14 (calgizzarin)		1.215 (0.58–1.71)	16/0/0	NA	NA
FLJ21511	Hypothetical protein FLJ21511	80157	?2.215 (?5.87–?0.8)	0/16/0	NA	NA
CCND2	Cyclin D2	894	1.31 (0.07–2.84)	13/0/3	NA	NA
CCND1	Cyclin D1 (PRAD1: parathyroid adenomatosis 1)	595	1.315 (0.56–2.84)	16/0/0	-25	Yes
SLC27A6	Solute carrier family 27 ( fatty acid transporter), member 6	28965	3.455 (?0.55–8.7)	14/0/2	NA	NA
EBAG9	Estrogen receptor binding site associated antigen 9	9166	?0.65 (?1.19–?0.13)	0/13/3	-30	NA
KRT19	Keratin 19	3880	3.225 (1.17–6.61)	16/0/0	-2	NA
ETV5	Ets variant gene 5 (ets-related molecule)	2119	1.575 (0.7–2.51)	16/0/0	NA	Yes
COMP	Cartilage oligomeric matrix protein	1311	3.835 (1.15–8.41)	15/0/1	NA	NA
CLDN10	Claudin 10	9071	2.32 (?0.34–4.32)	13/0/3	NA	NA
CCL15	Chemokine (C-C motif) ligand 15	6359	?1.305 (?2.5–0.52)	0/14/2	NA	NA
LCN2	Lipocalin 2 (oncogene 24p3)	3934	2.8 (?0.21–5.56)	13/0/3	NA	NA
TIMP1	Tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)	7076	2.325 (0.82–3.72)	16/0/0	(2, 17, 32)	NA
SLC25A15	Solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15	10166	?1.95 (?3.64–?0.44)	0/15/0	NA	NA
DUSP6	Dual specificity phosphatase 6	1848	1.88 (0.65–2.91)	16/0/0	-2	Yes
BC008967	Hypothetical gene BC008967	89927	1.035 (0.36–2.67)	13/0/3	NA	NA
COL8A2	Collagen, type VIII, ?2	1296	1.99 (?0.81–2.82)	15/1/0	NA	NA
GATM	Glycine amidinotransferase (L-arginine:glycine amidinotransferase)	2628	?1.735 (?2.59–?0.41)	0/15/1	NA	NA
QPCT	Glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	25797	3.545 (0.63–4.59)	15/0/1	NA	NA
NDP52	Nuclear domain 10 protein	10241	?0.61 (?1.08–?0.01)	0/13/2	NA	NA
PHF10	PHD finger protein 10	55274	?0.665 (?1.09–0.22)	0/11/5	NA	NA
S100A6	S100 calcium binding protein A6 (calcyclin)	6277	0.945 (0.37–1.7)	16/0/0	-29	NA
CTSC	Cathepsin C	1075	2.24 (0.87–3.5)	16/0/0	NA	Yes
DKFZp761K1423	Hypothetical protein DKFZp761K1423	55358	1.915 (1.49–2.92)	16/0/0	NA	NA
NPC2	Niemann-Pick disease, type C2	10577	1.4 (0.76–2.23)	16/0/0	NA	Yes
FLJ39207	C219-reactive peptide	348477	?0.75 (?1.47–0.26)	0/12/3	NA	NA
MLF1	Myeloid leukemia factor 1	4291	?1.135 (?2.04–?0.31)	0/13/2	NA	NA
KIAA1006	Tomosyn-like	9515	?0.585 (?1.3–?0.06)	0/4/12	NA	NA
	Calcium/calmodulin-dependent protein kinase II	55450	2.41 (0.97–4.05)	16/0/0	NA	NA
CHI3L1	Chitinase 3-like 1 (cartilage glycoprotein-39)	1116	4.45 (?0.08–6.76)	14/0/2	-2	Yes
HTCD37	TcD37 homologue	58497	?0.88 (?1.71–?0.16)	0/11/4	-7	NA
GPR51	G protein-coupled receptor 51	9568	2.445 (0.07–3.55)	15/0/1	NA	NA
CTH	Cystathionase (cystathionine ?-lyase)	1491	?1.365 (?2.33–?0.53)	0/15/1	NA	NA
S100A11	S100 calcium binding protein A11 (calgizzarin)	6282	1.335 (0.72–2.42)	15/0/0	NA	Yes
PLAU	Plasminogen activator, urokinase	5328	2.56 (0.93–4.17)	16/0/0	NA	NA
MVP	Major vault protein	9961	1.37 (0.63–2.49)	16/0/0	NA	NA
TCFL5	Transcription factor-like 5 (basic helix-loop-helix)	10732	?1.01 (?1.46–?0.31)	0/14/2	NA	NA
FLJ13946	Hypothetical protein FLJ13946	92104	?1.295 (?2.67–?0.61)	0/12/3	NA	NA
