Affy ID	Gene Rank	Gene Name	Symbol	Mean Fold-Difference†
204094_s_at	30	TSC22 domain family, member 2	TSC22D2	3.4
201939_at	31	polo-like kinase 2 (Drosophila)	PLK2	-3.8
203139_at	32	death-associated protein kinase 1	DAPK1	2.7
218839_at	33	hairy/enhancer-of-split related with YRPW motif 1	HEY1	-3.3
43511_s_at	34	MRNA; cDNA DKFZp762M127 (from clone DKFZp762M127)	---	2.0
201069_at	35	matrix metalloproteinase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	MMP2	-2.3
213478_at	36	kazrin	KIAA1026	-2.8
208399_s_at	37	endothelin 3	EDN3	5.3
219855_at	38	nudix (nucleoside diphosphate linked moiety X)-type motif 11	NUDT11	2.6
206059_at	39	zinc finger protein 91 (HPF7, HTF10)	ZNF91	4.0
202966_at	40	calpain 6	CAPN6	4.1
201578_at	41	podocalyxin-like	PODXL	3.3
208212_s_at	42	anaplastic lymphoma kinase (Ki-1)	ALK	3.3
221861_at	43	MRNA; cDNA DKFZp762M127 (from clone DKFZp762M127)	---	2.0
202747_s_at	44	integral membrane protein 2A	ITM2A	-3.3
205619_s_at	45	mesenchyme homeo box 1	MEOX1	3.1
210247_at	46	synapsin II	SYN2	2.3
206858_s_at	47	homeo box C6	HOXC6	-4.2
208025_s_at	48	high mobility group AT-hook 2 /// high mobility group AT-hook 2	HMGA2	-6.2
204036_at	49	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	EDG2	-2.6
214628_at	50	nescient helix loop helix 1	NHLH1	1.8
202603_at	51	A disintegrin and metalloproteinase domain 10	ADAM10	2.7
205848_at	52	growth arrest-specific 2	GAS2	-6.7
219480_at	53	snail homolog 1 (Drosophila)	SNAI1	1.5
204882_at	54	Rho GTPase activating protein 25	ARHGAP25	2.6
218502_s_at	55	trichorhinophalangeal syndrome I	TRPS1	-2.7
205372_at	56	pleiomorphic adenoma gene 1	PLAG1	-2.4
204823_at	57	neuron navigator 3	NAV3	-2.8
201628_s_at	58	Ras-related GTP binding A	RRAGA	1.7
203705_s_at	59	frizzled homolog 7 (Drosophila)	FZD7	-1.8
221958_s_at	60	chromosome 1 open reading frame 139	C1orf139	-2.3
218468_s_at	61	gremlin 1, cysteine knot superfamily, homolog (Xenopus laevis)	GREM1	5.7
201938_at	62	CDK2-associated protein 1	CDK2AP1	2.0
204239_s_at	63	neuronatin	NNAT	-4.7
205020_s_at	64	ADP-ribosylation factor-like 4	ARL4	-1.9
219090_at	65	solute carrier family 24 (sodium/potassium/calcium exchanger), member 3	SLC24A3	2.5
219894_at	66	MAGE-like 2	MAGEL2	-2.1
219521_at	67	beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P)	B3GAT1	2.6
221959_at	68	hypothetical protein MGC39325	MGC39325	-1.8
205068_s_at	69	Rho GTPase activating protein 26	ARHGAP26	2.3
201787_at	70	fibulin 1	FBLN1	-2.1
214724_at	71	DIX domain containing 1	DIXDC1	2.9
218184_at	72	tubby like protein 4	TULP4	2.0
202039_at	73	TGFB1-induced anti-apoptotic factor 1	TIAF1	2.2
205430_at	74	bone morphogenetic protein 5	BMP5	2.6
204105_s_at	75	neuronal cell adhesion molecule	NRCAM	3.1
212867_at	76	Nuclear receptor coactivator 2 /// Nuclear receptor coactivator 2	NCOA2	-2.4
202478_at	77	tribbles homolog 2 (Drosophila)	TRIB2	-2.9
213256_at	78	membrane-associated ring finger (C3HC4) 3	MARCH3	2.2
201983_s_at	79	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	EGFR	-3.0
202641_at	80	ADP-ribosylation factor-like 3	ARL3	2.0
218918_at	81	mannosidase, alpha, class 1C, member 1	MAN1C1	2.3
219438_at	82	hypothetical protein FLJ12650	FLJ12650	1.9
209163_at	83	cytochrome b-561	CYB561	2.4
212915_at	84	PDZ domain containing RING finger 3	PDZRN3	3.0
219632_s_at	85	transient receptor potential cation channel, subfamily V, member 1	TRPV1	2.2
218847_at	86	IGF-II mRNA-binding protein 2	IMP-2	-3.1
202345_s_at	87	fatty acid binding protein 5 (psoriasis-associated)	FABP5	-3.8
215014_at	88	MRNA; cDNA DKFZp547P042 (from clone DKFZp547P042)	---	2.4
220319_s_at	89	myosin regulatory light chain interacting protein	MYLIP	2.2
222278_at	90	hypothetical LOC389393	LOC389393	2.2
204639_at	91	adenosine deaminase	ADA	-1.6
218829_s_at	92	chromodomain helicase DNA binding protein 7	CHD7	2.5
209757_s_at	93	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	MYCN	2.7
204163_at	94	elastin microfibril interfacer 1	EMILIN1	-2.3
213825_at	95	oligodendrocyte lineage transcription factor 2	OLIG2	2.3
221539_at	96	eukaryotic translation initiation factor 4E binding protein 1	EIF4EBP1	-2.0
209693_at	97	astrotactin 2	ASTN2	1.8
218162_at	98	olfactomedin-like 3	OLFML3	-2.5
211704_s_at	99	spindlin family, member 2 /// spindlin family, member 2 /// spindlin-like protein 2 /// spindlin-like protein 2	SPIN2 /// SPIN-2	1.8
204513_s_at	100	engulfment and cell motility 1 (ced-12 homolog, C. elegans)	ELMO1	2.0
206446_s_at	101	elastase 2A	ELA2A	3.0
203667_at	102	tubulin-specific chaperone a	TBCA	2.1
219497_s_at	103	B-cell CLL/lymphoma 11A (zinc finger protein)	BCL11A	2.4
206645_s_at	104	nuclear receptor subfamily 0, group B, member 1	NR0B1	1.9
213712_at	105	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2	ELOVL2	2.8
201135_at	106	enoyl Coenzyme A hydratase, short chain, 1, mitochondrial	ECHS1	1.8
205273_s_at	107	pitrilysin metalloproteinase 1	PITRM1	1.9
202455_at	108	histone deacetylase 5	HDAC5	1.8
212686_at	109	protein phosphatase 1H (PP2C domain containing)	PPM1H	2.3
219926_at	110	popeye domain containing 3	POPDC3	2.3
219077_s_at	111	WW domain containing oxidoreductase	WWOX	1.8
212360_at	112	adenosine monophosphate deaminase 2 (isoform L)	AMPD2	-1.6
219148_at	113	PDZ binding kinase	PBK	3.4
205109_s_at	114	Rho guanine nucleotide exchange factor (GEF) 4	ARHGEF4	2.1
209568_s_at	115	ral guanine nucleotide dissociation stimulator-like 1	RGL1	-1.9
218913_s_at	116	GEM interacting protein	GMIP	1.5
212845_at	117	sterile alpha motif domain containing 4	SAMD4	2.0
221641_s_at	118	acyl-Coenzyme A thioesterase 2, mitochondrial	ACATE2	1.8
208928_at	119	P450 (cytochrome) oxidoreductase	POR	1.9
222154_s_at	120	DNA polymerase-transactivated protein 6	DNAPTP6	2.1
205946_at	121	vasoactive intestinal peptide receptor 2	VIPR2	1.7
217511_at	122	Kazal-type serine protease inhibitor domain 1	KAZALD1	-1.5
212747_at	123	ankyrin repeat and sterile alpha motif domain containing 1	ANKS1	2.4
204442_x_at	124	latent transforming growth factor beta binding protein 4	LTBP4	-1.8
204237_at	125	GULP, engulfment adaptor PTB domain containing 1	GULP1	-2.1
219511_s_at	126	synuclein, alpha interacting protein (synphilin)	SNCAIP	-1.8
213005_s_at	127	ankyrin repeat domain 15	ANKRD15	2.4
202947_s_at	128	glycophorin C (Gerbich blood group)	GYPC	1.9
213125_at	129	olfactomedin-like 2B	OLFML2B	2.7
221019_s_at	130	collectin sub-family member 12 /// collectin sub-family member 12	COLEC12	-2.1
209242_at	131	paternally expressed 3	PEG3	3.2
206745_at	132	homeo box C11	HOXC11	-1.5
218454_at	133	hypothetical protein FLJ22662	FLJ22662	-1.8
220911_s_at	134	KIAA1305	KIAA1305	-1.6
204623_at	135	trefoil factor 3 (intestinal)	TFF3	3.0
202679_at	136	Niemann-Pick disease, type C1	NPC1	1.9
204897_at	137	prostaglandin E receptor 4 (subtype EP4)	PTGER4	-3.0
206373_at	138	Zic family member 1 (odd-paired homolog, Drosophila)	ZIC1	-3.7
212989_at	139	transmembrane protein 23	TMEM23	3.0
212188_at	140	potassium channel tetramerisation domain containing 12 /// potassium channel tetramerisation domain containing 12	KCTD12	-2.8
220262_s_at	141	EGF-like-domain, multiple 9	EGFL9	1.4
219884_at	142	LIM homeobox 6	LHX6	-1.4
205818_at	143	deleted in bladder cancer 1	DBC1	1.7
213362_at	144	Protein tyrosine phosphatase, receptor type, D	PTPRD	2.3
205542_at	145	six transmembrane epithelial antigen of the prostate 1	STEAP1	-1.9
213519_s_at	146	laminin, alpha 2 (merosin, congenital muscular dystrophy)	LAMA2	-2.3
221065_s_at	147	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8	CHST8	1.7
218777_at	148	chromosome 8 open reading frame 20	C8orf20	-1.3
203680_at	149	protein kinase, cAMP-dependent, regulatory, type II, beta	PRKAR2B	3.1
219757_s_at	150	chromosome 14 open reading frame 101	C14orf101	2.1
212230_at	151	phosphatidic acid phosphatase type 2B	PPAP2B	-2.1
201121_s_at	152	progesterone receptor membrane component 1	PGRMC1	-1.6
219319_at	153	hypoxia inducible factor 3, alpha subunit	HIF3A	-1.7
219410_at	154	transmembrane protein 45A	TMEM45A	-2.5
219377_at	155	family with sequence similarity 59, member A	FAM59A	-1.5
206722_s_at	156	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 4	EDG4	1.4
209869_at	157	adrenergic, alpha-2A-, receptor /// adrenergic, alpha-2A-, receptor	ADRA2A	2.0
219181_at	158	lipase, endothelial	LIPG	2.6
202534_x_at	159	dihydrofolate reductase	DHFR	2.0
211052_s_at	160	tubulin-specific chaperone d /// tubulin-specific chaperone d	TBCD	1.8
202788_at	161	mitogen-activated protein kinase-activated protein kinase 3	MAPKAPK3	-1.3
204015_s_at	162	dual specificity phosphatase 4	DUSP4	-1.5
209829_at	163	chromosome 6 open reading frame 32	C6orf32	2.5
212509_s_at	164	matrix-remodelling associated 7	MXRA7	1.8
217992_s_at	165	EF-hand domain family, member D2	EFHD2	2.0
213009_s_at	166	tripartite motif-containing 37	TRIM37	1.7
206228_at	167	paired box gene 2	PAX2	1.9
218237_s_at	168	solute carrier family 38, member 1	SLC38A1	2.4
221578_at	169	Ras association (RalGDS/AF-6) domain family 4	RASSF4	1.9
205151_s_at	170	KIAA0644 gene product	KIAA0644	-2.2
206767_at	171	RNA binding motif, single stranded interacting protein	RBMS3	-1.4
219806_s_at	172	FN5 protein	FN5	-1.6
204824_at	173	endonuclease G	ENDOG	1.8
201204_s_at	174	Ribosome binding protein 1 homolog 180kDa (dog)	RRBP1	-2.0
207424_at	175	myogenic factor 5	MYF5	-3.1
202517_at	176	collapsin response mediator protein 1	CRMP1	2.4
210715_s_at	177	serine protease inhibitor, Kunitz type, 2	SPINT2	2.5
203417_at	178	microfibrillar-associated protein 2	MFAP2	-2.5
209091_s_at	179	SH3-domain GRB2-like endophilin B1	SH3GLB1	2.1
211373_s_at	180	presenilin 2 (Alzheimer disease 4)	PSEN2	2.1
209082_s_at	181	collagen, type XVIII, alpha 1	COL18A1	2.2
206167_s_at	182	Rho GTPase activating protein 6	ARHGAP6	2.4
201995_at	183	exostoses (multiple) 1	EXT1	-1.7
212313_at	184	CHMP family, member 7	CHMP7	-1.6
212563_at	185	block of proliferation 1	BOP1	-1.9
205811_at	186	polymerase (DNA directed), gamma 2, accessory subunit	POLG2	1.4
203233_at	187	interleukin 4 receptor	IL4R	1.8
207859_s_at	188	cholinergic receptor, nicotinic, beta polypeptide 3	CHRNB3	2.2
202575_at	189	cellular retinoic acid binding protein 2	CRABP2	-1.8
218394_at	190	leucine zipper domain protein	FLJ22386	1.3
202920_at	191	ankyrin 2, neuronal	ANK2	2.7
221260_s_at	192	chromosome 12 open reading frame 22 /// chromosome 12 open reading frame 22	C12orf22	1.9
210683_at	193	neurturin	NRTN	2.8
221447_s_at	194	glycosyltransferase 8 domain containing 2 /// glycosyltransferase 8 domain containing 2	GLT8D2	-1.7
213169_at	195	Clone TUA8 Cri-du-chat region mRNA	---	2.2
209692_at	196	eyes absent homolog 2 (Drosophila)	EYA2	2.1
211113_s_at	197	ATP-binding cassette, sub-family G (WHITE), member 1	ABCG1	1.3
204086_at	198	preferentially expressed antigen in melanoma	PRAME	-3.8
207077_at	199	elastase 2B	ELA2B	2.4
212110_at	200	solute carrier family 39 (zinc transporter), member 14	SLC39A14	-1.9
221004_s_at	201	integral membrane protein 2C /// integral membrane protein 2C	ITM2C	-1.9
204570_at	202	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)	COX7A1	3.4
213147_at	203	homeo box A10	HOXA10	-1.5
204798_at	204	v-myb myeloblastosis viral oncogene homolog (avian)	MYB	1.7
210227_at	205	discs, large (Drosophila) homolog-associated protein 2	DLGAP2	1.9
222111_at	206	Family with sequence similarity 63, member B	KIAA1164	1.5
220462_at	207	TGF-beta induced apotosis protein 2	TAIP-2	-1.6
202800_at	208	solute carrier family 1 (glial high affinity glutamate transporter), member 3	SLC1A3	-1.6
210139_s_at	209	peripheral myelin protein 22	PMP22	-2.2
218337_at	210	retinoic acid induced 16	RAI16	-1.4
58780_s_at	211	hypothetical protein FLJ10357	FLJ10357	-1.7
210946_at	212	phosphatidic acid phosphatase type 2A	PPAP2A	2.1
202098_s_at	213	HMT1 hnRNP methyltransferase-like 1 (S. cerevisiae)	HRMT1L1	1.5
212956_at	214	KIAA0882 protein	KIAA0882	2.4
221185_s_at	215	IQ motif containing G	IQCG	2.3
219154_at	216	Hypothetical LOC144404	---	1.5
218376_s_at	217	microtubule associated monoxygenase, calponin and LIM domain containing 1	MICAL1	2.3
212713_at	218	microfibrillar-associated protein 4	MFAP4	-2.0
214110_s_at	219	Similar to lymphocyte-specific protein 1	---	2.3
205376_at	220	inositol polyphosphate-4-phosphatase, type II, 105kDa	INPP4B	-1.4
204743_at	221	transgelin 3	TAGLN3	2.0
206090_s_at	222	disrupted in schizophrenia 1	DISC1	1.9
210464_at	223	DKFZP434F122 protein	DKFZP434F122	2.1
201126_s_at	224	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	MGAT1	-1.4
204483_at	225	enolase 3 (beta, muscle)	ENO3	2.9
209656_s_at	226	transmembrane protein 47	TMEM47	2.7
207144_s_at	227	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 1	CITED1	-1.7
218364_at	228	leucine rich repeat (in FLII) interacting protein 2	LRRFIP2	1.7
218125_s_at	229	coiled-coil domain containing 25	CCDC25	-1.3
218695_at	230	exosome component 4	EXOSC4	-1.5
219316_s_at	231	chromosome 14 open reading frame 58	C14orf58	2.0
208958_at	232	thioredoxin domain containing 4 (endoplasmic reticulum)	TXNDC4	1.2
212864_at	233	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2	CDS2	1.4
219427_at	234	FAT tumor suppressor homolog 4 (Drosophila)	FAT4	-1.4
214078_at	235	P21 (CDKN1A)-activated kinase 3	PAK3	2.6
200972_at	236	tetraspanin 3	TSPAN3	1.7
201455_s_at	237	aminopeptidase puromycin sensitive	NPEPPS	1.6
200636_s_at	238	protein tyrosine phosphatase, receptor type, F	PTPRF	1.9
219291_at	239	DTW domain containing 1	DTWD1	1.4
204653_at	240	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	TFAP2A	2.3
204121_at	241	growth arrest and DNA-damage-inducible, gamma	GADD45G	1.6
219038_at	242	MORC family CW-type zinc finger 4	MORC4	2.0
204334_at	243	Kruppel-like factor 7 (ubiquitous)	KLF7	1.5
212548_s_at	244	KIAA0826	KIAA0826	1.5
212838_at	245	dynamin binding protein	DNMBP	1.5
205417_s_at	246	dystroglycan 1 (dystrophin-associated glycoprotein 1)	DAG1	2.1
213752_at	247	hypothetical protein FLJ43806	FLJ43806	-1.3
209234_at	248	kinesin family member 1B	KIF1B	1.8
202894_at	249	EPH receptor B4	EPHB4	-1.4
207595_s_at	250	bone morphogenetic protein 1	BMP1	-1.3
213186_at	251	zinc finger DAZ interacting protein 3	DZIP3	1.9
217890_s_at	252	parvin, alpha	PARVA	-1.5
214874_at	253	---	---	1.6
213624_at	254	sphingomyelin phosphodiesterase, acid-like 3A	SMPDL3A	2.1
213848_at	255	Dual specificity phosphatase 7	DUSP7	-1.6
213113_s_at	256	solute carrier family 43, member 3	SLC43A3	-1.4
214721_x_at	257	CDC42 effector protein (Rho GTPase binding) 4	CDC42EP4	-1.3
209205_s_at	258	LIM domain only 4	LMO4	1.7
203071_at	259	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	SEMA3B	-1.4
218245_at	260	tsukushi	TSK	-1.2
206657_s_at	261	myogenic factor 3	MYOD1	1.8
208704_x_at	262	amyloid beta (A4) precursor-like protein 2	APLP2	-1.5
219548_at	263	zinc finger protein 16 (KOX 9)	ZNF16	-1.3
208779_x_at	264	discoidin domain receptor family, member 1	DDR1	1.4
207071_s_at	265	aconitase 1, soluble	ACO1	1.4
210380_s_at	266	calcium channel, voltage-dependent, alpha 1G subunit	CACNA1G	-1.3
205903_s_at	267	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	KCNN3	1.7
221556_at	268	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	CDC14B	1.8
219732_at	269	plasticity related gene 3	PRG-3	2.6
201369_s_at	270	zinc finger protein 36, C3H type-like 2	ZFP36L2	-1.7
218346_s_at	271	sestrin 1	SESN1	1.6
203438_at	272	stanniocalcin 2	STC2	1.9
204838_s_at	273	mutL homolog 3 (E. coli)	MLH3	1.5
211075_s_at	274	CD47 antigen (Rh-related antigen, integrin-associated signal transducer) /// CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	CD47	2.2
219736_at	275	tripartite motif-containing 36	TRIM36	1.8
207121_s_at	276	mitogen-activated protein kinase 6	MAPK6	1.6
209814_at	277	zinc finger protein 330	ZNF330	1.5
219953_s_at	278	chromosome 11 open reading frame 17	C11orf17	-1.3
218820_at	279	chromosome 14 open reading frame 132	C14orf132	2.2
202081_at	280	immediate early response 2	IER2	-1.6
200039_s_at	281	proteasome (prosome, macropain) subunit, beta type, 2 /// proteasome (prosome, macropain) subunit, beta type, 2	PSMB2	1.5
212144_at	282	unc-84 homolog B (C. elegans)	UNC84B	1.4
219825_at	283	cytochrome P450, family 26, subfamily B, polypeptide 1	CYP26B1	-1.7
206774_at	284	FERM and PDZ domain containing 1	FRMPD1	1.6
212830_at	285	EGF-like-domain, multiple 5	EGFL5	1.4
203729_at	286	epithelial membrane protein 3	EMP3	-2.1
204418_x_at	287	glutathione S-transferase M2 (muscle)	GSTM2	-1.4
213220_at	288	hypothetical protein LOC92482	LOC92482	1.4
212228_s_at	289	chromosome 16 open reading frame 49	C16orf49	1.4
201641_at	290	bone marrow stromal cell antigen 2	BST2	-2.3
203912_s_at	291	deoxyribonuclease I-like 1	DNASE1L1	1.5
207714_s_at	292	serine (or cysteine) proteinase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)	SERPINH1	-1.7
214719_at	293	hypothetical protein LOC283537	LOC283537	1.6
217955_at	294	BCL2-like 13 (apoptosis facilitator)	BCL2L13	1.5
204854_at	295	leprecan-like 2	LEPREL2	-1.3
207643_s_at	296	tumor necrosis factor receptor superfamily, member 1A	TNFRSF1A	-1.5
203765_at	297	grancalcin, EF-hand calcium binding protein /// grancalcin, EF-hand calcium binding protein	GCA	1.9
203354_s_at	298	pleckstrin and Sec7 domain containing 3	PSD3	-1.8
221523_s_at	299	Ras-related GTP binding D	RRAGD	2.2
207282_s_at	300	myogenin (myogenic factor 4)	MYOG	2.2
209288_s_at	301	CDC42 effector protein (Rho GTPase binding) 3	CDC42EP3	2.2
213456_at	302	sclerostin domain containing 1	SOSTDC1	-1.8
200629_at	303	tryptophanyl-tRNA synthetase	WARS	1.8
204078_at	304	synaptonemal complex protein SC65	SC65	-1.4
206306_at	305	ryanodine receptor 3	RYR3	2.9
212254_s_at	306	dystonin	DST	2.0
204642_at	307	endothelial differentiation, sphingolipid G-protein-coupled receptor, 1	EDG1	1.3
200814_at	308	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	PSME1	1.5
203725_at	309	growth arrest and DNA-damage-inducible, alpha	GADD45A	1.7
200813_s_at	310	platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit 45kDa	PAFAH1B1	1.4
201599_at	311	ornithine aminotransferase (gyrate atrophy)	OAT	1.8
208711_s_at	312	cyclin D1 (PRAD1: parathyroid adenomatosis 1)	CCND1	-1.5
203678_at	313	KIAA1018 protein	KIAA1018	1.5
204589_at	314	NUAK family, SNF1-like kinase, 1	NUAK1	-1.9
217833_at	315	synaptotagmin binding, cytoplasmic RNA interacting protein	SYNCRIP	1.6
202910_s_at	316	CD97 antigen	CD97	-1.3
209760_at	317	KIAA0922 protein	KIAA0922	1.5
212277_at	318	myotubularin related protein 4	MTMR4	1.5
65718_at	319	G protein-coupled receptor 124	GPR124	-1.3
218526_s_at	320	RAN guanine nucleotide release factor	RANGNRF	1.4
207414_s_at	321	proprotein convertase subtilisin/kexin type 6	PCSK6	1.6
218070_s_at	322	GDP-mannose pyrophosphorylase A	GMPPA	-1.3
219416_at	323	scavenger receptor class A, member 3	SCARA3	-1.3
201941_at	324	carboxypeptidase D	CPD	1.5
211518_s_at	325	bone morphogenetic protein 4	BMP4	-1.3
213050_at	326	cordon-bleu homolog (mouse)	COBL	1.9
209129_at	327	thyroid hormone receptor interactor 6	TRIP6	-1.6
208924_at	328	ring finger protein 11	RNF11	1.8
212632_at	329	Syntaxin 7	STX7	1.4
202734_at	330	thyroid hormone receptor interactor 10	TRIP10	-1.3
206940_s_at	331	POU domain, class 4, transcription factor 1	POU4F1	3.2
210249_s_at	332	nuclear receptor coactivator 1	NCOA1	1.7
218079_s_at	333	zinc finger protein 403	ZNF403	1.4
216835_s_at	334	docking protein 1, 62kDa (downstream of tyrosine kinase 1)	DOK1	-1.3
203643_at	335	Ets2 repressor factor	ERF	-1.3
218761_at	336	ring finger protein 111	RNF111	1.5
212356_at	337	KIAA0323	KIAA0323	-1.2
216044_x_at	338	hypothetical LOC388650	LOC388650	1.3
204214_s_at	339	RAB32, member RAS oncogene family	RAB32	-1.3
218618_s_at	340	fibronectin type III domain containing 3B	FNDC3B	-2.0
200942_s_at	341	heat shock factor binding protein 1	HSBP1	1.5
219648_at	342	dilute suppressor	DSU	1.9
208112_x_at	343	EH-domain containing 1	EHD1	-1.4
220334_at	344	regulator of G-protein signalling 17	RGS17	1.5
219215_s_at	345	solute carrier family 39 (zinc transporter), member 4	SLC39A4	-1.3
217902_s_at	346	hect domain and RLD 2	HERC2	1.7
202429_s_at	347	protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform (calcineurin A alpha)	PPP3CA	1.9
221591_s_at	348	family with sequence similarity 64, member A	FAM64A	1.6
204579_at	349	fibroblast growth factor receptor 4	FGFR4	2.1
205260_s_at	350	acylphosphatase 1, erythrocyte (common) type	ACYP1	1.6
221035_s_at	351	testis expressed sequence 14 /// testis expressed sequence 14	TEX14	2.1
214394_x_at	352	---	---	-1.4
202761_s_at	353	spectrin repeat containing, nuclear envelope 2	SYNE2	1.8
208786_s_at	354	microtubule-associated protein 1 light chain 3 beta	MAP1LC3B	1.5
201380_at	355	cartilage associated protein	CRTAP	-1.3
200708_at	356	glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)	GOT2	1.3
213269_at	357	zinc finger protein 248	ZNF248	1.4
221740_x_at	358	C114 SLIT-like testicular protein /// Hypothetical LOC388397	LOC474170	1.3
204550_x_at	359	glutathione S-transferase M1	GSTM1	-1.3
204060_s_at	360	protein kinase, X-linked /// protein kinase, Y-linked	PRKX /// PRKY	1.6
209984_at	361	jumonji domain containing 2C	JMJD2C	1.2
209274_s_at	362	HESB like domain containing 2	HBLD2	1.6
219118_at	363	FK506 binding protein 11, 19 kDa	FKBP11	-1.5
218902_at	364	Notch homolog 1, translocation-associated (Drosophila)	NOTCH1	1.5
209983_s_at	365	neurexin 2	NRXN2	-1.3
204119_s_at	366	adenosine kinase	ADK	1.5
212677_s_at	367	KIAA0582	KIAA0582	1.8
205088_at	368	chromosome X open reading frame 6	CXorf6	1.5
219203_at	369	chromosome 14 open reading frame 122	C14orf122	1.3
218167_at	370	hypothetical protein LOC51321	LOC51321	1.6
218628_at	371	CGI-116 protein	CGI-116	1.5
216397_s_at	372	block of proliferation 1	BOP1	-1.3
202145_at	373	lymphocyte antigen 6 complex, locus E	LY6E	-1.6
201286_at	374	syndecan 1	SDC1	-1.5
213327_s_at	375	ubiquitin specific protease 12	USP12	1.4
215056_at	376	Clone 23695 mRNA sequence	---	1.4
52940_at	377	single Ig IL-1R-related molecule	SIGIRR	-1.3
213435_at	378	SATB family member 2	SATB2	2.2
209356_x_at	379	EGF-containing fibulin-like extracellular matrix protein 2	EFEMP2	-1.6
212870_at	380	Ras association (RalGDS/AF-6) domain family 3	RASSF3	1.5
201905_s_at	381	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like	CTDSPL	-1.2
203488_at	382	latrophilin 1	LPHN1	-1.3
218139_s_at	383	chromosome 14 open reading frame 108	C14orf108	1.7
212538_at	384	dedicator of cytokinesis 9	DOCK9	2.2
215717_s_at	385	fibrillin 2 (congenital contractural arachnodactyly)	FBN2	-1.2
209004_s_at	386	F-box and leucine-rich repeat protein 5	FBXL5	1.8
205226_at	387	platelet-derived growth factor receptor-like	PDGFRL	-1.7
216836_s_at	388	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	ERBB2	-1.4
