Probe set	Symbol	Name	Fold-difference
206310_at	SPINK2	serine peptidase inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)	6.5416276
1552910_at	SIGLEC11	sialic acid binding Ig-like lectin 11	6.5275162
211786_at	TNFRSF9	tumor necrosis factor receptor superfamily, member 9 /// tumor necrosis factor receptor superfamily, member 9	6.4448413
208003_s_at	NFAT5	nuclear factor of activated T-cells 5, tonicity-responsive	6.4037874
214022_s_at	IFITM1	interferon induced transmembrane protein 1 (9-27)	6.3980395
1554508_at	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1	6.3718829
204179_at	MB	myoglobin	6.3303269
213603_s_at	RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	6.3155934
226034_at	---	Homo sapiens, clone IMAGE:3881549, mRNA	6.3124591
1558654_at	LOC645085	similar to protein phosphatase 1H (PP2C domain containing)	6.2533676
206099_at	PRKCH	protein kinase C, eta	6.2285152
203603_s_at	ZFHX1B	zinc finger homeobox 1b	6.2133692
1555691_a_at	KLRC4 /// KLRK1	killer cell lectin-like receptor subfamily C, member 4 /// killer cell lectin-like receptor subfamily K, member 1	6.2115217
1554899_s_at	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	6.2038116
221840_at	PTPRE	protein tyrosine phosphatase, receptor type, E	6.1168541
1559425_at	PRKCH	Protein kinase C, eta	6.1027145
218974_at	FLJ10159	hypothetical protein FLJ10159	6.0389017
240747_at	---	---	6.0097213
202638_s_at	ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	5.9761582
227198_at	AFF3	AF4/FMR2 family, member 3	5.946224
219519_s_at	SIGLEC1	sialic acid binding Ig-like lectin 1, sialoadhesin /// sialic acid binding Ig-like lectin 1, sialoadhesin	5.9252769
213093_at	PRKCA	protein kinase C, alpha	5.9237615
201743_at	CD14	CD14 molecule /// CD14 molecule	5.9144242
206120_at	CD33	CD33 molecule	5.8525303
219869_s_at	SLC39A8	solute carrier family 39 (zinc transporter), member 8	5.8412565
214084_x_at	LOC648998 /// LOC653361 /// LOC653840	similar to Neutrophil cytosol factor 1 (NCF-1) (Neutrophil NADPH oxidase factor 1) (47 kDa neutrophil oxidase factor) (p47-phox) (NCF-47K) (47 kDa autosomal chronic granulomatous disease protein) (NOXO2) /// similar to Neutrophil cytosol factor 1 (NCF-1) (Neutrophil NADPH oxidase factor 1) (47 kDa neutrophil oxidase factor) (p47-phox) (NCF-47K) (47 kDa autosomal chronic granulomatous disease protein) (NOXO2) /// similar to Neutrophil cytosol factor 1 (NCF-1) (Neutrophil NADPH oxidase factor 1) (47 kDa neutrophil oxidase factor) (p47-phox) (NCF-47K) (47 kDa autosomal chronic granulomatous disease protein) (NOXO2)	5.8212932
230127_at	---	Transcribed locus	5.803892
207536_s_at	TNFRSF9	tumor necrosis factor receptor superfamily, member 9	5.7602656
205098_at	CCR1	chemokine (C-C motif) receptor 1	5.7376583
242110_at	ARHGAP5	Rho GTPase activating protein 5	5.724694
1569987_at	DLEU7	Deleted in lymphocytic leukemia, 7	5.7117984
242957_at	VWCE	von Willebrand factor C and EGF domains	5.6437979
215485_s_at	ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	5.6199903
237493_at	IL22RA2	interleukin 22 receptor, alpha 2	5.6068516
242677_at	NRP1	Neuropilin 1	5.5159837
235881_at	FMNL2	formin-like 2	5.4951726
221538_s_at	PLXNA1	plexin A1	5.4918929
201315_x_at	IFITM2	interferon induced transmembrane protein 2 (1-8D)	5.4762952
205794_s_at	NOVA1	neuro-oncological ventral antigen 1	5.3962324
213201_s_at	TNNT1	troponin T type 1 (skeletal, slow)	5.3782526
1556697_at	GRIN3	G protein-regulated inducer of neurite outgrowth 3	5.3671992
220330_s_at	SAMSN1	SAM domain, SH3 domain and nuclear localisation signals, 1	5.3108471
208438_s_at	FGR	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	5.308054
1560861_at	SCAP1	Src family associated phosphoprotein 1	5.3040662
1556656_at	FMNL2	Formin-like 2	5.2930854
203868_s_at	VCAM1	vascular cell adhesion molecule 1	5.2781704
205844_at	VNN1	vanin 1 /// vanin 1	5.247343
1558140_at	PLXNA1	plexin A1	5.2392025
204232_at	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	5.2269265
207610_s_at	EMR2	egf-like module containing, mucin-like, hormone receptor-like 2	5.2098012
219829_at	ITGB1BP2	integrin beta 1 binding protein (melusin) 2	5.1847559
210510_s_at	NRP1	neuropilin 1	5.1761004
226122_at	PLEKHG1	pleckstrin homology domain containing, family G (with RhoGef domain) member 1	5.1679078
218764_at	PRKCH	protein kinase C, eta	5.1667239
240652_at	---	---	5.163568
223599_at	TRIM6	tripartite motif-containing 6	5.1635522
204951_at	RHOH	ras homolog gene family, member H	5.1438303
205735_s_at	AFF3	AF4/FMR2 family, member 3	5.1280221
202075_s_at	ITGAV /// PLTP	integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51) /// phospholipid transfer protein	5.1069003
215194_at	PRKCA	protein kinase C, alpha	5.1052307
212686_at	PPM1H	protein phosphatase 1H (PP2C domain containing)	5.102019
1561899_at	DCAL1	Dendritic cell-associated lectin-1	5.0940323
218950_at	CENTD3	centaurin, delta 3	5.0931218
205368_at	KIAA0773	KIAA0773 gene product	5.0905267
203921_at	CHST2	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2	5.0866264
240572_s_at	LOC374443	CLR pseudogene	5.0691715
239296_at	ZFHX1B	Zinc finger homeobox 1b	5.06384
238617_at	---	CDNA FLJ38181 fis, clone FCBBF1000125	5.0401426
32137_at	JAG2	jagged 2	4.9826052
243967_at	AFF3	AF4/FMR2 family, member 3	4.9804416
216511_s_at	TCF7L2	transcription factor 7-like 2 (T-cell specific, HMG-box)	4.97969
229937_x_at	LILRB1	Leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	4.9781663
205831_at	CD2	CD2 molecule /// CD2 molecule	4.9774605
219584_at	PLA1A	phospholipase A1 member A	4.9522355
212958_x_at	PAM	peptidylglycine alpha-amidating monooxygenase	4.9514114
207039_at	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	4.9404334
207075_at	CIAS1	cold autoinflammatory syndrome 1	4.9398652
201601_x_at	IFITM1	interferon induced transmembrane protein 1 (9-27)	4.9386595
242419_at	---	Transcribed locus	4.9308635
214450_at	CTSW	cathepsin W (lymphopain) /// cathepsin W (lymphopain)	4.9172355
201195_s_at	SLC7A5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	4.9128177
1554113_a_at	SLC4A8	solute carrier family 4, sodium bicarbonate cotransporter, member 8	4.9033777
216966_at	ITGA2B	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)	4.8972661
217983_s_at	RNASET2	ribonuclease T2	4.8780269
200989_at	HIF1A	hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	4.8569013
216950_s_at	FCGR1A	Fc fragment of IgG, high affinity Ia, receptor (CD64)	4.8543228
210692_s_at	SLC43A3	solute carrier family 43, member 3	4.8466979
240738_at	---	Transcribed locus	4.8449271
206222_at	TNFRSF10C	tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain	4.8379001
205821_at	KLRK1	killer cell lectin-like receptor subfamily K, member 1	4.8255531
207872_s_at	LILRB1 /// LILRA1	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1 /// leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1	4.8150128
1559502_s_at	LRRC25	leucine rich repeat containing 25	4.8017197
216504_s_at	SLC39A8	Solute carrier family 39 (zinc transporter), member 8	4.7821283
236442_at	DPF3	D4, zinc and double PHD fingers, family 3	4.7529983
206214_at	PLA2G7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma) /// phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	4.7232969
232376_at	PCCA	Propionyl Coenzyme A carboxylase, alpha polypeptide	4.6929433
223767_at	GPR84	G protein-coupled receptor 84	4.6826618
230846_at	ZBTB25	Zinc finger and BTB domain containing 25	4.6715548
1554901_at	---	FGF2-associated protein GAFA1 (GAFA1)	4.6699066
219465_at	APOA2	apolipoprotein A-II	4.658024
211163_s_at	TNFRSF10C	tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain	4.6453382
219183_s_at	PSCD4	pleckstrin homology, Sec7 and coiled-coil domains 4	4.6290568
207224_s_at	SIGLEC7	sialic acid binding Ig-like lectin 7	4.6189279
1564077_at	LOC285513	Hypothetical protein LOC285513	4.5955223
238372_s_at	EPS8	Epidermal growth factor receptor pathway substrate 8	4.5354469
212875_s_at	C21orf25	chromosome 21 open reading frame 25	4.5345002
224256_at	---	Clone FLB7723 PRO2055	4.5317506
240616_at	---	Transcribed locus, moderately similar to NP_055301.1 neuronal thread protein AD7c-NTP [Homo sapiens]	4.5304957
231124_x_at	LY9	lymphocyte antigen 9	4.5238008
1557797_a_at	ZFHX1B	Zinc finger homeobox 1b	4.5170861
1561365_at	NRP1	Neuropilin 1	4.5121609
225931_s_at	C17orf27	chromosome 17 open reading frame 27	4.5010854
228702_at	FLJ43663 /// LOC641825 /// LOC647017	hypothetical protein FLJ43663 /// hypothetical protein LOC641825 /// hypothetical protein LOC647017	4.4983811
205099_s_at	CCR1	chemokine (C-C motif) receptor 1	4.4939037
209295_at	TNFRSF10B	tumor necrosis factor receptor superfamily, member 10b	4.4911146
239449_at	ANKH	Ankylosis, progressive homolog (mouse)	4.4867026
239697_x_at	FLJ42117	FLJ42117 protein	4.4796634
201030_x_at	LDHB	lactate dehydrogenase B	4.478072
210785_s_at	C1orf38	chromosome 1 open reading frame 38	4.4561563
244461_at	SPECC1	spectrin domain with coiled-coils 1	4.4212664
216908_x_at	LOC94431	RNA polymerase I transcription factor RRN3-like	4.4141054
232286_at	AFF3	AF4/FMR2 family, member 3	4.3960071
209784_s_at	JAG2	jagged 2	4.3878479
1566967_at	SPRY4	Sprouty homolog 4 (Drosophila)	4.3819355
241750_x_at	USP6NL	USP6 N-terminal like	4.3774339
201641_at	BST2	bone marrow stromal cell antigen 2	4.3614426
1555638_a_at	SAMSN1	SAM domain, SH3 domain and nuclear localisation signals, 1	4.3475355
244695_at	GHRL	Ghrelin/obestatin preprohormone	4.3363546
242318_at	FLJ90013	Hypothetical protein FLJ90013	4.3327984
1568830_at	RBMS1	RNA binding motif, single stranded interacting protein 1	4.3120974
213564_x_at	LDHB	lactate dehydrogenase B	4.3055983
230663_at	FMNL2	Formin-like 2	4.2770528
231329_at	ITPR1	Inositol 1,4,5-triphosphate receptor, type 1	4.2727937
206923_at	PRKCA	protein kinase C, alpha	4.2460437
204042_at	WASF3	WAS protein family, member 3	4.2397576
239331_at	FLJ43663	Hypothetical protein FLJ43663	4.2312757
215092_s_at	NFAT5	nuclear factor of activated T-cells 5, tonicity-responsive	4.1786917
204425_at	ARHGAP4	Rho GTPase activating protein 4	4.1738896
1556778_at	---	Full length insert cDNA clone YZ87H02	4.1666998
209829_at	C6orf32	chromosome 6 open reading frame 32	4.1585462
204070_at	RARRES3	retinoic acid receptor responder (tazarotene induced) 3	4.155954
222240_s_at	ISYNA1	myo-inositol 1-phosphate synthase A1	4.1514955
220096_at	RNASET2	ribonuclease T2	4.1122734
1566879_at	AFF3	AF4/FMR2 family, member 3	4.0977214
211031_s_at	CYLN2	cytoplasmic linker 2 /// cytoplasmic linker 2	4.0874661
204158_s_at	TCIRG1	T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3	4.0368449
206707_x_at	C6orf32	chromosome 6 open reading frame 32	4.0315288
236281_x_at	HTR7	5-hydroxytryptamine (serotonin) receptor 7 (adenylate cyclase-coupled)	4.0251632
228945_s_at	SLC39A8	Solute carrier family 39 (zinc transporter), member 8	4.0213861
209324_s_at	RGS16	regulator of G-protein signalling 16	4.0211314
217984_at	RNASET2	ribonuclease T2	4.001636
219628_at	ZMAT3	zinc finger, matrin type 3	3.9794661
1553849_at	CCDC26	coiled-coil domain containing 26	3.9657912
241844_x_at	TMEM156	transmembrane protein 156	3.9575717
241577_at	AFF3	AF4/FMR2 family, member 3	3.9510297
204881_s_at	UGCG	UDP-glucose ceramide glucosyltransferase	3.9314429
219874_at	SLC12A8	solute carrier family 12 (potassium/chloride transporters), member 8	3.9235074
210146_x_at	LILRB2	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2	3.9193757
207376_at	VENTX	VENT homeobox homolog (Xenopus laevis)	3.910994
207571_x_at	C1orf38	chromosome 1 open reading frame 38	3.8957065
209581_at	HRASLS3	HRAS-like suppressor 3	3.8865966
1556747_a_at	---	CDNA FLJ39784 fis, clone SPLEN2002314	3.8865005
210660_at	LILRA1	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1 /// leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1	3.8851884
226876_at	FAM101B	family with sequence similarity 101, member B	3.8813571
201920_at	SLC20A1	solute carrier family 20 (phosphate transporter), member 1	3.8662716
243509_at	BTG1	B-cell translocation gene 1, anti-proliferative	3.8660223
237891_at	MDM2	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)	3.8537543
216249_at	PVT1	Pvt1 oncogene homolog, MYC activator (mouse)	3.8534536
229373_at	---	Transcribed locus	3.8198664
213167_s_at	SLC5A3	solute carrier family 5 (inositol transporters), member 3	3.8194381
238733_at	CPM	Carboxypeptidase M	3.8137253
219424_at	EBI3	Epstein-Barr virus induced gene 3	3.80454
1567862_at	DNAH14	dynein, axonemal, heavy polypeptide 14	3.8029382
232686_at	SIGLECP3	sialic acid binding Ig-like lectin, pseudogene 3	3.8003046
230494_at	---	---	3.7867206
1560156_at	CLEC2D	C-type lectin domain family 2, member D	3.7844395
236293_at	RHOH	Ras homolog gene family, member H	3.7768096
237647_at	GHRL	Ghrelin/obestatin preprohormone	3.7721389
235571_at	---	Transcribed locus, moderately similar to NP_060312.1 hypothetical protein FLJ20489 [Homo sapiens]	3.7697838
212203_x_at	IFITM3	interferon induced transmembrane protein 3 (1-8U)	3.7694392
244322_at	LOC641798 /// LOC646329 /// LOC648716	hypothetical protein LOC641798 /// hypothetical protein LOC646328 /// hypothetical protein LOC648716	3.7678251
235357_at	DPF3	D4, zinc and double PHD fingers, family 3	3.7626735
217513_at	C17orf60	chromosome 17 open reading frame 60	3.7530369
238371_s_at	EPS8	Epidermal growth factor receptor pathway substrate 8	3.7367452
219885_at	SLFN12	schlafen family member 12	3.7299027
217892_s_at	LIMA1	LIM domain and actin binding 1	3.7203873
219863_at	HERC5	hect domain and RLD 5	3.7197417
227059_at	GPC6	Glypican 6	3.6991412
206160_at	APOBEC2	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2	3.6881748
205511_at	FLJ10038	hypothetical protein FLJ10038	3.6847827
226905_at	FAM101B	family with sequence similarity 101, member B	3.6762041
221765_at	---	---	3.6607529
233031_at	ZFHX1B	zinc finger homeobox 1b	3.6547506
218007_s_at	RPS27L	ribosomal protein S27-like	3.6506228
211816_x_at	FCAR	Fc fragment of IgA, receptor for	3.6482483
229295_at	LOC150166	hypothetical protein LOC150166	3.6384222
205483_s_at	ISG15	ISG15 ubiquitin-like modifier	3.6358197
204924_at	TLR2	toll-like receptor 2	3.6262095
236846_at	LOC284757	hypothetical protein LOC284757	3.6237005
1561939_at	DYNC2H1	dynein, cytoplasmic 2, heavy chain 1	3.6081581
242866_x_at	POU2F2	POU domain, class 2, transcription factor 2	3.6029423
1556698_a_at	GRIN3	G protein-regulated inducer of neurite outgrowth 3	3.5872089
209626_s_at	OSBPL3	oxysterol binding protein-like 3	3.5601201
1557262_at	---	CDNA FLJ35536 fis, clone SPLEN2002451	3.558484
1554020_at	BICD1	bicaudal D homolog 1 (Drosophila)	3.556989
223730_at	GPC6	glypican 6	3.5568349
233011_at	ANXA1	Annexin A1	3.551669
209906_at	C3AR1	complement component 3a receptor 1	3.5423506
209301_at	CA2	carbonic anhydrase II	3.5389377
208981_at	PECAM1	platelet/endothelial cell adhesion molecule (CD31 antigen)	3.5272569
202856_s_at	SLC16A3	solute carrier family 16, member 3 (monocarboxylic acid transporter 4)	3.5205783
240052_at	ITPR1	inositol 1,4,5-triphosphate receptor, type 1	3.5058963
230802_at	---	---	3.5052196
240544_at	ZFAND3	Zinc finger, AN1-type domain 3	3.4968647
205608_s_at	ANGPT1	angiopoietin 1	3.4910183
222487_s_at	RPS27L	ribosomal protein S27-like	3.4878495
1566968_at	SPRY4	Sprouty homolog 4 (Drosophila)	3.4864888
224967_at	UGCG	UDP-glucose ceramide glucosyltransferase	3.4802207
242952_at	HDAC9	Histone deacetylase 9	3.474824
210279_at	GPR18	G protein-coupled receptor 18	3.4729521
233500_x_at	CLEC2D	C-type lectin domain family 2, member D	3.4669394
233465_at	SPRED1	Sprouty-related, EVH1 domain containing 1	3.4649482
209267_s_at	SLC39A8	solute carrier family 39 (zinc transporter), member 8	3.4555689
213522_s_at	SLC16A3	Solute carrier family 16 (monocarboxylic acid transporters), member 3	3.4481096
202637_s_at	ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	3.4480485
232722_at	RNASET2	ribonuclease T2	3.4474979
219479_at	KDELC1	KDEL (Lys-Asp-Glu-Leu) containing 1	3.4355805
213113_s_at	SLC43A3	solute carrier family 43, member 3	3.4344929
243464_at	ZFHX1B	Zinc finger homeobox 1b	3.4292585
203348_s_at	ETV5	ets variant gene 5 (ets-related molecule)	3.4277048
219634_at	CHST11	carbohydrate (chondroitin 4) sulfotransferase 11	3.4244227
238935_at	RPS27L	ribosomal protein S27-like	3.4163742
243865_x_at	GPC6	Glypican 6	3.4161601
204015_s_at	DUSP4	dual specificity phosphatase 4	3.4067655
207839_s_at	C9orf127	chromosome 9 open reading frame 127	3.4053145
227345_at	TNFRSF10D	tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain	3.3899631
233911_s_at	PPM1H	protein phosphatase 1H (PP2C domain containing)	3.3881005
205453_at	HOXB2	homeobox B2	3.3868408
209627_s_at	OSBPL3	oxysterol binding protein-like 3	3.3763061
228097_at	MYLIP	myosin regulatory light chain interacting protein	3.3761533
205376_at	INPP4B	inositol polyphosphate-4-phosphatase, type II, 105kDa	3.3753845
226517_at	BCAT1	branched chain aminotransferase 1, cytosolic	3.3657419
204205_at	APOBEC3G	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G	3.3570059
214854_at	---	CDNA FLJ33701 fis, clone BRAWH2005524	3.3518224
201666_at	TIMP1	TIMP metallopeptidase inhibitor 1	3.3492158
238619_at	FLJ43663	Hypothetical protein FLJ43663	3.3486229
202609_at	EPS8	epidermal growth factor receptor pathway substrate 8	3.3403333
212975_at	DENND3	DENN/MADD domain containing 3	3.3385207
233033_at	ZFHX1B	Zinc finger homeobox 1b	3.3379934
1552911_at	SIGLEC11	sialic acid binding Ig-like lectin 11	3.3377377
212974_at	DENND3	DENN/MADD domain containing 3	3.3307919
216098_s_at	HTR7 /// HTR7P	5-hydroxytryptamine (serotonin) receptor 7 (adenylate cyclase-coupled) /// 5-hydroxytryptamine (serotonin) receptor 7 pseudogene	3.3202418
203379_at	RPS6KA1	ribosomal protein S6 kinase, 90kDa, polypeptide 1	3.3137694
229040_at	ITGB2	Integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	3.313428
219161_s_at	CKLF	chemokine-like factor	3.3101512
221060_s_at	TLR4	toll-like receptor 4 /// toll-like receptor 4	3.2988083
243488_at	---	Transcribed locus	3.2968067
205789_at	CD1D	CD1d molecule /// CD1d molecule	3.2880801
238869_at	HIF1A	Hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	3.2733237
1564796_at	EMP1	epithelial membrane protein 1	3.2657974
227749_at	POU2F2	POU domain, class 2, transcription factor 2	3.2492998
230276_at	---	---	3.2460473
1555738_at	CMTM1	CKLF-like MARVEL transmembrane domain containing 1	3.244921
216956_s_at	ITGA2B	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)	3.2419806
1552295_a_at	SLC39A13	solute carrier family 39 (zinc transporter), member 13	3.2386402
206360_s_at	SOCS3	suppressor of cytokine signaling 3	3.2340475
232716_at	EDG2	Endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	3.2313753
205366_s_at	HOXB6	homeobox B6	3.2308976
239060_at	EHD1	EH-domain containing 1	3.2296803
