Refseq	Geneid	Genesymbol	Gene Name	Fold Change	q-value(%)	Negative Fold Change
NM_006688	10882	C1QL1	complement component 1, q subcomponent-like 1	5.64826393	9.512608769	NA
NM_030968	114897	C1QTNF1	C1q and tumor necrosis factor related protein 1	0.637322508	9.571254529	-1.569064308
NM_198594	114897	C1QTNF1	C1q and tumor necrosis factor related protein 1	0.637322508	9.571254529	-1.569064308
NM_198593	114897	C1QTNF1	C1q and tumor necrosis factor related protein 1	0.637322508	9.571254529	-1.569064308
NM_000064	718	C3	complement component 3	0.018297927	0	-54.65099863
NM_018452	55836	C6orf35	chromosome 6 open reading frame 35	0.594284873	9.512608769	-1.68269469
NM_024112	79095	C9orf16	chromosome 9 open reading frame 16	0.518124973	8.375107745	-1.930036288
NM_020925	57685	CACHD1	cache domain containing 1	0.258511952	5.640020111	-3.868293099
NM_006449	10602	CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3	0.398048483	4.073347858	-2.51225678
NM_018719	55536	CDCA7L	cell division cycle associated 7-like	3.107048629	6.70904353	NA
NM_020244	56994	CHPT1	choline phosphotransferase 1	0.417819012	3.594130463	-2.393380795
NM_001321	1466	CSRP2	cysteine and glycine-rich protein 2	0.334560927	6.88453159	-2.988992194
NM_001334	1519	CTSO	cathepsin O	0.177533199	0	-5.632749286
NM_207318	139231	CXorf39	chromosome X open reading frame 39	0.592024259	8.375107745	-1.689119972
NM_148923	1528	CYB5A	cytochrome b5 type A (microsomal)	0.191115065	9.084444862	-5.232449883
NM_001914	1528	CYB5A	cytochrome b5 type A (microsomal)	0.198049487	9.512608769	-5.04924308
NM_001001336	51700	CYB5R2	cytochrome b5 reductase 2	0.235460537	4.073347858	-4.246996174
NM_016229	51700	CYB5R2	cytochrome b5 reductase 2	0.235460537	4.073347858	-4.246996174
NM_014376	26999	CYFIP2	cytoplasmic FMR1 interacting protein 2	0.128082418	6.967568704	-7.807472861
NM_015247	1540	CYLD	cylindromatosis (turban tumor syndrome)	0.434175248	8.375107745	-2.303217433
NM_052954	116159	CYYR1	cysteine/tyrosine-rich 1	0.061342559	0	-16.30189585
NM_053281	117154	DACH2	dachshund homolog 2 (Drosophila)	0.288382465	9.512608769	-3.467617212
NM_021008	10522	DEAF1	deformed epidermal autoregulatory factor 1 (Drosophila)	0.599215323	9.5843479	-1.66884918
NM_012153	26298	EHF	ets homologous factor	0.460323968	6.493742961	-2.172383082
NM_001248	956	ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3	0.137036544	8.375107745	-7.297323526
NM_014297	23474	ETHE1	ethylmalonic encephalopathy 1	0.530012327	3.916680632	-1.886748569
NM_017569	55578	FAM48A	family with sequence similarity 48, member A	0.681920851	9.557575979	-1.466445846
NM_017938	55026	FAM70A	family with sequence similarity 70, member A	0.302628904	8.375107745	-3.304377038
NM_000801	2280	FKBP1A	FK506 binding protein 1A, 12kDa	0.475513719	8.233362691	-2.102988745
NM_054033	2281	FKBP1B	FK506 binding protein 1B, 12.6 kDa	1.774849593	9.512608769	NA
NM_004116	2281	FKBP1B	FK506 binding protein 1B, 12.6 kDa	1.774849593	9.512608769	NA
NM_018215	55228	FLJ10781	hypothetical protein FLJ10781	0.027934906	0	-35.79750708
NM_018370	55332	FLJ11259	hypothetical protein FLJ11259	0.205934918	0	-4.855903074
NM_032181	84141	FLJ13391	hypothetical protein FLJ13391	0.335087184	8.975173246	-2.984297964
NM_001465	2533	FYB	FYN binding protein (FYB-120/130)	0.179321298	0	-5.576582424
NM_199335	2533	FYB	FYN binding protein (FYB-120/130)	0.202455546	8.375107745	-4.939355933
NM_015714	50486	G0S2	G0/G1switch 2	0.031805579	0	-31.4410246
NM_000156	2593	GAMT	guanidinoacetate N-methyltransferase	0.262905064	1.40460271	-3.803654385
NM_002053	2633	GBP1	guanylate binding protein 1, interferon-inducible, 67kDa	0.076151316	3.916680632	-13.13174934
NM_002084	2878	GPX3	glutathione peroxidase 3 (plasma)	0.11395946	3.916680632	-8.775050372
NM_002093	2932	GSK3B	glycogen synthase kinase 3 beta	0.653079311	9.084444862	-1.531207593
NM_005327	3033	HADHSC	L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain	0.413722132	8.375107745	-2.417081231
NM_017912	55008	HERC6	hect domain and RLD 6	0.188712828	3.594130463	-5.299056838
NM_001013005	55008	HERC6	hect domain and RLD 6	0.188712828	3.594130463	-5.299056838
NM_001013002	55008	HERC6	hect domain and RLD 6	0.188712828	3.594130463	-5.299056838
NM_001013000	55008	HERC6	hect domain and RLD 6	0.188712828	3.594130463	-5.299056838
NM_138720	3017	HIST1H2BD	histone 1, H2bd	0.546437497	8.233362691	-1.830035468
NM_199331	9455	HOMER2	homer homolog 2 (Drosophila)	2.986412567	9.512608769	NA
NM_199332	9455	HOMER2	homer homolog 2 (Drosophila)	2.986412567	9.512608769	NA
NM_199330	9455	HOMER2	homer homolog 2 (Drosophila)	2.986412567	9.512608769	NA
NM_004839	9455	HOMER2	homer homolog 2 (Drosophila)	2.986412567	9.512608769	NA
NM_006417	10561	IFI44	interferon-induced protein 44	0.068224992	6.967568704	-14.65738547
NM_000416	3459	IFNGR1	interferon gamma receptor 1	0.437870273	9.512608769	-2.283781436
NM_006547	10643	IGF2BP3	insulin-like growth factor 2 mRNA binding protein 3	0.172250201	9.084444862	-5.805508455
NM_001552	3487	IGFBP4	insulin-like growth factor binding protein 4	0.118501092	6.493742961	-8.438740794
NM_000640	3598	IL13RA2	interleukin 13 receptor, alpha 2	0.29255035	8.375107745	-3.418215019
NM_002213	3693	ITGB5	integrin, beta 5	1.909874499	9.512608769	NA
NM_004973	3720	JARID2	Jumonji, AT rich interactive domain 2	0.643520678	8.975173246	-1.553951619
NM_003937	8942	KYNU	kynureninase (L-kynurenine hydrolase)	0.011882159	0	-84.1597923
NM_005564	3934	LCN2	lipocalin 2 (oncogene 24p3)	0.044856521	1.40460271	-22.2933026
NM_001013619	123688	LOC123688	similar to RIKEN cDNA C630028N24 gene	0.586634184	6.967568704	-1.704639837
NM_001013676	400924	LOC400924	hypothetical gene supported by AK056895	0.681256296	9.571254529	-1.467876342
NM_002350	4067	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	0.410314608	8.233362691	-2.437154271
NM_005434	7851	MALL	mal, T-cell differentiation protein-like	4.132275449	9.512608769	NA
NM_005923	4217	MAP3K5	mitogen-activated protein kinase kinase kinase 5	0.503164337	6.967568704	-1.987422254
NM_017459	4237	MFAP2	microfibrillar-associated protein 2	5.470972093	6.70904353	NA
NM_002403	4237	MFAP2	microfibrillar-associated protein 2	5.470972093	6.70904353	NA
NM_033316	4241	MFI2	antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5	0.058534358	0	-17.08398347
NM_012329	23531	MMD	monocyte to macrophage differentiation-associated	0.422263114	9.084444862	-2.368191695
NM_002421	4312	MMP1	matrix metallopeptidase 1 (interstitial collagenase)	0.038954399	3.916680632	-25.67104195
NM_004994	4318	MMP9	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	0.094667471	0	-10.56329049
NM_002447	4486	MST1R	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)	2.313494483	6.70904353	NA
NM_003828	8776	MTMR1	myotubularin related protein 1	0.549986676	8.975173246	-1.818225866
NM_002468	4615	MYD88	myeloid differentiation primary response gene (88)	0.01473332	0	-67.87336386
NM_005863	10276	NET1	neuroepithelial cell transforming gene 1	0.064181769	4.674333607	-15.58074846
NM_005384	4783	NFIL3	nuclear factor, interleukin 3 regulated	0.4467345	9.557575979	-2.238466022
NM_004148	4814	NINJ1	ninjurin 1	0.1357203	0	-7.368094516
NM_004808	9397	NMT2	N-myristoyltransferase 2	2.5509652	6.70904353	NA
NM_198950	4521	NUDT1	nudix (nucleoside diphosphate linked moiety X)-type motif 1	1.937816153	9.512608769	NA
NM_002452	4521	NUDT1	nudix (nucleoside diphosphate linked moiety X)-type motif 1	1.937816153	9.512608769	NA
NM_198948	4521	NUDT1	nudix (nucleoside diphosphate linked moiety X)-type motif 1	1.937816153	9.512608769	NA
NM_198952	4521	NUDT1	nudix (nucleoside diphosphate linked moiety X)-type motif 1	1.937816153	9.512608769	NA
NM_198949	4521	NUDT1	nudix (nucleoside diphosphate linked moiety X)-type motif 1	1.937816153	9.512608769	NA
NM_198953	4521	NUDT1	nudix (nucleoside diphosphate linked moiety X)-type motif 1	1.937816153	9.512608769	NA
NM_198954	4521	NUDT1	nudix (nucleoside diphosphate linked moiety X)-type motif 1	1.937816153	9.512608769	NA
NM_020401	57122	NUP107	nucleoporin 107kDa	0.666007263	9.5843479	-1.501485126
NM_012383	26578	OSTF1	osteoclast stimulating factor 1	0.588087526	8.375107745	-1.700427157
NM_005764	10158	PDZK1IP1	PDZK1 interacting protein 1	0.034696336	0	-28.82148711
NM_002632	5228	PGF	placental growth factor, vascular endothelial growth factor-related protein	0.161907848	3.916680632	-6.176352874
NM_016119	51131	PHF11	PHD finger protein 11	0.609941665	9.512608769	-1.639501049
NM_002638	5266	PI3	peptidase inhibitor 3, skin-derived (SKALP)	0.226018845	3.594130463	-4.424409829
NM_033011	5327	PLAT	plasminogen activator, tissue	0.211205842	8.375107745	-4.734717521
NM_000931	5327	PLAT	plasminogen activator, tissue	0.211205842	8.375107745	-4.734717521
NM_000930	5327	PLAT	plasminogen activator, tissue	0.211205842	8.375107745	-4.734717521
NM_002661	5336	PLCG2	phospholipase C, gamma 2 (phosphatidylinositol-specific)	0.512111433	6.493742961	-1.952700011
NM_024310	79156	PLEKHF1	pleckstrin homology domain containing, family F (with FYVE domain) member 1	0.073857079	3.594130463	-13.53966361
NM_021127	5366	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	0.394482204	0	-2.534968599
NM_003620	8493	PPM1D	protein phosphatase 1D magnesium-dependent, delta isoform	0.483325228	6.967568704	-2.069000215
NM_002721	5537	PPP6C	protein phosphatase 6, catalytic subunit	0.665991743	9.5843479	-1.501520117
NM_002742	5587	PRKD1	protein kinase D1	2.869410043	9.512608769	NA
NM_058216	5889	RAD51C	RAD51 homolog C (S. cerevisiae)	0.542857834	9.557575979	-1.842102918
NM_213589	65059	RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	2.950154948	9.512608769	NA
NM_153020	221662	RBM24	RNA binding motif protein 24	0.53866042	9.084444862	-1.856457173
NM_138969	195814	RDHE2	retinal short chain dehydrogenase reductase isoform 1	0.143984926	8.233362691	-6.945171488
NM_017821	54933	RHBDL2	rhomboid, veinlet-like 2 (Drosophila)	0.237014087	8.233362691	-4.219158508
NM_015178	23221	RHOBTB2	Rho-related BTB domain containing 2	1.872601286	9.557575979	NA
NM_015540	26015	RPAP1	RNA polymerase II associated protein 1	1.847166434	9.512608769	NA
NM_006512	6291	SAA4	serum amyloid A4, constitutive	0.136130024	6.967568704	-7.345918052
NM_152703	219285	SAMD9L	sterile alpha motif domain containing 9-like	0.527083243	9.084444862	-1.897233527
NM_001085	12	SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	0.075294857	3.594130463	-13.28111952
NM_015677	26751	SH3YL1	SH3 domain containing, Ysc84-like 1 (S. cerevisiae)	0.2507756	8.975173246	-3.987628785
NM_020859	57619	SHRM	shroom	0.42418995	9.557575979	-2.357434448
NM_004696	9122	SLC16A4	solute carrier family 16 (monocarboxylic acid transporters), member 4	0.071707461	0	-13.9455503
NM_003060	6584	SLC22A5	solute carrier family 22 (organic cation transporter), member 5	0.509667027	5.640020111	-1.962065325
NM_020062	56731	SLC2A4RG	SLC2A4 regulator	0.392061172	6.493742961	-2.550622379
NM_001024465	6648	SOD2	superoxide dismutase 2, mitochondrial	0.086660284	3.594130463	-11.5393113
NM_000636	6648	SOD2	superoxide dismutase 2, mitochondrial	0.109928639	3.594130463	-9.096810516
NM_001024466	6648	SOD2	superoxide dismutase 2, mitochondrial	0.092339933	2.715565238	-10.82955085
NM_014850	9901	SRGAP3	SLIT-ROBO Rho GTPase activating protein 3	0.536417042	9.5843479	-1.864221158
NM_003186	6876	TAGLN	transgelin	0.092256002	8.233362691	-10.83940318
NM_001001522	6876	TAGLN	transgelin	0.092256002	8.233362691	-10.83940318
NM_003195	6919	TCEA2	transcription elongation factor A (SII), 2	0.534333171	3.916680632	-1.871491523
NM_199456	374739	TEPP	testis/prostate/placenta-expressed protein, isoform 2	0.57320605	8.375107745	-1.744573352
NM_199046	374739	TEPP	testis/prostate/placenta-expressed protein, isoform 2	0.57320605	8.375107745	-1.744573352
NM_000361	7056	THBD	thrombomodulin	0.090409709	0	-11.06075896
NM_018247	55754	TMEM30A	transmembrane protein 30A	0.592153569	5.25593272	-1.688751116
NM_144638	131616	TMEM42	transmembrane protein 42	0.383257439	5.640020111	-2.609212241
NM_003810	8743	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	0.16217408	5.640020111	-6.166213472
NM_015602	26092	TOR1AIP1	torsin A interacting protein 1	0.697943368	9.557575979	-1.432781004
NM_001025253	7163	TPD52	tumor protein D52	0.184504299	0	-5.419927924
NM_005079	7163	TPD52	tumor protein D52	0.184504299	0	-5.419927924
NM_001025252	7163	TPD52	tumor protein D52	0.184504299	0	-5.419927924
NM_006074	10346	TRIM22	tripartite motif-containing 22	0.346247411	2.715565238	-2.888108238
NM_003307	7226	TRPM2	transient receptor potential cation channel, subfamily M, member 2	1.842707833	9.512608769	NA
NM_001001188	7226	TRPM2	transient receptor potential cation channel, subfamily M, member 2	1.842707833	9.512608769	NA
NM_001004125	286319	TUSC1	tumor suppressor candidate 1	0.23984433	6.967568704	-4.169371018
NM_173555	219743	TYSND1	trypsin domain containing 1	2.044372499	6.70904353	NA
NM_017859	54963	UCKL1	uridine-cytidine kinase 1-like 1	0.305320848	4.073347858	-3.275243099
NM_000463	54658	UGT1A1	UDP glucuronosyltransferase 1 family, polypeptide A1	0.398309693	9.084444862	-2.510609252
NM_019075	54575	UGT1A10	UDP glucuronosyltransferase 1 family, polypeptide A10	0.398309693	9.084444862	-2.510609252
NM_019093	54659	UGT1A3	UDP glucuronosyltransferase 1 family, polypeptide A3	0.398309693	9.084444862	-2.510609252
NM_007120	54657	UGT1A4	UDP glucuronosyltransferase 1 family, polypeptide A4	0.398309693	9.084444862	-2.510609252
NM_019078	54579	UGT1A5	UDP glucuronosyltransferase 1 family, polypeptide A5	0.398309693	9.084444862	-2.510609252
NM_205862	54578	UGT1A6	UDP glucuronosyltransferase 1 family, polypeptide A6	0.398309693	9.084444862	-2.510609252
NM_019077	54577	UGT1A7	UDP glucuronosyltransferase 1 family, polypeptide A7	0.398309693	9.084444862	-2.510609252
NM_019076	54576	UGT1A8	UDP glucuronosyltransferase 1 family, polypeptide A8	0.501914723	8.375107745	-1.992370326
NM_021027	54600	UGT1A9	UDP glucuronosyltransferase 1 family, polypeptide A9	0.398309693	9.084444862	-2.510609252
NM_006952	7348	UPK1B	uroplakin 1B	0.243686054	1.40460271	-4.103640662
NM_080733	10406	WFDC2	WAP four-disulfide core domain 2	0.069116005	0	-14.46842888
NM_006103	10406	WFDC2	WAP four-disulfide core domain 2	0.058170737	0	-17.19077425
NM_000379	7498	XDH	xanthine dehydrogenase	0.490745273	3.916680632	-2.037717031
NM_173834	286451	YIPF6	Yip1 domain family, member 6	0.620389471	6.967568704	-1.611890669
NM_017798	54915	YTHDF1	YTH domain family, member 1	0.284927065	0	-3.509670101
NM_015642	26137	ZBTB20	zinc finger and BTB domain containing 20	0.231325861	0	-4.322906203
NM_032527	84619	ZGPAT	zinc finger, CCCH-type with G patch domain	0.231630342	3.594130463	-4.317223699
NM_181485	84619	ZGPAT	zinc finger, CCCH-type with G patch domain	0.231630342	3.594130463	-4.317223699
NM_181484	84619	ZGPAT	zinc finger, CCCH-type with G patch domain	0.231630342	3.594130463	-4.317223699
NM_022103	63934	ZNF667	zinc finger protein 667	3.42620803	6.70904353	NA
XM_056455	NA	NA	NA	0.092703352	8.975173246	-10.78709644
XM_035299	NA	NA	NA	0.5976787	8.233362691	-1.673139765
NM_058217	NA	NA	NA	0.542857834	9.557575979	-1.842102918
XM_496405	NA	NA	NA	0.411273132	9.571254529	-2.431474178
XM_379250	NA	NA	NA	0.392773283	6.967568704	-2.545998017
XM_047995	NA	NA	NA	0.049305394	9.512608769	-20.28175657
NM_181863	NA	NA	NA	0.672953927	9.084444862	-1.485985831
NM_181862	NA	NA	NA	0.672953927	9.084444862	-1.485985831
XM_043653	NA	NA	NA	0.089364331	0	-11.19014706
