Probe set	Symbol	Name	Fold-difference
202450_s_at	CTSK	cathepsin K (pycnodysostosis)	12.5249054
205098_at	CCR1	chemokine (C-C motif) receptor 1	12.4540461
208306_x_at	HLA-DRB1	Major histocompatibility complex, class II, DR beta 1	12.1921639
205159_at	CSF2RB	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage) /// colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	12.0909655
236787_at	---	CDNA FLJ35091 fis, clone PLACE6005786	11.8196024
217362_x_at	HLA-DRB6	major histocompatibility complex, class II, DR beta 6 (pseudogene)	11.6128859
201360_at	CST3	cystatin C (amyloid angiopathy and cerebral hemorrhage)	11.3979845
217979_at	TSPAN13	Tetraspanin 13	10.8035901
211656_x_at	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1 /// major histocompatibility complex, class II, DQ beta 1	10.7457276
217762_s_at	RAB31	RAB31, member RAS oncogene family	10.6344728
1554406_a_at	CLEC7A	C-type lectin domain family 7, member A	10.4976559
206974_at	CXCR6	chemokine (C-X-C motif) receptor 6	10.3588057
225842_at	PHLDA1	pleckstrin homology-like domain, family A, member 1	10.3050902
207526_s_at	IL1RL1	interleukin 1 receptor-like 1	10.2592776
117_at	HSPA6 /// LOC652878	heat shock 70kDa protein 6 (HSP70B) /// similar to heat shock 70kDa protein 6 (HSP70B)	10.2425426
211786_at	TNFRSF9	tumor necrosis factor receptor superfamily, member 9 /// tumor necrosis factor receptor superfamily, member 9	9.7397688
204324_s_at	GOLPH4	golgi phosphoprotein 4	9.6579168
209031_at	IGSF4	Immunoglobulin superfamily, member 4	9.5825939
226818_at	MPEG1	macrophage expressed gene 1	9.2984995
202071_at	SDC4	syndecan 4 (amphiglycan, ryudocan)	9.1546395
214452_at	BCAT1	branched chain aminotransferase 1, cytosolic	9.145498
238950_at	---	Transcribed locus, moderately similar to NP_060312.1 hypothetical protein FLJ20489 [Homo sapiens]	9.0927724
207691_x_at	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	9.0701447
221698_s_at	CLEC7A	C-type lectin domain family 7, member A /// C-type lectin domain family 7, member A	9.0552981
1569099_at	---	Homo sapiens, clone IMAGE:4861097, mRNA	8.8839052
211654_x_at	HLA-DQB1 /// LOC650557	major histocompatibility complex, class II, DQ beta 1 /// major histocompatibility complex, class II, DQ beta 1 /// similar to HLA class II histocompatibility antigen, DQ(W1.1) beta chain precursor (DQB10501) /// similar to HLA class II histocompatibility antigen, DQ(W1.1) beta chain precursor (DQB10501)	8.7694087
218000_s_at	PHLDA1	pleckstrin homology-like domain, family A, member 1	8.4431898
238002_at	GOLPH4	golgi phosphoprotein 4	8.4162863
228080_at	LAYN	layilin	8.1872498
225171_at	ARHGAP18	Rho GTPase activating protein 18	8.0746043
209823_x_at	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	8.0209611
218045_x_at	PTMS	parathymosin	7.6960434
236341_at	CTLA4	cytotoxic T-lymphocyte-associated protein 4	7.512305
217998_at	PHLDA1	pleckstrin homology-like domain, family A, member 1	7.3980279
202912_at	ADM	adrenomedullin	7.3738926
217996_at	PHLDA1	pleckstrin homology-like domain, family A, member 1	7.3429666
1555628_a_at	HAVCR2	hepatitis A virus cellular receptor 2	7.3376247
204971_at	CSTA	cystatin A (stefin A)	7.1951593
204232_at	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	7.1899675
217997_at	PHLDA1	pleckstrin homology-like domain, family A, member 1	7.1098232
209474_s_at	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	6.8073026
204015_s_at	DUSP4	dual specificity phosphatase 4	6.7368012
206991_s_at	CCR5 /// LOC653725	chemokine (C-C motif) receptor 5 /// similar to C-C chemokine receptor type 5 (C-C CKR-5) (CC-CKR-5) (CCR-5) (CCR5) (HIV-1 fusion coreceptor) (CHEMR13) (CD195 antigen)	6.7288934
201422_at	IFI30	interferon, gamma-inducible protein 30	6.696911
224211_at	FOXP3	forkhead box P3	6.6957167
223454_at	CXCL16	chemokine (C-X-C motif) ligand 16	6.6814458
1566324_a_at	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	6.5793992
201278_at	DAB2	Disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	6.4338808
1567628_at	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain	6.2488807
1555756_a_at	CLEC7A	C-type lectin domain family 7, member A	6.1421485
222409_at	CORO1C	coronin, actin binding protein, 1C	6.0729862
210547_x_at	ICA1	islet cell autoantigen 1, 69kDa	6.0455089
207677_s_at	NCF4	neutrophil cytosolic factor 4, 40kDa /// neutrophil cytosolic factor 4, 40kDa	5.8084287
205147_x_at	NCF4	neutrophil cytosolic factor 4, 40kDa	5.7323221
237194_at	TSPAN5	Tetraspanin 5	5.7148247
211372_s_at	IL1R2	interleukin 1 receptor, type II	5.6296124
207387_s_at	GK	glycerol kinase	5.619659
216942_s_at	CD58	CD58 molecule	5.5143891
209619_at	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain	5.23967
1556352_at	---	CDNA FLJ30440 fis, clone BRACE2009185	5.2032715
216867_s_at	PDGFA	platelet-derived growth factor alpha polypeptide	5.0989697
240070_at	VSIG9	V-set and immunoglobulin domain containing 9	5.0454302
224917_at	MIRN21	microRNA 21	4.8128144
1569599_at	SAMSN1	SAM domain, SH3 domain and nuclear localisation signals, 1	4.4764711
200765_x_at	CTNNA1	catenin (cadherin-associated protein), alpha 1, 102kDa	3.6650501
218532_s_at	FLJ20152	hypothetical protein FLJ20152	0.2434551
235674_at	KIAA0922	KIAA0922	0.2427793
213462_at	NPAS2	neuronal PAS domain protein 2	0.2079729
229344_x_at	FAM80B	family with sequence similarity 80, member B	0.2053651
213093_at	PRKCA	protein kinase C, alpha	0.2026135
230454_at	ICA1L	islet cell autoantigen 1,69kDa-like	0.2022402
200685_at	SFRS11	splicing factor, arginine/serine-rich 11	0.1925615
223822_at	SUSD4	sushi domain containing 4	0.1925558
205372_at	PLAG1	pleiomorphic adenoma gene 1	0.1893114
236208_at	---	CDNA FLJ38513 fis, clone HCHON2000660	0.1884988
65472_at	LOC388969	Hypothetical LOC388969	0.1863955
209815_at	PTCH	patched homolog (Drosophila)	0.1863821
213908_at	WHDC1L1 /// WHDC1L2	WAS protein homology region 2 domain containing 1-like 1 /// WAS protein homology region 2 domain containing 1-like 2	0.1846489
1569040_s_at	FLJ40330 /// LOC648184	similar to protein immuno-reactive with anti-PTH polyclonal antibodies /// similar to ankyrin repeat domain 26	0.1791513
1564154_at	---	---	0.1734805
214945_at	LOC202134	hypothetical protein LOC202134	0.1733513
213663_s_at	---	---	0.1709428
204793_at	GPRASP1	G protein-coupled receptor associated sorting protein 1	0.1645901
210948_s_at	LEF1	lymphoid enhancer-binding factor 1	0.1628934
215177_s_at	ITGA6	integrin, alpha 6	0.1622123
203627_at	IGF1R	Insulin-like growth factor 1 receptor	0.1619901
229111_at	MASP2	Mannan-binding lectin serine peptidase 2	0.1612109
202565_s_at	SVIL	supervillin	0.1596892
219389_at	SUSD4	sushi domain containing 4	0.1586477
204105_s_at	NRCAM	neuronal cell adhesion molecule	0.1566881
220606_s_at	C17orf48	chromosome 17 open reading frame 48	0.1448809
227486_at	NT5E	5-nucleotidase, ecto (CD73)	0.1421153
241365_at	---	CDNA FLJ42259 fis, clone TKIDN2011289	0.1403392
232985_s_at	DPPA4	developmental pluripotency associated 4	0.1386379
214081_at	PLXDC1	plexin domain containing 1	0.1369234
238778_at	MPP7	membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)	0.134781
225627_s_at	CACHD1	cache domain containing 1	0.1313169
206828_at	TXK	TXK tyrosine kinase	0.1283727
227984_at	LOC650392	Hypothetical protein LOC650392	0.1264386
234370_at	VSIG1	V-set and immunoglobulin domain containing 1	0.1221801
1553508_at	MDS2	Myelodysplastic syndrome 2 translocation associated	0.121326
226388_at	TCEA3	transcription elongation factor A (SII), 3	0.1208053
226718_at	AMIGO1	adhesion molecule with Ig-like domain 1	0.1188034
209871_s_at	APBA2	amyloid beta (A4) precursor protein-binding, family A, member 2 (X11-like)	0.107872
243362_s_at	LOC641518	hypothetical protein LOC641518	0.1009961
205559_s_at	PCSK5	proprotein convertase subtilisin/kexin type 5	0.0965288
213652_at	PCSK5	Proprotein convertase subtilisin/kexin type 5	0.0952094
219179_at	DACT1	dapper, antagonist of beta-catenin, homolog 1 (Xenopus laevis)	0.0852772
227867_at	LOC129293	hypothetical protein LOC129293	0.0828166
206492_at	FHIT	fragile histidine triad gene	0.0635936
243363_at	LOC641518	hypothetical protein LOC641518	0.0618383
