GENE ID	Common	Symbol	AT-MSC	AT-MSC-Hepa	Liver	Hepatocyte	Fold change AT-MSC-Hepa/AT-MSC
	AK095300		1.73	0.1	0.43	1	0.06
26255	AF095289	PTTG3	6.87	0.41	0.42	1	0.06
9319	NM_004237	TRIP13	2.14	0.13	0.13	1	0.06
3162	NM_002133	HMOX1	9.06	0.54	6.54	1	0.06
79000	NM_024037	C1orf135	1.97	0.12	0.12	1	0.06
	S75105		18.02	1.08	1.23	1	0.06
79968	NM_024908	WDR76	3.05	0.18	0.18	1	0.06
120146	XM_495891	TRIM64	17.56	1.06	1.39	1	0.06
158038	NM_152570	LRRN6C	15.84	0.96	1.1	1	0.06
10024	NM_005480	TROAP	5.65	0.34	0.6	1	0.06
196883	NM_139247	ADCY4	60.51	3.69	18.09	1	0.06
	AV749257		2.94	0.18	0.23	1	0.06
	AK001903		58.7	3.61	1.76	1	0.06
	AK124396		149.28	9.24	112.3	1	0.06
83956	AF334184	RACGAP1P	3.54	0.22	0.22	1	0.06
646960	ENST00000273011	LOC646960	0.87	0.05	0.25	1	0.06
	NM_178838		49.07	3.09	1.33	1	0.06
8038	NM_003474	ADAM12	154.76	9.77	1.1	1	0.06
147841	NM_182513	SPBC24	2.94	0.19	0.16	1	0.06
113091	NM_178449	TIP39	1.01	0.06	0.36	1	0.06
80215	AK024509	C21orf96	5.05	0.32	1.18	1	0.06
	AK021443		9.44	0.6	0.69	1	0.06
5055	NM_002575	SERPINB2	16.73	1.07	1.32	1	0.06
51203	NM_016359	NUSAP1	6.71	0.43	0.45	1	0.06
5332	NM_000933	PLCB4	18.37	1.17	2.35	1	0.06
	A_24_P460195		0.93	0.06	0.15	1	0.06
9585	NM_016195	MPHOSPH1	20.34	1.32	1.78	1	0.06
4312	NM_002421	MMP1	73.48	4.77	0.09	1	0.06
150271	AK098753	C22orf35	4.21	0.28	2.25	1	0.07
153688	ENST00000354543	DKFZp586C0721	132.67	8.74	8.14	1	0.07
26027	NM_147161	ACOT11	3.95	0.26	0.33	1	0.07
4861	NM_002517	NPAS1	5.27	0.35	0.13	1	0.07
	THC2430017		1147.02	76.31	1.85	1	0.07
154822	BC013024	LOC154822	16.52	1.1	1.36	1	0.07
56776	NM_020066	FMN2	134.11	8.98	1.28	1	0.07
65061	NM_139158	ALS2CR7	18.1	1.22	2.26	1	0.07
57214	NM_018689	KIAA1199	1018.84	68.68	0.92	1	0.07
2859	NM_005301	GPR35	0.69	0.05	0.15	1	0.07
	AK125961		87.28	5.93	4.17	1	0.07
22891	NM_014951	ZNF365	107.3	7.3	1.4	1	0.07
3196	NM_016170	TLX2	1.62	0.11	0.46	1	0.07
55359	NM_018423	STYK1	16.55	1.13	1.41	1	0.07
3231	NM_024501	HOXD1	19.3	1.33	0.93	1	0.07
10733	NM_014264	PLK4	14.36	0.99	0.89	1	0.07
10721	NM_006596	POLQ	8.02	0.55	0.83	1	0.07
2825	NM_005279	GPR1	53.9	3.77	1.28	1	0.07
	THC2319755		18.15	1.27	1.37	1	0.07
	A_32_P48279		38.08	2.68	4.13	1	0.07
	AI476245		17.5	1.23	3.37	1	0.07
90381	NM_152259	C15orf42	3.4	0.24	0.1	1	0.07
197196	NM_153238	TMEM148	2.43	0.17	0.41	1	0.07
1821	NM_001939	DRP2	4.22	0.3	0.82	1	0.07
	ENST00000233161		151.3	10.78	1.38	1	0.07
	THC2376844		27.5	1.96	1.32	1	0.07
1059	NM_001810	CENPB	1.5	0.11	0.52	1	0.07
7223	NM_016179	TRPC4	119.31	8.54	1.4	1	0.07
	BC011779		9.61	0.69	2.29	1	0.07
	AA005355		15.73	1.13	1.37	1	0.07
390010	A_24_P256155	NKX1-2	1.07	0.08	0.34	1	0.07
2139	NM_172113	EYA2	103.55	7.5	16.7	1	0.07
	THC2348230		2.69	0.2	0.8	1	0.07
	THC2449905		15.11	1.1	1.69	1	0.07
623	NM_000710	BDKRB1	43.48	3.17	0.05	1	0.07
	AF333487		5.08	0.37	0.24	1	0.07
90853	NM_144569	SPOCD1	1.24	0.09	0.01	1	0.07
84913	NM_032827	ATOH8	1.88	0.14	1.77	1	0.07
	ENST00000330336		66.71	4.99	1.32	1	0.07
56666	NM_052839	PANX2	0.79	0.06	0.35	1	0.07
1869	NM_005225	E2F1	1.41	0.11	0.04	1	0.08
9404	NM_004811	LPXN	3.28	0.25	0.34	1	0.08
84812	NM_032726	PLCD4	29.45	2.21	1.36	1	0.08
	AK000924		14.16	1.07	1.39	1	0.08
220	NM_000693	ALDH1A3	764.03	57.9	31.8	1	0.08
3037	NM_005328	HAS2	249.71	18.98	1.37	1	0.08
	BM687208		1.06	0.08	0.16	1	0.08
	A_24_P350252		1.44	0.11	0.34	1	0.08
56964	NM_020212	LOC56964	0.94	0.07	0.64	1	0.08
57528	NM_020768	KCTD16	55.59	4.24	1.32	1	0.08
2583	NM_001478	B4GALNT1	2.26	0.17	0.39	1	0.08
	AL117454		122.62	9.37	1.38	1	0.08
157313	NM_152562	CDCA2	13.79	1.06	7.59	1	0.08
124404	NM_144605	FLJ25410	4.82	0.37	0.78	1	0.08
268	NM_000479	AMH	1.42	0.11	0.3	1	0.08
79827	NM_024769	ASAM	1434.63	111.11	5.02	1	0.08
57593	AB037863		1	0.08	0.45	1	0.08
393078	XM_374705	LOC393078	1.01	0.08	0.43	1	0.08
7010	NM_000459	TEK	83.79	6.56	125.03	1	0.08
	ENST00000344158		1.57	0.12	0.4	1	0.08
4900	NM_006176	NRGN	4.55	0.36	2.35	1	0.08
2689	NM_022558	GH2	1.29	0.1	0.32	1	0.08
80128	BC069416	TRIM46	1.11	0.09	0.42	1	0.08
701	NM_001211	BUB1B	6.53	0.52	0.16	1	0.08
339448	NM_207356	C1orf174	0.88	0.07	0.67	1	0.08
1062	NM_001813	CENPE	26.12	2.08	1.04	1	0.08
	THC2282467		1.16	0.09	0.4	1	0.08
	THC2441708		2.06	0.17	0.14	1	0.08
196051	AK098668	PPAPDC1A	345.05	27.73	9.53	1	0.08
	THC2343678		1.64	0.13	1.67	1	0.08
266722	NM_153456	HS6ST3	13.7	1.1	2.65	1	0.08
	THC2343136		20.73	1.67	0.7	1	0.08
129025	NM_080740	SUHW1	4.11	0.33	0.6	1	0.08
	BM701491		1.64	0.13	0.41	1	0.08
	BQ186674		37.88	3.08	0.26	1	0.08
4884	NM_002522	NPTX1	14.86	1.21	1.4	1	0.08
3084	NM_013957	NRG1	2.69	0.22	0.37	1	0.08
5334	NM_006226	PLCL1	14.21	1.17	10.76	1	0.08
401105	NM_207488	FLJ42393	1.64	0.13	0.5	1	0.08
140701	NM_080622	C20orf135	1.36	0.11	0.47	1	0.08
	A_24_P932369		13.06	1.09	1.38	1	0.08
	BX089493		10.77	0.9	0.95	1	0.08
206358	NM_078483	SLC36A1	1.3	0.11	0.37	1	0.08
1745	NM_178120	DLX1	14.01	1.18	1.34	1	0.08
	THC2367544		0.8	0.07	0.38	1	0.08
57709	NM_020949	SLC7A14	107.53	9.09	1.23	1	0.08
84530	NM_194286	KIAA1853	12.69	1.07	1.39	1	0.08
127943	NM_152378	FCRLM2	4.74	0.4	0.51	1	0.08
338376	NM_176891	IFNE1	20.82	1.77	3	1	0.08
128408	NM_080606	BHLHB4	1.08	0.09	0.45	1	0.08
202309	NM_152687	FLJ33641	2.52	0.21	0.92	1	0.08
	BX647614		12.7	1.09	1.38	1	0.09
	THC2281706		3.71	0.32	0.42	1	0.09
10874	NM_006681	NMU	4.74	0.41	0.47	1	0.09
221883	BC025338	HOXA11S	131.82	11.33	5.78	1	0.09
90113	ENST00000342806	LOC90113	1.05	0.09	0.64	1	0.09
	ENST00000326474		14.41	1.25	3.95	1	0.09
389199	NM_203423	LOC389199	1.23	0.11	0.51	1	0.09
	ENST00000344179		1.16	0.1	0.46	1	0.09
441459	NM_001013728		8.7	0.76	1.45	1	0.09
8817	NM_003862	FGF18	10.11	0.88	0.63	1	0.09
	BQ674642		1.54	0.13	0.39	1	0.09
	A_24_P934653		15.99	1.4	1.83	1	0.09
	ENST00000309558		16.09	1.41	1.24	1	0.09
84102	NM_032148	SLC41A2	0.24	0.02	0.73	1	0.09
51435	NM_016240	SCARA3	8.52	0.75	0.32	1	0.09
646345	BC037827	LOC646345	83.21	7.34	1.37	1	0.09
8739	NM_003806	HRK	1.35	0.12	0.41	1	0.09
8847	NM_006021	DLEU2	11.36	1	2.16	1	0.09
359845	NM_182705	FAM101B	31.08	2.75	8.9	1	0.09
9515	ENST00000273666	STXBP5L	3.74	0.33	0.72	1	0.09
51514	NM_016448	DTL	4.58	0.41	0.53	1	0.09
	XM_379108		1.55	0.14	0.15	1	0.09
10403	NM_006101	KNTC2	12.9	1.15	0.27	1	0.09
55247	NM_018248	NEIL3	11.95	1.07	1.36	1	0.09
81620	NM_030928	CDT1	1.34	0.12	0.06	1	0.09
113130	NM_080668	CDCA5	1.63	0.15	0.08	1	0.09
11341	NM_007281	SCRG1	1026.29	92.61	3.13	1	0.09
627	NM_170735	BDNF	261.56	23.68	1.38	1	0.09
56992	NM_020242	KIF15	14.75	1.34	0.37	1	0.09
	A_24_P920038		5.62	0.51	0.73	1	0.09
6790	NM_198433	AURKA	2.67	0.24	0.17	1	0.09
781	NM_000722	CACNA2D1	15.6	1.43	18.57	1	0.09
4618	NM_002469	MYF6	2.68	0.25	0.45	1	0.09
5137	NM_005020	PDE1C	14.16	1.3	1.37	1	0.09
	THC2334370		13.65	1.26	1.2	1	0.09
200909	NM_182537	HTR3D	4.99	0.46	0.58	1	0.09
222	NM_000695	ALDH3B2	1.18	0.11	0.6	1	0.09
	ENST00000316708		10.13	0.94	1.32	1	0.09
	BM310182		3.36	0.31	0.87	1	0.09
	A_24_P50328		12.48	1.16	1.19	1	0.09
10544	NM_006404	PROCR	8.56	0.8	0.17	1	0.09
	A_32_P85360		15.54	1.45	1.39	1	0.09
64106	NM_022146	NPFFR1	1.31	0.12	0.47	1	0.09
	A_24_P204695		11.16	1.05	1.37	1	0.09
114801	BC044246	KIAA1913	495.15	46.77	0.42	1	0.09
374291	NM_024407	NDUFS7	0.76	0.07	0.87	1	0.09
94235	NM_033258	GNG8	2	0.19	0.66	1	0.09
	THC2288599		12.79	1.21	1.37	1	0.09
5874	NM_004163	RAB27B	2.28	0.22	0.09	1	0.09
130574	NM_194317	MGC52057	6.16	0.59	0.44	1	0.1
2274	NM_201555	FHL2	4.73	0.45	0.09	1	0.1
80070	AK023228	ADAMTS20	11.89	1.13	25.79	1	0.1
4482	NM_012331	MSRA	1.38	0.13	0.42	1	0.1
8433	NM_003577	UTF1	0.91	0.09	0.4	1	0.1
	A_23_P206741		111.67	10.72	1.39	1	0.1
5301	U82382	PIN1L	1.33	0.13	0.44	1	0.1
92745	NM_033518	SLC38A5	16.91	1.63	0.4	1	0.1
148398	NM_152486	SAMD11	43.67	4.22	4.29	1	0.1
4477	NM_002443	MSMB	1.23	0.12	0.14	1	0.1
11339	NM_007280	OIP5	1.81	0.17	0.07	1	0.1
388759	NM_207401	FLJ45717	1.08	0.1	0.46	1	0.1
92922	NM_033212	CCDC102A	3.79	0.37	0.12	1	0.1
81621	NM_030929	KAZALD1	124.05	12.11	6.85	1	0.1
	ENST00000334832		0.93	0.09	0.31	1	0.1
	ENST00000358378		1.88	0.18	2.47	1	0.1
285971	NM_173680	MGC33584	0.99	0.1	0.36	1	0.1
220042	NM_145018	FLJ25416	4.82	0.48	0.19	1	0.1
	THC2314906		12.16	1.2	1.32	1	0.1
113	NM_001114	ADCY7	12.33	1.22	1.04	1	0.1
	A_24_P919825		10.75	1.07	1.39	1	0.1
9156	NM_003686	EXO1	5.64	0.56	0.15	1	0.1
4946	NM_004152	OAZ1	0.87	0.09	0.72	1	0.1
9256	NM_004758	BZRAP1	11.77	1.17	6.21	1	0.1
57650	AB040957	KIAA1524	9.74	0.97	0.43	1	0.1
	A_32_P37943		1.13	0.11	0.45	1	0.1
84695	NM_032603	LOXL3	1302.24	130.01	12.91	1	0.1
	L12234		5.34	0.53	0.87	1	0.1
