Entrez gene ID	Gene	GRalpha Fold change	GRalpha-A Fold change	GRalpha-B Fold change	GRalpha-C Fold change	GRalpha-D Fold change
274	BIN1	?1.21	?1.29	?1.14	?1.21	1.23
4671	BIRC1	1.57	1.72	1.21	1.18	?1.43
90427	BMF	?2.65	?3.24	?2.41	?3.33	?1.82
665	BNIP3L	?1.04	?1.15	?1.28	?1.23	?1.63
666	BOK	?1.96	?1.98	?1.61	?1.90	1.11
673	BRAF	?1.45	?1.67	?1.19	?1.48	?1.14
672	BRCA1	?1.11	1.19	1.31	?1.16	1.08
9577	BRE	?1.23	?1.21	?1.32	?1.14	1.09
54014	BRWD1	?1.63	?2.07	?1.98	?2.09	?1.54
694	BTG1	1.78	1.01	?1.17	?1.27	?1.93
695	BTK	?1.18	2.74	12.53	6.34	5.92
81566	C12orf22	2.13	1.87	1.29	1.76	1.04
114897	C1QTNF1	1.64	2.15	2.35	4.33	4.75
114898	C1QTNF2	?2.04	?2.14	?1.44	?1.93	?1.30
114900	C1QTNF4	?1.08	1.11	?2.03	1.24	9.7
114905	C1QTNF7	?1.19	?1.31	1.33	?1.06	4.08
56997	CABC1	?1.49	?1.60	?1.63	?1.41	?1.52
824	CAPN2	?1.05	?1.39	?1.39	?1.62	?1.31
29775	CARD10	?5.71	?5.47	?2.30	?3.68	?1.26
58484	CARD12	5.11	1.46	4.85	19.79	?1.03
79092	CARD14	20.55	59.49	83.31	55.19	50.25
64127	CARD15	4.09	1.82	2.14	4.88	1.99
84674	CARD6	?3.45	?3.67	?3.22	?3.64	?2.11
843	CASP10	?1.21	?1.80	?1.98	?1.28	?1.20
837	CASP4	?1.12	?1.13	?1.33	?1.17	?1.11
839	CASP6	3.33	3.14	2.19	3.13	1.35
840	CASP7	1.58	1.52	1.93	1.52	1.29
842	CASP9	?1.36	?1.45	?1.34	?1.62	1
8535	CBX4	1.77	1.54	1.36	1.59	1.33
55749	CCAR1	1.37	1.56	1.34	1.33	1.11
6347	CCL2	?8.54	?27.25	?17.58	?12.81	?12.28
952	CD38	1.46	1.82	4.06	8.12	10.3
959	CD40LG	1.35	5.73	1.16	1.98	11.02
984	CDC2L1	1.28	1.37	1.16	1.34	1.16
1026	CDKN1A	1.03	1.47	1.35	1.59	1.25
114548	CIAS1	2.62	8.33	14.2	6.44	5.99
1149	CIDEA	5.86	2.96	1.66	3.96	8.28
63924	CIDEC	1.08	1.29	1.81	1.67	1.34
26586	CKAP2	1.09	?1.03	1.45	?1.19	1.11
23529	CLCF1	?4.41	?4.30	?3.96	?5.37	?1.71
1196	CLK2	?1.02	1.44	1.4	1.41	1.39
23603	CORO1C	?1.47	?2.15	?1.41	?1.69	?1.61
7464	CORO2A	?1.83	?2.20	?1.67	?1.94	?1.61
56259	CTNNBL1	1.05	1.33	1.3	1.37	1.36
8454	CUL1	?1.56	?1.18	?1.05	?1.28	1.06
8451	CUL4A	1.65	1.38	?1.07	?1.10	?1.15
1603	DAD1	1.22	1.19	1.14	1.18	?1.08
1605	DAG1	?1.35	?1.32	?1.36	?1.45	?1.14
23604	DAPK2	1.96	1.85	1.75	1.51	2.29
1613	DAPK3	?2.62	?1.97	?1.63	?1.60	1.33
1616	DAXX	?1.69	?1.70	?1.53	?1.73	1.02
162989	DEDD2	?2.05	?1.59	?1.18	?1.73	1.07
56616	DIABLO	?1.24	?1.17	?1.26	?1.19	?1.12
55929	DMAP1	1.15	1.41	1.32	1.55	1.46
1776	DNASE1L3	7.79	31.29	28.11	25.78	8.78
5977	DPF2	?1.25	?1.54	?1.53	?1.87	?1.17
29952	DPP7	1.31	1.46	1.01	1.52	1.24
80824	DUSP16	?3.52	?2.38	?1.86	?2.29	?1.32
56940	DUSP22	?1.08	?1.15	?1.23	?1.18	?1.27
8655	DYNLL1	?1.66	?1.59	?1.18	?1.85	?1.08
140735	DYNLL2	1.42	1.67	1.71	1.63	1.32
9166	EBAG9	1.05	1.36	1.42	1.28	1.02
63916	ELMO2	1.18	1.46	1.74	1.35	1.72
55531	ELMOD1	5.2	3.95	6.43	4.41	1.36
255520	ELMOD2	1.57	1.36	1.31	1.29	?1.32
2012	EMP1	?4.05	?4.26	?4.14	?5.78	?5.81
8507	ENC1	?2.36	?3.58	?6.96	?2.42	?3.68
2021	ENDOG	1.65	1.53	1.29	1.4	1.74
2056	EPO	?1.20	1.42	?1.10	2.09	24.8
2081	ERN1	2.84	4.79	5.01	9.08	5.58
2149	F2R	?2.08	?2.05	?2.37	?1.49	?3.19
8772	FADD	1.07	?1.16	?1.02	?1.29	1.07
79675	FASTKD1	1.73	1.58	1.19	1.4	1.05
22868	FASTKD2	?1.64	?1.13	?1.07	?1.18	?1.22
60493	FASTKD5	1.24	1.28	1.48	1.46	1.13
2309	FOXO3A	1.85	1.99	1.6	2.01	1.28
64400	FTS	?1.10	?1.31	1.42	?1.21	?1.03
2549	GAB1	2.65	1.76	1.63	1.61	?1.32
1647	GADD45A	?2.13	?1.52	?1.09	?1.23	?1.09
4616	GADD45B	1.3	1.4	?1.05	1.89	?1.20
11010	GLIPR1	?1.75	?1.29	?1.22	?1.12	?1.46
9340	GLP2R	?1.73	?2.57	?1.51	?1.92	?2.23
2752	GLUL	?1.04	1.88	5.67	1.24	2.14
8477	GPR65	?8.21	?1.06	?1.03	?16.13	?2.07
51454	GULP1	?1.99	?1.04	?1.67	?1.52	?2.00
3001	GZMA	28.18	22.25	9.29	11.66	3.69
3093	HIP2	?1.37	?1.37	?1.37	?1.59	?1.15
3192	HNRPU	?1.48	?1.44	?1.26	?1.59	?1.15
10524	HTATIP	?2.25	?1.45	?1.16	?1.31	1.13
135458	HUS1B	2.35	1.41	1.38	2.1	?1.13
8870	IER3	?3.93	?10.03	?8.18	?5.28	?4.94
2537	IFI6	1.28	?1.00	?1.08	1.17	?1.44
64135	IFIH1	1.91	1.25	?1.35	1.27	?1.03
55764	IFT122	1.38	1.47	1.39	1.76	1.17
3480	IGF1R	?2.80	?2.71	?1.91	?2.05	?1.88
117283	IHPK3	1.71	3.96	12.07	6.75	3.01
3551	IKBKB	?1.30	?1.36	?1.37	?1.35	1.09
3600	IL-15	?1.59	?1.93	?1.52	?2.18	?1.91
3601	IL15RA	?1.74	?2.08	?2.08	?1.77	?1.90
3606	IL-18	?2.31	?2.47	?2.04	?1.79	?2.76
3553	IL1B	1.15	?5.87	?4.83	?4.92	?1.56
56300	IL1F9	2.47	3.02	5.82	8.37	1.18
3556	IL1RAP	1.05	?1.64	?1.67	?1.70	?1.62
11009	IL-24	?3.24	?4.56	?1.27	?2.41	?2.31
3563	IL3RA	7.39	2.82	4.6	2.36	1.72
3575	IL7R	?3.73	?2.65	?2.03	?1.46	?3.25
3621	ING1	2.95	2.91	2.11	1.65	1.39
3622	ING2	?1.29	?1.58	?1.11	?1.68	1.01
54556	ING3	1.36	1.29	1.41	1.19	1.07
3624	INHBA	?5.24	?4.36	?2.29	?2.36	?2.87
3659	IRF1	?1.37	?1.96	?1.47	?1.53	?1.15
3689	ITGB2	13.94	6.29	15.5	20.21	1.46
3727	JUND	?2.42	?2.25	?2.20	?2.33	?1.46
85329	LGALS12	5.06	7.51	4.59	15.62	?1.08
3964	LGALS8	?1.18	?1.22	?1.13	?1.18	?1.35
4050	LTB	1.47	?1.29	?1.89	?1.12	?1.52
10296	MAEA	1.24	1.28	1.18	1.1	1.07
260425	MAGI3	?1.28	?1.35	?1.40	?1.42	?1.40
4118	MAL	7.83	1.61	6.49	4.05	2.49
10892	MALT1	?1.83	?1.65	?1.32	?1.70	?1.66
9020	MAP3K14	?2.63	?2.48	?2.17	?2.76	?2.04
6885	MAP3K7	1.69	1.66	1.34	1.43	?1.03
891	MAP4K3	?1.39	?1.29	?1.21	?1.35	?1.15
5594	MAPK1	?1.32	?1.36	?1.13	?1.39	?1.05
5601	MAPK9	?1.49	?1.96	?1.46	?2.08	?1.48
4149	MAX	?1.41	?1.49	?1.36	?1.67	?1.11
4170	MCL1	?1.74	?1.73	?1.45	?2.27	?1.14
4194	MDM4	?1.32	?1.14	?1.21	?1.38	?1.17
145815	MGC18216	?1.81	?2.71	?2.07	?2.24	?2.60
64112	MOAP1	?1.51	?1.70	?1.34	?1.88	1.02
27136	MORC1	1.29	2.37	3	2.59	?1.86
4488	MSX2	4.03	3	3.48	3.15	3.23
9633	MTL5	1.71	?1.15	?1.27	?1.31	?1.21
4615	MYD88	1.62	1.15	?1.21	1.12	1.03
338322	NALP10	?7.19	?3.06	?3.54	?2.59	2.35
4790	NFKB1	?2.24	?2.06	?1.52	?1.50	?1.27
4791	NFKB2	?1.67	?1.98	?1.56	?1.10	?1.40
4792	NFKBIA	1.69	1.97	5.44	2.28	2.1
4804	NGFR	3.09	2.89	1.9	2.64	1.28
8382	NME5	5.79	2.02	1.15	1.69	2.2
4836	NMT1	1.61	1.42	1.37	1.59	1.17
8996	NOL3	2.32	2.79	3.19	3.1	1.61
9542	NRG2	12.11	17.48	27.26	37.45	2.7
8439	NSMAF	?1.48	?1.49	?1.55	?1.71	?1.10
4908	NTF3	9.21	15.28	21.25	27.51	10.31
4914	NTRK1	?1.14	?1.85	1.12	1.13	3
4973	OLR1	?1.06	?5.94	?2.06	?2.60	?6.60
51237	PACAP	?1.46	4.49	1.28	?1.41	13.1
5058	PAK1	?1.21	?1.32	?1.33	?1.49	1.01
5062	PAK2	?1.41	?1.27	?1.45	?1.50	?1.20
56924	PAK6	3.28	1.83	2.14	2.71	2.23
143	PARP4	1.63	1.83	1.53	1.89	1.54
5074	PAWR	?2.48	?2.46	?2.80	?1.45	?2.44
5077	PAX3	?1.03	1.9	?1.06	?1.04	11.51
10135	PBEF1	?2.02	?1.45	?1.02	?1.54	1.03
80380	PDCD1LG2	?1.45	?3.98	?4.19	?2.92	?1.60
27250	PDCD4	?1.58	?1.86	?1.70	?1.91	?2.03
10081	PDCD7	1.21	1.34	1.16	1.08	1.25
79031	PDCL3	?1.14	?1.14	?1.01	?1.43	?1.02
8682	PEA15	?1.74	?1.78	?1.73	?1.77	?1.47
79960	PHF17	?2.54	?2.36	?1.58	?2.63	?1.11
7262	PHLDA2	1.62	?1.10	?1.13	?1.35	?1.14
5291	PIK3CB	?1.97	?1.92	?1.51	?2.45	1.08
5293	PIK3CD	1.42	1.22	1.52	1.12	1.64
5295	PIK3R1	1.11	1.6	1.76	1.48	1.22
8503	PIK3R3	1.98	1.97	?1.19	1.65	1.07
5325	PLAGL1	2	1.38	?1.04	1.3	?1.31
79156	PLEKHF1	?1.30	?1.08	1.38	1.02	1.27
57645	POGK	?2.06	?1.87	?1.31	?2.03	?1.19
10848	PPP1R13L	?2.18	?2.32	?1.97	?1.80	?1.73
23645	PPP1R15A	?1.53	?1.42	?1.43	?1.34	1.08
5515	PPP2CA	?1.36	?1.70	?1.18	?1.52	?1.18
5519	PPP2R1B	?1.51	?1.43	?1.24	?1.27	?1.29
5530	PPP3CA	?1.38	?1.59	?1.68	?1.77	?2.10
5533	PPP3CC	4.49	3.39	3.17	4.71	1.77
5534	PPP3R1	?1.88	?1.99	?1.52	?2.25	?1.40
5552	PRG1	?1.07	1.34	2.35	2.15	1.22
5567	PRKACB	1.16	?1.61	?1.40	?1.69	?1.84
5573	PRKAR1A	?1.18	?1.54	?1.32	?1.51	?1.37
5575	PRKAR1B	2.25	2.93	2.3	1.35	2.57
5579	PRKCB1	6.97	4.64	12.54	14.91	1.99
5580	PRKCD	2.35	1.99	1.29	1.64	?1.03
5581	PRKCE	?1.05	1.75	1.68	?1.23	?1.24
5584	PRKCI	1.12	1.01	?1.08	1.07	?1.47
5618	PRLR	2.09	2.08	1.69	7.73	1.03
5663	PSEN1	?1.15	?1.38	?1.51	?1.43	?1.41
23210	PTDSR	?2.09	?1.23	1.05	?1.51	1.68
2185	PTK2B	2.2	2.38	2.34	2.22	2.63
51651	PTRH2	?1.31	?1.83	?1.51	?1.69	?1.67
5885	RAD21	?1.52	?1.32	?1.15	?1.44	?1.31
84173	RBED1	1.64	1.55	1.28	1.23	1.32
5939	RBMS2	?1.52	?1.97	?1.69	?1.63	?1.96
27303	RBMS3	1.54	1.56	1.96	1.87	1.42
5970	RELA	?1.60	?1.62	?1.50	?1.49	?1.09
473	RERE	2.53	2.22	2.55	2.82	1.31
388	RHOB	1.4	1.57	2.23	1.78	1.86
8737	RIPK1	2.55	2.06	1.55	2.32	1.24
8767	RIPK2	?1.70	?2.19	?2.23	?2.23	?1.31
152006	RNF38	?1.24	?1.31	?1.27	?1.62	?1.51
6093	ROCK1	?1.28	?1.09	?1.29	?1.40	?1.22
64121	RRAGC	1.68	1.51	1.47	1.51	1.25
57142	RTN4	?1.95	?1.77	?1.78	?1.53	?1.97
29115	SAP30BP	1.11	1.15	1.34	1.17	1.5
949	SCARB1	?1.39	?1.43	?1.28	?1.38	?1.47
6446	SGK	3.83	8.86	11.78	7.14	5.52
8879	SGPL1	?1.28	?1.24	?1.20	?1.38	?1.36
81537	SGPP1	2	1.09	1.22	1.11	?1.48
51100	SH3GLB1	?1.15	?1.08	?1.08	?1.33	?1.14
30011	SH3KBP1	?1.25	?1.43	?1.53	?1.39	?1.40
6477	SIAH1	?1.72	?2.26	?1.43	?2.73	?1.16
6478	SIAH2	?1.89	?1.36	?1.09	?1.60	1.47
4086	SMAD1	?1.67	?1.91	?1.59	?2.57	?1.72
6622	SNCA	?1.22	?1.89	?1.69	?1.69	?1.61
6651	SON	?1.92	?1.64	?1.48	?2.18	?1.31
6659	SOX4	?1.68	?2.05	?2.62	?2.48	?1.94
56928	SPPL2B	1.58	1.59	1.26	1.71	1.24
6774	STAT3	1.26	1.1	1.25	1.28	1.03
6776	STAT5A	3.4	5.84	2.3	3.54	1.48
6778	STAT6	?1.43	?1.53	?1.53	?1.22	?1.59
9262	STK17B	1.41	?1.05	1.31	?1.24	?1.23
6613	SUMO2	?1.27	?1.57	?1.32	?1.63	?1.29
10474	TADA3L	?1.08	?1.23	?1.12	?1.40	?1.02
55145	THAP1	?1.14	?1.54	?1.26	?1.40	?1.40
7078	TIMP3	3.07	1.31	?1.71	1.23	?1.87
7096	TLR1	?2.32	?3.13	?1.88	?2.65	?2.23
7100	TLR5	9.41	3.91	1.55	1.64	15.93
83877	TM2D2	?1.87	?1.56	?1.29	?1.99	?1.39
80213	TM2D3	1.5	1.46	1.36	1.29	1.03
7126	TNFAIP1	?3.04	?3.00	?2.22	?3.62	?1.71
7127	TNFAIP2	?1.36	?2.79	?3.57	?2.19	?2.28
7128	TNFAIP3	?1.87	?1.17	1.53	?1.04	1.67
7130	TNFAIP6	?1.26	?5.24	?5.37	?2.48	?2.42
25816	TNFAIP8	1.69	1.28	1.44	?1.02	?1.16
8797	TNFRSF10A	?1.58	5.65	1.83	3.42	16.84
8795	TNFRSF10B	2.03	2.42	2.32	2.53	1.32
4982	TNFRSF11B	?1.83	?3.20	?6.10	?2.97	?4.51
51330	TNFRSF12A	?5.75	?3.80	?2.99	?3.62	?2.00
84957	TNFRSF19L	4.19	3.83	2.89	3.8	1.52
7132	TNFRSF1A	1.02	?1.01	?1.14	?1.35	1.15
7133	TNFRSF1B	11.94	8.06	17.13	9.73	6.81
27242	TNFRSF21	?1.22	?1.82	?1.39	?1.86	?1.85
8718	TNFRSF25	?1.90	?1.53	?1.50	?1.81	?1.37
943	TNFRSF8	?2.96	?2.83	?1.33	?1.12	?1.83
8600	TNFSF11	1.48	7.84	1.14	1.33	13.51
8740	TNFSF14	1.44	7.54	1.02	6.66	7.59
7292	TNFSF4	5.62	5.42	3.73	7.57	1.68
56984	TNFSF5IP1	?1.44	?1.40	?1.31	?1.55	?1.21
970	TNFSF7	?2.01	?1.97	?2.33	?1.17	?3.18
8744	TNFSF9	?1.20	?1.30	?2.85	?1.22	?1.35
7159	TP53BP2	1.35	1.57	2.09	1.39	2.64
9540	TP53I3	2.91	5.57	4.43	5.71	1.77
7185	TRAF1	?2.43	?5.25	?1.55	?1.47	?2.13
7187	TRAF3	?2.33	?2.28	?1.78	?2.66	?1.54
10758	TRAF3IP2	2.4	2	3.08	2.8	2.24
9618	TRAF4	?3.47	?3.89	?2.64	?3.17	?1.00
7188	TRAF5	3.29	3.26	2.3	1.69	1.17
57761	TRIB3	?3.53	?3.43	?2.14	?2.81	?1.19
80263	TRIM45	1.91	2.03	1.65	1.47	1.39
10497	UNC13B	1.13	1.41	1.58	2.23	1.47
55759	WDR12	?1.63	?1.51	?1.24	?1.51	?1.44
80232	WDR26	?1.20	?1.41	?1.36	?1.57	?1.50
10885	WDR3	?1.49	?1.64	?1.50	?1.62	?1.54
114987	WDR31	1.33	1.71	1.58	1.43	1.74
22884	WDR37	2.56	2.65	1.7	2.23	1.35
139170	WDR40B	1.61	1.97	3.06	2.25	1.36
11180	WDR6	?1.75	?1.44	?1.37	?1.59	?1.14
7532	YWHAG	?1.79	?1.72	?1.54	?1.85	?1.21
7533	YWHAH	?1.55	?1.99	?1.42	?2.20	?1.15
7534	YWHAZ	?1.35	?1.56	?1.38	?1.57	?1.35
51776	ZAK	?2.11	?2.18	?1.55	?2.29	?2.03
23567	ZNF346	?1.12	?1.13	?1.09	?1.31	1.05
