Function	Accession no.	Gene	Symbol	Ratio of radiation  enteritis/healthy
Growth factor, cytokine  and chemokine related	M54995; M38441	platelet basic protein precursor	PBP	2.0–10
Growth factor, cytokine  and chemokine related	X53799	macrophage inflammatory protein 2  alpha	MIP2-alpha	2–11.8
Growth factor, cytokine  and chemokine related	M35410	insulin-like growth factor binding  protein 2	IGFBP2	2.1–10
Growth factor, cytokine  and chemokine related	K02770	interleukin-l beta precursor	IL1B	2.5–8.4
Growth factor, cytokine  and chemokine related	M65062	insulin-like growth factor binding   protein 5 precursor	IGFBP5	3.4–7
Growth factor, cytokine  and chemokine related	M62403	insulin-like growth factor binding   protein 4 precursor	IGFBP4	3.46–12
Cell adhesion	X56807	desmocollin 2A/2B precursor	DSC2	<0.1
Cell adhesion	X53587; X52186;  X51841	integrin beta 4	ITGB4	0.1–0.4
Cell adhesion	Y00796	integrin alpha L	ITGAL	0.1–0.49
Cell adhesion	U53786	envoplakin	EVPL	0.1–0.35
Cell adhesion	Z13009	cadherin1	CDH1	0.1–0.40
Cell adhesion	M77830; J05211	desmoplakin I and II	DPI and DPII	0.1–0.41
Cell adhesion	Y11306	beta-catenin		0.1–0.44
Cell adhesion	X72925; Z34522	desmocollin 1A/1B precursor	DSC1	0.1–0.50
Cell adhesion	M34480; J02764	integrin alpha 2B	ITGA2B	0.5
Cell adhesion	J02703; M25108	integrin beta 3	ITGB3	0.5
Cell adhesion	M15395	integrin beta 2	ITGB2	2–15.2
Cell adhesion	X94991; X95735	zyxin 1 zyxin-2		3.48–8
Cell adhesion	X06256	integrin alpha 5	ITGA5	4.1–10
Cell adhesion	Y00815 + X69398	integrin-associated protein	IAP	4.31
Intracellular signaling	M91815; L26584	cdc 25	CDC25	<0.1
Intracellular signaling	M25753	G2/mitotic-specific cyclin B1	CCNB1	0.1–0.5
Intracellular signaling	D85815	rhoHP1		0.1–0.18
Intracellular signaling	L07597	ribosomal protein S6 kinase II  alpha 1	S6KII-alpha 1	0.1–0.36
Intracellular signaling	M18391	ephrin type-A receptor 1 precursor	eph	0.3
Intracellular signaling	L38734	ephrin-B2 precursor	HTK-1	0.33–0.5
Intracellular signaling	L25081	small GTPase rhoC	rhoC	0.22–0.27
Intracellular signaling	U43408	tyrosine kinase tnk1		0.22
Intracellular signaling	X74979	cell adhesion kinase	CAK	0.32
Intracellular signaling	L49207 + U43522   + U33284	focal adhesion kinase 2	FAK2	0.45
Intracellular signaling	L40636	ephrin type-B receptor 1 precursor	EPH-2	0.5
Intracellular signaling	U07695	ephrin type-B receptor 4 precursor	HTK	0.5
Intracellular signaling	M31470	ras-like protein TC10		2–2.3
Intracellular signaling	L40027	glycogen synthase kinase 3 alpha	GSK3 alpha	2.18
Intracellular signaling	X06820	transforming protein rhoB	rhoB	3.4–7
Nuclear signaling	X55544	cyclic-AMP-dependent transcription factor atr-1	atr-1	<0.1
Nuclear signaling	M93255	fli-1 oncogene; ergB transcription factor	ergB; fli-1	<0.1
Nuclear signaling	X79067	EGF response factor 1	ERF1	2–3.5
Nuclear signaling	J04111	c-jun proto-oncogene	c-jun	2.1–2.9
Nuclear signaling	M24069	DNA-binding protein A		2.2–7.2
Nuclear signaling	M62831	transcription factor ETR101	ETR101	2.6–9
Nuclear signaling	M28372	cellular nucleic acid binding protein	CNBP	2.71–9.2
Nuclear signaling	U12979	activated RNA polymerase II transcriptional coactivator p15		3.4–8.9
Nuclear signaling	D90209	cAMP-response element binding protein	CREB2	3.6–6.1
Nuclear signaling	X06745	DNA polymerase alpha catalytic subunit	POLA	>10
Nuclear signaling	M96684	purine-rich single-stranded DNA- binding protein alpha	PURA	>10
Metabolic pathways	M74777	dipeptidyl peptidase IV	DPP IV	<0.1
Metabolic pathways	M81830	somatostatin receptor type 2	SS2R	<0.1
Metabolic pathways	D49394	5-hydroxytryptamine 3 receptor pre-	5-HT-3	<0.1
Metabolic pathways	U66661	gamma-aminobutyric-acid receptor epsilon subunit precursor	GABA(A) receptor epsilon	<0.1
Metabolic pathways	U95367	gamma-aminobutyric-acid receptor pi  subunit precursor	GABA(A) receptor pi	<0.1
Metabolic pathways	M76180	DOPA decarboxylase	DDC	<0.1
Metabolic pathways	J05252	neuroendocrine convertase 2 precursor	NEC2	<0.1
Metabolic pathways	D28538	metabotropic glutamate receptor 5  precursor	GRM5	<0.1
Metabolic pathways	Y07683	ATP receptor P2X3		<0.1
Metabolic pathways	A00914	angiotensin-converting enzyme	ACE	<0.1
Metabolic pathways	U62435	neuronal acetylcholine receptor protein alpha 6 subunit precursor		0.3
Metabolic pathways	D45248	proteasome activator HPA28 subunit  beta		0.21–0.28
Metabolic pathways	L25124; D28472	prostaglandin E2 (PGE) receptor  EP4 subtype	PTGER4	0.23–0.3
Metabolic pathways	S56143	adenosine A1 receptor	ADORA1	0.26
Metabolic pathways	M24795	platelet glycoprotein IV	GPIV	0.33
Metabolic pathways	M14200	acyl-CoA-binding protein	ACBP	2.6–5.6
Metabolic pathways	M65212	membrane-bound and soluble cate-chol-O-methyltransferase	COMT	2.8–3.4
Metabolic pathways	Y00264	Alzheimer’s disease amyloid A4 protein precursor	APPI	>10
Metabolic pathways	U32944	protein inihibitor of neuronal nitric oxide synthase	PIN	>10
Metabolic pathways	M12529	apolipoprotein E precursor	APOE	>10
Metabolic pathways	M34079	proteasome subunit p50		>10
Stress response	X79389	glutathione S-transferase theta 1	GSTT1	0.1–0.33
Stress response	U60519	caspase-10 precursor	CASP10	0.15–0.32
Stress response	M63928	CD27L antigen receptor precursor	CD27	2–8.5
Stress response	D15057	defender against cell death 1	DAD1	2–3.65
Stress response	S40706; S62138	growth arrest and DNA-damage-inducible protein 153	GADD153	2.4–4.8
Stress response	X54079	27-kDa heat-shock protein	HSP27	2.7–8.19
Stress response	K00065; X02317	cytosolic superoxide dismutase 1	SOD1	2.85–6.4
Stress response	M74816	clusterin precursor	CLU	2.4–13
Stress response	M11717	70-kDa heat-shock protein 1	HSP70-1	>10
Stress response	Y00483; M21304	glutathione peroxidase	GPX1	>10
Others	Y00815 1 X69398	leukocyte antigen-related protein  precursor	LAR	0.1–0.17
Others	X90392; L40817;  U06846	muscle-specific DNase I-like precursor	DNase1L1	0.1
Others	M73980	neurogenic locus notch protein homolog 1 precursor	NOTCH1	0.3
Others	U49089	synapse-associated protein 102	SAP102	0.36
Others	M73482	neuromedin B receptor	NMBR	0.38–0.47
Others	U61262	neogenin		0.4
Others	M74088; M73548	adenomatous polyposis coli protein	APC protein	0.46
Others	AF003522	delta-like protein 1 precursor	DLL1	0.5
Others	X75621	tuberin	TSC2	2.12–4
Others	X69391	60S ribosomal protein L6	RPL6	2.16–2.6
